Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.1,68.4,19.7,28.7,,,,,,0.8,257300.0,145600.0,3350.0,52.912693970626634,-1.4728552391442262
2020-03-02,38.3,77.9,11.0,28.9,,,,,,0.6524,228200.0,122500.0,3350.0,52.91269398169654,-1.4728552897739409
2020-03-03,39.2,81.0,13.6,29.2,,,,,,0.5238,181900.0,93000.0,3350.0,52.91269408002896,-1.472855358658788
2020-03-04,38.7,83.7,6.0,29.4,,,,,,0.4905,167900.0,83200.0,3350.0,52.91269401750566,-1.472855375010116
2020-03-05,38.4,86.8,9.1,29.1,,,,,,0.1952,205000.0,98400.0,3350.0,52.912694017964654,-1.4728552641988202
2020-03-06,37.9,75.1,6.3,29.3,1.0000000148529775,,,,,0.7714,235300.0,102700.0,3350.0,52.91269412146887,-1.4728554341211626
2020-03-07,45.4,80.3,16.0,29.5,1.0000000148529775,,,,,0.6,225100.0,125100.0,3350.0,52.91269431162664,-1.4728554136526635
2020-03-08,47.4,76.8,19.5,29.2,1.0000000148529775,,,,,0.5619,246600.0,150100.0,3350.0,52.91269414695245,-1.472855176400885
2020-03-09,44.2,80.4,17.6,29.4,51.4623246134796,,,,,0.5905,217000.0,126300.0,3350.0,52.91269406488572,-1.4728553871261698
2020-03-10,52.4,83.6,23.5,29.2,22.02476711158678,,,,,0.8714,187900.0,98500.0,3350.0,52.912693988857356,-1.4728554672463008
2020-03-11,48.1,74.7,18.4,29.3,1.000000074264892,,,,,,175700.0,88600.0,3350.0,52.912694117142266,-1.472855287870781
2020-03-12,41.8,68.0,26.0,29.3,5.776769702064843,,,,,0.9824,184200.0,96700.0,3350.0,52.91269402677057,-1.4728550997249796
2020-03-13,43.4,78.4,12.7,29.6,4.215060784858564,,,,,0.9273,195200.0,104200.0,3350.0,52.91269414302721,-1.47285509865678
2020-03-14,46.3,84.4,13.8,29.5,7.695030304950732,,,,,0.8773,192200.0,125800.0,3350.0,52.91269407654306,-1.4728554670044183
2020-03-15,46.0,81.8,15.6,29.3,5.903764714265047,,,,,0.2826,201000.0,141400.0,3350.0,52.912694296962385,-1.4728553543210532
2020-03-16,43.6,72.6,12.1,29.8,3.2000773895916534,,,,,1.2087,159400.0,112700.0,3350.0,52.91269416178517,-1.4728553854181408
2020-03-17,49.1,81.5,18.0,29.9,3.2417618362338816,,,,,0.9,109500.0,77300.0,3350.0,52.91269409958494,-1.4728552229429774
2020-03-18,46.2,91.8,9.7,29.9,4.764668459468412,,,,,0.5522,87000.0,62100.0,3350.0,52.91269414485648,-1.472855296131047
2020-03-19,41.9,77.3,5.0,30.0,2.0395353165431263,,,,,0.2818,80900.0,58500.0,3350.0,52.91269398608132,-1.4728552299190822
2020-03-20,41.8,76.8,12.9,30.1,3.3726501958363087,,,,,1.0955,64200.0,46900.0,3350.0,52.91269391032703,-1.4728554837384786
2020-03-21,40.3,70.7,13.8,30.0,4.4329605694930745,,,,,1.2652,51500.0,37000.0,3350.0,52.91269403206937,-1.472855259815974
2020-03-22,39.7,74.7,11.1,30.0,4.660371643348415,,,,,1.1,36400.0,23600.0,3350.0,52.912694319427146,-1.4728553027867006
2020-03-23,40.8,67.6,8.1,30.0,5.178791322857837,,,,,1.4542,28000.0,17600.0,3350.0,52.912694133180025,-1.4728553276197545
2020-03-24,47.3,63.2,10.2,29.9,3.4203212466291535,,,,,1.5667,22600.0,14200.0,3350.0,52.912694067938034,-1.4728552964989763
2020-03-25,47.6,45.9,6.4,29.9,3.3453427602956034,,,,,1.6913,14800.0,8900.0,3350.0,52.912694033603294,-1.4728553063899876
2020-03-26,42.3,60.2,7.1,29.9,3.608819756692793,,,,,1.575,14600.0,8600.0,3350.0,52.9126941765713,-1.4728553394946842
2020-03-27,41.3,72.6,10.0,30.0,8.826966559660281,,,,,1.45,13100.0,7800.0,3350.0,52.91269404516987,-1.4728552950551808
2020-03-28,42.2,74.0,15.3,30.1,10.978352178376136,,,,,1.0542,11400.0,7000.0,3350.0,52.91269403481661,-1.472855253150695
2020-03-29,38.7,63.8,14.5,30.4,15.639473320744527,,,,,0.9958,10000.0,5800.0,3350.0,52.91269415640897,-1.47285535917943
2020-03-30,40.4,77.3,9.1,30.3,23.291897771820487,,,,,0.6625,5700.0,2900.0,3350.0,52.91269415389776,-1.4728551464924688
2020-03-31,42.1,71.4,7.4,30.1,41.03140702127253,,,,,1.1667,5500.0,2700.0,3350.0,52.912694078285206,-1.4728552099016792
2020-04-01,42.4,76.1,9.5,29.9,35.237567000687434,,,,,0.9458,4400.0,2200.0,3350.0,52.912694162732116,-1.4728553608055421
