Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.1,68.4,19.7,28.7,,,,,,0.8,257300.0,145600.0,320.0,52.843521454839134,-1.7251281676427443
2020-03-02,38.3,77.9,11.0,28.9,,,,,,0.6524,228200.0,122500.0,320.0,52.8435215060945,-1.7251281394497036
2020-03-03,39.2,81.0,13.6,29.2,,,,,,0.5238,181900.0,93000.0,320.0,52.843521533477244,-1.725128040262848
2020-03-04,38.7,83.7,6.0,29.4,,,,,,0.4905,167900.0,83200.0,320.0,52.84352134276831,-1.7251280427200417
2020-03-05,38.4,86.8,9.1,29.1,,,,,,0.1952,205000.0,98400.0,320.0,52.84352140237024,-1.725127971317165
2020-03-06,37.9,75.1,6.3,29.3,,,,,,0.7714,235300.0,102700.0,320.0,52.8435213368182,-1.7251281520272708
2020-03-07,45.4,80.3,16.0,29.5,,,,,,0.6,225100.0,125100.0,320.0,52.84352132301339,-1.7251281772415878
2020-03-08,47.4,76.8,19.5,29.2,,,,,,0.5619,246600.0,150100.0,320.0,52.84352131930586,-1.725128143655818
2020-03-09,44.2,80.4,17.6,29.4,1.0000000148529775,,,,,0.5905,217000.0,126300.0,320.0,52.843521411043966,-1.7251282141384938
2020-03-10,52.4,83.6,23.5,29.2,1.0000000148529775,,,,,0.8714,187900.0,98500.0,320.0,52.843521486259434,-1.725128160452147
2020-03-11,48.1,74.7,18.4,29.3,86.17329210314129,,,,,,175700.0,88600.0,320.0,52.84352149189623,-1.7251282131699321
2020-03-12,41.8,68.0,26.0,29.3,1.0000000594119127,,,,,0.9824,184200.0,96700.0,320.0,52.84352133504371,-1.7251280110030769
2020-03-13,43.4,78.4,12.7,29.6,1.0000000594119127,,,,,0.9273,195200.0,104200.0,320.0,52.843521581784,-1.7251281343496403
2020-03-14,46.3,84.4,13.8,29.5,17.296841298518167,,,,,0.8773,192200.0,125800.0,320.0,52.843521487404466,-1.7251280303105199
2020-03-15,46.0,81.8,15.6,29.3,7.369026568069817,,,,,0.2826,201000.0,141400.0,320.0,52.843521334313884,-1.7251279936412642
2020-03-16,43.6,72.6,12.1,29.8,3.2505427254329784,,,,,1.2087,159400.0,112700.0,320.0,52.84352151520526,-1.725128086371435
2020-03-17,49.1,81.5,18.0,29.9,4.068555705364931,,,,,0.9,109500.0,77300.0,320.0,52.84352136765754,-1.725128026601389
2020-03-18,46.2,91.8,9.7,29.9,3.2417210449457587,,,,,0.5522,87000.0,62100.0,320.0,52.84352149627783,-1.7251279987588664
2020-03-19,41.9,77.3,5.0,30.0,1.9289216129460365,,,,,0.2818,80900.0,58500.0,320.0,52.84352150302242,-1.7251281050734444
2020-03-20,41.8,76.8,12.9,30.1,3.1483548734792794,,,,,1.0955,64200.0,46900.0,320.0,52.84352142294754,-1.7251282450658236
2020-03-21,40.3,70.7,13.8,30.0,2.7747720382641266,,,,,1.2652,51500.0,37000.0,320.0,52.8435216298548,-1.7251279758777947
2020-03-22,39.7,74.7,11.1,30.0,2.995906826352176,,,,,1.1,36400.0,23600.0,320.0,52.8435213156547,-1.7251281430591856
2020-03-23,40.8,67.6,8.1,30.0,2.799941061812464,,,,,1.4542,28000.0,17600.0,320.0,52.84352144661596,-1.7251280655428916
2020-03-24,47.3,63.2,10.2,29.9,3.0915088252481167,,,,,1.5667,22600.0,14200.0,320.0,52.843521314029225,-1.7251282387417473
2020-03-25,47.6,45.9,6.4,29.9,3.0703447942813424,,,,,1.6913,14800.0,8900.0,320.0,52.84352146820099,-1.7251279752982416
2020-03-26,42.3,60.2,7.1,29.9,1.9318554345070984,,,,,1.575,14600.0,8600.0,320.0,52.84352150541705,-1.7251281222346089
2020-03-27,41.3,72.6,10.0,30.0,3.559031994485803,,,,,1.45,13100.0,7800.0,320.0,52.84352147028071,-1.725128106592315
2020-03-28,42.2,74.0,15.3,30.1,4.99248535804724,,,,,1.0542,11400.0,7000.0,320.0,52.84352140553151,-1.7251279490189129
2020-03-29,38.7,63.8,14.5,30.4,6.3031667870961225,,,,,0.9958,10000.0,5800.0,320.0,52.843521330304576,-1.7251280826746966
2020-03-30,40.4,77.3,9.1,30.3,5.269249354676135,,,,,0.6625,5700.0,2900.0,320.0,52.84352143233158,-1.7251280926656631
2020-03-31,42.1,71.4,7.4,30.1,6.762138721087682,,,,,1.1667,5500.0,2700.0,320.0,52.843521362910884,-1.725128004443182
2020-04-01,42.4,76.1,9.5,29.9,7.601060591642244,,,,,0.9458,4400.0,2200.0,320.0,52.843521326349816,-1.725128036078497
2020-04-02,46.8,73.1,14.3,29.6,21.898613373189306,,,,,1.028,4700.0,2300.0,320.0,52.84352152275872,-1.7251282210423222
2020-04-03,45.4,67.7,8.7,29.7,49.52281313088666,,,,,1.484,5400.0,2600.0,320.0,52.843521464137524,-1.7251280026206761
2020-04-04,48.5,66.6,9.7,29.7,11.847520805002349,,,,,1.932,5500.0,2700.0,320.0,52.84352147235981,-1.725128239448461
2020-04-05,54.8,52.3,13.6,29.5,1.0000015001529563,,,,,2.116,5300.0,2500.0,320.0,52.843521594332934,-1.7251281487937313
