Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,40.8,73.2,16.3,28.6,,,,,,0.8,257300.0,145600.0,5197.0,51.89696480893817,-0.4322800067887487
2020-03-02,39.4,81.7,9.2,28.7,,,,,,0.6524,228200.0,122500.0,5197.0,51.89696463313512,-0.4322800720049072
2020-03-03,38.8,83.3,10.8,29.0,,,,,,0.5238,181900.0,93000.0,5197.0,51.89696475974269,-0.4322799062825413
2020-03-04,38.5,89.1,6.3,29.2,1.0000000297059557,,,,,0.4905,167900.0,83200.0,5197.0,51.896964685907115,-0.43227989053329774
2020-03-05,38.7,97.1,14.0,28.8,1.0000000297059557,,,,,0.1952,205000.0,98400.0,5197.0,51.89696474175208,-0.43227998696589576
2020-03-06,39.1,77.4,8.3,29.1,1.0000000297059557,,,,,0.7714,235300.0,102700.0,5197.0,51.89696452965279,-0.4322799267357942
2020-03-07,44.0,85.0,12.0,29.4,1.0000000297059557,,,,,0.6,225100.0,125100.0,5197.0,51.896964749778604,-0.43228001284384066
2020-03-08,47.0,80.7,18.1,29.1,1.0000000297059557,,,,,0.5619,246600.0,150100.0,5197.0,51.89696497437442,-0.43227996938710894
2020-03-09,43.1,84.7,15.4,29.2,1.0000000297059557,,,,,0.5905,217000.0,126300.0,5197.0,51.896964786054994,-0.4322799929001445
2020-03-10,52.0,89.1,25.3,29.1,1.0000000297059557,,,,,0.8714,187900.0,98500.0,5197.0,51.89696456941824,-0.43228003313479635
2020-03-11,49.0,79.3,17.0,29.2,1.0000000297059557,,,,,,175700.0,88600.0,5197.0,51.89696469386489,-0.4322799868976458
2020-03-12,42.4,72.4,23.9,29.2,7.137110278427905,,,,,0.9824,184200.0,96700.0,5197.0,51.89696451715346,-0.4322800121418185
2020-03-13,43.5,76.3,13.0,29.4,1.000000044558934,,,,,0.9273,195200.0,104200.0,5197.0,51.89696483559005,-0.4322800499261995
2020-03-14,46.0,87.2,10.8,29.3,1.000000044558934,,,,,0.8773,192200.0,125800.0,5197.0,51.89696471992402,-0.4322799328263588
2020-03-15,46.2,89.1,13.3,29.2,1.000000044558934,,,,,0.2826,201000.0,141400.0,5197.0,51.89696482847638,-0.4322799546327419
2020-03-16,42.7,77.8,9.2,29.6,8.764624922349856,,,,,1.2087,159400.0,112700.0,5197.0,51.896964792007076,-0.43227996974792626
2020-03-17,46.4,84.2,12.4,29.7,6.346177339006506,,,,,0.9,109500.0,77300.0,5197.0,51.896964614456415,-0.4322799978527368
2020-03-18,50.0,89.4,11.5,29.6,3.899904143625976,,,,,0.5522,87000.0,62100.0,5197.0,51.896964844633345,-0.432279879771951
2020-03-19,41.6,96.2,9.3,29.7,5.7407521006893925,,,,,0.2818,80900.0,58500.0,5197.0,51.896964592739316,-0.4322799332336144
2020-03-20,41.5,83.5,14.5,29.8,2.6148687174305927,,,,,1.0955,64200.0,46900.0,5197.0,51.89696474048817,-0.43227995035589356
2020-03-21,40.3,70.0,12.9,29.7,3.7290036942886067,,,,,1.2652,51500.0,37000.0,5197.0,51.89696460549367,-0.43228000926321875
2020-03-22,39.9,73.2,10.2,29.7,4.923848401282837,,,,,1.1,36400.0,23600.0,5197.0,51.89696473774495,-0.4322798910309971
2020-03-23,41.6,66.1,11.1,29.7,8.954951779933516,,,,,1.4542,28000.0,17600.0,5197.0,51.896964612835205,-0.4322799676004508
2020-03-24,44.7,59.1,8.8,29.7,7.035320912574524,,,,,1.5667,22600.0,14200.0,5197.0,51.89696473200237,-0.4322799045797891
2020-03-25,43.3,52.3,6.8,29.7,7.673511421045934,,,,,1.6913,14800.0,8900.0,5197.0,51.89696480852163,-0.4322800117959943
2020-03-26,41.2,63.3,9.8,29.6,12.157597969547277,,,,,1.575,14600.0,8600.0,5197.0,51.896964871060035,-0.4322799973553521
2020-03-27,41.7,76.2,13.0,29.7,13.62958385236979,,,,,1.45,13100.0,7800.0,5197.0,51.89696472488933,-0.4322798727961874
2020-03-28,40.9,80.0,18.3,29.8,19.060537039575763,,,,,1.0542,11400.0,7000.0,5197.0,51.89696491534505,-0.4322800556938468
2020-03-29,37.9,68.2,19.8,30.1,42.322669696737364,,,,,0.9958,10000.0,5800.0,5197.0,51.896964707870396,-0.4322800915737807
2020-03-30,39.9,80.8,12.5,30.0,95.95202364886086,,,,,0.6625,5700.0,2900.0,5197.0,51.89696461393892,-0.43228000122040955
2020-03-31,40.9,75.8,10.3,29.9,100.37632410617412,,,,,1.1667,5500.0,2700.0,5197.0,51.89696480665136,-0.4322798601493007
2020-04-01,39.5,72.6,6.5,29.6,220.406463053016,,,,,0.9458,4400.0,2200.0,5197.0,51.896964767496755,-0.43228002057577103
