Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,43.6,67.7,17.7,29.1,,,,,,0.8,257300.0,145600.0,185.0,51.709937024464324,0.745995572058212
2020-03-02,42.0,80.7,8.4,29.2,,,,,,0.6524,228200.0,122500.0,185.0,51.709937094755624,0.7459955818877197
2020-03-03,41.1,79.4,10.3,29.5,,,,,,0.5238,181900.0,93000.0,185.0,51.70993696149854,0.7459956502863058
2020-03-04,41.0,86.0,7.0,29.7,,,,,,0.4905,167900.0,83200.0,185.0,51.709937066725786,0.7459954805254438
2020-03-05,42.3,97.7,12.3,29.3,,,,,,0.1952,205000.0,98400.0,185.0,51.70993707822105,0.745995498109336
2020-03-06,40.2,76.0,7.5,29.6,,,,,,0.7714,235300.0,102700.0,185.0,51.70993700313833,0.7459955161103803
2020-03-07,44.7,84.0,13.3,29.9,,,,,,0.6,225100.0,125100.0,185.0,51.709936949305735,0.7459956545364851
2020-03-08,48.8,80.6,18.2,29.6,,,,,,0.5619,246600.0,150100.0,185.0,51.70993703730411,0.7459955727336969
2020-03-09,45.5,79.3,15.6,29.8,,,,,,0.5905,217000.0,126300.0,185.0,51.7099369034021,0.7459955302693653
2020-03-10,54.7,87.3,18.6,29.6,,,,,,0.8714,187900.0,98500.0,185.0,51.7099370784596,0.7459954684492967
2020-03-11,51.6,80.7,17.1,29.7,,,,,,,175700.0,88600.0,185.0,51.709937010524555,0.7459956249285129
2020-03-12,46.3,60.9,20.6,29.7,,,,,,0.9824,184200.0,96700.0,185.0,51.70993703412698,0.745995487599852
2020-03-13,46.0,68.9,11.8,30.0,,,,,,0.9273,195200.0,104200.0,185.0,51.70993706964475,0.7459955791118005
2020-03-14,47.4,88.0,12.6,29.9,,,,,,0.8773,192200.0,125800.0,185.0,51.70993691315776,0.7459956043420533
2020-03-15,49.0,83.9,14.9,29.7,1.0000000148529775,,,,,0.2826,201000.0,141400.0,185.0,51.70993707662905,0.7459954308344353
2020-03-16,44.6,77.0,5.9,30.1,1.0000000148529775,,,,,1.2087,159400.0,112700.0,185.0,51.70993728722652,0.7459955911727212
2020-03-17,47.3,83.0,13.1,30.3,1.0000000148529775,,,,,0.9,109500.0,77300.0,185.0,51.70993707129165,0.7459957064119899
2020-03-18,51.8,84.8,13.9,30.2,38.84674289425961,,,,,0.5522,87000.0,62100.0,185.0,51.709936954494005,0.7459956630546789
2020-03-19,44.9,94.2,9.0,30.2,1.0000000297059557,,,,,0.2818,80900.0,58500.0,185.0,51.70993709392509,0.7459954827760649
2020-03-20,44.1,80.2,13.6,30.3,23.81557706887257,,,,,1.0955,64200.0,46900.0,185.0,51.70993693923733,0.7459956860546466
2020-03-21,43.3,70.0,17.4,30.3,11.747732067226188,,,,,1.2652,51500.0,37000.0,185.0,51.709937089748415,0.7459954713504287
2020-03-22,42.3,73.5,14.8,30.3,7.137843646102171,,,,,1.1,36400.0,23600.0,185.0,51.70993704745783,0.7459953967222079
2020-03-23,42.4,67.0,11.7,30.3,1.0000001633827769,,,,,1.4542,28000.0,17600.0,185.0,51.709937090260986,0.7459954591903779
2020-03-24,43.9,62.5,7.8,30.2,4.362581463447773,,,,,1.5667,22600.0,14200.0,185.0,51.70993713641084,0.7459954139889733
2020-03-25,38.5,73.8,5.4,30.2,1.9289216129460365,,,,,1.6913,14800.0,8900.0,185.0,51.70993712441217,0.7459955151727292
2020-03-26,40.4,75.2,9.3,30.2,1.8056331910126968,,,,,1.575,14600.0,8600.0,185.0,51.709937079423355,0.7459955130871766
2020-03-27,44.6,67.2,12.4,30.2,1.000000237647693,,,,,1.45,13100.0,7800.0,185.0,51.70993709560765,0.7459955079678073
2020-03-28,43.8,73.5,14.4,30.3,2.3860462725699647,,,,,1.0542,11400.0,7000.0,185.0,51.70993694175867,0.7459954007790542
2020-03-29,38.7,68.7,15.2,30.6,5.349856796914037,,,,,0.9958,10000.0,5800.0,185.0,51.70993712576591,0.7459955733811181
2020-03-30,40.7,78.9,8.4,30.4,3.2222279995441228,,,,,0.6625,5700.0,2900.0,185.0,51.709937250322554,0.7459955631020169
2020-03-31,41.1,76.3,10.2,30.4,1.4893545337236176,,,,,1.1667,5500.0,2700.0,185.0,51.70993714375253,0.7459955978969842
2020-04-01,40.1,72.2,4.4,30.1,2.5919190767721174,,,,,0.9458,4400.0,2200.0,185.0,51.7099371145776,0.745995627133275
2020-04-02,47.6,68.4,8.4,29.9,1.6363001418934031,,,,,1.028,4700.0,2300.0,185.0,51.709937002584475,0.745995487423421
2020-04-03,47.5,64.8,5.7,30.0,1.7954954332506985,,,,,1.484,5400.0,2600.0,185.0,51.709936965456556,0.7459955207346421
2020-04-04,46.0,80.9,7.0,30.1,1.0000005644134553,,,,,1.932,5500.0,2700.0,185.0,51.70993700669071,0.7459954657063151
2020-04-05,55.0,60.2,9.7,29.9,3.8177034330751187,,,,,2.116,5300.0,2500.0,185.0,51.7099370218517,0.7459955276398929
2020-04-06,55.9,60.8,9.5,30.0,11.672477789584914,,,,,1.5923,3300.0,1900.0,185.0,51.70993708629885,0.7459955813224182
2020-04-07,50.4,73.9,6.2,30.3,8.577744650803059,,,,,1.8038,4200.0,2500.0,185.0,51.70993700470058,0.7459956862487943
2020-04-08,52.7,77.9,5.1,30.2,12.253094260634596,,,,,1.6423,4300.0,2200.0,185.0,51.709937059851825,0.7459957188381844
2020-04-09,51.6,79.3,6.2,30.2,12.861124613483256,,,,,1.9577,4500.0,2800.0,185.0,51.70993700774354,0.7459956621919145
2020-04-10,50.8,85.6,6.3,30.2,10.959989009961124,,,,,2.1192,3600.0,1800.0,185.0,51.7099371519134,0.745995418566795
2020-04-11,50.8,81.5,2.7,30.2,18.432583132424764,,,,,1.8577,3700.0,2500.0,185.0,51.709937059952665,0.7459955477433862
2020-04-12,62.5,57.4,7.4,29.9,63.49946969523997,,,,,1.8115,3300.0,1700.0,185.0,51.709937018006755,0.7459955235166564
2020-04-13,45.4,65.0,17.1,30.2,227.18486568648152,,,,,1.6654,3000.0,1800.0,185.0,51.70993706548457,0.7459955701224346
2020-04-14,43.0,64.8,7.1,30.3,113.14293456152878,,,,,2.2654,1900.0,1000.0,185.0,51.709937074048916,0.7459956487225473
2020-04-15,44.4,74.4,5.2,30.1,3.9362644437175662,,,,,2.2077,2700.0,1300.0,185.0,51.7099372349588,0.7459954661092749
2020-04-16,49.6,79.7,6.4,30.0,2.2645811535667963,,,,,1.5115,2800.0,1600.0,185.0,51.709937155125246,0.7459956216462188
2020-04-17,48.4,81.1,14.5,30.0,7.520413066874862,,,,,0.6692,3100.0,1700.0,185.0,51.70993705010064,0.7459955414696796
2020-04-18,46.3,87.2,9.1,29.3,1.824426150949873,,,,,1.0038,3200.0,1900.0,185.0,51.70993703408288,0.7459954811107236
2020-04-19,49.7,74.0,10.3,30.1,2.777273974579913,,,,,2.2038,2300.0,1100.0,185.0,51.70993711446173,0.7459957941123204
