Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,40.8,73.2,16.3,28.6,,,,,,0.8,257300.0,145600.0,355.0,51.96739499612718,-0.2000719932602367
2020-03-02,39.4,81.7,9.2,28.7,,,,,,0.6524,228200.0,122500.0,355.0,51.96739502750111,-0.20007215860578534
2020-03-03,38.8,83.3,10.8,29.0,,,,,,0.5238,181900.0,93000.0,355.0,51.96739491610894,-0.20007216910187917
2020-03-04,38.5,89.1,6.3,29.2,,,,,,0.4905,167900.0,83200.0,355.0,51.96739503408655,-0.2000719841556432
2020-03-05,38.7,97.1,14.0,28.8,,,,,,0.1952,205000.0,98400.0,355.0,51.967394963568736,-0.20007187901506301
2020-03-06,39.1,77.4,8.3,29.1,,,,,,0.7714,235300.0,102700.0,355.0,51.967394981961974,-0.20007210294505556
2020-03-07,44.0,85.0,12.0,29.4,,,,,,0.6,225100.0,125100.0,355.0,51.96739509090154,-0.2000721210733048
2020-03-08,47.0,80.7,18.1,29.1,,,,,,0.5619,246600.0,150100.0,355.0,51.96739492657251,-0.20007213075876765
2020-03-09,43.1,84.7,15.4,29.2,,,,,,0.5905,217000.0,126300.0,355.0,51.96739503855004,-0.20007195023221042
2020-03-10,52.0,89.1,25.3,29.1,,,,,,0.8714,187900.0,98500.0,355.0,51.96739495358866,-0.20007226974372233
2020-03-11,49.0,79.3,17.0,29.2,,,,,,,175700.0,88600.0,355.0,51.96739501182802,-0.20007212422194282
2020-03-12,42.4,72.4,23.9,29.2,,,,,,0.9824,184200.0,96700.0,355.0,51.967395113728415,-0.20007200512793114
2020-03-13,43.5,76.3,13.0,29.4,1.0000000148529775,,,,,0.9273,195200.0,104200.0,355.0,51.96739492934501,-0.20007216111442502
2020-03-14,46.0,87.2,10.8,29.3,89.75485978917374,,,,,0.8773,192200.0,125800.0,355.0,51.96739483043538,-0.20007218209388003
2020-03-15,46.2,89.1,13.3,29.2,38.854795946182215,,,,,0.2826,201000.0,141400.0,355.0,51.967394854046674,-0.20007207441235517
2020-03-16,42.7,77.8,9.2,29.6,1.000000044558934,,,,,1.2087,159400.0,112700.0,355.0,51.96739499543729,-0.2000720760523378
2020-03-17,46.4,84.2,12.4,29.7,14.140479262562842,,,,,0.9,109500.0,77300.0,355.0,51.96739501945705,-0.20007215624490196
2020-03-18,50.0,89.4,11.5,29.6,8.605192405800786,,,,,0.5522,87000.0,62100.0,355.0,51.96739502582959,-0.200072160428364
2020-03-19,41.6,96.2,9.3,29.7,9.188748133507248,,,,,0.2818,80900.0,58500.0,355.0,51.96739494748309,-0.2000721017114276
2020-03-20,41.5,83.5,14.5,29.8,3.8131782563846564,,,,,1.0955,64200.0,46900.0,355.0,51.967395046838874,-0.20007196748881736
2020-03-21,40.3,70.0,12.9,29.7,1.0000001188238323,,,,,1.2652,51500.0,37000.0,355.0,51.96739496778396,-0.20007217512393227
2020-03-22,39.9,73.2,10.2,29.7,4.138409133876531,,,,,1.1,36400.0,23600.0,355.0,51.96739500847367,-0.20007215530924496
2020-03-23,41.6,66.1,11.1,29.7,3.3223035501346936,,,,,1.4542,28000.0,17600.0,355.0,51.96739489591593,-0.20007214108175606
2020-03-24,44.7,59.1,8.8,29.7,4.791214206999761,,,,,1.5667,22600.0,14200.0,355.0,51.96739503811146,-0.20007202402514287
2020-03-25,43.3,52.3,6.8,29.7,3.366362613714627,,,,,1.6913,14800.0,8900.0,355.0,51.96739506623287,-0.20007204988107516
2020-03-26,41.2,63.3,9.8,29.6,2.995906826352176,,,,,1.575,14600.0,8600.0,355.0,51.9673949718552,-0.2000721333054621
2020-03-27,41.7,76.2,13.0,29.7,1.5019068859400757,,,,,1.45,13100.0,7800.0,355.0,51.967395069243615,-0.20007217728699894
2020-03-28,40.9,80.0,18.3,29.8,4.3464138173960984,,,,,1.0542,11400.0,7000.0,355.0,51.96739502277535,-0.20007205480396975
2020-03-29,37.9,68.2,19.8,30.1,4.379958139349799,,,,,0.9958,10000.0,5800.0,355.0,51.96739511505661,-0.2000720675493934
2020-03-30,39.9,80.8,12.5,30.0,3.6744244494424914,,,,,0.6625,5700.0,2900.0,355.0,51.96739484411521,-0.2000719692790499
2020-03-31,40.9,75.8,10.3,29.9,3.1402818360646223,,,,,1.1667,5500.0,2700.0,355.0,51.96739500818917,-0.20007188456562228
2020-04-01,39.5,72.6,6.5,29.6,1.5398010656531609,,,,,0.9458,4400.0,2200.0,355.0,51.96739500220968,-0.2000720819824194
2020-04-02,46.8,71.3,11.0,29.4,4.913224189632119,,,,,1.028,4700.0,2300.0,355.0,51.96739511357195,-0.20007204206017018
2020-04-03,46.7,67.1,6.3,29.5,2.761065852708488,,,,,1.484,5400.0,2600.0,355.0,51.967394974754406,-0.2000720246912043
