Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,43.3,66.0,17.9,29.0,,,,,,0.8,257300.0,145600.0,107.0,52.84914940797683,1.2315552032813997
2020-03-02,40.6,79.0,6.6,29.1,,,,,,0.6524,228200.0,122500.0,107.0,52.84914957222555,1.2315553186526769
2020-03-03,40.2,82.6,10.0,29.4,,,,,,0.5238,181900.0,93000.0,107.0,52.84914940010231,1.2315554231722925
2020-03-04,40.6,79.7,6.0,29.6,,,,,,0.4905,167900.0,83200.0,107.0,52.849149346831865,1.2315553071445062
2020-03-05,42.9,85.9,12.6,29.3,,,,,,0.1952,205000.0,98400.0,107.0,52.84914948451462,1.2315553696931356
2020-03-06,40.8,80.0,6.5,29.5,,,,,,0.7714,235300.0,102700.0,107.0,52.84914946573155,1.231555129341123
2020-03-07,43.0,83.6,11.5,29.8,,,,,,0.6,225100.0,125100.0,107.0,52.849149227078335,1.231555224620365
2020-03-08,49.7,75.9,16.7,29.5,,,,,,0.5619,246600.0,150100.0,107.0,52.84914942803426,1.2315552109727703
2020-03-09,44.8,80.1,14.4,29.6,,,,,,0.5905,217000.0,126300.0,107.0,52.84914940150667,1.2315552327277572
2020-03-10,55.0,81.1,18.5,29.4,,,,,,0.8714,187900.0,98500.0,107.0,52.84914935479217,1.2315554093212293
2020-03-11,50.9,75.1,14.8,29.6,,,,,,,175700.0,88600.0,107.0,52.84914927877371,1.2315552726115997
2020-03-12,45.7,61.5,22.7,29.6,,,,,,0.9824,184200.0,96700.0,107.0,52.84914954978027,1.2315552827782394
2020-03-13,43.4,77.8,12.4,29.8,1.0000000297059557,,,,,0.9273,195200.0,104200.0,107.0,52.84914934750813,1.2315552472670313
2020-03-14,46.0,87.6,11.5,29.8,1.0000000297059557,,,,,0.8773,192200.0,125800.0,107.0,52.849149356137794,1.2315552775314544
2020-03-15,49.5,80.9,15.6,29.6,38.854795946182215,,,,,0.2826,201000.0,141400.0,107.0,52.849149355155994,1.2315553571563298
2020-03-16,43.5,80.9,6.1,30.0,1.000000044558934,,,,,1.2087,159400.0,112700.0,107.0,52.849149389213586,1.2315553355331756
2020-03-17,50.0,73.5,14.2,30.1,14.140479262562842,,,,,0.9,109500.0,77300.0,107.0,52.84914963803064,1.231555343346933
2020-03-18,49.4,87.5,10.9,30.1,1.0000000594119127,,,,,0.5522,87000.0,62100.0,107.0,52.84914938103742,1.231555402252005
