Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.5,66.4,17.0,28.7,,,,,,0.8,257300.0,145600.0,1701.0,53.54421808816326,-2.103655648928909
2020-03-02,37.7,79.6,8.2,28.9,1.0000000148529775,,,,,0.6524,228200.0,122500.0,1701.0,53.54421816170835,-2.1036556822341117
2020-03-03,39.2,86.3,9.2,29.2,1.0000000148529775,,,,,0.5238,181900.0,93000.0,1701.0,53.544217977478404,-2.1036554286609888
2020-03-04,39.5,82.4,2.9,29.4,57.78219303875622,,,,,0.4905,167900.0,83200.0,1701.0,53.54421793688897,-2.1036557161091234
2020-03-05,37.9,77.0,6.9,29.2,1.0000000297059557,,,,,0.1952,205000.0,98400.0,1701.0,53.54421811072928,-2.1036555623034503
2020-03-06,37.0,79.9,3.5,29.4,27.280958465713766,,,,,0.7714,235300.0,102700.0,1701.0,53.544217950194785,-2.103655612346436
2020-03-07,46.4,82.3,9.8,29.5,1.0000000594119127,,,,,0.6,225100.0,125100.0,1701.0,53.54421798712394,-2.1036554158045404
2020-03-08,46.4,83.0,12.3,29.3,1.0000000594119127,,,,,0.5619,246600.0,150100.0,1701.0,53.54421796154997,-2.103655474789523
2020-03-09,44.6,85.4,13.6,29.4,8.501808233098334,,,,,0.5905,217000.0,126300.0,1701.0,53.54421804417779,-2.103655478865752
2020-03-10,51.6,85.0,13.2,29.3,1.0000000891178715,,,,,0.8714,187900.0,98500.0,1701.0,53.54421791311916,-2.1036552939272455
2020-03-11,46.3,79.1,12.7,29.3,3.2417207079012598,,,,,,175700.0,88600.0,1701.0,53.54421783672123,-2.1036556141309823
2020-03-12,42.0,68.8,19.1,29.4,4.096404491569563,,,,,0.9824,184200.0,96700.0,1701.0,53.54421795621903,-2.1036556756771545
2020-03-13,44.1,77.2,9.2,29.7,2.2890127590397262,,,,,0.9273,195200.0,104200.0,1701.0,53.544217987685286,-2.103655491304551
2020-03-14,47.2,83.3,8.1,29.5,1.0000001485297951,,,,,0.8773,192200.0,125800.0,1701.0,53.54421797921487,-2.1036555381718696
2020-03-15,46.6,80.9,10.5,29.4,4.564118295318245,,,,,0.2826,201000.0,141400.0,1701.0,53.54421806585476,-2.1036555218794657
2020-03-16,45.3,70.8,8.7,29.8,1.8699713469114088,,,,,1.2087,159400.0,112700.0,1701.0,53.54421790924355,-2.1036555479565173
2020-03-17,51.8,79.1,12.4,29.9,2.6732064862121705,,,,,0.9,109500.0,77300.0,1701.0,53.54421800338866,-2.1036553247834338
2020-03-18,45.3,86.7,7.6,29.9,4.670155053938786,,,,,0.5522,87000.0,62100.0,1701.0,53.54421784682793,-2.103655451254153
2020-03-19,43.3,72.0,2.6,30.1,3.2923626973650064,,,,,0.2818,80900.0,58500.0,1701.0,53.544217989930694,-2.103655725542174
2020-03-20,42.2,67.8,10.1,30.2,7.726596010411233,,,,,1.0955,64200.0,46900.0,1701.0,53.5442180258427,-2.103655357764168
2020-03-21,42.0,60.7,9.2,30.1,4.778601333343348,,,,,1.2652,51500.0,37000.0,1701.0,53.544218139742135,-2.1036556348466964
2020-03-22,41.3,66.4,5.8,30.1,6.274343835503129,,,,,1.1,36400.0,23600.0,1701.0,53.54421809283376,-2.1036555110340465
2020-03-23,44.3,56.5,5.0,30.0,12.659464001939465,,,,,1.4542,28000.0,17600.0,1701.0,53.5442180442021,-2.1036555099799212
2020-03-24,49.8,62.4,6.2,29.9,16.909903640519715,,,,,1.5667,22600.0,14200.0,1701.0,53.54421797641989,-2.1036555044896694
