Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,42.9,76.7,28.7,0.0,,,,,,0.8,257300.0,145600.0,1039.0,53.777481007712296,-2.7012295159189734
2020-03-02,42.2,75.8,18.5,0.0,,,,,,0.6524,228200.0,122500.0,1039.0,53.77748089485973,-2.701229529413667
2020-03-03,42.9,83.9,15.4,0.0,,,,,,0.5238,181900.0,93000.0,1039.0,53.77748085732422,-2.7012295183173904
2020-03-04,40.8,85.2,6.2,0.0,,,,,,0.4905,167900.0,83200.0,1039.0,53.77748105768564,-2.7012295380609395
2020-03-05,39.7,81.4,5.8,0.0,,,,,,0.1952,205000.0,98400.0,1039.0,53.77748085468243,-2.701229474773337
2020-03-06,39.3,84.5,6.3,0.0,,,,,,0.7714,235300.0,102700.0,1039.0,53.777481007657464,-2.7012296210146594
2020-03-07,46.7,86.9,16.8,0.0,,,,,,0.6,225100.0,125100.0,1039.0,53.77748102689877,-2.701229666131753
2020-03-08,46.5,86.2,19.6,0.0,,,,,,0.5619,246600.0,150100.0,1039.0,53.777480877543375,-2.701229681139452
2020-03-09,45.1,87.8,21.1,0.0,,,,,,0.5905,217000.0,126300.0,1039.0,53.77748085617116,-2.70122954702104
2020-03-10,48.5,91.8,21.0,0.0,,,,,,0.8714,187900.0,98500.0,1039.0,53.77748101292789,-2.701229535406676
2020-03-11,46.5,85.0,19.1,0.0,,,,,,,175700.0,88600.0,1039.0,53.777481025040586,-2.7012295997420104
2020-03-12,43.4,75.0,30.3,0.0,1.0000000148529775,,,,,0.9824,184200.0,96700.0,1039.0,53.77748079190052,-2.701229541522892
2020-03-13,44.7,78.0,13.8,0.0,1.0000000148529775,,,,,0.9273,195200.0,104200.0,1039.0,53.77748101353153,-2.7012296989354985
2020-03-14,46.8,86.0,15.0,0.0,1.0000000148529775,,,,,0.8773,192200.0,125800.0,1039.0,53.777480887686735,-2.701229333065427
2020-03-15,46.6,85.4,16.8,0.0,1.0000000148529775,,,,,0.2826,201000.0,141400.0,1039.0,53.777480722507356,-2.701229469341293
2020-03-16,45.5,80.2,14.5,0.0,36.041277399160734,,,,,1.2087,159400.0,112700.0,1039.0,53.77748075589606,-2.7012295345711648
2020-03-17,48.8,93.1,18.8,0.0,1.000000044558934,,,,,0.9,109500.0,77300.0,1039.0,53.777480938809795,-2.701229520431363
2020-03-18,44.9,85.8,11.8,0.0,8.165154265984611,,,,,0.5522,87000.0,62100.0,1039.0,53.7774809212138,-2.7012295124026138
2020-03-19,43.3,79.2,7.0,0.0,1.0000000594119127,,,,,0.2818,80900.0,58500.0,1039.0,53.777480871885416,-2.7012295759301868
2020-03-20,42.6,66.9,11.2,0.0,4.682266323971514,,,,,1.0955,64200.0,46900.0,1039.0,53.7774808988827,-2.7012295096689094
2020-03-21,41.5,68.7,14.2,0.0,6.884516791543751,,,,,1.2652,51500.0,37000.0,1039.0,53.777480978127585,-2.7012295955447407
2020-03-22,42.1,67.6,9.0,0.0,3.7867641120250193,,,,,1.1,36400.0,23600.0,1039.0,53.7774808106309,-2.701229653703349
2020-03-23,42.5,67.8,12.5,0.0,2.1718298267060563,,,,,1.4542,28000.0,17600.0,1039.0,53.77748091197328,-2.7012296255293102
2020-03-24,47.1,70.9,11.8,0.0,2.0352835468807307,,,,,1.5667,22600.0,14200.0,1039.0,53.777480889874305,-2.7012294740295886
2020-03-25,50.9,72.4,6.8,0.0,2.7820592516299865,,,,,1.6913,14800.0,8900.0,1039.0,53.777480986491305,-2.7012296078192324
2020-03-26,47.5,61.0,6.7,0.0,3.899904143625976,,,,,1.575,14600.0,8600.0,1039.0,53.777480963373115,-2.7012296642864744
2020-03-27,44.5,61.8,9.9,0.0,4.982231680741972,,,,,1.45,13100.0,7800.0,1039.0,53.777480956917735,-2.7012295210562183
2020-03-28,45.0,63.3,12.4,0.0,4.532524924884911,,,,,1.0542,11400.0,7000.0,1039.0,53.77748082969986,-2.701229605175726
2020-03-29,40.7,56.8,13.3,0.0,5.5483397207772045,,,,,0.9958,10000.0,5800.0,1039.0,53.77748100193647,-2.701229512566773
2020-03-30,45.2,67.9,8.6,0.0,6.885773721851808,,,,,0.6625,5700.0,2900.0,1039.0,53.777480871124865,-2.7012293875423445
2020-03-31,45.0,74.2,7.3,0.0,5.580124857189076,,,,,1.1667,5500.0,2700.0,1039.0,53.777480910913766,-2.7012295773789217
2020-04-01,45.8,79.4,11.3,0.0,5.852398904164487,,,,,0.9458,4400.0,2200.0,1039.0,53.77748081631388,-2.7012295553394963
2020-04-02,46.9,82.7,16.9,0.0,10.908414444804805,,,,,1.028,4700.0,2300.0,1039.0,53.77748111717132,-2.7012296188998057
2020-04-03,46.3,78.3,12.0,0.0,6.844457718305037,,,,,1.484,5400.0,2600.0,1039.0,53.7774809546457,-2.701229698885749
2020-04-04,49.1,75.8,10.8,0.0,10.341127777832419,,,,,1.932,5500.0,2700.0,1039.0,53.777480817870604,-2.701229481686578
2020-04-05,56.2,55.1,19.7,0.0,14.687987664167414,,,,,2.116,5300.0,2500.0,1039.0,53.777480901519,-2.7012296141382617
2020-04-06,51.3,78.9,14.5,0.0,14.45591151929545,,,,,1.5923,3300.0,1900.0,1039.0,53.77748085627417,-2.7012296024182523
2020-04-07,49.0,70.3,8.1,0.0,43.465114529690645,,,,,1.8038,4200.0,2500.0,1039.0,53.77748100015069,-2.701229520615013
2020-04-08,51.5,66.1,5.4,0.0,90.37279172698648,,,,,1.6423,4300.0,2200.0,1039.0,53.77748093731543,-2.701229412623139
2020-04-09,53.4,73.0,11.0,0.0,174.16757507178625,,,,,1.9577,4500.0,2800.0,1039.0,53.777480806904165,-2.7012295067490886
2020-04-10,56.9,71.7,10.3,0.0,269.0960262883546,,,,,2.1192,3600.0,1800.0,1039.0,53.777480762040035,-2.7012293939203724
2020-04-11,52.7,84.0,5.9,0.0,318.52886092124095,,,,,1.8577,3700.0,2500.0,1039.0,53.77748088483772,-2.701229568648259
2020-04-12,51.9,79.3,8.3,0.0,5.481286866470096,,,,,1.8115,3300.0,1700.0,1039.0,53.77748086118141,-2.701229658201182
