Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.5,66.4,17.0,28.7,,,,,,0.8,257300.0,145600.0,513.0,53.695502853455125,-2.2615642813278867
2020-03-02,37.7,79.6,8.2,28.9,,,,,,0.6524,228200.0,122500.0,513.0,53.695502815222326,-2.261564217159651
2020-03-03,39.2,86.3,9.2,29.2,,,,,,0.5238,181900.0,93000.0,513.0,53.69550270393035,-2.261564232125141
2020-03-04,39.5,82.4,2.9,29.4,,,,,,0.4905,167900.0,83200.0,513.0,53.69550288292406,-2.2615641522019225
2020-03-05,37.9,77.0,6.9,29.2,,,,,,0.1952,205000.0,98400.0,513.0,53.69550290405614,-2.261564488688215
2020-03-06,37.0,79.9,3.5,29.4,,,,,,0.7714,235300.0,102700.0,513.0,53.69550285747721,-2.261564432024459
2020-03-07,46.4,82.3,9.8,29.5,,,,,,0.6,225100.0,125100.0,513.0,53.6955029056402,-2.2615641696968165
2020-03-08,46.4,83.0,12.3,29.3,,,,,,0.5619,246600.0,150100.0,513.0,53.69550267281217,-2.2615643363361073
2020-03-09,44.6,85.4,13.6,29.4,,,,,,0.5905,217000.0,126300.0,513.0,53.69550300520486,-2.2615642398358995
2020-03-10,51.6,85.0,13.2,29.3,,,,,,0.8714,187900.0,98500.0,513.0,53.69550295946552,-2.2615641736511054
2020-03-11,46.3,79.1,12.7,29.3,,,,,,,175700.0,88600.0,513.0,53.695502922727925,-2.261564369525643
2020-03-12,42.0,68.8,19.1,29.4,,,,,,0.9824,184200.0,96700.0,513.0,53.69550285237538,-2.261564217521718
2020-03-13,44.1,77.2,9.2,29.7,,,,,,0.9273,195200.0,104200.0,513.0,53.69550294681179,-2.2615642407392103
2020-03-14,47.2,83.3,8.1,29.5,,,,,,0.8773,192200.0,125800.0,513.0,53.69550284276067,-2.2615642689292024
2020-03-15,46.6,80.9,10.5,29.4,,,,,,0.2826,201000.0,141400.0,513.0,53.69550289550486,-2.2615641916332647
2020-03-16,45.3,70.8,8.7,29.8,,,,,,1.2087,159400.0,112700.0,513.0,53.69550283967706,-2.261564187809614
2020-03-17,51.8,79.1,12.4,29.9,,,,,,0.9,109500.0,77300.0,513.0,53.69550291424327,-2.2615641974003693
2020-03-18,45.3,86.7,7.6,29.9,,,,,,0.5522,87000.0,62100.0,513.0,53.695502955324244,-2.2615643326969783
2020-03-19,43.3,72.0,2.6,30.1,,,,,,0.2818,80900.0,58500.0,513.0,53.69550275189901,-2.2615642951399004
2020-03-20,42.2,67.8,10.1,30.2,1.0000000148529775,,,,,1.0955,64200.0,46900.0,513.0,53.69550272366917,-2.2615642413256665
2020-03-21,42.0,60.7,9.2,30.1,1.0000000148529775,,,,,1.2652,51500.0,37000.0,513.0,53.69550285342843,-2.2615641068650723
2020-03-22,41.3,66.4,5.8,30.1,86.17329210314129,,,,,1.1,36400.0,23600.0,513.0,53.69550286409707,-2.2615642905030575
2020-03-23,44.3,56.5,5.0,30.0,1.0000000594119127,,,,,1.4542,28000.0,17600.0,513.0,53.69550273739144,-2.2615641639061477
2020-03-24,49.8,62.4,6.2,29.9,18.520639547119785,,,,,1.5667,22600.0,14200.0,513.0,53.69550282912431,-2.2615642580094675
2020-03-25,51.1,51.3,3.7,29.9,6.432280502153293,,,,,1.6913,14800.0,8900.0,513.0,53.69550289848466,-2.2615642956069
2020-03-26,46.4,50.4,4.0,30.0,1.0000001039708517,,,,,1.575,14600.0,8600.0,513.0,53.695502828677206,-2.2615642498516286
