Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.5,66.4,17.0,28.7,,,,,,0.8,257300.0,145600.0,2777.0,53.49632192941328,-2.3487642956588015
2020-03-02,37.7,79.6,8.2,28.9,,,,,,0.6524,228200.0,122500.0,2777.0,53.49632199774417,-2.348764512508529
2020-03-03,39.2,86.3,9.2,29.2,,,,,,0.5238,181900.0,93000.0,2777.0,53.49632191927859,-2.348764478152379
2020-03-04,39.5,82.4,2.9,29.4,,,,,,0.4905,167900.0,83200.0,2777.0,53.496322008290925,-2.3487645409861364
2020-03-05,37.9,77.0,6.9,29.2,,,,,,0.1952,205000.0,98400.0,2777.0,53.49632196613483,-2.3487643930616926
2020-03-06,37.0,79.9,3.5,29.4,,,,,,0.7714,235300.0,102700.0,2777.0,53.496321843256304,-2.3487644477286462
2020-03-07,46.4,82.3,9.8,29.5,,,,,,0.6,225100.0,125100.0,2777.0,53.496322014337544,-2.3487644502812457
2020-03-08,46.4,83.0,12.3,29.3,,,,,,0.5619,246600.0,150100.0,2777.0,53.49632200002605,-2.348764489613726
2020-03-09,44.6,85.4,13.6,29.4,,,,,,0.5905,217000.0,126300.0,2777.0,53.496321977031954,-2.348764649177963
2020-03-10,51.6,85.0,13.2,29.3,1.0000000148529775,,,,,0.8714,187900.0,98500.0,2777.0,53.49632212114378,-2.348764489901468
2020-03-11,46.3,79.1,12.7,29.3,89.75485978917374,,,,,,175700.0,88600.0,2777.0,53.49632205829223,-2.348764431591138
2020-03-12,42.0,68.8,19.1,29.4,57.78219475523152,,,,,0.9824,184200.0,96700.0,2777.0,53.4963219491205,-2.3487644529346077
2020-03-13,44.1,77.2,9.2,29.7,1.0000000594119127,,,,,0.9273,195200.0,104200.0,2777.0,53.49632206136693,-2.3487644276505115
2020-03-14,47.2,83.3,8.1,29.5,1.0000000594119127,,,,,0.8773,192200.0,125800.0,2777.0,53.49632197672086,-2.348764406320602
2020-03-15,46.6,80.9,10.5,29.4,22.12553564305168,,,,,0.2826,201000.0,141400.0,2777.0,53.496321969131564,-2.348764628676313
2020-03-16,45.3,70.8,8.7,29.8,6.211021946320907,,,,,1.2087,159400.0,112700.0,2777.0,53.496322094353445,-2.3487645313589214
