Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,43.6,69.8,18.5,28.9,,,,,,0.8,257300.0,145600.0,101.0,52.69181486836018,-2.721124096480755
2020-03-02,40.4,80.3,9.7,29.1,,,,,,0.6524,228200.0,122500.0,101.0,52.69181495985331,-2.7211240242756114
2020-03-03,42.0,84.9,13.2,29.4,,,,,,0.5238,181900.0,93000.0,101.0,52.691814964204525,-2.7211240034310857
2020-03-04,41.2,85.3,5.2,29.6,,,,,,0.4905,167900.0,83200.0,101.0,52.69181489064366,-2.7211242628896875
2020-03-05,40.4,82.1,8.2,29.4,,,,,,0.1952,205000.0,98400.0,101.0,52.6918149336542,-2.7211243147063784
2020-03-06,40.3,85.0,5.7,29.6,,,,,,0.7714,235300.0,102700.0,101.0,52.69181500740284,-2.7211242585111926
2020-03-07,48.6,83.4,13.7,29.7,145.5334772368854,,,,,0.6,225100.0,125100.0,101.0,52.691815009478525,-2.721124302236245
2020-03-08,48.4,80.9,14.0,29.4,60.169907429720105,,,,,0.5619,246600.0,150100.0,101.0,52.69181494984908,-2.7211241985709753
2020-03-09,47.1,83.8,18.2,29.6,29.391097407321723,,,,,0.5905,217000.0,126300.0,101.0,52.6918148091631,-2.721124164485521
2020-03-10,53.1,81.7,16.9,29.4,16.138697894650587,,,,,0.8714,187900.0,98500.0,101.0,52.69181511264175,-2.72112411763961
2020-03-11,48.5,77.2,16.8,29.5,20.71072009460179,,,,,,175700.0,88600.0,101.0,52.69181502004697,-2.7211242432598
2020-03-12,44.5,69.9,23.9,29.5,1.0000001188238323,,,,,0.9824,184200.0,96700.0,101.0,52.69181514591687,-2.7211240709775226
2020-03-13,46.0,82.1,13.8,29.9,1.0000001188238323,,,,,0.9273,195200.0,104200.0,101.0,52.69181481576677,-2.7211240862051245
2020-03-14,48.4,85.7,12.8,29.7,1.0000001188238323,,,,,0.8773,192200.0,125800.0,101.0,52.69181488603567,-2.7211240147916596
2020-03-15,47.9,80.7,15.1,29.6,1.0000001188238323,,,,,0.2826,201000.0,141400.0,101.0,52.69181486295627,-2.7211241786388234
2020-03-16,47.0,72.5,11.6,30.0,1.0000001188238323,,,,,1.2087,159400.0,112700.0,101.0,52.69181494754244,-2.7211242516365246
2020-03-17,53.7,80.0,15.5,30.0,5.6446069220336295,,,,,0.9,109500.0,77300.0,101.0,52.691814751458345,-2.7211241464727896
2020-03-18,46.3,86.4,9.8,30.1,2.8414469037883627,,,,,0.5522,87000.0,62100.0,101.0,52.691815056972544,-2.7211241277322538
2020-03-19,45.2,75.1,7.0,30.3,4.269316523104391,,,,,0.2818,80900.0,58500.0,101.0,52.69181494570838,-2.721124198853747
2020-03-20,44.3,69.8,14.3,30.4,2.18803979789295,,,,,1.0955,64200.0,46900.0,101.0,52.69181481970406,-2.721124102894222
2020-03-21,42.7,68.0,14.4,30.3,3.0879313793246363,,,,,1.2652,51500.0,37000.0,101.0,52.6918149248727,-2.7211241876641212
2020-03-22,43.2,71.0,10.9,30.3,2.9616908474899604,,,,,1.1,36400.0,23600.0,101.0,52.691814922804035,-2.7211240912885297
2020-03-23,44.7,69.2,9.2,30.2,4.824689031132925,,,,,1.4542,28000.0,17600.0,101.0,52.691814890063604,-2.721124094908731
2020-03-24,51.4,70.7,11.6,30.1,2.819336262606142,,,,,1.5667,22600.0,14200.0,101.0,52.691814848375785,-2.7211240674010013
2020-03-25,52.1,65.5,5.4,30.1,6.885773721851808,,,,,1.6913,14800.0,8900.0,101.0,52.69181492435625,-2.7211241037268556
2020-03-26,49.7,53.4,5.6,30.2,5.580124857189076,,,,,1.575,14600.0,8600.0,101.0,52.691814882974235,-2.7211242856477322
2020-03-27,47.8,56.0,9.9,30.3,7.654133559488536,,,,,1.45,13100.0,7800.0,101.0,52.69181482654157,-2.721124207694566
2020-03-28,45.4,66.7,14.4,30.4,8.963080757329074,,,,,1.0542,11400.0,7000.0,101.0,52.69181497000747,-2.721124040101431
2020-03-29,41.5,59.6,12.8,30.7,7.545792693985671,,,,,0.9958,10000.0,5800.0,101.0,52.69181503906156,-2.7211241160816484
2020-03-30,45.1,67.7,8.2,30.6,12.251813410981025,,,,,0.6625,5700.0,2900.0,101.0,52.69181496009808,-2.721124112116099
2020-03-31,44.9,74.3,7.7,30.4,21.61544686820957,,,,,1.1667,5500.0,2700.0,101.0,52.69181495747916,-2.72112428073294
2020-04-01,46.4,78.4,11.1,30.1,22.83527791033276,,,,,0.9458,4400.0,2200.0,101.0,52.691814925262285,-2.7211241491152647
2020-04-02,48.8,81.5,16.2,29.9,69.92849563786649,,,,,1.028,4700.0,2300.0,101.0,52.69181485799468,-2.721124145140048
2020-04-03,48.8,71.7,9.7,29.9,50.11829681818535,,,,,1.484,5400.0,2600.0,101.0,52.6918149447809,-2.721124053503592
2020-04-04,50.6,74.2,9.8,29.9,77.4301984018889,,,,,1.932,5500.0,2700.0,101.0,52.6918148957049,-2.721124167531684
2020-04-05,56.4,59.9,14.6,29.7,181.30195725050552,,,,,2.116,5300.0,2500.0,101.0,52.69181497172275,-2.7211241695838764
2020-04-06,53.7,69.1,12.4,29.9,309.8532320678264,,,,,1.5923,3300.0,1900.0,101.0,52.6918150094144,-2.721124043724167
2020-04-07,51.6,68.6,7.7,30.3,10.858808320957134,,,,,1.8038,4200.0,2500.0,101.0,52.691814920710776,-2.7211241731403364
2020-04-08,55.9,67.4,4.7,30.2,3.865174899720453,,,,,1.6423,4300.0,2200.0,101.0,52.69181483640716,-2.721124215567865
2020-04-09,55.9,76.2,6.9,30.2,1.9783759086311965,,,,,1.9577,4500.0,2800.0,101.0,52.69181496889826,-2.7211238889712086
2020-04-10,58.3,75.8,7.9,30.1,1.8291479887205648,,,,,2.1192,3600.0,1800.0,101.0,52.69181495854303,-2.7211240043206115
2020-04-11,57.5,82.7,5.9,30.1,4.743352455156158,,,,,1.8577,3700.0,2500.0,101.0,52.69181483822653,-2.7211241703613287
2020-04-12,54.5,85.0,8.7,29.9,4.95471503475636,,,,,1.8115,3300.0,1700.0,101.0,52.69181503142031,-2.721124128929726
2020-04-13,46.3,61.2,14.8,30.3,3.250628320660346,,,,,1.6654,3000.0,1800.0,101.0,52.691814814577775,-2.721124054154
2020-04-14,45.3,65.1,4.8,30.3,1.8899954178595009,,,,,2.2654,1900.0,1000.0,101.0,52.69181492362184,-2.721124187465046
2020-04-15,50.8,65.9,4.5,30.1,3.5189271281695524,,,,,2.2077,2700.0,1300.0,101.0,52.691814785940515,-2.7211240107431687
2020-04-16,55.0,61.5,8.2,29.9,4.075311637348303,,,,,1.5115,2800.0,1600.0,101.0,52.69181483806077,-2.721124127462297
2020-04-17,52.3,68.8,13.4,30.0,1.7447722245479542,,,,,0.6692,3100.0,1700.0,101.0,52.69181501242516,-2.721124049854266
2020-04-18,46.4,80.8,7.3,30.0,2.6086495171092765,,,,,1.0038,3200.0,1900.0,101.0,52.691814984425456,-2.7211241392026015
2020-04-19,51.7,62.7,10.7,30.1,1.7728330358885718,,,,,2.2038,2300.0,1100.0,101.0,52.69181491459982,-2.72112415809033
2020-04-20,50.9,60.9,16.0,30.1,2.805470470675502,,,,,2.1071,3100.0,1900.0,101.0,52.69181495820222,-2.721124043401242
2020-04-21,54.3,60.8,19.0,30.1,2.049503674406681,,,,,2.1536,3300.0,2300.0,101.0,52.691814836814025,-2.7211240880452983
2020-04-22,56.0,62.6,13.5,30.1,1.7267188954826933,,,,,2.1964,3900.0,2200.0,101.0,52.6918147755353,-2.7211241398687815
2020-04-23,55.7,66.5,6.6,30.1,1.6087456188505564,,,,,2.2536,2900.0,1800.0,101.0,52.69181483169667,-2.7211242071909454
2020-04-24,57.1,61.9,5.9,29.9,1.7463704824339414,,,,,2.2107,4500.0,2800.0,101.0,52.691814921630176,-2.721124185200758
2020-04-25,55.3,69.3,6.8,29.9,1.3152137775200747,,,,,2.2536,3500.0,2300.0,101.0,52.69181483204456,-2.721124149804482
2020-04-26,55.1,75.0,6.3,29.8,1.2915680992381031,,,,,2.2929,3900.0,2400.0,101.0,52.691814851456456,-2.721124055576886
2020-04-27,52.3,64.4,8.2,29.7,1.4716489559666577,,,,,1.2964,3300.0,2100.0,101.0,52.69181492082761,-2.721124197131592
2020-04-28,48.0,79.6,7.9,29.6,1.4251882640497144,,,,,0.3464,4300.0,2800.0,101.0,52.69181502571066,-2.721124043420728
2020-05-01,51.3,73.0,14.8,29.4,1.2481272668387529,,,,,1.5964,4900.0,2600.0,101.0,52.69181486513984,-2.7211240926899434
2020-05-02,51.1,74.9,11.0,29.7,1.0012402116600936,,,,,2.1143,3800.0,1900.0,101.0,52.691814859163046,-2.721124249336771
2020-05-03,51.7,74.9,4.1,29.9,1.1639563421177992,,,,,1.1393,4700.0,1800.0,101.0,52.69181490095044,-2.7211240793084266
2020-05-04,54.9,68.3,11.3,30.0,0.9854257010551788,,,,,2.2179,2700.0,900.0,101.0,52.6918149759451,-2.721124087512187
2020-05-05,51.8,61.3,14.3,30.1,1.0198237279047906,,,,,2.4464,3100.0,1800.0,101.0,52.69181498174817,-2.7211243110173995
2020-05-06,52.4,61.2,7.2,30.2,1.2678983513451862,,,,,2.5786,4400.0,1900.0,101.0,52.69181502313259,-2.7211240536345227
2020-05-07,57.8,63.5,6.1,30.1,1.0736377684718552,,,,,2.4759,4500.0,2100.0,101.0,52.69181498182681,-2.7211240317013363
2020-05-08,58.0,76.8,4.5,30.0,1.116807599205093,,,,,2.3207,4600.0,1600.0,101.0,52.69181501309091,-2.721124200471219
2020-05-09,60.9,71.2,4.8,29.8,1.113446264581654,,,,,2.4241,3700.0,1500.0,101.0,52.6918147669618,-2.721124187356616
2020-05-10,49.9,67.7,15.7,29.9,0.9811345713737398,,,,,1.3033,3900.0,1400.0,101.0,52.69181496661675,-2.721124218494288
2020-05-11,45.5,56.2,12.3,30.2,1.0772053074664458,,,,,1.7483,3500.0,1300.0,101.0,52.69181494010426,-2.7211241547319145
2020-05-12,49.3,69.3,13.7,30.1,1.1026494852205289,,,,,2.1033,3300.0,1300.0,101.0,52.69181498678179,-2.7211242294981988
2020-05-13,48.0,55.7,10.4,30.0,1.012372487288677,,,,,2.0828,4400.0,1900.0,101.0,52.69181487646949,-2.721124188463253
2020-05-14,47.6,61.8,7.7,30.2,1.0838051506839197,,,,,2.58,4400.0,1700.0,101.0,52.691814836448785,-2.721124179301319
2020-05-15,51.6,68.0,11.2,30.2,0.9940512501821884,,,,,2.32,5100.0,1800.0,101.0,52.691815086277124,-2.7211240975306104
2020-05-16,54.1,63.8,10.8,30.1,1.0354245335064267,,,,,1.89,3300.0,900.0,101.0,52.691815207051526,-2.7211240341064657
2020-05-17,56.6,67.4,7.7,30.1,1.0909104992940637,,,,,2.3967,4300.0,1500.0,101.0,52.691814961128635,-2.721124121728234
2020-05-18,58.4,71.2,10.1,30.1,1.1008696820785129,,,,,2.8833,4500.0,1200.0,101.0,52.69181492514032,-2.7211241717779777
2020-05-19,61.0,72.3,7.9,30.1,1.152494131060459,,,,,3.0467,3400.0,1300.0,101.0,52.691814888693195,-2.7211239806456002
2020-05-20,62.8,67.1,5.9,30.0,1.080231388600295,,,,,2.9533,6800.0,2400.0,101.0,52.69181492093204,-2.7211240135658628
2020-05-21,61.6,68.7,6.8,30.0,1.1022338391248692,,,,,2.7933,4400.0,1700.0,101.0,52.69181485625881,-2.72112399254407
2020-05-22,60.1,60.4,24.4,29.7,1.0056815025078116,,,,,2.4067,5000.0,1400.0,101.0,52.69181500262157,-2.721124153471951
2020-05-23,57.1,59.9,20.6,29.9,0.9869584831406879,,,,,2.2133,4500.0,1400.0,101.0,52.69181500973905,-2.7211240041590434
2020-05-24,58.8,68.7,17.4,30.3,1.0208614734071657,,,,,2.2067,5400.0,1500.0,101.0,52.69181486687979,-2.7211240961675127
2020-05-25,58.8,57.0,7.1,30.4,0.9982503069392606,,,,,2.9367,4100.0,1200.0,101.0,52.691815137504065,-2.721124116268384
2020-05-26,60.0,67.3,7.7,30.5,1.0387604180852104,,,,,2.94,4000.0,1500.0,101.0,52.69181486737491,-2.721124079759506
2020-05-27,61.9,64.1,7.2,30.5,1.0534706174559658,,,,,2.5633,5100.0,1800.0,101.0,52.69181487819495,-2.7211242030026215
2020-05-28,65.0,60.5,7.2,30.4,1.0893046676869145,,,,,3.0867,5500.0,1800.0,101.0,52.69181495324828,-2.721124120141285
2020-05-29,65.8,45.7,8.1,30.3,1.0292134012292165,,,,,3.1467,6400.0,1900.0,101.0,52.6918150611205,-2.7211241673222406
2020-05-30,66.6,42.7,10.8,30.1,1.011417045909546,,,,,2.9267,5300.0,1700.0,101.0,52.69181497289908,-2.72112414502328
2020-05-31,65.4,47.7,10.8,30.1,1.1379459778258885,,,,,2.9467,6300.0,1900.0,101.0,52.69181499592646,-2.7211241751522617
2020-06-01,64.7,52.7,8.2,30.2,1.0117403089838624,,,,,2.9233,6000.0,1700.0,101.0,52.69181501060612,-2.7211242139866085
2020-06-02,64.3,50.2,7.6,30.0,1.2358210084281014,,,,,2.7871,5400.0,1900.0,101.0,52.69181498287283,-2.721124081411196
2020-06-03,56.1,80.0,10.0,29.8,1.043472976715857,,,,,0.7968,6800.0,2100.0,101.0,52.691814870628086,-2.7211240736024966
2020-06-04,53.5,75.8,11.2,29.6,1.1143071869853982,,,,,1.2742,7700.0,2700.0,101.0,52.69181491622426,-2.7211241153943533
2020-06-05,52.4,68.3,20.9,29.3,1.025821358766322,,,,,1.7517,10200.0,3200.0,101.0,52.69181494532539,-2.721123971585853
2020-06-06,54.7,75.8,21.9,29.3,1.0175013627434302,,,,,1.0531,8700.0,2500.0,101.0,52.6918148321839,-2.7211240695921086
