Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,42.7,81.8,17.1,28.8,,,,,,0.8,257300.0,145600.0,69.0,50.9310182351217,-4.2262738543598495
2020-03-02,42.3,79.7,16.8,28.9,,,,,,0.6524,228200.0,122500.0,69.0,50.93101824724221,-4.226273995625303
2020-03-03,43.5,74.0,12.9,29.3,,,,,,0.5238,181900.0,93000.0,69.0,50.931018245131256,-4.226274066761465
2020-03-04,45.2,95.6,12.1,29.2,,,,,,0.4905,167900.0,83200.0,69.0,50.93101842455246,-4.226273831657832
2020-03-05,42.5,88.7,13.9,29.0,,,,,,0.1952,205000.0,98400.0,69.0,50.93101843627558,-4.226273735257594
2020-03-06,43.8,81.0,22.3,29.3,,,,,,0.7714,235300.0,102700.0,69.0,50.93101839267612,-4.226273942343451
2020-03-07,49.8,89.3,19.5,29.6,,,,,,0.6,225100.0,125100.0,69.0,50.931018201432366,-4.226274034486724
2020-03-08,47.2,84.3,21.9,29.3,,,,,,0.5619,246600.0,150100.0,69.0,50.93101840635884,-4.2262739025056755
2020-03-09,47.2,87.9,21.1,29.5,,,,,,0.5905,217000.0,126300.0,69.0,50.93101836482216,-4.22627392259169
2020-03-10,50.7,99.7,23.3,29.4,1.0000000148529775,,,,,0.8714,187900.0,98500.0,69.0,50.93101830468844,-4.2262738416716
2020-03-11,49.8,88.3,19.3,29.4,89.75485978917374,,,,,,175700.0,88600.0,69.0,50.93101818649778,-4.226273957625203
2020-03-12,44.3,75.1,24.4,29.5,1.0000000297059557,,,,,0.9824,184200.0,96700.0,69.0,50.93101813316438,-4.226273933402474
2020-03-13,45.8,82.1,15.0,29.6,1.0000000297059557,,,,,0.9273,195200.0,104200.0,69.0,50.93101827172604,-4.226273767326768
2020-03-14,48.1,91.5,16.8,29.5,1.0000000297059557,,,,,0.8773,192200.0,125800.0,69.0,50.93101830814435,-4.226273923591581
2020-03-15,46.3,88.2,13.0,29.4,1.0000000297059557,,,,,0.2826,201000.0,141400.0,69.0,50.93101818743209,-4.226273817027129
2020-03-16,44.3,74.4,9.1,29.8,10.553538844757355,,,,,1.2087,159400.0,112700.0,69.0,50.9310183872694,-4.226273816802751
2020-03-17,49.4,90.8,14.7,29.9,1.000000044558934,,,,,0.9,109500.0,77300.0,69.0,50.931018079521515,-4.226273809097549
2020-03-18,49.6,96.5,13.1,29.8,1.000000044558934,,,,,0.5522,87000.0,62100.0,69.0,50.93101826104755,-4.226273975947139
2020-03-19,46.4,94.1,8.9,29.8,1.000000044558934,,,,,0.2818,80900.0,58500.0,69.0,50.93101815108938,-4.2262740758824595
2020-03-20,45.2,73.3,13.8,29.8,1.000000044558934,,,,,1.0955,64200.0,46900.0,69.0,50.931018359666574,-4.226273948413777
2020-03-21,44.9,75.2,28.8,29.7,4.222531298501597,,,,,1.2652,51500.0,37000.0,69.0,50.93101814946807,-4.226273923328395
2020-03-22,44.3,73.9,9.1,29.8,1.0000000594119127,,,,,1.1,36400.0,23600.0,69.0,50.93101835309759,-4.226273895262411
2020-03-23,45.9,71.4,12.2,29.8,3.494882401920513,,,,,1.4542,28000.0,17600.0,69.0,50.931018130587304,-4.226273878206785
2020-03-24,48.3,87.0,14.3,29.8,1.000000074264892,,,,,1.5667,22600.0,14200.0,69.0,50.931018255740916,-4.226273898176413
2020-03-25,47.3,69.1,11.2,29.8,3.370375199597317,,,,,1.6913,14800.0,8900.0,69.0,50.93101840183336,-4.226273827096709
2020-03-26,47.0,60.4,7.0,29.8,1.0000000891178715,,,,,1.575,14600.0,8600.0,69.0,50.93101825498588,-4.226273853070409
2020-03-27,44.4,65.1,8.9,29.8,1.0000000891178715,,,,,1.45,13100.0,7800.0,69.0,50.93101809447765,-4.226273901954742
2020-03-28,45.1,63.7,15.5,29.9,4.363296450509504,,,,,1.0542,11400.0,7000.0,69.0,50.93101822295258,-4.226273684496622
2020-03-29,41.3,55.2,17.9,30.2,1.0000001039708517,,,,,0.9958,10000.0,5800.0,69.0,50.931018133172195,-4.226273838932973
2020-03-30,41.4,63.1,13.3,30.2,1.0000001039708517,,,,,0.6625,5700.0,2900.0,69.0,50.931018364141785,-4.226273829195397
2020-03-31,46.2,58.8,13.5,30.0,1.0000001039708517,,,,,1.1667,5500.0,2700.0,69.0,50.931018130138426,-4.226273825983767
2020-04-01,43.0,67.3,10.7,29.2,1.0000001039708517,,,,,0.9458,4400.0,2200.0,69.0,50.931018229998735,-4.22627410414044
2020-04-02,46.6,81.5,12.1,29.7,1.0000001039708517,,,,,1.028,4700.0,2300.0,69.0,50.93101802912686,-4.22627394193759
2020-04-03,47.5,89.5,8.3,29.7,1.0000001039708517,,,,,1.484,5400.0,2600.0,69.0,50.931018218512286,-4.226273829837807
2020-04-04,49.8,76.3,15.9,29.6,1.0000001039708517,,,,,1.932,5500.0,2700.0,69.0,50.9310181673685,-4.226273977333739
2020-04-05,55.1,75.1,23.0,29.3,1.0000001039708517,,,,,2.116,5300.0,2500.0,69.0,50.93101828020295,-4.226273814019839
2020-04-06,49.4,86.7,9.4,29.6,1.0000001039708517,,,,,1.5923,3300.0,1900.0,69.0,50.931018442939056,-4.226273826039522
2020-04-07,51.1,64.8,13.3,29.9,1.0000001039708517,,,,,1.8038,4200.0,2500.0,69.0,50.931018284352696,-4.226274019833967
2020-04-08,54.8,61.4,6.1,29.8,1.0000001039708517,,,,,1.6423,4300.0,2200.0,69.0,50.93101825856924,-4.226274006389517
2020-04-09,59.8,64.2,8.5,29.8,1.0000001039708517,,,,,1.9577,4500.0,2800.0,69.0,50.93101813350303,-4.226273919034196
2020-04-10,62.2,54.3,11.1,29.7,0.000748995753393,,,,,2.1192,3600.0,1800.0,69.0,50.93101829001062,-4.226273948435566
2020-04-11,59.1,60.9,5.8,29.8,8.014306688023847,,,,,1.8577,3700.0,2500.0,69.0,50.93101833019738,-4.226273874615947
2020-04-12,53.7,79.4,5.3,29.5,9.717669521249857,,,,,1.8115,3300.0,1700.0,69.0,50.931018259361416,-4.226273886816291
2020-04-13,54.1,67.9,13.7,29.7,22.346807312451137,,,,,1.6654,3000.0,1800.0,69.0,50.93101827094773,-4.226273948485704
2020-04-14,47.2,69.4,10.5,29.9,7.366933265032357,,,,,2.2654,1900.0,1000.0,69.0,50.93101836834159,-4.226273974402721
2020-04-15,50.5,59.9,14.8,29.7,10.319415618553126,,,,,2.2077,2700.0,1300.0,69.0,50.93101822214595,-4.2262738249658
2020-04-16,54.8,65.6,14.7,29.5,6.828047790507513,,,,,1.5115,2800.0,1600.0,69.0,50.93101835136344,-4.226274121516908
2020-04-17,52.7,90.3,15.2,29.5,2.421445001050812,,,,,0.6692,3100.0,1700.0,69.0,50.93101817701589,-4.226273895925412
2020-04-18,51.6,91.3,15.3,29.6,2.9103970026009636,,,,,1.0038,3200.0,1900.0,69.0,50.931018310016874,-4.226273791769689
2020-04-19,53.4,81.4,9.7,29.6,2.6493992233577157,,,,,2.2038,2300.0,1100.0,69.0,50.931018326345516,-4.226273842213286
2020-04-20,55.3,58.2,10.1,29.5,3.7858718952065407,,,,,2.1071,3100.0,1900.0,69.0,50.931018152461604,-4.226273824291348
2020-04-21,54.0,69.2,6.4,29.5,3.225620802473707,,,,,2.1536,3300.0,2300.0,69.0,50.93101829775925,-4.226273731720313
2020-04-22,55.5,65.3,4.7,29.6,1.7975561913553608,,,,,2.1964,3900.0,2200.0,69.0,50.9310183442112,-4.226274034536038
2020-04-23,56.2,65.8,5.7,29.7,1.5706141570509615,,,,,2.2536,2900.0,1800.0,69.0,50.931018186613535,-4.2262738340838855
2020-04-24,52.3,82.5,5.4,29.6,1.4801442641266869,,,,,2.2107,4500.0,2800.0,69.0,50.931018444358024,-4.226274059651833
2020-04-25,51.9,87.6,5.5,29.5,1.9698192570451205,,,,,2.2536,3500.0,2300.0,69.0,50.93101836052768,-4.226273870563852
2020-04-26,51.7,84.5,6.3,29.5,1.3985271190763302,,,,,2.2929,3900.0,2400.0,69.0,50.93101822903635,-4.226273823642787
2020-04-27,51.1,90.3,5.0,29.3,0.9528225835388048,,,,,1.2964,3300.0,2100.0,69.0,50.931018292582465,-4.226273806399579
2020-04-28,49.8,91.9,9.8,29.2,1.3125763482934434,,,,,0.3464,4300.0,2800.0,69.0,50.93101809762681,-4.22627386368878
2020-05-01,50.3,81.5,16.9,29.2,0.97750682710723,,,,,1.5964,4900.0,2600.0,69.0,50.931018316358724,-4.226274072994838
2020-05-02,50.3,75.6,8.4,29.5,0.941795541654578,,,,,2.1143,3800.0,1900.0,69.0,50.93101836504466,-4.226273727778702
2020-05-03,50.7,93.0,11.2,29.5,0.9294337603887901,,,,,1.1393,4700.0,1800.0,69.0,50.9310183791182,-4.226273925590672
2020-05-04,53.8,80.3,14.0,29.6,1.1861719636170107,,,,,2.2179,2700.0,900.0,69.0,50.931018174885274,-4.226273789824095
2020-05-05,51.0,85.8,25.5,29.5,0.9352707750412328,,,,,2.4464,3100.0,1800.0,69.0,50.93101837052569,-4.226273862089668
2020-05-06,53.0,69.0,19.6,29.8,1.5636684261679377,,,,,2.5786,4400.0,1900.0,69.0,50.93101822225087,-4.22627402500127
2020-05-07,57.6,77.0,12.0,29.7,0.9219018136068292,,,,,2.4759,4500.0,2100.0,69.0,50.93101842419201,-4.226274045728698
2020-05-08,57.4,76.3,7.7,29.6,0.9550797205069372,,,,,2.3207,4600.0,1600.0,69.0,50.931018170393486,-4.226273977031968
2020-05-09,62.1,62.3,6.3,29.5,0.9583486860398778,,,,,2.4241,3700.0,1500.0,69.0,50.931018319025846,-4.226273856420966
2020-05-10,57.9,73.9,9.8,29.4,0.9557236655948752,,,,,1.3033,3900.0,1400.0,69.0,50.93101828552717,-4.226273974360913
2020-05-11,46.4,55.1,16.1,29.7,0.9571526196510428,,,,,1.7483,3500.0,1300.0,69.0,50.931018258270775,-4.226273886117839
2020-05-12,46.4,60.6,10.2,29.7,1.122164647074751,,,,,2.1033,3300.0,1300.0,69.0,50.931018198607205,-4.226274059968391
2020-05-13,49.0,65.9,12.0,29.6,0.9390788455261079,,,,,2.0828,4400.0,1900.0,69.0,50.93101824488742,-4.226273885184548
2020-05-14,47.0,59.8,13.1,29.8,0.9435733698539398,,,,,2.58,4400.0,1700.0,69.0,50.9310182953433,-4.226273988510405
2020-05-15,49.4,69.9,10.6,29.9,0.9820806564142806,,,,,2.32,5100.0,1800.0,69.0,50.93101819711834,-4.226273819652666
2020-05-16,50.7,77.2,8.8,29.9,0.9760746413928272,,,,,1.89,3300.0,900.0,69.0,50.93101823294869,-4.226273921216086
2020-05-17,52.3,84.7,9.6,29.9,0.9669838640312424,,,,,2.3967,4300.0,1500.0,69.0,50.93101832646819,-4.226273834627244
2020-05-18,52.4,83.9,9.8,29.9,1.106515614186347,,,,,2.8833,4500.0,1200.0,69.0,50.93101829628707,-4.2262739326192795
2020-05-19,54.7,87.4,5.9,29.8,0.9752124879273631,,,,,3.0467,3400.0,1300.0,69.0,50.93101806412791,-4.226273907540304
2020-05-20,58.2,70.4,11.3,29.7,0.9687221305070908,,,,,2.9533,6800.0,2400.0,69.0,50.931018332072604,-4.226274076728163
2020-05-21,57.9,79.6,12.1,29.7,0.9703672836940208,,,,,2.7933,4400.0,1700.0,69.0,50.93101825323867,-4.226274013040394
2020-05-22,56.3,79.3,22.0,29.6,0.9846161803202054,,,,,2.4067,5000.0,1400.0,69.0,50.931018303071966,-4.226274061310456
2020-05-23,54.2,81.1,19.1,29.9,0.9901855419828226,,,,,2.2133,4500.0,1400.0,69.0,50.93101821131931,-4.226273851076868
2020-05-24,53.9,84.4,11.0,30.1,0.9992627608968648,,,,,2.2067,5400.0,1500.0,69.0,50.931018233268325,-4.226273954314848
2020-05-25,57.5,68.9,7.5,30.1,1.0028785425555355,,,,,2.9367,4100.0,1200.0,69.0,50.931018206562726,-4.226273648275222
2020-05-26,57.5,79.3,7.2,30.2,1.0000768061935463,,,,,2.94,4000.0,1500.0,69.0,50.93101843241857,-4.22627391461024
2020-05-27,62.5,74.7,6.3,30.1,1.0030650525644855,,,,,2.5633,5100.0,1800.0,69.0,50.931018349442994,-4.226273922000309
2020-05-28,63.3,56.4,16.9,30.0,0.9964874392823606,,,,,3.0867,5500.0,1800.0,69.0,50.93101841145832,-4.226273682738786
2020-05-29,63.1,47.5,22.4,29.8,0.9992320304020328,,,,,3.1467,6400.0,1900.0,69.0,50.93101822122506,-4.226273935791083
2020-05-30,64.2,47.4,17.3,29.7,1.0044916194910027,,,,,2.9267,5300.0,1700.0,69.0,50.93101842969246,-4.226273966536194
2020-05-31,65.2,46.8,14.6,29.7,1.013130777135286,,,,,2.9467,6300.0,1900.0,69.0,50.93101835373116,-4.2262739407282695
2020-06-01,63.6,53.9,9.4,29.8,1.1296294272070764,,,,,2.9233,6000.0,1700.0,69.0,50.93101832026637,-4.2262739483874645
2020-06-02,63.9,64.0,7.6,29.7,1.0091565600721444,,,,,2.7871,5400.0,1900.0,69.0,50.93101823010749,-4.2262738228403025
2020-06-03,56.4,91.0,13.0,29.4,1.0021448672450992,,,,,0.7968,6800.0,2100.0,69.0,50.9310182394254,-4.226273889850076
2020-06-04,53.7,81.7,16.8,29.3,0.9995759948518356,,,,,1.2742,7700.0,2700.0,69.0,50.93101826127452,-4.22627385288298
2020-06-05,54.6,78.0,19.6,29.2,1.010435018009575,,,,,1.7517,10200.0,3200.0,69.0,50.93101812636475,-4.226273917314523
2020-06-06,51.7,75.1,23.9,29.3,1.0107870298455863,,,,,1.0531,8700.0,2500.0,69.0,50.93101828030502,-4.22627383522087
2020-06-07,52.4,89.2,11.4,29.4,1.015569388537386,,,,,1.7813,10700.0,3200.0,69.0,50.93101836551225,-4.226274002835055
2020-06-08,54.4,82.9,6.9,29.7,1.0118737006372371,,,,,1.6065,4800.0,1700.0,69.0,50.931018276437506,-4.226273783407718
2020-06-09,54.0,81.7,8.9,29.7,1.0099373854480496,,,,,2.3115,3300.0,1300.0,69.0,50.93101832944407,-4.226273939564205
2020-06-10,54.6,89.0,10.4,29.5,1.0017704378545238,,,,,1.0238,4000.0,1400.0,69.0,50.931018181563495,-4.226273994843549
2020-06-11,55.4,86.3,17.4,29.3,1.0024695580113552,,,,,1.1344,4100.0,1700.0,69.0,50.93101810562416,-4.226273889895486
2020-06-12,56.4,89.3,13.2,29.2,1.0028270435419944,,,,,1.25,4700.0,1700.0,69.0,50.931018482158535,-4.226273961841569
2020-06-13,55.6,89.5,9.7,29.3,1.005746406462402,,,,,2.2875,4100.0,1600.0,69.0,50.931018157460954,-4.2262739484374725
2020-06-14,56.3,91.0,9.6,29.5,1.0064172266695888,,,,,1.7438,5900.0,1900.0,69.0,50.93101830691829,-4.226273963955247
2020-06-15,57.9,83.5,8.4,29.6,1.0054549187696236,,,,,2.0844,5000.0,1600.0,69.0,50.931018235819025,-4.226273757053696
2020-06-16,57.9,88.9,6.6,29.5,1.0041368488788471,,,,,2.0469,4500.0,1300.0,69.0,50.93101830762708,-4.226273996709391
2020-06-17,56.2,94.8,6.8,29.5,0.9984857169926188,,,,,1.7844,5600.0,1800.0,69.0,50.931018267392474,-4.226273797208534
2020-06-18,56.0,98.3,9.8,29.4,1.0012145952930158,,,,,0.7969,5800.0,2100.0,69.0,50.93101813996029,-4.226274034053203
2020-06-19,57.0,85.3,14.2,29.5,1.0098741397843605,,,,,1.3813,7000.0,2300.0,69.0,50.93101821873963,-4.226273912572208
2020-06-20,58.3,84.0,12.3,29.6,1.0080526954559452,,,,,2.1813,5900.0,1800.0,69.0,50.931018359187746,-4.226274021364641
2020-06-21,58.0,84.8,16.1,29.6,1.0083357720081536,,,,,2.1219,8200.0,2500.0,69.0,50.931018137365555,-4.226273987158473
2020-06-22,58.5,82.7,14.8,29.8,1.0030782585028055,,,,,3.2406,6800.0,2100.0,69.0,50.93101845304973,-4.226274060033484
2020-06-23,63.4,75.3,12.5,29.7,1.00284820608909,,,,,3.025,6200.0,1900.0,69.0,50.93101830736776,-4.226273808812454
2020-06-24,68.6,71.0,6.4,29.6,1.000606939214179,,,,,2.8219,6600.0,2300.0,69.0,50.93101819285165,-4.226273880824105
2020-06-25,68.3,72.5,6.3,29.5,1.0011698719236877,,,,,2.9875,7100.0,2700.0,69.0,50.931018281158615,-4.226273874335866
2020-06-26,58.6,90.8,12.0,29.4,1.003818119407845,,,,,2.975,7200.0,2700.0,69.0,50.93101831866733,-4.226273928078571
2020-06-27,57.5,88.3,18.1,29.2,1.006797610985832,,,,,1.5969,7200.0,2700.0,69.0,50.931018201270135,-4.226273817809059
2020-06-28,56.6,80.1,20.0,29.5,1.0050848529162606,,,,,2.2625,9600.0,3500.0,69.0,50.9310182676405,-4.22627389150946
2020-06-29,56.9,77.7,18.7,29.5,1.005768161694529,,,,,1.7938,7700.0,2700.0,69.0,50.931018263027816,-4.2262741535829225
2020-06-30,57.6,95.4,11.7,29.3,1.2596618034087936,,,,,1.3313,8000.0,2800.0,69.0,50.9310184888661,-4.226273957523249
2020-07-01,57.8,89.4,14.1,29.3,1.0001469957887397,,,,,1.5194,17400.0,6200.0,69.0,50.93101828490437,-4.226274000565328
2020-07-02,57.1,88.1,14.0,29.5,1.000649945084913,,,,,1.9548,14900.0,5900.0,69.0,50.93101838364677,-4.226273913319332
2020-07-03,57.8,88.6,17.4,29.6,1.0014882428809573,,,,,2.2452,16800.0,6900.0,69.0,50.93101831501726,-4.226273840386802
2020-07-04,59.2,98.3,19.3,29.5,1.001369598782653,,,,,0.9677,16200.0,5900.0,69.0,50.931018166914974,-4.226273901367728
2020-07-05,58.3,82.1,22.3,29.6,1.0028137339300922,,,,,0.2333,19100.0,7300.0,69.0,50.93101827428807,-4.226273840621806
2020-07-06,56.7,79.9,18.6,29.8,1.0021981102798294,,,,,2.113,16500.0,6500.0,69.0,50.93101817024746,-4.226273934229863
2020-07-07,56.8,86.4,12.8,29.8,1.0017452990598883,,,,,1.6742,15000.0,5600.0,69.0,50.93101828094541,-4.226273938232015
2020-07-08,59.0,97.0,15.9,29.6,1.3668605259915128,,,,,1.2387,16400.0,7200.0,69.0,50.931018511441636,-4.226273735733129
2020-07-09,57.7,96.6,14.6,29.5,1.001361061643635,,,,,1.0516,18300.0,8300.0,69.0,50.93101821449034,-4.226274067383326
2020-07-10,56.2,80.8,13.4,29.8,1.0028679339066071,,,,,1.8645,31900.0,13600.0,69.0,50.93101829640301,-4.226273879440478
2020-07-11,60.5,71.6,7.8,29.9,1.0019057663527595,,,,,2.5161,39300.0,15900.0,69.0,50.93101826190369,-4.226273829488571
2020-07-12,60.0,70.7,7.0,29.9,1.001868141359377,,,,,2.8323,48000.0,20000.0,69.0,50.93101830385029,-4.226274116144825
2020-07-13,59.1,82.7,9.4,29.8,1.0018865144460762,,,,,2.471,38400.0,16400.0,69.0,50.93101830850514,-4.226273994213632
2020-07-14,57.8,87.9,13.9,29.7,1.0016156893410222,,,,,1.6129,31600.0,13300.0,69.0,50.931018373431215,-4.226273965063843
2020-07-15,58.8,89.8,14.2,29.7,1.000395763589668,,,,,1.2839,35600.0,15300.0,69.0,50.93101828926168,-4.226274001062879
2020-07-16,60.2,92.1,11.7,29.8,0.9996315933859442,,,,,2.26,34400.0,15900.0,69.0,50.93101829269762,-4.226273951509959
2020-07-17,59.1,92.4,9.3,29.8,1.001335965072098,,,,,2.8571,39900.0,18300.0,69.0,50.9310183057148,-4.226273916302254
2020-07-18,59.3,89.4,10.8,29.7,1.0026305143161978,,,,,2.7067,43600.0,20300.0,69.0,50.93101824595653,-4.226273893477468
2020-07-19,59.9,81.2,12.1,29.7,1.0023087238493456,,,,,1.9,54800.0,25300.0,69.0,50.93101831492309,-4.2262739439514805
2020-07-20,60.1,64.5,10.8,29.9,1.1241714865087515,,,,,2.9633,46200.0,21400.0,69.0,50.93101840832215,-4.2262739396522235
2020-07-21,59.3,70.4,7.7,29.9,1.0023273674277244,,,,,2.9967,37900.0,18100.0,69.0,50.93101836851472,-4.2262736547706945
2020-07-22,59.1,81.1,6.0,29.8,1.0022071169688822,,,,,2.7367,42900.0,21800.0,69.0,50.93101826765602,-4.226274001823577
2020-07-23,59.1,93.7,10.6,29.6,1.0012604923560835,,,,,2.3667,44800.0,23400.0,69.0,50.931018410582205,-4.226274025312535
2020-07-24,61.9,94.6,10.7,29.5,1.0026525054590731,,,,,1.8867,58100.0,31800.0,69.0,50.93101823753325,-4.226273954714734
2020-07-25,61.9,95.2,12.0,29.4,1.002696732935218,,,,,1.1567,65400.0,38000.0,69.0,50.93101834427299,-4.2262738729625005
