Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,39.5,70.7,21.1,28.2,,,,,,0.8,257300.0,145600.0,1043.0,53.67485095271934,-1.4231394831614217
2020-03-02,36.6,83.7,11.3,28.4,,,,,,0.6524,228200.0,122500.0,1043.0,53.67485091763508,-1.4231395570021474
2020-03-03,37.5,90.0,12.6,28.7,,,,,,0.5238,181900.0,93000.0,1043.0,53.67485087516933,-1.4231395768232964
2020-03-04,38.7,82.3,4.9,29.0,,,,,,0.4905,167900.0,83200.0,1043.0,53.67485103386758,-1.4231396655152169
2020-03-05,36.6,85.0,5.9,28.8,,,,,,0.1952,205000.0,98400.0,1043.0,53.674850894913284,-1.4231394647023494
2020-03-06,36.9,77.6,6.3,28.9,,,,,,0.7714,235300.0,102700.0,1043.0,53.67485110103718,-1.4231395834095932
2020-03-07,45.1,82.7,15.2,29.0,,,,,,0.6,225100.0,125100.0,1043.0,53.67485095808421,-1.4231396135289898
2020-03-08,44.8,82.7,17.5,28.8,,,,,,0.5619,246600.0,150100.0,1043.0,53.67485094949694,-1.4231395633243864
2020-03-09,42.4,88.0,15.3,28.9,,,,,,0.5905,217000.0,126300.0,1043.0,53.67485091690912,-1.4231393989770595
2020-03-10,48.7,88.2,23.7,28.7,,,,,,0.8714,187900.0,98500.0,1043.0,53.67485090877223,-1.4231396426063645
2020-03-11,44.5,82.0,16.3,28.8,232.25357391016456,,,,,,175700.0,88600.0,1043.0,53.674850902298495,-1.4231395904539315
2020-03-12,40.0,75.5,25.0,28.8,1.000000074264892,,,,,0.9824,184200.0,96700.0,1043.0,53.674851087837474,-1.4231394520660505
2020-03-13,41.0,83.3,12.2,29.2,1.000000074264892,,,,,0.9273,195200.0,104200.0,1043.0,53.67485091404411,-1.4231396337859017
2020-03-14,43.6,88.9,11.9,29.1,1.000000074264892,,,,,0.8773,192200.0,125800.0,1043.0,53.67485105565659,-1.423139494886811
2020-03-15,45.0,82.8,17.7,28.9,1.000000074264892,,,,,0.2826,201000.0,141400.0,1043.0,53.67485096156259,-1.42313939541878
2020-03-16,43.7,74.9,12.3,29.3,1.000000074264892,,,,,1.2087,159400.0,112700.0,1043.0,53.674850972567796,-1.4231394423313464
2020-03-17,49.5,82.7,16.9,29.4,13.738053002462824,,,,,0.9,109500.0,77300.0,1043.0,53.674850909528914,-1.4231395411452712
2020-03-18,43.6,84.4,13.6,29.4,3.2505427254329784,,,,,0.5522,87000.0,62100.0,1043.0,53.67485091303543,-1.4231396691450047
2020-03-19,40.9,73.1,4.3,29.6,4.068555705364931,,,,,0.2818,80900.0,58500.0,1043.0,53.67485103483301,-1.423139627071723
2020-03-20,39.3,80.0,10.7,29.7,3.2417210449457587,,,,,1.0955,64200.0,46900.0,1043.0,53.67485088479583,-1.4231395783088743
2020-03-21,38.7,77.5,13.0,29.7,4.666795461181655,,,,,1.2652,51500.0,37000.0,1043.0,53.67485103239966,-1.4231395555177473
2020-03-22,39.7,73.0,9.9,29.6,4.470419777672151,,,,,1.1,36400.0,23600.0,1043.0,53.67485099121269,-1.4231394592947109
2020-03-23,40.4,72.3,9.2,29.6,3.6352680686724357,,,,,1.4542,28000.0,17600.0,1043.0,53.67485088702925,-1.423139380770995
2020-03-24,51.2,67.2,10.0,29.4,4.118605369603122,,,,,1.5667,22600.0,14200.0,1043.0,53.674850909079,-1.4231396265587752
2020-03-25,55.9,53.2,6.3,29.5,3.976219706817832,,,,,1.6913,14800.0,8900.0,1043.0,53.67485082251383,-1.4231396469203943
2020-03-26,50.2,47.7,6.8,29.5,2.750433350208996,,,,,1.575,14600.0,8600.0,1043.0,53.67485092850427,-1.4231395592155618
2020-03-27,45.8,62.7,10.2,29.6,3.691450197119064,,,,,1.45,13100.0,7800.0,1043.0,53.67485089200695,-1.423139532557369
2020-03-28,44.3,71.1,17.1,29.8,3.3610509058637312,,,,,1.0542,11400.0,7000.0,1043.0,53.67485082283978,-1.4231395333057477
2020-03-29,38.6,66.9,16.1,30.1,3.589743249414997,,,,,0.9958,10000.0,5800.0,1043.0,53.674850919848495,-1.423139607337108
2020-03-30,44.3,69.1,14.9,29.9,5.1694969004545905,,,,,0.6625,5700.0,2900.0,1043.0,53.674850982474354,-1.423139467882597
2020-03-31,42.6,79.3,5.8,29.8,6.431795321436244,,,,,1.1667,5500.0,2700.0,1043.0,53.67485102435055,-1.4231395172602455
2020-04-01,44.4,66.3,13.0,29.4,7.344509161451207,,,,,0.9458,4400.0,2200.0,1043.0,53.674851009628284,-1.4231395938408054
2020-04-02,47.6,75.7,25.4,29.1,13.411278443684447,,,,,1.028,4700.0,2300.0,1043.0,53.67485102648517,-1.4231396258201026
2020-04-03,43.9,72.2,13.8,29.2,8.203552132974995,,,,,1.484,5400.0,2600.0,1043.0,53.67485082791874,-1.4231395602561638
2020-04-04,48.6,68.5,10.8,29.3,20.50541094023479,,,,,1.932,5500.0,2700.0,1043.0,53.674851092990075,-1.4231396200585582
2020-04-05,55.7,53.9,14.1,29.1,33.84628030762491,,,,,2.116,5300.0,2500.0,1043.0,53.67485104569956,-1.4231394938363677
2020-04-06,53.0,58.9,16.8,29.2,48.07665175517599,,,,,1.5923,3300.0,1900.0,1043.0,53.67485094838851,-1.423139480601358
2020-04-07,54.1,50.6,8.9,29.6,84.6766801155413,,,,,1.8038,4200.0,2500.0,1043.0,53.674851107439785,-1.4231395430421627
2020-04-08,59.3,51.9,7.1,29.5,69.5134089891566,,,,,1.6423,4300.0,2200.0,1043.0,53.67485080330971,-1.4231395558010034
