Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2020-03-01,44.1,64.4,16.5,29.1,,,,,0.8,257300.0,145600.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-02,42.1,75.6,8.9,29.1,,,,,0.6524,228200.0,122500.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-03,41.3,75.8,9.3,29.5,,,,,0.5238,181900.0,93000.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-04,40.6,85.7,5.8,29.7,,,,,0.4905,167900.0,83200.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-05,42.5,87.6,9.5,29.3,,,,,0.1952,205000.0,98400.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-06,42.2,71.2,5.6,29.6,,,,,0.7714,235300.0,102700.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-07,45.8,79.8,11.5,29.9,,,,,0.6,225100.0,125100.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-08,49.9,75.3,16.2,29.6,,,,,0.5619,246600.0,150100.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-09,45.7,77.5,13.8,29.8,1.0000000148529775,,,,0.5905,217000.0,126300.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-10,55.0,82.8,18.5,29.6,1.0000000148529775,,,,0.8714,187900.0,98500.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-11,51.8,75.9,14.9,29.7,76.7095918478055,,,,,175700.0,88600.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-12,45.6,62.9,19.8,29.7,1.000000044558934,,,,0.9824,184200.0,96700.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-13,47.3,65.3,13.3,29.9,14.140479262562842,,,,0.9273,195200.0,104200.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-14,49.2,79.3,11.3,29.8,8.605192405800786,,,,0.8773,192200.0,125800.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-15,49.1,80.0,12.9,29.7,5.776769702064843,,,,0.2826,201000.0,141400.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-16,45.7,71.0,7.2,30.1,10.002170456142522,,,,1.2087,159400.0,112700.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-17,48.3,78.9,11.6,30.2,5.248769447605252,,,,0.9,109500.0,77300.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-18,53.1,80.2,11.2,30.2,2.1208606264437404,,,,0.5522,87000.0,62100.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-19,45.0,90.3,7.3,30.2,1.9289216129460365,,,,0.2818,80900.0,58500.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-20,44.9,70.2,12.1,30.3,1.805633191012697,,,,1.0955,64200.0,46900.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-21,43.6,63.0,13.4,30.2,2.380378215229981,,,,1.2652,51500.0,37000.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-22,44.3,63.1,11.3,30.2,1.6565483996923842,,,,1.1,36400.0,23600.0,0.1602052175596534,0.1844112616152743,1129.0
2020-03-23,43.9,54.6,8.8,30.2,1.000000282206648,,,,1.4542,28000.0,17600.0,0.1602052175596534,0.1844112616152743,1129.0
