Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2020-03-01,44.2,79.6,14.0,29.1,,,,,0.8,257300.0,145600.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-02,44.5,68.5,9.3,29.2,,,,,0.6524,228200.0,122500.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-03,45.8,69.7,10.2,29.5,,,,,0.5238,181900.0,93000.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-04,43.7,84.0,5.6,29.6,,,,,0.4905,167900.0,83200.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-05,42.5,85.7,10.8,29.3,,,,,0.1952,205000.0,98400.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-06,46.0,69.7,1.6,29.6,,,,,0.7714,235300.0,102700.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-07,51.7,83.7,14.1,29.8,,,,,0.6,225100.0,125100.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-08,50.5,75.5,15.0,29.5,,,,,0.5619,246600.0,150100.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-09,47.3,79.3,11.5,29.8,,,,,0.5905,217000.0,126300.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-10,54.9,85.4,14.9,29.5,,,,,0.8714,187900.0,98500.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-11,52.5,75.9,15.3,29.6,,,,,,175700.0,88600.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-12,45.6,71.5,15.0,29.7,1.0000000297059557,,,,0.9824,184200.0,96700.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-13,49.6,64.1,8.2,29.9,1.0000000297059557,,,,0.9273,195200.0,104200.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-14,51.2,83.3,11.6,29.8,1.0000000297059557,,,,0.8773,192200.0,125800.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-15,47.0,91.9,6.6,29.6,26.231162329019263,,,,0.2826,201000.0,141400.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-16,48.0,68.9,6.6,30.1,1.000000044558934,,,,1.2087,159400.0,112700.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-17,52.8,87.2,13.0,30.2,10.506490332632088,,,,0.9,109500.0,77300.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-18,50.0,93.8,10.3,30.1,1.0000000594119127,,,,0.5522,87000.0,62100.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-19,42.1,93.8,8.4,30.2,5.501084893798653,,,,0.2818,80900.0,58500.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-20,46.2,73.7,15.8,30.3,4.068555342783906,,,,1.0955,64200.0,46900.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-21,48.6,46.1,13.7,30.2,3.24172070790126,,,,1.2652,51500.0,37000.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-22,49.8,51.6,11.8,30.2,4.096404491569564,,,,1.1,36400.0,23600.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-23,50.5,47.1,5.0,30.2,2.2890127590397262,,,,1.4542,28000.0,17600.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-24,57.1,60.5,8.3,30.1,4.549543291595643,,,,1.5667,22600.0,14200.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-25,55.8,42.1,2.4,30.1,1.0000002079417252,,,,1.6913,14800.0,8900.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-26,51.0,52.1,6.4,30.1,2.631196119594626,,,,1.575,14600.0,8600.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-27,49.6,60.5,10.2,30.2,3.245619241527712,,,,1.45,13100.0,7800.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-28,48.5,65.0,18.4,30.3,5.347722398212337,,,,1.0542,11400.0,7000.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-29,44.6,49.5,20.6,30.6,4.581816982138294,,,,0.9958,10000.0,5800.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-30,45.4,72.8,7.7,30.5,2.384887791311106,,,,0.6625,5700.0,2900.0,0.1968826039425891,0.2291234861851008,263.0
2020-03-31,47.2,64.2,10.3,30.4,4.181980039762421,,,,1.1667,5500.0,2700.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-01,45.5,67.0,3.3,30.1,4.851108093503352,,,,0.9458,4400.0,2200.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-02,52.7,70.4,10.5,29.9,10.0166511665494,,,,1.028,4700.0,2300.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-03,51.6,60.2,4.4,29.9,12.285840732600532,,,,1.484,5400.0,2600.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-06,57.5,64.5,8.9,29.9,64.25935356628524,,,,1.5923,3300.0,1900.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-07,58.5,53.0,3.1,30.3,81.72837472751033,,,,1.8038,4200.0,2500.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-08,64.0,54.7,1.1,30.1,67.99585377788685,,,,1.6423,4300.0,2200.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-09,68.5,50.6,4.0,30.1,162.82911326214716,,,,1.9577,4500.0,2800.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-15,50.0,65.3,0.0,30.1,3.42203067916737,,,,2.2077,2700.0,1300.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-16,66.0,32.0,3.0,29.9,2.044041977425313,,,,1.5115,2800.0,1600.0,0.1968826039425891,0.2291234861851008,263.0
2020-04-28,46.0,93.0,8.0,29.6,1.2806655220775225,,,,0.3464,4300.0,2800.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-22,62.4,55.3,18.0,29.8,0.966761815964972,,,,2.4067,5000.0,1400.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-23,59.4,64.1,15.9,30.0,0.9684997800756008,,,,2.2133,4500.0,1400.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-24,65.8,54.5,10.5,30.3,0.9836451969252792,,,,2.2067,5400.0,1500.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-25,67.1,52.1,5.7,30.4,1.0830866546574494,,,,2.9367,4100.0,1200.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-26,68.3,53.5,2.9,30.5,1.0454771589604417,,,,2.94,4000.0,1500.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-27,68.4,49.9,4.1,30.5,1.0030594321684954,,,,2.5633,5100.0,1800.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-28,69.7,43.7,5.1,30.4,1.000084554319134,,,,3.0867,5500.0,1800.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-29,71.3,36.8,5.8,30.2,1.0032573536158282,,,,3.1467,6400.0,1900.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-30,69.7,45.6,6.7,30.1,0.9962733562316736,,,,2.9267,5300.0,1700.0,0.1968826039425891,0.2291234861851008,263.0
2020-05-31,72.5,39.8,8.9,30.1,0.9991875626920176,,,,2.9467,6300.0,1900.0,0.1968826039425891,0.2291234861851008,263.0
2020-06-01,69.2,48.3,8.4,30.1,1.0047720154863804,,,,2.9233,6000.0,1700.0,0.1968826039425891,0.2291234861851008,263.0
2020-06-02,69.2,41.6,5.4,30.0,1.0372742960252377,,,,2.7871,5400.0,1900.0,0.1968826039425891,0.2291234861851008,263.0
2020-06-03,58.9,85.3,7.1,29.7,1.013303891540679,,,,0.7968,6800.0,2100.0,0.1968826039425891,0.2291234861851008,263.0
2020-06-04,56.0,68.1,7.1,29.6,1.0097189886448703,,,,1.2742,7700.0,2700.0,0.1968826039425891,0.2291234861851008,263.0
2020-06-05,59.4,41.7,15.1,29.3,1.0022788585003544,,,,1.7517,10200.0,3200.0,0.1968826039425891,0.2291234861851008,263.0
2020-06-06,53.9,74.7,13.7,29.4,0.9995530995653098,,,,1.0531,8700.0,2500.0,0.1968826039425891,0.2291234861851008,263.0
