Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,male,female,PopulationDensity
2020-03-01,42.9,76.7,28.7,0.0,,,,,0.8,257300.0,145600.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-02,42.2,75.8,18.5,0.0,,,,,0.6524,228200.0,122500.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-03,42.9,83.9,15.4,0.0,,,,,0.5238,181900.0,93000.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-04,40.8,85.2,6.2,0.0,,,,,0.4905,167900.0,83200.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-05,39.7,81.4,5.8,0.0,,,,,0.1952,205000.0,98400.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-06,39.3,84.5,6.3,0.0,,,,,0.7714,235300.0,102700.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-07,46.7,86.9,16.8,0.0,,,,,0.6,225100.0,125100.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-08,46.5,86.2,19.6,0.0,,,,,0.5619,246600.0,150100.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-09,45.1,87.8,21.1,0.0,,,,,0.5905,217000.0,126300.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-10,48.5,91.8,21.0,0.0,,,,,0.8714,187900.0,98500.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-11,46.5,85.0,19.1,0.0,,,,,,175700.0,88600.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-12,43.4,75.0,30.3,0.0,,,,,0.9824,184200.0,96700.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-13,44.7,78.0,13.8,0.0,,,,,0.9273,195200.0,104200.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-14,46.8,86.0,15.0,0.0,,,,,0.8773,192200.0,125800.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-15,46.6,85.4,16.8,0.0,,,,,0.2826,201000.0,141400.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-16,45.5,80.2,14.5,0.0,,,,,1.2087,159400.0,112700.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-17,48.8,93.1,18.8,0.0,,,,,0.9,109500.0,77300.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-18,44.9,85.8,11.8,0.0,,,,,0.5522,87000.0,62100.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-19,43.3,79.2,7.0,0.0,1.0000000297059557,,,,0.2818,80900.0,58500.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-20,42.6,66.9,11.2,0.0,1.0000000297059557,,,,1.0955,64200.0,46900.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-21,41.5,68.7,14.2,0.0,1.0000000297059557,,,,1.2652,51500.0,37000.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-22,42.1,67.6,9.0,0.0,46.41609353542196,,,,1.1,36400.0,23600.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-23,42.5,67.8,12.5,0.0,20.71072009460179,,,,1.4542,28000.0,17600.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-24,47.1,70.9,11.8,0.0,13.675322048659552,,,,1.5667,22600.0,14200.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-25,50.9,72.4,6.8,0.0,10.55354119603008,,,,1.6913,14800.0,8900.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-26,47.5,61.0,6.7,0.0,5.091896650457255,,,,1.575,14600.0,8600.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-27,44.5,61.8,9.9,0.0,3.8325137694483447,,,,1.45,13100.0,7800.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-28,45.0,63.3,12.4,0.0,2.623315881267603,,,,1.0542,11400.0,7000.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-29,40.7,56.8,13.3,0.0,4.57277643036444,,,,0.9958,10000.0,5800.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-30,45.2,67.9,8.6,0.0,3.8358301705919136,,,,0.6625,5700.0,2900.0,0.1938256414023617,0.2207726695541755,339.0
2020-03-31,45.0,74.2,7.3,0.0,4.011736831951181,,,,1.1667,5500.0,2700.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-01,45.8,79.4,11.3,0.0,3.183025656769406,,,,0.9458,4400.0,2200.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-02,46.9,82.7,16.9,0.0,3.287041717463412,,,,1.028,4700.0,2300.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-03,46.3,78.3,12.0,0.0,2.083603203446427,,,,1.484,5400.0,2600.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-04,49.1,75.8,10.8,0.0,2.4042367608089643,,,,1.932,5500.0,2700.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-05,56.2,55.1,19.7,0.0,2.940155275496388,,,,2.116,5300.0,2500.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-06,51.3,78.9,14.5,0.0,3.469560373945038,,,,1.5923,3300.0,1900.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-07,49.0,70.3,8.1,0.0,4.041900157197448,,,,1.8038,4200.0,2500.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-08,51.5,66.1,5.4,0.0,2.47042798915202,,,,1.6423,4300.0,2200.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-09,53.4,73.0,11.0,0.0,2.0063268509965475,,,,1.9577,4500.0,2800.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-10,56.9,71.7,10.3,0.0,3.364814146316509,,,,2.1192,3600.0,1800.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-11,52.7,84.0,5.9,0.0,5.148719785781568,,,,1.8577,3700.0,2500.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-12,51.9,79.3,8.3,0.0,-0.0958062705953652,,,,1.8115,3300.0,1700.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-13,44.5,58.0,13.7,0.0,9.750030011084476,,,,1.6654,3000.0,1800.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-14,41.2,71.7,6.2,0.0,18.390495999382573,,,,2.2654,1900.0,1000.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-15,45.9,75.7,4.5,0.0,63.826488726305534,,,,2.2077,2700.0,1300.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-16,53.0,63.0,10.5,0.0,44.77993243446099,,,,1.5115,2800.0,1600.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-17,50.8,67.3,16.8,0.0,208.1653282318533,,,,0.6692,3100.0,1700.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-18,47.3,66.9,12.6,0.0,218.8642000438116,,,,1.0038,3200.0,1900.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-19,50.6,57.5,13.0,0.0,4.759315609789546,,,,2.2038,2300.0,1100.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-20,49.9,57.9,17.0,0.0,0.894077489547923,,,,2.1071,3100.0,1900.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-21,53.0,55.9,17.8,0.0,5.814359992132559,,,,2.1536,3300.0,2300.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-22,54.3,61.6,11.7,0.0,2.963287643680019,,,,2.1964,3900.0,2200.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-23,54.9,60.2,8.9,0.0,6.630965159875904,,,,2.2536,2900.0,1800.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-24,54.8,53.4,7.8,0.0,2.0828672629502667,,,,2.2107,4500.0,2800.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-25,53.5,68.3,10.4,0.0,1.876311968393854,,,,2.2536,3500.0,2300.0,0.1938256414023617,0.2207726695541755,339.0
2020-04-26,49.8,83.4,6.9,0.0,3.123316702064597,,,,2.2929,3900.0,2400.0,0.1938256414023617,0.2207726695541755,339.0
