areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000171,Bassetlaw,ltla,2022-08-02,94405
E07000171,Bassetlaw,ltla,2022-08-01,94404
E07000171,Bassetlaw,ltla,2022-07-31,94402
E07000171,Bassetlaw,ltla,2022-07-30,94402
E07000171,Bassetlaw,ltla,2022-07-29,94398
E07000171,Bassetlaw,ltla,2022-07-28,94394
E07000171,Bassetlaw,ltla,2022-07-27,94393
E07000171,Bassetlaw,ltla,2022-07-26,94393
E07000171,Bassetlaw,ltla,2022-07-25,94392
E07000171,Bassetlaw,ltla,2022-07-24,94391
E07000171,Bassetlaw,ltla,2022-07-23,94390
E07000171,Bassetlaw,ltla,2022-07-22,94389
E07000171,Bassetlaw,ltla,2022-07-21,94388
E07000171,Bassetlaw,ltla,2022-07-20,94388
E07000171,Bassetlaw,ltla,2022-07-19,94387
E07000171,Bassetlaw,ltla,2022-07-18,94386
E07000171,Bassetlaw,ltla,2022-07-17,94385
E07000171,Bassetlaw,ltla,2022-07-16,94384
E07000171,Bassetlaw,ltla,2022-07-15,94378
E07000171,Bassetlaw,ltla,2022-07-14,94375
E07000171,Bassetlaw,ltla,2022-07-13,94374
E07000171,Bassetlaw,ltla,2022-07-12,94373
E07000171,Bassetlaw,ltla,2022-07-11,94370
E07000171,Bassetlaw,ltla,2022-07-10,94369
E07000171,Bassetlaw,ltla,2022-07-09,94369
E07000171,Bassetlaw,ltla,2022-07-08,94369
E07000171,Bassetlaw,ltla,2022-07-07,94369
E07000171,Bassetlaw,ltla,2022-07-06,94367
E07000171,Bassetlaw,ltla,2022-07-05,94367
E07000171,Bassetlaw,ltla,2022-07-04,94365
E07000171,Bassetlaw,ltla,2022-07-03,94365
E07000171,Bassetlaw,ltla,2022-07-02,94365
E07000171,Bassetlaw,ltla,2022-07-01,94363
E07000171,Bassetlaw,ltla,2022-06-30,94360
E07000171,Bassetlaw,ltla,2022-06-29,94359
E07000171,Bassetlaw,ltla,2022-06-28,94354
E07000171,Bassetlaw,ltla,2022-06-27,94346
E07000171,Bassetlaw,ltla,2022-06-26,94344
E07000171,Bassetlaw,ltla,2022-06-25,94344
E07000171,Bassetlaw,ltla,2022-06-24,94336
E07000171,Bassetlaw,ltla,2022-06-23,94333
E07000171,Bassetlaw,ltla,2022-06-22,94333
E07000171,Bassetlaw,ltla,2022-06-21,94333
