areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000067,Braintree,ltla,2022-08-02,119930
E07000067,Braintree,ltla,2022-08-01,119929
E07000067,Braintree,ltla,2022-07-31,119927
E07000067,Braintree,ltla,2022-07-30,119924
E07000067,Braintree,ltla,2022-07-29,119924
E07000067,Braintree,ltla,2022-07-28,119922
E07000067,Braintree,ltla,2022-07-27,119917
E07000067,Braintree,ltla,2022-07-26,119912
E07000067,Braintree,ltla,2022-07-25,119911
E07000067,Braintree,ltla,2022-07-24,119911
E07000067,Braintree,ltla,2022-07-23,119907
E07000067,Braintree,ltla,2022-07-22,119907
E07000067,Braintree,ltla,2022-07-21,119907
E07000067,Braintree,ltla,2022-07-20,119899
E07000067,Braintree,ltla,2022-07-19,119898
E07000067,Braintree,ltla,2022-07-18,119896
E07000067,Braintree,ltla,2022-07-17,119894
E07000067,Braintree,ltla,2022-07-16,119891
E07000067,Braintree,ltla,2022-07-15,119890
E07000067,Braintree,ltla,2022-07-14,119888
E07000067,Braintree,ltla,2022-07-13,119885
E07000067,Braintree,ltla,2022-07-12,119884
E07000067,Braintree,ltla,2022-07-11,119882
E07000067,Braintree,ltla,2022-07-10,119881
E07000067,Braintree,ltla,2022-07-09,119878
E07000067,Braintree,ltla,2022-07-08,119877
E07000067,Braintree,ltla,2022-07-07,119877
E07000067,Braintree,ltla,2022-07-06,119872
E07000067,Braintree,ltla,2022-07-05,119871
E07000067,Braintree,ltla,2022-07-04,119871
E07000067,Braintree,ltla,2022-07-03,119869
E07000067,Braintree,ltla,2022-07-02,119869
E07000067,Braintree,ltla,2022-07-01,119867
E07000067,Braintree,ltla,2022-06-30,119866
E07000067,Braintree,ltla,2022-06-29,119864
E07000067,Braintree,ltla,2022-06-28,119864
E07000067,Braintree,ltla,2022-06-27,119863
E07000067,Braintree,ltla,2022-06-26,119858
E07000067,Braintree,ltla,2022-06-25,119858
E07000067,Braintree,ltla,2022-06-24,119855
E07000067,Braintree,ltla,2022-06-23,119852
E07000067,Braintree,ltla,2022-06-22,119850
E07000067,Braintree,ltla,2022-06-21,119850
E07000067,Braintree,ltla,2022-06-20,119849
E07000067,Braintree,ltla,2022-06-19,119848
E07000067,Braintree,ltla,2022-06-18,119846
E07000067,Braintree,ltla,2022-06-17,119843
E07000067,Braintree,ltla,2022-06-16,119842
E07000067,Braintree,ltla,2022-06-15,119838
E07000067,Braintree,ltla,2022-06-14,119838
E07000067,Braintree,ltla,2022-06-13,119837
E07000067,Braintree,ltla,2022-06-12,119829
E07000067,Braintree,ltla,2022-06-11,119824
E07000067,Braintree,ltla,2022-06-10,119819
E07000067,Braintree,ltla,2022-06-09,119819
E07000067,Braintree,ltla,2022-06-08,119818
E07000067,Braintree,ltla,2022-06-07,119817
E07000067,Braintree,ltla,2022-06-06,119812
E07000067,Braintree,ltla,2022-06-05,119809
E07000067,Braintree,ltla,2022-06-04,119801
E07000067,Braintree,ltla,2022-06-03,119799
E07000067,Braintree,ltla,2022-06-02,119799
E07000067,Braintree,ltla,2022-06-01,119799
E07000067,Braintree,ltla,2022-05-31,119792
E07000067,Braintree,ltla,2022-05-30,119788
E07000067,Braintree,ltla,2022-05-29,119781
E07000067,Braintree,ltla,2022-05-28,119781
E07000067,Braintree,ltla,2022-05-27,119777
E07000067,Braintree,ltla,2022-05-26,119770
E07000067,Braintree,ltla,2022-05-25,119769
E07000067,Braintree,ltla,2022-05-24,119768
E07000067,Braintree,ltla,2022-05-23,119763
E07000067,Braintree,ltla,2022-05-22,119761
E07000067,Braintree,ltla,2022-05-21,119757
E07000067,Braintree,ltla,2022-05-20,119750
E07000067,Braintree,ltla,2022-05-19,119744
E07000067,Braintree,ltla,2022-05-18,119742
E07000067,Braintree,ltla,2022-05-17,119738
E07000067,Braintree,ltla,2022-05-16,119734
E07000067,Braintree,ltla,2022-05-15,119728
E07000067,Braintree,ltla,2022-05-14,119717
E07000067,Braintree,ltla,2022-05-13,119708
E07000067,Braintree,ltla,2022-05-12,119704
E07000067,Braintree,ltla,2022-05-11,119699
E07000067,Braintree,ltla,2022-05-10,119697
E07000067,Braintree,ltla,2022-05-09,119694
E07000067,Braintree,ltla,2022-05-08,119694
E07000067,Braintree,ltla,2022-05-07,119684
E07000067,Braintree,ltla,2022-05-06,119670
E07000067,Braintree,ltla,2022-05-05,119664
E07000067,Braintree,ltla,2022-05-04,119654
E07000067,Braintree,ltla,2022-05-03,119650
E07000067,Braintree,ltla,2022-05-02,119647
E07000067,Braintree,ltla,2022-05-01,119642
E07000067,Braintree,ltla,2022-04-30,119630
