areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000029,Copeland,ltla,2022-08-02,55138
E07000029,Copeland,ltla,2022-08-01,55138
E07000029,Copeland,ltla,2022-07-31,55138
E07000029,Copeland,ltla,2022-07-30,55138
E07000029,Copeland,ltla,2022-07-29,55138
E07000029,Copeland,ltla,2022-07-28,55136
E07000029,Copeland,ltla,2022-07-27,55136
E07000029,Copeland,ltla,2022-07-26,55136
E07000029,Copeland,ltla,2022-07-25,55133
E07000029,Copeland,ltla,2022-07-24,55132
E07000029,Copeland,ltla,2022-07-23,55132
E07000029,Copeland,ltla,2022-07-22,55132
E07000029,Copeland,ltla,2022-07-21,55131
E07000029,Copeland,ltla,2022-07-20,55128
E07000029,Copeland,ltla,2022-07-19,55128
E07000029,Copeland,ltla,2022-07-18,55128
E07000029,Copeland,ltla,2022-07-17,55128
E07000029,Copeland,ltla,2022-07-16,55128
E07000029,Copeland,ltla,2022-07-15,55126
E07000029,Copeland,ltla,2022-07-14,55126
E07000029,Copeland,ltla,2022-07-13,55124
E07000029,Copeland,ltla,2022-07-12,55124
E07000029,Copeland,ltla,2022-07-11,55124
E07000029,Copeland,ltla,2022-07-10,55122
E07000029,Copeland,ltla,2022-07-09,55122
E07000029,Copeland,ltla,2022-07-08,55121
E07000029,Copeland,ltla,2022-07-07,55120
E07000029,Copeland,ltla,2022-07-06,55120
E07000029,Copeland,ltla,2022-07-05,55120
E07000029,Copeland,ltla,2022-07-04,55120
E07000029,Copeland,ltla,2022-07-03,55120
E07000029,Copeland,ltla,2022-07-02,55120
E07000029,Copeland,ltla,2022-07-01,55120
E07000029,Copeland,ltla,2022-06-30,55120
E07000029,Copeland,ltla,2022-06-29,55120
E07000029,Copeland,ltla,2022-06-28,55120
E07000029,Copeland,ltla,2022-06-27,55118
E07000029,Copeland,ltla,2022-06-26,55109
E07000029,Copeland,ltla,2022-06-25,55109
E07000029,Copeland,ltla,2022-06-24,55108
E07000029,Copeland,ltla,2022-06-23,55108
E07000029,Copeland,ltla,2022-06-22,55106
E07000029,Copeland,ltla,2022-06-21,55106
E07000029,Copeland,ltla,2022-06-20,55102
E07000029,Copeland,ltla,2022-06-19,55102
E07000029,Copeland,ltla,2022-06-18,55102
E07000029,Copeland,ltla,2022-06-17,55102
E07000029,Copeland,ltla,2022-06-16,55102
E07000029,Copeland,ltla,2022-06-15,55102
E07000029,Copeland,ltla,2022-06-14,55102
E07000029,Copeland,ltla,2022-06-13,55102
E07000029,Copeland,ltla,2022-06-12,55101
E07000029,Copeland,ltla,2022-06-11,55101
E07000029,Copeland,ltla,2022-06-10,55100
E07000029,Copeland,ltla,2022-06-09,55100
E07000029,Copeland,ltla,2022-06-08,55098
E07000029,Copeland,ltla,2022-06-07,55098
E07000029,Copeland,ltla,2022-06-06,55097
E07000029,Copeland,ltla,2022-06-05,55097
E07000029,Copeland,ltla,2022-06-04,55097
E07000029,Copeland,ltla,2022-06-03,55097
E07000029,Copeland,ltla,2022-06-02,55097
E07000029,Copeland,ltla,2022-06-01,55097
E07000029,Copeland,ltla,2022-05-31,55096
E07000029,Copeland,ltla,2022-05-30,55090
E07000029,Copeland,ltla,2022-05-29,55089
E07000029,Copeland,ltla,2022-05-28,55089
E07000029,Copeland,ltla,2022-05-27,55088
E07000029,Copeland,ltla,2022-05-26,55085
E07000029,Copeland,ltla,2022-05-25,55084
E07000029,Copeland,ltla,2022-05-24,55084
E07000029,Copeland,ltla,2022-05-23,55082
E07000029,Copeland,ltla,2022-05-22,55078
E07000029,Copeland,ltla,2022-05-21,55078
E07000029,Copeland,ltla,2022-05-20,55078
E07000029,Copeland,ltla,2022-05-19,55077
E07000029,Copeland,ltla,2022-05-18,55076
E07000029,Copeland,ltla,2022-05-17,55073
E07000029,Copeland,ltla,2022-05-16,55071
E07000029,Copeland,ltla,2022-05-15,55069
E07000029,Copeland,ltla,2022-05-14,55069
E07000029,Copeland,ltla,2022-05-13,55069
E07000029,Copeland,ltla,2022-05-12,55067
E07000029,Copeland,ltla,2022-05-11,55066
E07000029,Copeland,ltla,2022-05-10,55063
E07000029,Copeland,ltla,2022-05-09,55057
E07000029,Copeland,ltla,2022-05-08,55051
E07000029,Copeland,ltla,2022-05-07,55050
E07000029,Copeland,ltla,2022-05-06,55048
E07000029,Copeland,ltla,2022-05-05,55047
E07000029,Copeland,ltla,2022-05-04,55045
E07000029,Copeland,ltla,2022-05-03,55040
E07000029,Copeland,ltla,2022-05-02,55026
E07000029,Copeland,ltla,2022-05-01,55026
E07000029,Copeland,ltla,2022-04-30,55026
E07000029,Copeland,ltla,2022-04-29,55023
E07000029,Copeland,ltla,2022-04-28,55021
E07000029,Copeland,ltla,2022-04-27,55020
E07000029,Copeland,ltla,2022-04-26,55019
