areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E06000047,County Durham,ltla,2022-08-02,421130
E06000047,County Durham,ltla,2022-08-01,421129
E06000047,County Durham,ltla,2022-07-31,421127
E06000047,County Durham,ltla,2022-07-30,421119
E06000047,County Durham,ltla,2022-07-29,421115
E06000047,County Durham,ltla,2022-07-28,421112
E06000047,County Durham,ltla,2022-07-27,421103
E06000047,County Durham,ltla,2022-07-26,421101
E06000047,County Durham,ltla,2022-07-25,421098
E06000047,County Durham,ltla,2022-07-24,421089
E06000047,County Durham,ltla,2022-07-23,421083
E06000047,County Durham,ltla,2022-07-22,421070
E06000047,County Durham,ltla,2022-07-21,421066
E06000047,County Durham,ltla,2022-07-20,421063
E06000047,County Durham,ltla,2022-07-19,421060
E06000047,County Durham,ltla,2022-07-18,421057
E06000047,County Durham,ltla,2022-07-17,421051
E06000047,County Durham,ltla,2022-07-16,421044
E06000047,County Durham,ltla,2022-07-15,421036
E06000047,County Durham,ltla,2022-07-14,421032
E06000047,County Durham,ltla,2022-07-13,421017
E06000047,County Durham,ltla,2022-07-12,421013
E06000047,County Durham,ltla,2022-07-11,421012
E06000047,County Durham,ltla,2022-07-10,421012
E06000047,County Durham,ltla,2022-07-09,420999
E06000047,County Durham,ltla,2022-07-08,420994
E06000047,County Durham,ltla,2022-07-07,420990
E06000047,County Durham,ltla,2022-07-06,420979
E06000047,County Durham,ltla,2022-07-05,420971
E06000047,County Durham,ltla,2022-07-04,420961
E06000047,County Durham,ltla,2022-07-03,420958
E06000047,County Durham,ltla,2022-07-02,420953
E06000047,County Durham,ltla,2022-07-01,420944
E06000047,County Durham,ltla,2022-06-30,420940
E06000047,County Durham,ltla,2022-06-29,420929
E06000047,County Durham,ltla,2022-06-28,420923
E06000047,County Durham,ltla,2022-06-27,420919
E06000047,County Durham,ltla,2022-06-26,420903
E06000047,County Durham,ltla,2022-06-25,420890
E06000047,County Durham,ltla,2022-06-24,420882
E06000047,County Durham,ltla,2022-06-23,420878
E06000047,County Durham,ltla,2022-06-22,420874
E06000047,County Durham,ltla,2022-06-21,420860
E06000047,County Durham,ltla,2022-06-20,420853
E06000047,County Durham,ltla,2022-06-19,420846
E06000047,County Durham,ltla,2022-06-18,420835
E06000047,County Durham,ltla,2022-06-17,420821
E06000047,County Durham,ltla,2022-06-16,420816
E06000047,County Durham,ltla,2022-06-15,420801
E06000047,County Durham,ltla,2022-06-14,420793
E06000047,County Durham,ltla,2022-06-13,420783
E06000047,County Durham,ltla,2022-06-12,420774
E06000047,County Durham,ltla,2022-06-11,420766
E06000047,County Durham,ltla,2022-06-10,420747
E06000047,County Durham,ltla,2022-06-09,420738
E06000047,County Durham,ltla,2022-06-08,420730
E06000047,County Durham,ltla,2022-06-07,420716
E06000047,County Durham,ltla,2022-06-06,420705
E06000047,County Durham,ltla,2022-06-05,420698
E06000047,County Durham,ltla,2022-06-04,420696
E06000047,County Durham,ltla,2022-06-03,420680
E06000047,County Durham,ltla,2022-06-02,420678
E06000047,County Durham,ltla,2022-06-01,420678
E06000047,County Durham,ltla,2022-05-31,420664
E06000047,County Durham,ltla,2022-05-30,420645
