areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E09000009,Ealing,ltla,2022-08-02,275324
E09000009,Ealing,ltla,2022-08-01,275318
E09000009,Ealing,ltla,2022-07-31,275312
E09000009,Ealing,ltla,2022-07-30,275301
E09000009,Ealing,ltla,2022-07-29,275280
E09000009,Ealing,ltla,2022-07-28,275271
E09000009,Ealing,ltla,2022-07-27,275264
E09000009,Ealing,ltla,2022-07-26,275256
E09000009,Ealing,ltla,2022-07-25,275245
E09000009,Ealing,ltla,2022-07-24,275241
E09000009,Ealing,ltla,2022-07-23,275235
E09000009,Ealing,ltla,2022-07-22,275223
E09000009,Ealing,ltla,2022-07-21,275210
E09000009,Ealing,ltla,2022-07-20,275203
E09000009,Ealing,ltla,2022-07-19,275193
E09000009,Ealing,ltla,2022-07-18,275171
E09000009,Ealing,ltla,2022-07-17,275168
E09000009,Ealing,ltla,2022-07-16,275164
E09000009,Ealing,ltla,2022-07-15,275145
E09000009,Ealing,ltla,2022-07-14,275139
E09000009,Ealing,ltla,2022-07-13,275129
E09000009,Ealing,ltla,2022-07-12,275121
E09000009,Ealing,ltla,2022-07-11,275112
E09000009,Ealing,ltla,2022-07-10,275106
E09000009,Ealing,ltla,2022-07-09,275095
E09000009,Ealing,ltla,2022-07-08,275085
E09000009,Ealing,ltla,2022-07-07,275073
E09000009,Ealing,ltla,2022-07-06,275062
E09000009,Ealing,ltla,2022-07-05,275057
E09000009,Ealing,ltla,2022-07-04,275048
E09000009,Ealing,ltla,2022-07-03,275037
E09000009,Ealing,ltla,2022-07-02,275027
E09000009,Ealing,ltla,2022-07-01,274999
E09000009,Ealing,ltla,2022-06-30,274985
E09000009,Ealing,ltla,2022-06-29,274981
E09000009,Ealing,ltla,2022-06-28,274971
E09000009,Ealing,ltla,2022-06-27,274955
E09000009,Ealing,ltla,2022-06-26,274949
E09000009,Ealing,ltla,2022-06-25,274938
E09000009,Ealing,ltla,2022-06-24,274917
E09000009,Ealing,ltla,2022-06-23,274903
E09000009,Ealing,ltla,2022-06-22,274899
E09000009,Ealing,ltla,2022-06-21,274892
E09000009,Ealing,ltla,2022-06-20,274881
E09000009,Ealing,ltla,2022-06-19,274871
E09000009,Ealing,ltla,2022-06-18,274861
E09000009,Ealing,ltla,2022-06-17,274838
E09000009,Ealing,ltla,2022-06-16,274816
E09000009,Ealing,ltla,2022-06-15,274804
E09000009,Ealing,ltla,2022-06-14,274801
E09000009,Ealing,ltla,2022-06-13,274796
E09000009,Ealing,ltla,2022-06-12,274781
E09000009,Ealing,ltla,2022-06-11,274772
E09000009,Ealing,ltla,2022-06-10,274753
E09000009,Ealing,ltla,2022-06-09,274737
E09000009,Ealing,ltla,2022-06-08,274730
E09000009,Ealing,ltla,2022-06-07,274721
E09000009,Ealing,ltla,2022-06-06,274711
E09000009,Ealing,ltla,2022-06-05,274700
E09000009,Ealing,ltla,2022-06-04,274695
E09000009,Ealing,ltla,2022-06-03,274673
E09000009,Ealing,ltla,2022-06-02,274670
E09000009,Ealing,ltla,2022-06-01,274667
E09000009,Ealing,ltla,2022-05-31,274652
E09000009,Ealing,ltla,2022-05-30,274626
E09000009,Ealing,ltla,2022-05-29,274612
E09000009,Ealing,ltla,2022-05-28,274607
E09000009,Ealing,ltla,2022-05-27,274585
E09000009,Ealing,ltla,2022-05-26,274576
