areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E09000010,Enfield,ltla,2022-08-02,218685
E09000010,Enfield,ltla,2022-08-01,218683
E09000010,Enfield,ltla,2022-07-31,218680
E09000010,Enfield,ltla,2022-07-30,218678
E09000010,Enfield,ltla,2022-07-29,218674
E09000010,Enfield,ltla,2022-07-28,218667
E09000010,Enfield,ltla,2022-07-27,218657
E09000010,Enfield,ltla,2022-07-26,218653
E09000010,Enfield,ltla,2022-07-25,218649
E09000010,Enfield,ltla,2022-07-24,218644
E09000010,Enfield,ltla,2022-07-23,218642
E09000010,Enfield,ltla,2022-07-22,218631
E09000010,Enfield,ltla,2022-07-21,218627
E09000010,Enfield,ltla,2022-07-20,218616
E09000010,Enfield,ltla,2022-07-19,218614
E09000010,Enfield,ltla,2022-07-18,218607
E09000010,Enfield,ltla,2022-07-17,218604
E09000010,Enfield,ltla,2022-07-16,218603
E09000010,Enfield,ltla,2022-07-15,218600
E09000010,Enfield,ltla,2022-07-14,218594
E09000010,Enfield,ltla,2022-07-13,218588
E09000010,Enfield,ltla,2022-07-12,218585
E09000010,Enfield,ltla,2022-07-11,218574
E09000010,Enfield,ltla,2022-07-10,218570
E09000010,Enfield,ltla,2022-07-09,218568
E09000010,Enfield,ltla,2022-07-08,218557
E09000010,Enfield,ltla,2022-07-07,218551
E09000010,Enfield,ltla,2022-07-06,218540
E09000010,Enfield,ltla,2022-07-05,218533
E09000010,Enfield,ltla,2022-07-04,218520
E09000010,Enfield,ltla,2022-07-03,218515
E09000010,Enfield,ltla,2022-07-02,218513
E09000010,Enfield,ltla,2022-07-01,218501
E09000010,Enfield,ltla,2022-06-30,218491
E09000010,Enfield,ltla,2022-06-29,218486
E09000010,Enfield,ltla,2022-06-28,218480
E09000010,Enfield,ltla,2022-06-27,218472
E09000010,Enfield,ltla,2022-06-26,218468
E09000010,Enfield,ltla,2022-06-25,218462
E09000010,Enfield,ltla,2022-06-24,218444
E09000010,Enfield,ltla,2022-06-23,218437
E09000010,Enfield,ltla,2022-06-22,218416
E09000010,Enfield,ltla,2022-06-21,218414
E09000010,Enfield,ltla,2022-06-20,218406
E09000010,Enfield,ltla,2022-06-19,218403
E09000010,Enfield,ltla,2022-06-18,218401
E09000010,Enfield,ltla,2022-06-17,218395
E09000010,Enfield,ltla,2022-06-16,218387
E09000010,Enfield,ltla,2022-06-15,218382
E09000010,Enfield,ltla,2022-06-14,218379
E09000010,Enfield,ltla,2022-06-13,218364
E09000010,Enfield,ltla,2022-06-12,218361
E09000010,Enfield,ltla,2022-06-11,218358
E09000010,Enfield,ltla,2022-06-10,218345
E09000010,Enfield,ltla,2022-06-09,218336
E09000010,Enfield,ltla,2022-06-08,218320
E09000010,Enfield,ltla,2022-06-07,218316
E09000010,Enfield,ltla,2022-06-06,218299
E09000010,Enfield,ltla,2022-06-05,218295
E09000010,Enfield,ltla,2022-06-04,218291
E09000010,Enfield,ltla,2022-06-03,218285
E09000010,Enfield,ltla,2022-06-02,218283
E09000010,Enfield,ltla,2022-06-01,218283
E09000010,Enfield,ltla,2022-05-31,218272
E09000010,Enfield,ltla,2022-05-30,218256
E09000010,Enfield,ltla,2022-05-29,218248
E09000010,Enfield,ltla,2022-05-28,218241
E09000010,Enfield,ltla,2022-05-27,218227
E09000010,Enfield,ltla,2022-05-26,218219
E09000010,Enfield,ltla,2022-05-25,218209
E09000010,Enfield,ltla,2022-05-24,218204
E09000010,Enfield,ltla,2022-05-23,218194
E09000010,Enfield,ltla,2022-05-22,218190
E09000010,Enfield,ltla,2022-05-21,218183
E09000010,Enfield,ltla,2022-05-20,218164
E09000010,Enfield,ltla,2022-05-19,218146
E09000010,Enfield,ltla,2022-05-18,218125
E09000010,Enfield,ltla,2022-05-17,218115
E09000010,Enfield,ltla,2022-05-16,218094
E09000010,Enfield,ltla,2022-05-15,218084
E09000010,Enfield,ltla,2022-05-14,218080
E09000010,Enfield,ltla,2022-05-13,218053
E09000010,Enfield,ltla,2022-05-12,218044
E09000010,Enfield,ltla,2022-05-11,218020
E09000010,Enfield,ltla,2022-05-10,218018
E09000010,Enfield,ltla,2022-05-09,217994
E09000010,Enfield,ltla,2022-05-08,217986
E09000010,Enfield,ltla,2022-05-07,217981
E09000010,Enfield,ltla,2022-05-06,217959
E09000010,Enfield,ltla,2022-05-05,217943
E09000010,Enfield,ltla,2022-05-04,217926
E09000010,Enfield,ltla,2022-05-03,217911
E09000010,Enfield,ltla,2022-05-02,217895
E09000010,Enfield,ltla,2022-05-01,217892
E09000010,Enfield,ltla,2022-04-30,217886
E09000010,Enfield,ltla,2022-04-29,217859
E09000010,Enfield,ltla,2022-04-28,217845
E09000010,Enfield,ltla,2022-04-27,217825
E09000010,Enfield,ltla,2022-04-26,217812
E09000010,Enfield,ltla,2022-04-25,217789
E09000010,Enfield,ltla,2022-04-24,217777
E09000010,Enfield,ltla,2022-04-23,217772
E09000010,Enfield,ltla,2022-04-22,217743
E09000010,Enfield,ltla,2022-04-21,217705
E09000010,Enfield,ltla,2022-04-20,217683
E09000010,Enfield,ltla,2022-04-19,217672
E09000010,Enfield,ltla,2022-04-18,217638
E09000010,Enfield,ltla,2022-04-17,217634
E09000010,Enfield,ltla,2022-04-16,217628
E09000010,Enfield,ltla,2022-04-15,217604
E09000010,Enfield,ltla,2022-04-14,217596
E09000010,Enfield,ltla,2022-04-13,217543
E09000010,Enfield,ltla,2022-04-12,217525
E09000010,Enfield,ltla,2022-04-11,217478
E09000010,Enfield,ltla,2022-04-10,217446
E09000010,Enfield,ltla,2022-04-09,217435
E09000010,Enfield,ltla,2022-04-08,217405
E09000010,Enfield,ltla,2022-04-07,217388
E09000010,Enfield,ltla,2022-04-06,217366
E09000010,Enfield,ltla,2022-04-05,217354
E09000010,Enfield,ltla,2022-04-04,217305
E09000010,Enfield,ltla,2022-04-03,217295
E09000010,Enfield,ltla,2022-04-02,217279
E09000010,Enfield,ltla,2022-04-01,217249
E09000010,Enfield,ltla,2022-03-31,217217
E09000010,Enfield,ltla,2022-03-30,217198
E09000010,Enfield,ltla,2022-03-29,217177
E09000010,Enfield,ltla,2022-03-28,217163
E09000010,Enfield,ltla,2022-03-27,217149
E09000010,Enfield,ltla,2022-03-26,217140
E09000010,Enfield,ltla,2022-03-25,217103
E09000010,Enfield,ltla,2022-03-24,217059
E09000010,Enfield,ltla,2022-03-23,217040
E09000010,Enfield,ltla,2022-03-22,217025
E09000010,Enfield,ltla,2022-03-21,217011
E09000010,Enfield,ltla,2022-03-20,216989
E09000010,Enfield,ltla,2022-03-19,216973
E09000010,Enfield,ltla,2022-03-18,216936
E09000010,Enfield,ltla,2022-03-17,216918
E09000010,Enfield,ltla,2022-03-16,216895
E09000010,Enfield,ltla,2022-03-15,216880
E09000010,Enfield,ltla,2022-03-14,216856
E09000010,Enfield,ltla,2022-03-13,216825
E09000010,Enfield,ltla,2022-03-12,216808
E09000010,Enfield,ltla,2022-03-11,216776
E09000010,Enfield,ltla,2022-03-10,216760
E09000010,Enfield,ltla,2022-03-09,216739
E09000010,Enfield,ltla,2022-03-08,216724
E09000010,Enfield,ltla,2022-03-07,216705
E09000010,Enfield,ltla,2022-03-06,216678
E09000010,Enfield,ltla,2022-03-05,216664
E09000010,Enfield,ltla,2022-03-04,216635
E09000010,Enfield,ltla,2022-03-03,216590
E09000010,Enfield,ltla,2022-03-02,216564
E09000010,Enfield,ltla,2022-03-01,216539
E09000010,Enfield,ltla,2022-02-28,216511
E09000010,Enfield,ltla,2022-02-27,216491
E09000010,Enfield,ltla,2022-02-26,216476
E09000010,Enfield,ltla,2022-02-25,216442
E09000010,Enfield,ltla,2022-02-24,216393
E09000010,Enfield,ltla,2022-02-23,216354
E09000010,Enfield,ltla,2022-02-22,216322
E09000010,Enfield,ltla,2022-02-21,216277
E09000010,Enfield,ltla,2022-02-20,216251
E09000010,Enfield,ltla,2022-02-19,216229
E09000010,Enfield,ltla,2022-02-18,216203
E09000010,Enfield,ltla,2022-02-17,216159
E09000010,Enfield,ltla,2022-02-16,216116
E09000010,Enfield,ltla,2022-02-15,216078
E09000010,Enfield,ltla,2022-02-14,216005
E09000010,Enfield,ltla,2022-02-13,215960
E09000010,Enfield,ltla,2022-02-12,215930
E09000010,Enfield,ltla,2022-02-11,215864
E09000010,Enfield,ltla,2022-02-10,215811
E09000010,Enfield,ltla,2022-02-09,215744
E09000010,Enfield,ltla,2022-02-08,215694
E09000010,Enfield,ltla,2022-02-07,215625
E09000010,Enfield,ltla,2022-02-06,215591
E09000010,Enfield,ltla,2022-02-05,215576
E09000010,Enfield,ltla,2022-02-04,215512
E09000010,Enfield,ltla,2022-02-03,215463
E09000010,Enfield,ltla,2022-02-02,215379
E09000010,Enfield,ltla,2022-02-01,215328
E09000010,Enfield,ltla,2022-01-31,215241
E09000010,Enfield,ltla,2022-01-30,215150
E09000010,Enfield,ltla,2022-01-29,215111
E09000010,Enfield,ltla,2022-01-28,214987
E09000010,Enfield,ltla,2022-01-27,214860
E09000010,Enfield,ltla,2022-01-26,214778
E09000010,Enfield,ltla,2022-01-25,214706
E09000010,Enfield,ltla,2022-01-24,214609
E09000010,Enfield,ltla,2022-01-23,214544
E09000010,Enfield,ltla,2022-01-22,214501
E09000010,Enfield,ltla,2022-01-21,214414
E09000010,Enfield,ltla,2022-01-20,214325
E09000010,Enfield,ltla,2022-01-19,214232
E09000010,Enfield,ltla,2022-01-18,214156
E09000010,Enfield,ltla,2022-01-17,214047
E09000010,Enfield,ltla,2022-01-16,213966
E09000010,Enfield,ltla,2022-01-15,213904
E09000010,Enfield,ltla,2022-01-14,213785
E09000010,Enfield,ltla,2022-01-13,213652
E09000010,Enfield,ltla,2022-01-12,213555
E09000010,Enfield,ltla,2022-01-11,213493
E09000010,Enfield,ltla,2022-01-10,213396
E09000010,Enfield,ltla,2022-01-09,213308
E09000010,Enfield,ltla,2022-01-08,213234
E09000010,Enfield,ltla,2022-01-07,213086
E09000010,Enfield,ltla,2022-01-06,212987
E09000010,Enfield,ltla,2022-01-05,212857
E09000010,Enfield,ltla,2022-01-04,212729
E09000010,Enfield,ltla,2022-01-03,212563
E09000010,Enfield,ltla,2022-01-02,212476
E09000010,Enfield,ltla,2022-01-01,212407
E09000010,Enfield,ltla,2021-12-31,212402
E09000010,Enfield,ltla,2021-12-30,212347
E09000010,Enfield,ltla,2021-12-29,212171
E09000010,Enfield,ltla,2021-12-28,211998
E09000010,Enfield,ltla,2021-12-27,211826
E09000010,Enfield,ltla,2021-12-26,211713
E09000010,Enfield,ltla,2021-12-25,211708
E09000010,Enfield,ltla,2021-12-24,211707
E09000010,Enfield,ltla,2021-12-23,211610
E09000010,Enfield,ltla,2021-12-22,211419
E09000010,Enfield,ltla,2021-12-21,211212
E09000010,Enfield,ltla,2021-12-20,210986
E09000010,Enfield,ltla,2021-12-19,210798
E09000010,Enfield,ltla,2021-12-18,210625
E09000010,Enfield,ltla,2021-12-17,210456
E09000010,Enfield,ltla,2021-12-16,210237
E09000010,Enfield,ltla,2021-12-15,210111
E09000010,Enfield,ltla,2021-12-14,209977
E09000010,Enfield,ltla,2021-12-13,209832
E09000010,Enfield,ltla,2021-12-12,209688
E09000010,Enfield,ltla,2021-12-11,209577
E09000010,Enfield,ltla,2021-12-10,209436
E09000010,Enfield,ltla,2021-12-09,209314
E09000010,Enfield,ltla,2021-12-08,209190
E09000010,Enfield,ltla,2021-12-07,209098
E09000010,Enfield,ltla,2021-12-06,208995
E09000010,Enfield,ltla,2021-12-05,208906
E09000010,Enfield,ltla,2021-12-04,208798
E09000010,Enfield,ltla,2021-12-03,208641
E09000010,Enfield,ltla,2021-12-02,208515
E09000010,Enfield,ltla,2021-12-01,208402
E09000010,Enfield,ltla,2021-11-30,208297
E09000010,Enfield,ltla,2021-11-29,208132
E09000010,Enfield,ltla,2021-11-28,208071
E09000010,Enfield,ltla,2021-11-27,207972
E09000010,Enfield,ltla,2021-11-26,207852
E09000010,Enfield,ltla,2021-11-25,207703
E09000010,Enfield,ltla,2021-11-24,207642
E09000010,Enfield,ltla,2021-11-23,207570
E09000010,Enfield,ltla,2021-11-22,207473
E09000010,Enfield,ltla,2021-11-21,207406
E09000010,Enfield,ltla,2021-11-20,207335
E09000010,Enfield,ltla,2021-11-19,207189
E09000010,Enfield,ltla,2021-11-18,207067
E09000010,Enfield,ltla,2021-11-17,207006
E09000010,Enfield,ltla,2021-11-16,206936
E09000010,Enfield,ltla,2021-11-15,206803
E09000010,Enfield,ltla,2021-11-14,206736
E09000010,Enfield,ltla,2021-11-13,206649
E09000010,Enfield,ltla,2021-11-12,206453
E09000010,Enfield,ltla,2021-11-11,206349
E09000010,Enfield,ltla,2021-11-10,206270
E09000010,Enfield,ltla,2021-11-09,206194
E09000010,Enfield,ltla,2021-11-08,206033
E09000010,Enfield,ltla,2021-11-07,205951
E09000010,Enfield,ltla,2021-11-06,205857
E09000010,Enfield,ltla,2021-11-05,205681
E09000010,Enfield,ltla,2021-11-04,205513
E09000010,Enfield,ltla,2021-11-03,205450
E09000010,Enfield,ltla,2021-11-02,205344
E09000010,Enfield,ltla,2021-11-01,205171
E09000010,Enfield,ltla,2021-10-31,205059
E09000010,Enfield,ltla,2021-10-30,204965
E09000010,Enfield,ltla,2021-10-29,204776
E09000010,Enfield,ltla,2021-10-28,204586
E09000010,Enfield,ltla,2021-10-27,204430
E09000010,Enfield,ltla,2021-10-26,204231
E09000010,Enfield,ltla,2021-10-25,204064
E09000010,Enfield,ltla,2021-10-24,203929
E09000010,Enfield,ltla,2021-10-23,203785
E09000010,Enfield,ltla,2021-10-22,203663
E09000010,Enfield,ltla,2021-10-21,203357
E09000010,Enfield,ltla,2021-10-20,203179
E09000010,Enfield,ltla,2021-10-19,202886
E09000010,Enfield,ltla,2021-10-18,202731
E09000010,Enfield,ltla,2021-10-17,202635
E09000010,Enfield,ltla,2021-10-16,202525
E09000010,Enfield,ltla,2021-10-15,202422
E09000010,Enfield,ltla,2021-10-14,201963
E09000010,Enfield,ltla,2021-10-13,201780
E09000010,Enfield,ltla,2021-10-12,201556
E09000010,Enfield,ltla,2021-10-11,201357
E09000010,Enfield,ltla,2021-10-10,201221
E09000010,Enfield,ltla,2021-10-09,201154
E09000010,Enfield,ltla,2021-10-08,201050
E09000010,Enfield,ltla,2021-10-07,200724
E09000010,Enfield,ltla,2021-10-06,200400
E09000010,Enfield,ltla,2021-10-05,200282
E09000010,Enfield,ltla,2021-10-04,199881
E09000010,Enfield,ltla,2021-10-03,199720
E09000010,Enfield,ltla,2021-10-02,199651
E09000010,Enfield,ltla,2021-10-01,199550
E09000010,Enfield,ltla,2021-09-30,199230
E09000010,Enfield,ltla,2021-09-29,198965
E09000010,Enfield,ltla,2021-09-28,198870
E09000010,Enfield,ltla,2021-09-27,198755
E09000010,Enfield,ltla,2021-09-26,198580
E09000010,Enfield,ltla,2021-09-25,198536
E09000010,Enfield,ltla,2021-09-24,198427
E09000010,Enfield,ltla,2021-09-23,198294
E09000010,Enfield,ltla,2021-09-22,198121
E09000010,Enfield,ltla,2021-09-21,197979
E09000010,Enfield,ltla,2021-09-20,197860
E09000010,Enfield,ltla,2021-09-19,197774
E09000010,Enfield,ltla,2021-09-18,197726
E09000010,Enfield,ltla,2021-09-17,197621
E09000010,Enfield,ltla,2021-09-16,197510
E09000010,Enfield,ltla,2021-09-15,197397
E09000010,Enfield,ltla,2021-09-14,197329
E09000010,Enfield,ltla,2021-09-13,197207
E09000010,Enfield,ltla,2021-09-12,197122
E09000010,Enfield,ltla,2021-09-11,197059
E09000010,Enfield,ltla,2021-09-10,196924
E09000010,Enfield,ltla,2021-09-09,196769
E09000010,Enfield,ltla,2021-09-08,196665
E09000010,Enfield,ltla,2021-09-07,196585
E09000010,Enfield,ltla,2021-09-06,196450
E09000010,Enfield,ltla,2021-09-05,196351
E09000010,Enfield,ltla,2021-09-04,196286
E09000010,Enfield,ltla,2021-09-03,196187
E09000010,Enfield,ltla,2021-09-02,196055
E09000010,Enfield,ltla,2021-09-01,195940
E09000010,Enfield,ltla,2021-08-31,195723
E09000010,Enfield,ltla,2021-08-30,195601
E09000010,Enfield,ltla,2021-08-29,195576
E09000010,Enfield,ltla,2021-08-28,195463
E09000010,Enfield,ltla,2021-08-27,195330
E09000010,Enfield,ltla,2021-08-26,195157
E09000010,Enfield,ltla,2021-08-25,194987
E09000010,Enfield,ltla,2021-08-24,194766
E09000010,Enfield,ltla,2021-08-23,194576
E09000010,Enfield,ltla,2021-08-22,194389
E09000010,Enfield,ltla,2021-08-21,194233
E09000010,Enfield,ltla,2021-08-20,194012
E09000010,Enfield,ltla,2021-08-19,193792
E09000010,Enfield,ltla,2021-08-18,193636
E09000010,Enfield,ltla,2021-08-17,193494
E09000010,Enfield,ltla,2021-08-16,193267
E09000010,Enfield,ltla,2021-08-15,193121
E09000010,Enfield,ltla,2021-08-14,193033
E09000010,Enfield,ltla,2021-08-13,192830
E09000010,Enfield,ltla,2021-08-12,192680
E09000010,Enfield,ltla,2021-08-11,192501
E09000010,Enfield,ltla,2021-08-10,192346
E09000010,Enfield,ltla,2021-08-09,192188
E09000010,Enfield,ltla,2021-08-08,192065
E09000010,Enfield,ltla,2021-08-07,191981
E09000010,Enfield,ltla,2021-08-06,191817
E09000010,Enfield,ltla,2021-08-05,191714
E09000010,Enfield,ltla,2021-08-04,191573
E09000010,Enfield,ltla,2021-08-03,191480
E09000010,Enfield,ltla,2021-08-02,191322
E09000010,Enfield,ltla,2021-08-01,191236
E09000010,Enfield,ltla,2021-07-31,191117
E09000010,Enfield,ltla,2021-07-30,190967
E09000010,Enfield,ltla,2021-07-29,190835
E09000010,Enfield,ltla,2021-07-28,190702
E09000010,Enfield,ltla,2021-07-27,190568
E09000010,Enfield,ltla,2021-07-26,190398
E09000010,Enfield,ltla,2021-07-25,190194
E09000010,Enfield,ltla,2021-07-24,190119
