areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000090,Havant,ltla,2022-08-02,100276
E07000090,Havant,ltla,2022-08-01,100275
E07000090,Havant,ltla,2022-07-31,100275
E07000090,Havant,ltla,2022-07-30,100275
E07000090,Havant,ltla,2022-07-29,100275
E07000090,Havant,ltla,2022-07-28,100274
E07000090,Havant,ltla,2022-07-27,100273
E07000090,Havant,ltla,2022-07-26,100271
E07000090,Havant,ltla,2022-07-25,100268
E07000090,Havant,ltla,2022-07-24,100265
E07000090,Havant,ltla,2022-07-23,100265
E07000090,Havant,ltla,2022-07-22,100263
E07000090,Havant,ltla,2022-07-21,100261
E07000090,Havant,ltla,2022-07-20,100259
E07000090,Havant,ltla,2022-07-19,100258
E07000090,Havant,ltla,2022-07-18,100256
E07000090,Havant,ltla,2022-07-17,100254
E07000090,Havant,ltla,2022-07-16,100254
E07000090,Havant,ltla,2022-07-15,100251
E07000090,Havant,ltla,2022-07-14,100246
E07000090,Havant,ltla,2022-07-13,100246
E07000090,Havant,ltla,2022-07-12,100246
E07000090,Havant,ltla,2022-07-11,100246
E07000090,Havant,ltla,2022-07-10,100246
E07000090,Havant,ltla,2022-07-09,100246
E07000090,Havant,ltla,2022-07-08,100240
E07000090,Havant,ltla,2022-07-07,100238
E07000090,Havant,ltla,2022-07-06,100236
E07000090,Havant,ltla,2022-07-05,100236
E07000090,Havant,ltla,2022-07-04,100235
E07000090,Havant,ltla,2022-07-03,100235
E07000090,Havant,ltla,2022-07-02,100233
E07000090,Havant,ltla,2022-07-01,100232
E07000090,Havant,ltla,2022-06-30,100230
E07000090,Havant,ltla,2022-06-29,100229
E07000090,Havant,ltla,2022-06-28,100228
E07000090,Havant,ltla,2022-06-27,100226
E07000090,Havant,ltla,2022-06-26,100224
E07000090,Havant,ltla,2022-06-25,100223
E07000090,Havant,ltla,2022-06-24,100219
E07000090,Havant,ltla,2022-06-23,100217
E07000090,Havant,ltla,2022-06-22,100216
E07000090,Havant,ltla,2022-06-21,100213
E07000090,Havant,ltla,2022-06-20,100210
E07000090,Havant,ltla,2022-06-19,100209
E07000090,Havant,ltla,2022-06-18,100208
E07000090,Havant,ltla,2022-06-17,100205
E07000090,Havant,ltla,2022-06-16,100201
E07000090,Havant,ltla,2022-06-15,100201
E07000090,Havant,ltla,2022-06-14,100200
E07000090,Havant,ltla,2022-06-13,100200
E07000090,Havant,ltla,2022-06-12,100198
E07000090,Havant,ltla,2022-06-11,100195
E07000090,Havant,ltla,2022-06-10,100191
E07000090,Havant,ltla,2022-06-09,100185
E07000090,Havant,ltla,2022-06-08,100183
E07000090,Havant,ltla,2022-06-07,100182
E07000090,Havant,ltla,2022-06-06,100180
E07000090,Havant,ltla,2022-06-05,100176
E07000090,Havant,ltla,2022-06-04,100176
E07000090,Havant,ltla,2022-06-03,100175
E07000090,Havant,ltla,2022-06-02,100174
E07000090,Havant,ltla,2022-06-01,100174
E07000090,Havant,ltla,2022-05-31,100172
E07000090,Havant,ltla,2022-05-30,100168
E07000090,Havant,ltla,2022-05-29,100166
E07000090,Havant,ltla,2022-05-28,100163
E07000090,Havant,ltla,2022-05-27,100161
E07000090,Havant,ltla,2022-05-26,100157
E07000090,Havant,ltla,2022-05-25,100156
E07000090,Havant,ltla,2022-05-24,100156
E07000090,Havant,ltla,2022-05-23,100153
E07000090,Havant,ltla,2022-05-22,100151
E07000090,Havant,ltla,2022-05-21,100151
E07000090,Havant,ltla,2022-05-20,100146
E07000090,Havant,ltla,2022-05-19,100142
E07000090,Havant,ltla,2022-05-18,100139
E07000090,Havant,ltla,2022-05-17,100134
E07000090,Havant,ltla,2022-05-16,100128
E07000090,Havant,ltla,2022-05-15,100125
