areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E06000042,Milton Keynes,ltla,2022-08-02,212070
E06000042,Milton Keynes,ltla,2022-08-01,212058
E06000042,Milton Keynes,ltla,2022-07-31,212047
E06000042,Milton Keynes,ltla,2022-07-30,212046
E06000042,Milton Keynes,ltla,2022-07-29,212040
E06000042,Milton Keynes,ltla,2022-07-28,212033
E06000042,Milton Keynes,ltla,2022-07-27,212023
E06000042,Milton Keynes,ltla,2022-07-26,212016
E06000042,Milton Keynes,ltla,2022-07-25,212012
E06000042,Milton Keynes,ltla,2022-07-24,211996
E06000042,Milton Keynes,ltla,2022-07-23,211995
E06000042,Milton Keynes,ltla,2022-07-22,211988
E06000042,Milton Keynes,ltla,2022-07-21,211977
E06000042,Milton Keynes,ltla,2022-07-20,211958
E06000042,Milton Keynes,ltla,2022-07-19,211953
E06000042,Milton Keynes,ltla,2022-07-18,211945
E06000042,Milton Keynes,ltla,2022-07-17,211939
E06000042,Milton Keynes,ltla,2022-07-16,211939
E06000042,Milton Keynes,ltla,2022-07-15,211921
E06000042,Milton Keynes,ltla,2022-07-14,211912
E06000042,Milton Keynes,ltla,2022-07-13,211901
E06000042,Milton Keynes,ltla,2022-07-12,211894
E06000042,Milton Keynes,ltla,2022-07-11,211881
E06000042,Milton Keynes,ltla,2022-07-10,211872
E06000042,Milton Keynes,ltla,2022-07-09,211872
E06000042,Milton Keynes,ltla,2022-07-08,211861
E06000042,Milton Keynes,ltla,2022-07-07,211858
E06000042,Milton Keynes,ltla,2022-07-06,211846
E06000042,Milton Keynes,ltla,2022-07-05,211839
E06000042,Milton Keynes,ltla,2022-07-04,211824
E06000042,Milton Keynes,ltla,2022-07-03,211808
E06000042,Milton Keynes,ltla,2022-07-02,211808
E06000042,Milton Keynes,ltla,2022-07-01,211802
E06000042,Milton Keynes,ltla,2022-06-30,211794
E06000042,Milton Keynes,ltla,2022-06-29,211770
E06000042,Milton Keynes,ltla,2022-06-28,211764
E06000042,Milton Keynes,ltla,2022-06-27,211757
E06000042,Milton Keynes,ltla,2022-06-26,211749
E06000042,Milton Keynes,ltla,2022-06-25,211748
E06000042,Milton Keynes,ltla,2022-06-24,211738
E06000042,Milton Keynes,ltla,2022-06-23,211734
E06000042,Milton Keynes,ltla,2022-06-22,211723
E06000042,Milton Keynes,ltla,2022-06-21,211720
E06000042,Milton Keynes,ltla,2022-06-20,211715
E06000042,Milton Keynes,ltla,2022-06-19,211713
E06000042,Milton Keynes,ltla,2022-06-18,211710
E06000042,Milton Keynes,ltla,2022-06-17,211702
E06000042,Milton Keynes,ltla,2022-06-16,211698
E06000042,Milton Keynes,ltla,2022-06-15,211676
E06000042,Milton Keynes,ltla,2022-06-14,211675
E06000042,Milton Keynes,ltla,2022-06-13,211664
E06000042,Milton Keynes,ltla,2022-06-12,211652
E06000042,Milton Keynes,ltla,2022-06-11,211651
E06000042,Milton Keynes,ltla,2022-06-10,211641
E06000042,Milton Keynes,ltla,2022-06-09,211638
E06000042,Milton Keynes,ltla,2022-06-08,211626
E06000042,Milton Keynes,ltla,2022-06-07,211619
E06000042,Milton Keynes,ltla,2022-06-06,211600
E06000042,Milton Keynes,ltla,2022-06-05,211584
E06000042,Milton Keynes,ltla,2022-06-04,211580
E06000042,Milton Keynes,ltla,2022-06-03,211571
E06000042,Milton Keynes,ltla,2022-06-02,211570
E06000042,Milton Keynes,ltla,2022-06-01,211570
E06000042,Milton Keynes,ltla,2022-05-31,211561
E06000042,Milton Keynes,ltla,2022-05-30,211540
E06000042,Milton Keynes,ltla,2022-05-29,211522
E06000042,Milton Keynes,ltla,2022-05-28,211522
E06000042,Milton Keynes,ltla,2022-05-27,211519
E06000042,Milton Keynes,ltla,2022-05-26,211512
E06000042,Milton Keynes,ltla,2022-05-25,211489
E06000042,Milton Keynes,ltla,2022-05-24,211488
E06000042,Milton Keynes,ltla,2022-05-23,211474
E06000042,Milton Keynes,ltla,2022-05-22,211473
E06000042,Milton Keynes,ltla,2022-05-21,211471
E06000042,Milton Keynes,ltla,2022-05-20,211465
E06000042,Milton Keynes,ltla,2022-05-19,211428
E06000042,Milton Keynes,ltla,2022-05-18,211395
E06000042,Milton Keynes,ltla,2022-05-17,211391
E06000042,Milton Keynes,ltla,2022-05-16,211383
E06000042,Milton Keynes,ltla,2022-05-15,211377
E06000042,Milton Keynes,ltla,2022-05-14,211376
E06000042,Milton Keynes,ltla,2022-05-13,211371
E06000042,Milton Keynes,ltla,2022-05-12,211338
E06000042,Milton Keynes,ltla,2022-05-11,211310
E06000042,Milton Keynes,ltla,2022-05-10,211308
E06000042,Milton Keynes,ltla,2022-05-09,211291
E06000042,Milton Keynes,ltla,2022-05-08,211287
E06000042,Milton Keynes,ltla,2022-05-07,211284
E06000042,Milton Keynes,ltla,2022-05-06,211269
E06000042,Milton Keynes,ltla,2022-05-05,211245
E06000042,Milton Keynes,ltla,2022-05-04,211234
E06000042,Milton Keynes,ltla,2022-05-03,211219
E06000042,Milton Keynes,ltla,2022-05-02,211194
E06000042,Milton Keynes,ltla,2022-05-01,211191
E06000042,Milton Keynes,ltla,2022-04-30,211189
E06000042,Milton Keynes,ltla,2022-04-29,211173
E06000042,Milton Keynes,ltla,2022-04-28,211164
E06000042,Milton Keynes,ltla,2022-04-27,211149
E06000042,Milton Keynes,ltla,2022-04-26,211139
E06000042,Milton Keynes,ltla,2022-04-25,211129
E06000042,Milton Keynes,ltla,2022-04-24,211123
E06000042,Milton Keynes,ltla,2022-04-23,211121
E06000042,Milton Keynes,ltla,2022-04-22,211103
E06000042,Milton Keynes,ltla,2022-04-21,211046
E06000042,Milton Keynes,ltla,2022-04-20,210989
E06000042,Milton Keynes,ltla,2022-04-19,210986
E06000042,Milton Keynes,ltla,2022-04-18,210957
E06000042,Milton Keynes,ltla,2022-04-17,210930
E06000042,Milton Keynes,ltla,2022-04-16,210929
E06000042,Milton Keynes,ltla,2022-04-15,210926
E06000042,Milton Keynes,ltla,2022-04-14,210879
E06000042,Milton Keynes,ltla,2022-04-13,210831
E06000042,Milton Keynes,ltla,2022-04-12,210830
E06000042,Milton Keynes,ltla,2022-04-11,210817
E06000042,Milton Keynes,ltla,2022-04-10,210793
E06000042,Milton Keynes,ltla,2022-04-09,210779
E06000042,Milton Keynes,ltla,2022-04-08,210755
E06000042,Milton Keynes,ltla,2022-04-07,210729
E06000042,Milton Keynes,ltla,2022-04-06,210679
E06000042,Milton Keynes,ltla,2022-04-05,210674
E06000042,Milton Keynes,ltla,2022-04-04,210656
E06000042,Milton Keynes,ltla,2022-04-03,210638
E06000042,Milton Keynes,ltla,2022-04-02,210619
E06000042,Milton Keynes,ltla,2022-04-01,210608
E06000042,Milton Keynes,ltla,2022-03-31,210586
E06000042,Milton Keynes,ltla,2022-03-30,210563
E06000042,Milton Keynes,ltla,2022-03-29,210557
E06000042,Milton Keynes,ltla,2022-03-28,210550
E06000042,Milton Keynes,ltla,2022-03-27,210541
E06000042,Milton Keynes,ltla,2022-03-26,210540
E06000042,Milton Keynes,ltla,2022-03-25,210521
E06000042,Milton Keynes,ltla,2022-03-24,210506
E06000042,Milton Keynes,ltla,2022-03-23,210489
E06000042,Milton Keynes,ltla,2022-03-22,210477
E06000042,Milton Keynes,ltla,2022-03-21,210466
E06000042,Milton Keynes,ltla,2022-03-20,210446
E06000042,Milton Keynes,ltla,2022-03-19,210439
E06000042,Milton Keynes,ltla,2022-03-18,210424
E06000042,Milton Keynes,ltla,2022-03-17,210395
E06000042,Milton Keynes,ltla,2022-03-16,210380
E06000042,Milton Keynes,ltla,2022-03-15,210362
E06000042,Milton Keynes,ltla,2022-03-14,210341
E06000042,Milton Keynes,ltla,2022-03-13,210320
E06000042,Milton Keynes,ltla,2022-03-12,210306
E06000042,Milton Keynes,ltla,2022-03-11,210288
