areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000195,Newcastle-under-Lyme,ltla,2022-08-02,100655
E07000195,Newcastle-under-Lyme,ltla,2022-08-01,100655
E07000195,Newcastle-under-Lyme,ltla,2022-07-31,100651
E07000195,Newcastle-under-Lyme,ltla,2022-07-30,100650
E07000195,Newcastle-under-Lyme,ltla,2022-07-29,100649
E07000195,Newcastle-under-Lyme,ltla,2022-07-28,100649
E07000195,Newcastle-under-Lyme,ltla,2022-07-27,100642
E07000195,Newcastle-under-Lyme,ltla,2022-07-26,100642
E07000195,Newcastle-under-Lyme,ltla,2022-07-25,100639
E07000195,Newcastle-under-Lyme,ltla,2022-07-24,100638
E07000195,Newcastle-under-Lyme,ltla,2022-07-23,100638
E07000195,Newcastle-under-Lyme,ltla,2022-07-22,100635
E07000195,Newcastle-under-Lyme,ltla,2022-07-21,100635
E07000195,Newcastle-under-Lyme,ltla,2022-07-20,100631
E07000195,Newcastle-under-Lyme,ltla,2022-07-19,100629
E07000195,Newcastle-under-Lyme,ltla,2022-07-18,100628
E07000195,Newcastle-under-Lyme,ltla,2022-07-17,100628
E07000195,Newcastle-under-Lyme,ltla,2022-07-16,100628
E07000195,Newcastle-under-Lyme,ltla,2022-07-15,100627
E07000195,Newcastle-under-Lyme,ltla,2022-07-14,100626
E07000195,Newcastle-under-Lyme,ltla,2022-07-13,100623
E07000195,Newcastle-under-Lyme,ltla,2022-07-12,100623
E07000195,Newcastle-under-Lyme,ltla,2022-07-11,100621
E07000195,Newcastle-under-Lyme,ltla,2022-07-10,100620
E07000195,Newcastle-under-Lyme,ltla,2022-07-09,100618
E07000195,Newcastle-under-Lyme,ltla,2022-07-08,100617
E07000195,Newcastle-under-Lyme,ltla,2022-07-07,100617
E07000195,Newcastle-under-Lyme,ltla,2022-07-06,100610
E07000195,Newcastle-under-Lyme,ltla,2022-07-05,100609
E07000195,Newcastle-under-Lyme,ltla,2022-07-04,100608
E07000195,Newcastle-under-Lyme,ltla,2022-07-03,100608
E07000195,Newcastle-under-Lyme,ltla,2022-07-02,100608
E07000195,Newcastle-under-Lyme,ltla,2022-07-01,100605
E07000195,Newcastle-under-Lyme,ltla,2022-06-30,100604
E07000195,Newcastle-under-Lyme,ltla,2022-06-29,100598
E07000195,Newcastle-under-Lyme,ltla,2022-06-28,100594
E07000195,Newcastle-under-Lyme,ltla,2022-06-27,100593
E07000195,Newcastle-under-Lyme,ltla,2022-06-26,100591
E07000195,Newcastle-under-Lyme,ltla,2022-06-25,100587
E07000195,Newcastle-under-Lyme,ltla,2022-06-24,100586
E07000195,Newcastle-under-Lyme,ltla,2022-06-23,100585
E07000195,Newcastle-under-Lyme,ltla,2022-06-22,100582
E07000195,Newcastle-under-Lyme,ltla,2022-06-21,100578
E07000195,Newcastle-under-Lyme,ltla,2022-06-20,100578
E07000195,Newcastle-under-Lyme,ltla,2022-06-19,100576
E07000195,Newcastle-under-Lyme,ltla,2022-06-18,100576
E07000195,Newcastle-under-Lyme,ltla,2022-06-17,100574
E07000195,Newcastle-under-Lyme,ltla,2022-06-16,100573
E07000195,Newcastle-under-Lyme,ltla,2022-06-15,100571
E07000195,Newcastle-under-Lyme,ltla,2022-06-14,100571
E07000195,Newcastle-under-Lyme,ltla,2022-06-13,100566
E07000195,Newcastle-under-Lyme,ltla,2022-06-12,100565
E07000195,Newcastle-under-Lyme,ltla,2022-06-11,100563
E07000195,Newcastle-under-Lyme,ltla,2022-06-10,100563
E07000195,Newcastle-under-Lyme,ltla,2022-06-09,100558
E07000195,Newcastle-under-Lyme,ltla,2022-06-08,100552
E07000195,Newcastle-under-Lyme,ltla,2022-06-07,100551
E07000195,Newcastle-under-Lyme,ltla,2022-06-06,100551
E07000195,Newcastle-under-Lyme,ltla,2022-06-05,100550
E07000195,Newcastle-under-Lyme,ltla,2022-06-04,100549
E07000195,Newcastle-under-Lyme,ltla,2022-06-03,100547
E07000195,Newcastle-under-Lyme,ltla,2022-06-02,100547
E07000195,Newcastle-under-Lyme,ltla,2022-06-01,100546
E07000195,Newcastle-under-Lyme,ltla,2022-05-31,100543
E07000195,Newcastle-under-Lyme,ltla,2022-05-30,100541
E07000195,Newcastle-under-Lyme,ltla,2022-05-29,100538
E07000195,Newcastle-under-Lyme,ltla,2022-05-28,100536
E07000195,Newcastle-under-Lyme,ltla,2022-05-27,100534
E07000195,Newcastle-under-Lyme,ltla,2022-05-26,100525
E07000195,Newcastle-under-Lyme,ltla,2022-05-25,100509
E07000195,Newcastle-under-Lyme,ltla,2022-05-24,100504
E07000195,Newcastle-under-Lyme,ltla,2022-05-23,100501
E07000195,Newcastle-under-Lyme,ltla,2022-05-22,100497
E07000195,Newcastle-under-Lyme,ltla,2022-05-21,100493
E07000195,Newcastle-under-Lyme,ltla,2022-05-20,100492
E07000195,Newcastle-under-Lyme,ltla,2022-05-19,100487
E07000195,Newcastle-under-Lyme,ltla,2022-05-18,100482
E07000195,Newcastle-under-Lyme,ltla,2022-05-17,100479
E07000195,Newcastle-under-Lyme,ltla,2022-05-16,100476
E07000195,Newcastle-under-Lyme,ltla,2022-05-15,100470
E07000195,Newcastle-under-Lyme,ltla,2022-05-14,100468
E07000195,Newcastle-under-Lyme,ltla,2022-05-13,100458
E07000195,Newcastle-under-Lyme,ltla,2022-05-12,100450
E07000195,Newcastle-under-Lyme,ltla,2022-05-11,100440
E07000195,Newcastle-under-Lyme,ltla,2022-05-10,100433
E07000195,Newcastle-under-Lyme,ltla,2022-05-09,100432
E07000195,Newcastle-under-Lyme,ltla,2022-05-08,100423
E07000195,Newcastle-under-Lyme,ltla,2022-05-07,100423
E07000195,Newcastle-under-Lyme,ltla,2022-05-06,100411
E07000195,Newcastle-under-Lyme,ltla,2022-05-05,100404
E07000195,Newcastle-under-Lyme,ltla,2022-05-04,100394
E07000195,Newcastle-under-Lyme,ltla,2022-05-03,100386
E07000195,Newcastle-under-Lyme,ltla,2022-05-02,100375
E07000195,Newcastle-under-Lyme,ltla,2022-05-01,100375
E07000195,Newcastle-under-Lyme,ltla,2022-04-30,100372
E07000195,Newcastle-under-Lyme,ltla,2022-04-29,100364
E07000195,Newcastle-under-Lyme,ltla,2022-04-28,100355
E07000195,Newcastle-under-Lyme,ltla,2022-04-27,100347
E07000195,Newcastle-under-Lyme,ltla,2022-04-26,100344
E07000195,Newcastle-under-Lyme,ltla,2022-04-25,100340
E07000195,Newcastle-under-Lyme,ltla,2022-04-24,100338
E07000195,Newcastle-under-Lyme,ltla,2022-04-23,100332
E07000195,Newcastle-under-Lyme,ltla,2022-04-22,100317
E07000195,Newcastle-under-Lyme,ltla,2022-04-21,100306
E07000195,Newcastle-under-Lyme,ltla,2022-04-20,100286
E07000195,Newcastle-under-Lyme,ltla,2022-04-19,100280
E07000195,Newcastle-under-Lyme,ltla,2022-04-18,100275
E07000195,Newcastle-under-Lyme,ltla,2022-04-17,100275
E07000195,Newcastle-under-Lyme,ltla,2022-04-16,100275
E07000195,Newcastle-under-Lyme,ltla,2022-04-15,100264
E07000195,Newcastle-under-Lyme,ltla,2022-04-14,100264
E07000195,Newcastle-under-Lyme,ltla,2022-04-13,100259
E07000195,Newcastle-under-Lyme,ltla,2022-04-12,100243
E07000195,Newcastle-under-Lyme,ltla,2022-04-11,100235
E07000195,Newcastle-under-Lyme,ltla,2022-04-10,100222
E07000195,Newcastle-under-Lyme,ltla,2022-04-09,100221
E07000195,Newcastle-under-Lyme,ltla,2022-04-08,100212
E07000195,Newcastle-under-Lyme,ltla,2022-04-07,100209
E07000195,Newcastle-under-Lyme,ltla,2022-04-06,100202
E07000195,Newcastle-under-Lyme,ltla,2022-04-05,100186
E07000195,Newcastle-under-Lyme,ltla,2022-04-04,100176
E07000195,Newcastle-under-Lyme,ltla,2022-04-03,100174
E07000195,Newcastle-under-Lyme,ltla,2022-04-02,100166
E07000195,Newcastle-under-Lyme,ltla,2022-04-01,100163
E07000195,Newcastle-under-Lyme,ltla,2022-03-31,100161
E07000195,Newcastle-under-Lyme,ltla,2022-03-30,100142
E07000195,Newcastle-under-Lyme,ltla,2022-03-29,100133
E07000195,Newcastle-under-Lyme,ltla,2022-03-28,100131
E07000195,Newcastle-under-Lyme,ltla,2022-03-27,100117
E07000195,Newcastle-under-Lyme,ltla,2022-03-26,100114
E07000195,Newcastle-under-Lyme,ltla,2022-03-25,100110
E07000195,Newcastle-under-Lyme,ltla,2022-03-24,100100
E07000195,Newcastle-under-Lyme,ltla,2022-03-23,100097
E07000195,Newcastle-under-Lyme,ltla,2022-03-22,100096
E07000195,Newcastle-under-Lyme,ltla,2022-03-21,100082
E07000195,Newcastle-under-Lyme,ltla,2022-03-20,100075
E07000195,Newcastle-under-Lyme,ltla,2022-03-19,100075
E07000195,Newcastle-under-Lyme,ltla,2022-03-18,100071
E07000195,Newcastle-under-Lyme,ltla,2022-03-17,100064
E07000195,Newcastle-under-Lyme,ltla,2022-03-16,100046
E07000195,Newcastle-under-Lyme,ltla,2022-03-15,100040
E07000195,Newcastle-under-Lyme,ltla,2022-03-14,100012
E07000195,Newcastle-under-Lyme,ltla,2022-03-13,100004
E07000195,Newcastle-under-Lyme,ltla,2022-03-12,99999
E07000195,Newcastle-under-Lyme,ltla,2022-03-11,99992
E07000195,Newcastle-under-Lyme,ltla,2022-03-10,99979
E07000195,Newcastle-under-Lyme,ltla,2022-03-09,99939
E07000195,Newcastle-under-Lyme,ltla,2022-03-08,99938
E07000195,Newcastle-under-Lyme,ltla,2022-03-07,99927
E07000195,Newcastle-under-Lyme,ltla,2022-03-06,99921
E07000195,Newcastle-under-Lyme,ltla,2022-03-05,99914
E07000195,Newcastle-under-Lyme,ltla,2022-03-04,99910
E07000195,Newcastle-under-Lyme,ltla,2022-03-03,99902
E07000195,Newcastle-under-Lyme,ltla,2022-03-02,99884
E07000195,Newcastle-under-Lyme,ltla,2022-03-01,99881
E07000195,Newcastle-under-Lyme,ltla,2022-02-28,99862
E07000195,Newcastle-under-Lyme,ltla,2022-02-27,99816
E07000195,Newcastle-under-Lyme,ltla,2022-02-26,99811
E07000195,Newcastle-under-Lyme,ltla,2022-02-25,99806
E07000195,Newcastle-under-Lyme,ltla,2022-02-24,99794
