areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000219,Nuneaton and Bedworth,ltla,2022-08-02,102500
E07000219,Nuneaton and Bedworth,ltla,2022-08-01,102500
E07000219,Nuneaton and Bedworth,ltla,2022-07-31,102500
E07000219,Nuneaton and Bedworth,ltla,2022-07-30,102499
E07000219,Nuneaton and Bedworth,ltla,2022-07-29,102494
E07000219,Nuneaton and Bedworth,ltla,2022-07-28,102494
E07000219,Nuneaton and Bedworth,ltla,2022-07-27,102494
E07000219,Nuneaton and Bedworth,ltla,2022-07-26,102490
E07000219,Nuneaton and Bedworth,ltla,2022-07-25,102489
E07000219,Nuneaton and Bedworth,ltla,2022-07-24,102480
E07000219,Nuneaton and Bedworth,ltla,2022-07-23,102479
E07000219,Nuneaton and Bedworth,ltla,2022-07-22,102479
E07000219,Nuneaton and Bedworth,ltla,2022-07-21,102477
E07000219,Nuneaton and Bedworth,ltla,2022-07-20,102475
E07000219,Nuneaton and Bedworth,ltla,2022-07-19,102470
E07000219,Nuneaton and Bedworth,ltla,2022-07-18,102470
E07000219,Nuneaton and Bedworth,ltla,2022-07-17,102470
E07000219,Nuneaton and Bedworth,ltla,2022-07-16,102470
E07000219,Nuneaton and Bedworth,ltla,2022-07-15,102469
E07000219,Nuneaton and Bedworth,ltla,2022-07-14,102468
E07000219,Nuneaton and Bedworth,ltla,2022-07-13,102468
E07000219,Nuneaton and Bedworth,ltla,2022-07-12,102462
E07000219,Nuneaton and Bedworth,ltla,2022-07-11,102462
E07000219,Nuneaton and Bedworth,ltla,2022-07-10,102462
E07000219,Nuneaton and Bedworth,ltla,2022-07-09,102461
E07000219,Nuneaton and Bedworth,ltla,2022-07-08,102461
E07000219,Nuneaton and Bedworth,ltla,2022-07-07,102458
E07000219,Nuneaton and Bedworth,ltla,2022-07-06,102455
E07000219,Nuneaton and Bedworth,ltla,2022-07-05,102449
E07000219,Nuneaton and Bedworth,ltla,2022-07-04,102449
E07000219,Nuneaton and Bedworth,ltla,2022-07-03,102449
E07000219,Nuneaton and Bedworth,ltla,2022-07-02,102448
E07000219,Nuneaton and Bedworth,ltla,2022-07-01,102444
E07000219,Nuneaton and Bedworth,ltla,2022-06-30,102441
E07000219,Nuneaton and Bedworth,ltla,2022-06-29,102438
E07000219,Nuneaton and Bedworth,ltla,2022-06-28,102434
E07000219,Nuneaton and Bedworth,ltla,2022-06-27,102434
E07000219,Nuneaton and Bedworth,ltla,2022-06-26,102432
E07000219,Nuneaton and Bedworth,ltla,2022-06-25,102432
E07000219,Nuneaton and Bedworth,ltla,2022-06-24,102428
E07000219,Nuneaton and Bedworth,ltla,2022-06-23,102426
E07000219,Nuneaton and Bedworth,ltla,2022-06-22,102425
E07000219,Nuneaton and Bedworth,ltla,2022-06-21,102423
E07000219,Nuneaton and Bedworth,ltla,2022-06-20,102422
E07000219,Nuneaton and Bedworth,ltla,2022-06-19,102420
E07000219,Nuneaton and Bedworth,ltla,2022-06-18,102420
E07000219,Nuneaton and Bedworth,ltla,2022-06-17,102420
E07000219,Nuneaton and Bedworth,ltla,2022-06-16,102420
E07000219,Nuneaton and Bedworth,ltla,2022-06-15,102420
E07000219,Nuneaton and Bedworth,ltla,2022-06-14,102415
E07000219,Nuneaton and Bedworth,ltla,2022-06-13,102415
E07000219,Nuneaton and Bedworth,ltla,2022-06-12,102411
E07000219,Nuneaton and Bedworth,ltla,2022-06-11,102411
E07000219,Nuneaton and Bedworth,ltla,2022-06-10,102402
E07000219,Nuneaton and Bedworth,ltla,2022-06-09,102400
E07000219,Nuneaton and Bedworth,ltla,2022-06-08,102399
E07000219,Nuneaton and Bedworth,ltla,2022-06-07,102392
E07000219,Nuneaton and Bedworth,ltla,2022-06-06,102392
E07000219,Nuneaton and Bedworth,ltla,2022-06-05,102386
E07000219,Nuneaton and Bedworth,ltla,2022-06-04,102386
E07000219,Nuneaton and Bedworth,ltla,2022-06-03,102386
E07000219,Nuneaton and Bedworth,ltla,2022-06-02,102386
E07000219,Nuneaton and Bedworth,ltla,2022-06-01,102386
E07000219,Nuneaton and Bedworth,ltla,2022-05-31,102378
E07000219,Nuneaton and Bedworth,ltla,2022-05-30,102378
E07000219,Nuneaton and Bedworth,ltla,2022-05-29,102374
E07000219,Nuneaton and Bedworth,ltla,2022-05-28,102373
E07000219,Nuneaton and Bedworth,ltla,2022-05-27,102365
E07000219,Nuneaton and Bedworth,ltla,2022-05-26,102363
E07000219,Nuneaton and Bedworth,ltla,2022-05-25,102361
E07000219,Nuneaton and Bedworth,ltla,2022-05-24,102354
E07000219,Nuneaton and Bedworth,ltla,2022-05-23,102353
E07000219,Nuneaton and Bedworth,ltla,2022-05-22,102349
E07000219,Nuneaton and Bedworth,ltla,2022-05-21,102349
E07000219,Nuneaton and Bedworth,ltla,2022-05-20,102332
E07000219,Nuneaton and Bedworth,ltla,2022-05-19,102329
E07000219,Nuneaton and Bedworth,ltla,2022-05-18,102325
E07000219,Nuneaton and Bedworth,ltla,2022-05-17,102309
E07000219,Nuneaton and Bedworth,ltla,2022-05-16,102304
E07000219,Nuneaton and Bedworth,ltla,2022-05-15,102302
E07000219,Nuneaton and Bedworth,ltla,2022-05-14,102301
E07000219,Nuneaton and Bedworth,ltla,2022-05-13,102289
E07000219,Nuneaton and Bedworth,ltla,2022-05-12,102289
E07000219,Nuneaton and Bedworth,ltla,2022-05-11,102285
E07000219,Nuneaton and Bedworth,ltla,2022-05-10,102266
E07000219,Nuneaton and Bedworth,ltla,2022-05-09,102260
