areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E08000015,Wirral,ltla,2022-08-02,250790
E08000015,Wirral,ltla,2022-08-01,250787
E08000015,Wirral,ltla,2022-07-31,250783
E08000015,Wirral,ltla,2022-07-30,250783
E08000015,Wirral,ltla,2022-07-29,250781
E08000015,Wirral,ltla,2022-07-28,250778
E08000015,Wirral,ltla,2022-07-27,250771
E08000015,Wirral,ltla,2022-07-26,250768
E08000015,Wirral,ltla,2022-07-25,250761
E08000015,Wirral,ltla,2022-07-24,250753
E08000015,Wirral,ltla,2022-07-23,250753
E08000015,Wirral,ltla,2022-07-22,250746
E08000015,Wirral,ltla,2022-07-21,250742
E08000015,Wirral,ltla,2022-07-20,250734
E08000015,Wirral,ltla,2022-07-19,250732
E08000015,Wirral,ltla,2022-07-18,250727
E08000015,Wirral,ltla,2022-07-17,250722
E08000015,Wirral,ltla,2022-07-16,250722
E08000015,Wirral,ltla,2022-07-15,250716
E08000015,Wirral,ltla,2022-07-14,250708
E08000015,Wirral,ltla,2022-07-13,250703
E08000015,Wirral,ltla,2022-07-12,250698
E08000015,Wirral,ltla,2022-07-11,250697
E08000015,Wirral,ltla,2022-07-10,250691
E08000015,Wirral,ltla,2022-07-09,250690
E08000015,Wirral,ltla,2022-07-08,250678
E08000015,Wirral,ltla,2022-07-07,250667
E08000015,Wirral,ltla,2022-07-06,250663
E08000015,Wirral,ltla,2022-07-05,250656
E08000015,Wirral,ltla,2022-07-04,250652
E08000015,Wirral,ltla,2022-07-03,250643
E08000015,Wirral,ltla,2022-07-02,250642
E08000015,Wirral,ltla,2022-07-01,250627
E08000015,Wirral,ltla,2022-06-30,250618
E08000015,Wirral,ltla,2022-06-29,250609
E08000015,Wirral,ltla,2022-06-28,250598
E08000015,Wirral,ltla,2022-06-27,250595
E08000015,Wirral,ltla,2022-06-26,250585
E08000015,Wirral,ltla,2022-06-25,250585
E08000015,Wirral,ltla,2022-06-24,250568
E08000015,Wirral,ltla,2022-06-23,250560
E08000015,Wirral,ltla,2022-06-22,250555
E08000015,Wirral,ltla,2022-06-21,250540
E08000015,Wirral,ltla,2022-06-20,250530
E08000015,Wirral,ltla,2022-06-19,250525
E08000015,Wirral,ltla,2022-06-18,250525
E08000015,Wirral,ltla,2022-06-17,250516
E08000015,Wirral,ltla,2022-06-16,250512
E08000015,Wirral,ltla,2022-06-15,250509
E08000015,Wirral,ltla,2022-06-14,250500
E08000015,Wirral,ltla,2022-06-13,250492
E08000015,Wirral,ltla,2022-06-12,250483
E08000015,Wirral,ltla,2022-06-11,250483
E08000015,Wirral,ltla,2022-06-10,250469
E08000015,Wirral,ltla,2022-06-09,250460
E08000015,Wirral,ltla,2022-06-08,250453
E08000015,Wirral,ltla,2022-06-07,250450
E08000015,Wirral,ltla,2022-06-06,250446
E08000015,Wirral,ltla,2022-06-05,250435
E08000015,Wirral,ltla,2022-06-04,250435
E08000015,Wirral,ltla,2022-06-03,250435
E08000015,Wirral,ltla,2022-06-02,250435
E08000015,Wirral,ltla,2022-06-01,250435
E08000015,Wirral,ltla,2022-05-31,250424
E08000015,Wirral,ltla,2022-05-30,250411
E08000015,Wirral,ltla,2022-05-29,250396
E08000015,Wirral,ltla,2022-05-28,250395
E08000015,Wirral,ltla,2022-05-27,250381
E08000015,Wirral,ltla,2022-05-26,250369
E08000015,Wirral,ltla,2022-05-25,250355
E08000015,Wirral,ltla,2022-05-24,250344
E08000015,Wirral,ltla,2022-05-23,250328
E08000015,Wirral,ltla,2022-05-22,250319
E08000015,Wirral,ltla,2022-05-21,250319
E08000015,Wirral,ltla,2022-05-20,250300
E08000015,Wirral,ltla,2022-05-19,250283
E08000015,Wirral,ltla,2022-05-18,250272
E08000015,Wirral,ltla,2022-05-17,250252
E08000015,Wirral,ltla,2022-05-16,250242
E08000015,Wirral,ltla,2022-05-15,250223
E08000015,Wirral,ltla,2022-05-14,250223
E08000015,Wirral,ltla,2022-05-13,250205
E08000015,Wirral,ltla,2022-05-12,250195
E08000015,Wirral,ltla,2022-05-11,250174
E08000015,Wirral,ltla,2022-05-10,250161
E08000015,Wirral,ltla,2022-05-09,250143
E08000015,Wirral,ltla,2022-05-08,250114
E08000015,Wirral,ltla,2022-05-07,250112
E08000015,Wirral,ltla,2022-05-06,250079
E08000015,Wirral,ltla,2022-05-05,250065
E08000015,Wirral,ltla,2022-05-04,250047
E08000015,Wirral,ltla,2022-05-03,250026
E08000015,Wirral,ltla,2022-05-02,249997
E08000015,Wirral,ltla,2022-05-01,249997
E08000015,Wirral,ltla,2022-04-30,249997
E08000015,Wirral,ltla,2022-04-29,249969
E08000015,Wirral,ltla,2022-04-28,249953
E08000015,Wirral,ltla,2022-04-27,249927
E08000015,Wirral,ltla,2022-04-26,249907
E08000015,Wirral,ltla,2022-04-25,249888
E08000015,Wirral,ltla,2022-04-24,249862
E08000015,Wirral,ltla,2022-04-23,249860
E08000015,Wirral,ltla,2022-04-22,249826
E08000015,Wirral,ltla,2022-04-21,249799
E08000015,Wirral,ltla,2022-04-20,249770
E08000015,Wirral,ltla,2022-04-19,249746
E08000015,Wirral,ltla,2022-04-18,249703
E08000015,Wirral,ltla,2022-04-17,249703
E08000015,Wirral,ltla,2022-04-16,249703
E08000015,Wirral,ltla,2022-04-15,249681
E08000015,Wirral,ltla,2022-04-14,249681
E08000015,Wirral,ltla,2022-04-13,249643
E08000015,Wirral,ltla,2022-04-12,249606
E08000015,Wirral,ltla,2022-04-11,249567
E08000015,Wirral,ltla,2022-04-10,249517
E08000015,Wirral,ltla,2022-04-09,249517
E08000015,Wirral,ltla,2022-04-08,249481
E08000015,Wirral,ltla,2022-04-07,249454
E08000015,Wirral,ltla,2022-04-06,249424
E08000015,Wirral,ltla,2022-04-05,249401
E08000015,Wirral,ltla,2022-04-04,249378
E08000015,Wirral,ltla,2022-04-03,249357
E08000015,Wirral,ltla,2022-04-02,249355
E08000015,Wirral,ltla,2022-04-01,249338
E08000015,Wirral,ltla,2022-03-31,249326
E08000015,Wirral,ltla,2022-03-30,249295
E08000015,Wirral,ltla,2022-03-29,249283
E08000015,Wirral,ltla,2022-03-28,249266
E08000015,Wirral,ltla,2022-03-27,249242
E08000015,Wirral,ltla,2022-03-26,249242
E08000015,Wirral,ltla,2022-03-25,249220
E08000015,Wirral,ltla,2022-03-24,249193
E08000015,Wirral,ltla,2022-03-23,249174
E08000015,Wirral,ltla,2022-03-22,249158
E08000015,Wirral,ltla,2022-03-21,249142
E08000015,Wirral,ltla,2022-03-20,249123
E08000015,Wirral,ltla,2022-03-19,249123
E08000015,Wirral,ltla,2022-03-18,249101
E08000015,Wirral,ltla,2022-03-17,249053
E08000015,Wirral,ltla,2022-03-16,249039
E08000015,Wirral,ltla,2022-03-15,249021
E08000015,Wirral,ltla,2022-03-14,248995
E08000015,Wirral,ltla,2022-03-13,248972
E08000015,Wirral,ltla,2022-03-12,248969
E08000015,Wirral,ltla,2022-03-11,248949
E08000015,Wirral,ltla,2022-03-10,248917
E08000015,Wirral,ltla,2022-03-09,248897
E08000015,Wirral,ltla,2022-03-08,248876
E08000015,Wirral,ltla,2022-03-07,248861
E08000015,Wirral,ltla,2022-03-06,248841
E08000015,Wirral,ltla,2022-03-05,248841
E08000015,Wirral,ltla,2022-03-04,248823
E08000015,Wirral,ltla,2022-03-03,248803
E08000015,Wirral,ltla,2022-03-02,248791
E08000015,Wirral,ltla,2022-03-01,248768
E08000015,Wirral,ltla,2022-02-28,248751
E08000015,Wirral,ltla,2022-02-27,248715
E08000015,Wirral,ltla,2022-02-26,248714
E08000015,Wirral,ltla,2022-02-25,248690
E08000015,Wirral,ltla,2022-02-24,248657
E08000015,Wirral,ltla,2022-02-23,248633
E08000015,Wirral,ltla,2022-02-22,248593
E08000015,Wirral,ltla,2022-02-21,248556
E08000015,Wirral,ltla,2022-02-20,248510
E08000015,Wirral,ltla,2022-02-19,248507
E08000015,Wirral,ltla,2022-02-18,248471
E08000015,Wirral,ltla,2022-02-17,248429
E08000015,Wirral,ltla,2022-02-16,248405
E08000015,Wirral,ltla,2022-02-15,248340
E08000015,Wirral,ltla,2022-02-14,248287
E08000015,Wirral,ltla,2022-02-13,248230
E08000015,Wirral,ltla,2022-02-12,248224
E08000015,Wirral,ltla,2022-02-11,248180
E08000015,Wirral,ltla,2022-02-10,248126
E08000015,Wirral,ltla,2022-02-09,248091
E08000015,Wirral,ltla,2022-02-08,248030
E08000015,Wirral,ltla,2022-02-07,247978
E08000015,Wirral,ltla,2022-02-06,247874
E08000015,Wirral,ltla,2022-02-05,247871
E08000015,Wirral,ltla,2022-02-04,247830
E08000015,Wirral,ltla,2022-02-03,247773
E08000015,Wirral,ltla,2022-02-02,247712
E08000015,Wirral,ltla,2022-02-01,247630
E08000015,Wirral,ltla,2022-01-31,247557
E08000015,Wirral,ltla,2022-01-30,247441
E08000015,Wirral,ltla,2022-01-29,247434
E08000015,Wirral,ltla,2022-01-28,247371
E08000015,Wirral,ltla,2022-01-27,247270
E08000015,Wirral,ltla,2022-01-26,247168
E08000015,Wirral,ltla,2022-01-25,247074
E08000015,Wirral,ltla,2022-01-24,246977
E08000015,Wirral,ltla,2022-01-23,246887
E08000015,Wirral,ltla,2022-01-22,246884
E08000015,Wirral,ltla,2022-01-21,246806
E08000015,Wirral,ltla,2022-01-20,246717
E08000015,Wirral,ltla,2022-01-19,246651
E08000015,Wirral,ltla,2022-01-18,246543
E08000015,Wirral,ltla,2022-01-17,246475
E08000015,Wirral,ltla,2022-01-16,246361
E08000015,Wirral,ltla,2022-01-15,246357
E08000015,Wirral,ltla,2022-01-14,246282
E08000015,Wirral,ltla,2022-01-13,246188
E08000015,Wirral,ltla,2022-01-12,246102
E08000015,Wirral,ltla,2022-01-11,246026
E08000015,Wirral,ltla,2022-01-10,245938
E08000015,Wirral,ltla,2022-01-09,245853
E08000015,Wirral,ltla,2022-01-08,245848
E08000015,Wirral,ltla,2022-01-07,245712
E08000015,Wirral,ltla,2022-01-06,245603
E08000015,Wirral,ltla,2022-01-05,245492
E08000015,Wirral,ltla,2022-01-04,245352
E08000015,Wirral,ltla,2022-01-03,245253
E08000015,Wirral,ltla,2022-01-02,245166
E08000015,Wirral,ltla,2022-01-01,245161
E08000015,Wirral,ltla,2021-12-31,245161
E08000015,Wirral,ltla,2021-12-30,245069
E08000015,Wirral,ltla,2021-12-29,244857
E08000015,Wirral,ltla,2021-12-28,244667
E08000015,Wirral,ltla,2021-12-27,244605
E08000015,Wirral,ltla,2021-12-26,244573
E08000015,Wirral,ltla,2021-12-25,244573
E08000015,Wirral,ltla,2021-12-24,244573
E08000015,Wirral,ltla,2021-12-23,244554
E08000015,Wirral,ltla,2021-12-22,244422
E08000015,Wirral,ltla,2021-12-21,244265
E08000015,Wirral,ltla,2021-12-20,244026
E08000015,Wirral,ltla,2021-12-19,243839
E08000015,Wirral,ltla,2021-12-18,243764
E08000015,Wirral,ltla,2021-12-17,243606
E08000015,Wirral,ltla,2021-12-16,243489
E08000015,Wirral,ltla,2021-12-15,243390
E08000015,Wirral,ltla,2021-12-14,243278
E08000015,Wirral,ltla,2021-12-13,243169
E08000015,Wirral,ltla,2021-12-12,243076
E08000015,Wirral,ltla,2021-12-11,243045
E08000015,Wirral,ltla,2021-12-10,242961
E08000015,Wirral,ltla,2021-12-09,242802
E08000015,Wirral,ltla,2021-12-08,242720
E08000015,Wirral,ltla,2021-12-07,242641
E08000015,Wirral,ltla,2021-12-06,242479
E08000015,Wirral,ltla,2021-12-05,242427
E08000015,Wirral,ltla,2021-12-04,242410
E08000015,Wirral,ltla,2021-12-03,242308
E08000015,Wirral,ltla,2021-12-02,242225
E08000015,Wirral,ltla,2021-12-01,242133
E08000015,Wirral,ltla,2021-11-30,242024
E08000015,Wirral,ltla,2021-11-29,241933
E08000015,Wirral,ltla,2021-11-28,241864
E08000015,Wirral,ltla,2021-11-27,241857
E08000015,Wirral,ltla,2021-11-26,241754
E08000015,Wirral,ltla,2021-11-25,241698
E08000015,Wirral,ltla,2021-11-24,241631
E08000015,Wirral,ltla,2021-11-23,241561
E08000015,Wirral,ltla,2021-11-22,241508
E08000015,Wirral,ltla,2021-11-21,241458
E08000015,Wirral,ltla,2021-11-20,241414
E08000015,Wirral,ltla,2021-11-19,241323
E08000015,Wirral,ltla,2021-11-18,241257
E08000015,Wirral,ltla,2021-11-17,241198
E08000015,Wirral,ltla,2021-11-16,241102
E08000015,Wirral,ltla,2021-11-15,241014
E08000015,Wirral,ltla,2021-11-14,240938
E08000015,Wirral,ltla,2021-11-13,240870
E08000015,Wirral,ltla,2021-11-12,240738
E08000015,Wirral,ltla,2021-11-11,240446
E08000015,Wirral,ltla,2021-11-10,240329
E08000015,Wirral,ltla,2021-11-09,239997
E08000015,Wirral,ltla,2021-11-08,239917
E08000015,Wirral,ltla,2021-11-07,239629
E08000015,Wirral,ltla,2021-11-06,239362
E08000015,Wirral,ltla,2021-11-05,239273
E08000015,Wirral,ltla,2021-11-04,239062
E08000015,Wirral,ltla,2021-11-03,238768
E08000015,Wirral,ltla,2021-11-02,238437
E08000015,Wirral,ltla,2021-11-01,238265
E08000015,Wirral,ltla,2021-10-31,238083
E08000015,Wirral,ltla,2021-10-30,237782
E08000015,Wirral,ltla,2021-10-29,237718
E08000015,Wirral,ltla,2021-10-28,237622
E08000015,Wirral,ltla,2021-10-27,237504
E08000015,Wirral,ltla,2021-10-26,237422
E08000015,Wirral,ltla,2021-10-25,237306
E08000015,Wirral,ltla,2021-10-24,237225
E08000015,Wirral,ltla,2021-10-23,237213
E08000015,Wirral,ltla,2021-10-22,237165
E08000015,Wirral,ltla,2021-10-21,236865
E08000015,Wirral,ltla,2021-10-20,236678
E08000015,Wirral,ltla,2021-10-19,236562
E08000015,Wirral,ltla,2021-10-18,236365
E08000015,Wirral,ltla,2021-10-17,236092
E08000015,Wirral,ltla,2021-10-16,236077
E08000015,Wirral,ltla,2021-10-15,236030
E08000015,Wirral,ltla,2021-10-14,235883
E08000015,Wirral,ltla,2021-10-13,235818
E08000015,Wirral,ltla,2021-10-12,235419
E08000015,Wirral,ltla,2021-10-11,235004
E08000015,Wirral,ltla,2021-10-10,234781
E08000015,Wirral,ltla,2021-10-09,234759
E08000015,Wirral,ltla,2021-10-08,234688
E08000015,Wirral,ltla,2021-10-07,234436
E08000015,Wirral,ltla,2021-10-06,234166
E08000015,Wirral,ltla,2021-10-05,233895
E08000015,Wirral,ltla,2021-10-04,233734
E08000015,Wirral,ltla,2021-10-03,233485
E08000015,Wirral,ltla,2021-10-02,233468
E08000015,Wirral,ltla,2021-10-01,233383
E08000015,Wirral,ltla,2021-09-30,233272
E08000015,Wirral,ltla,2021-09-29,233073
E08000015,Wirral,ltla,2021-09-28,233014
E08000015,Wirral,ltla,2021-09-27,232956
E08000015,Wirral,ltla,2021-09-26,232906
E08000015,Wirral,ltla,2021-09-25,232897
E08000015,Wirral,ltla,2021-09-24,232831
E08000015,Wirral,ltla,2021-09-23,232754
E08000015,Wirral,ltla,2021-09-22,232694
E08000015,Wirral,ltla,2021-09-21,232619
E08000015,Wirral,ltla,2021-09-20,232539
E08000015,Wirral,ltla,2021-09-19,232461
E08000015,Wirral,ltla,2021-09-18,232449
E08000015,Wirral,ltla,2021-09-17,232361
E08000015,Wirral,ltla,2021-09-16,232269
E08000015,Wirral,ltla,2021-09-15,232194
E08000015,Wirral,ltla,2021-09-14,232111
E08000015,Wirral,ltla,2021-09-13,231985
E08000015,Wirral,ltla,2021-09-12,231883
E08000015,Wirral,ltla,2021-09-11,231873
E08000015,Wirral,ltla,2021-09-10,231783
E08000015,Wirral,ltla,2021-09-09,231525
E08000015,Wirral,ltla,2021-09-08,231379
E08000015,Wirral,ltla,2021-09-07,231267
E08000015,Wirral,ltla,2021-09-06,231086
E08000015,Wirral,ltla,2021-09-05,230958
E08000015,Wirral,ltla,2021-09-04,230948
E08000015,Wirral,ltla,2021-09-03,230802
E08000015,Wirral,ltla,2021-09-02,230669
E08000015,Wirral,ltla,2021-09-01,230487
E08000015,Wirral,ltla,2021-08-31,230315
E08000015,Wirral,ltla,2021-08-30,230079
E08000015,Wirral,ltla,2021-08-29,230077
E08000015,Wirral,ltla,2021-08-28,230069
E08000015,Wirral,ltla,2021-08-27,229863
E08000015,Wirral,ltla,2021-08-26,229707
E08000015,Wirral,ltla,2021-08-25,229474
E08000015,Wirral,ltla,2021-08-24,229193
E08000015,Wirral,ltla,2021-08-23,228897
E08000015,Wirral,ltla,2021-08-22,228639
E08000015,Wirral,ltla,2021-08-21,228611
E08000015,Wirral,ltla,2021-08-20,228340
E08000015,Wirral,ltla,2021-08-19,228113
E08000015,Wirral,ltla,2021-08-18,227877
E08000015,Wirral,ltla,2021-08-17,227606
E08000015,Wirral,ltla,2021-08-16,227198
E08000015,Wirral,ltla,2021-08-15,226859
E08000015,Wirral,ltla,2021-08-14,226846
E08000015,Wirral,ltla,2021-08-13,226635
E08000015,Wirral,ltla,2021-08-12,226448
E08000015,Wirral,ltla,2021-08-11,226349
E08000015,Wirral,ltla,2021-08-10,226189
E08000015,Wirral,ltla,2021-08-09,225989
E08000015,Wirral,ltla,2021-08-08,225921
E08000015,Wirral,ltla,2021-08-07,225899
E08000015,Wirral,ltla,2021-08-06,225748
E08000015,Wirral,ltla,2021-08-05,225639
E08000015,Wirral,ltla,2021-08-04,225477
E08000015,Wirral,ltla,2021-08-03,225282
E08000015,Wirral,ltla,2021-08-02,225175
E08000015,Wirral,ltla,2021-08-01,225068
E08000015,Wirral,ltla,2021-07-31,225051
E08000015,Wirral,ltla,2021-07-30,224930
E08000015,Wirral,ltla,2021-07-29,224834
E08000015,Wirral,ltla,2021-07-28,224711
E08000015,Wirral,ltla,2021-07-27,224605
E08000015,Wirral,ltla,2021-07-26,224452
E08000015,Wirral,ltla,2021-07-25,224330
E08000015,Wirral,ltla,2021-07-24,224284
E08000015,Wirral,ltla,2021-07-23,224071
E08000015,Wirral,ltla,2021-07-22,223837
E08000015,Wirral,ltla,2021-07-21,223677
E08000015,Wirral,ltla,2021-07-20,223558
E08000015,Wirral,ltla,2021-07-19,223386
E08000015,Wirral,ltla,2021-07-18,223222
E08000015,Wirral,ltla,2021-07-17,223194
E08000015,Wirral,ltla,2021-07-16,222946
E08000015,Wirral,ltla,2021-07-15,222777
E08000015,Wirral,ltla,2021-07-14,222535
E08000015,Wirral,ltla,2021-07-13,222308
E08000015,Wirral,ltla,2021-07-12,222041
E08000015,Wirral,ltla,2021-07-11,221828
E08000015,Wirral,ltla,2021-07-10,221765
E08000015,Wirral,ltla,2021-07-09,221482
E08000015,Wirral,ltla,2021-07-08,221178
E08000015,Wirral,ltla,2021-07-07,220894
E08000015,Wirral,ltla,2021-07-06,220641
E08000015,Wirral,ltla,2021-07-05,220229
E08000015,Wirral,ltla,2021-07-04,220005
E08000015,Wirral,ltla,2021-07-03,219949
E08000015,Wirral,ltla,2021-07-02,219577
E08000015,Wirral,ltla,2021-07-01,219278
E08000015,Wirral,ltla,2021-06-30,218933
E08000015,Wirral,ltla,2021-06-29,218452
E08000015,Wirral,ltla,2021-06-28,217946
E08000015,Wirral,ltla,2021-06-27,217371
E08000015,Wirral,ltla,2021-06-26,217284
E08000015,Wirral,ltla,2021-06-25,215978
E08000015,Wirral,ltla,2021-06-24,215422
E08000015,Wirral,ltla,2021-06-23,214547
E08000015,Wirral,ltla,2021-06-22,214123
E08000015,Wirral,ltla,2021-06-21,213453
E08000015,Wirral,ltla,2021-06-20,212755
E08000015,Wirral,ltla,2021-06-19,212714
E08000015,Wirral,ltla,2021-06-18,211168
E08000015,Wirral,ltla,2021-06-17,210663
E08000015,Wirral,ltla,2021-06-16,209726
E08000015,Wirral,ltla,2021-06-15,208960
E08000015,Wirral,ltla,2021-06-14,208252
E08000015,Wirral,ltla,2021-06-13,207821
E08000015,Wirral,ltla,2021-06-12,207639
E08000015,Wirral,ltla,2021-06-11,206474
E08000015,Wirral,ltla,2021-06-10,206158
E08000015,Wirral,ltla,2021-06-09,205576
E08000015,Wirral,ltla,2021-06-08,204868
E08000015,Wirral,ltla,2021-06-07,204591
E08000015,Wirral,ltla,2021-06-06,204386
E08000015,Wirral,ltla,2021-06-05,204029
E08000015,Wirral,ltla,2021-06-04,202834
E08000015,Wirral,ltla,2021-06-03,202586
E08000015,Wirral,ltla,2021-06-02,202104
E08000015,Wirral,ltla,2021-06-01,201635
E08000015,Wirral,ltla,2021-05-31,201572
E08000015,Wirral,ltla,2021-05-30,201549
E08000015,Wirral,ltla,2021-05-29,201522
E08000015,Wirral,ltla,2021-05-28,200978
E08000015,Wirral,ltla,2021-05-27,200711
E08000015,Wirral,ltla,2021-05-26,200150
E08000015,Wirral,ltla,2021-05-25,199444
E08000015,Wirral,ltla,2021-05-24,198297
E08000015,Wirral,ltla,2021-05-23,198029
E08000015,Wirral,ltla,2021-05-22,197991
E08000015,Wirral,ltla,2021-05-21,197700
E08000015,Wirral,ltla,2021-05-20,196062
E08000015,Wirral,ltla,2021-05-19,194393
E08000015,Wirral,ltla,2021-05-18,192581
E08000015,Wirral,ltla,2021-05-17,191105
E08000015,Wirral,ltla,2021-05-16,190438
E08000015,Wirral,ltla,2021-05-15,189572
E08000015,Wirral,ltla,2021-05-14,187507
E08000015,Wirral,ltla,2021-05-13,186419
E08000015,Wirral,ltla,2021-05-12,185606
E08000015,Wirral,ltla,2021-05-11,184748
E08000015,Wirral,ltla,2021-05-10,184197
E08000015,Wirral,ltla,2021-05-09,183859
E08000015,Wirral,ltla,2021-05-08,183144
E08000015,Wirral,ltla,2021-05-07,181851
E08000015,Wirral,ltla,2021-05-06,181299
E08000015,Wirral,ltla,2021-05-05,180732
E08000015,Wirral,ltla,2021-05-04,180302
E08000015,Wirral,ltla,2021-05-03,179883
E08000015,Wirral,ltla,2021-05-02,179772
E08000015,Wirral,ltla,2021-05-01,179447
E08000015,Wirral,ltla,2021-04-30,178425
E08000015,Wirral,ltla,2021-04-29,178112
E08000015,Wirral,ltla,2021-04-28,177827
E08000015,Wirral,ltla,2021-04-27,177250
E08000015,Wirral,ltla,2021-04-26,176817
E08000015,Wirral,ltla,2021-04-25,176543
E08000015,Wirral,ltla,2021-04-24,176521
E08000015,Wirral,ltla,2021-04-23,176143
E08000015,Wirral,ltla,2021-04-22,175400
E08000015,Wirral,ltla,2021-04-21,174175
E08000015,Wirral,ltla,2021-04-20,173237
E08000015,Wirral,ltla,2021-04-19,172853
E08000015,Wirral,ltla,2021-04-18,172515
E08000015,Wirral,ltla,2021-04-17,172416
E08000015,Wirral,ltla,2021-04-16,172073
E08000015,Wirral,ltla,2021-04-15,171493
E08000015,Wirral,ltla,2021-04-14,171085
E08000015,Wirral,ltla,2021-04-13,170636
E08000015,Wirral,ltla,2021-04-12,170391
E08000015,Wirral,ltla,2021-04-11,170289
E08000015,Wirral,ltla,2021-04-10,170270
E08000015,Wirral,ltla,2021-04-09,169952
E08000015,Wirral,ltla,2021-04-08,169567
E08000015,Wirral,ltla,2021-04-07,169249
