areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E08000031,Wolverhampton,ltla,2022-08-02,186491
E08000031,Wolverhampton,ltla,2022-08-01,186490
E08000031,Wolverhampton,ltla,2022-07-31,186484
E08000031,Wolverhampton,ltla,2022-07-30,186479
E08000031,Wolverhampton,ltla,2022-07-29,186477
E08000031,Wolverhampton,ltla,2022-07-28,186473
E08000031,Wolverhampton,ltla,2022-07-27,186469
E08000031,Wolverhampton,ltla,2022-07-26,186456
E08000031,Wolverhampton,ltla,2022-07-25,186453
E08000031,Wolverhampton,ltla,2022-07-24,186443
E08000031,Wolverhampton,ltla,2022-07-23,186437
E08000031,Wolverhampton,ltla,2022-07-22,186430
E08000031,Wolverhampton,ltla,2022-07-21,186420
E08000031,Wolverhampton,ltla,2022-07-20,186413
E08000031,Wolverhampton,ltla,2022-07-19,186408
E08000031,Wolverhampton,ltla,2022-07-18,186407
E08000031,Wolverhampton,ltla,2022-07-17,186403
E08000031,Wolverhampton,ltla,2022-07-16,186400
E08000031,Wolverhampton,ltla,2022-07-15,186392
E08000031,Wolverhampton,ltla,2022-07-14,186387
E08000031,Wolverhampton,ltla,2022-07-13,186383
E08000031,Wolverhampton,ltla,2022-07-12,186370
E08000031,Wolverhampton,ltla,2022-07-11,186368
E08000031,Wolverhampton,ltla,2022-07-10,186365
E08000031,Wolverhampton,ltla,2022-07-09,186360
E08000031,Wolverhampton,ltla,2022-07-08,186353
E08000031,Wolverhampton,ltla,2022-07-07,186351
E08000031,Wolverhampton,ltla,2022-07-06,186348
E08000031,Wolverhampton,ltla,2022-07-05,186343
E08000031,Wolverhampton,ltla,2022-07-04,186340
E08000031,Wolverhampton,ltla,2022-07-03,186326
E08000031,Wolverhampton,ltla,2022-07-02,186323
E08000031,Wolverhampton,ltla,2022-07-01,186315
E08000031,Wolverhampton,ltla,2022-06-30,186313
E08000031,Wolverhampton,ltla,2022-06-29,186309
E08000031,Wolverhampton,ltla,2022-06-28,186304
E08000031,Wolverhampton,ltla,2022-06-27,186299
E08000031,Wolverhampton,ltla,2022-06-26,186295
E08000031,Wolverhampton,ltla,2022-06-25,186289
E08000031,Wolverhampton,ltla,2022-06-24,186281
E08000031,Wolverhampton,ltla,2022-06-23,186276
E08000031,Wolverhampton,ltla,2022-06-22,186271
E08000031,Wolverhampton,ltla,2022-06-21,186265
E08000031,Wolverhampton,ltla,2022-06-20,186263
E08000031,Wolverhampton,ltla,2022-06-19,186260
E08000031,Wolverhampton,ltla,2022-06-18,186250
E08000031,Wolverhampton,ltla,2022-06-17,186237
E08000031,Wolverhampton,ltla,2022-06-16,186234
E08000031,Wolverhampton,ltla,2022-06-15,186230
E08000031,Wolverhampton,ltla,2022-06-14,186222
