areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000144,Broadland,ltla,2022-08-02,107821
E07000144,Broadland,ltla,2022-08-01,107811
E07000144,Broadland,ltla,2022-07-31,107800
E07000144,Broadland,ltla,2022-07-30,107789
E07000144,Broadland,ltla,2022-07-29,107777
E07000144,Broadland,ltla,2022-07-28,107774
E07000144,Broadland,ltla,2022-07-27,107769
E07000144,Broadland,ltla,2022-07-26,107764
E07000144,Broadland,ltla,2022-07-25,107749
E07000144,Broadland,ltla,2022-07-24,107731
E07000144,Broadland,ltla,2022-07-23,107719
E07000144,Broadland,ltla,2022-07-22,107703
E07000144,Broadland,ltla,2022-07-21,107687
E07000144,Broadland,ltla,2022-07-20,107682
E07000144,Broadland,ltla,2022-07-19,107680
E07000144,Broadland,ltla,2022-07-18,107675
E07000144,Broadland,ltla,2022-07-17,107672
E07000144,Broadland,ltla,2022-07-16,107670
E07000144,Broadland,ltla,2022-07-15,107651
E07000144,Broadland,ltla,2022-07-14,107644
E07000144,Broadland,ltla,2022-07-13,107636
E07000144,Broadland,ltla,2022-07-12,107629
E07000144,Broadland,ltla,2022-07-11,107627
E07000144,Broadland,ltla,2022-07-10,107618
E07000144,Broadland,ltla,2022-07-09,107610
E07000144,Broadland,ltla,2022-07-08,107572
E07000144,Broadland,ltla,2022-07-07,107565
E07000144,Broadland,ltla,2022-07-06,107558
E07000144,Broadland,ltla,2022-07-05,107553
E07000144,Broadland,ltla,2022-07-04,107541
E07000144,Broadland,ltla,2022-07-03,107528
E07000144,Broadland,ltla,2022-07-02,107516
E07000144,Broadland,ltla,2022-07-01,107493
E07000144,Broadland,ltla,2022-06-30,107486
E07000144,Broadland,ltla,2022-06-29,107482
E07000144,Broadland,ltla,2022-06-28,107474
E07000144,Broadland,ltla,2022-06-27,107474
E07000144,Broadland,ltla,2022-06-26,107464
E07000144,Broadland,ltla,2022-06-25,107456
E07000144,Broadland,ltla,2022-06-24,107429
E07000144,Broadland,ltla,2022-06-23,107420
E07000144,Broadland,ltla,2022-06-22,107418
E07000144,Broadland,ltla,2022-06-21,107413
E07000144,Broadland,ltla,2022-06-20,107409
E07000144,Broadland,ltla,2022-06-19,107405
E07000144,Broadland,ltla,2022-06-18,107393
E07000144,Broadland,ltla,2022-06-17,107376
E07000144,Broadland,ltla,2022-06-16,107374
E07000144,Broadland,ltla,2022-06-15,107372
E07000144,Broadland,ltla,2022-06-14,107364
E07000144,Broadland,ltla,2022-06-13,107355
E07000144,Broadland,ltla,2022-06-12,107350
E07000144,Broadland,ltla,2022-06-11,107349
E07000144,Broadland,ltla,2022-06-10,107313
E07000144,Broadland,ltla,2022-06-09,107301
E07000144,Broadland,ltla,2022-06-08,107294
E07000144,Broadland,ltla,2022-06-07,107289
E07000144,Broadland,ltla,2022-06-06,107285
E07000144,Broadland,ltla,2022-06-05,107279
E07000144,Broadland,ltla,2022-06-04,107270
E07000144,Broadland,ltla,2022-06-03,107260
E07000144,Broadland,ltla,2022-06-02,107260
E07000144,Broadland,ltla,2022-06-01,107260
E07000144,Broadland,ltla,2022-05-31,107251
E07000144,Broadland,ltla,2022-05-30,107208
E07000144,Broadland,ltla,2022-05-29,107194
E07000144,Broadland,ltla,2022-05-28,107184
E07000144,Broadland,ltla,2022-05-27,107145
E07000144,Broadland,ltla,2022-05-26,107134
E07000144,Broadland,ltla,2022-05-25,107127
E07000144,Broadland,ltla,2022-05-24,107120
E07000144,Broadland,ltla,2022-05-23,107119
E07000144,Broadland,ltla,2022-05-22,107112
E07000144,Broadland,ltla,2022-05-21,107099
E07000144,Broadland,ltla,2022-05-20,107070
E07000144,Broadland,ltla,2022-05-19,107059
E07000144,Broadland,ltla,2022-05-18,107052
E07000144,Broadland,ltla,2022-05-17,107050
E07000144,Broadland,ltla,2022-05-16,107040
E07000144,Broadland,ltla,2022-05-15,107033
E07000144,Broadland,ltla,2022-05-14,107015
E07000144,Broadland,ltla,2022-05-13,106981
E07000144,Broadland,ltla,2022-05-12,106972
E07000144,Broadland,ltla,2022-05-11,106962
E07000144,Broadland,ltla,2022-05-10,106952
E07000144,Broadland,ltla,2022-05-09,106942
E07000144,Broadland,ltla,2022-05-08,106931
E07000144,Broadland,ltla,2022-05-07,106912
E07000144,Broadland,ltla,2022-05-06,106859
E07000144,Broadland,ltla,2022-05-05,106848
E07000144,Broadland,ltla,2022-05-04,106838
E07000144,Broadland,ltla,2022-05-03,106824
E07000144,Broadland,ltla,2022-05-02,106815
E07000144,Broadland,ltla,2022-05-01,106811
E07000144,Broadland,ltla,2022-04-30,106793
E07000144,Broadland,ltla,2022-04-29,106767
E07000144,Broadland,ltla,2022-04-28,106761
E07000144,Broadland,ltla,2022-04-27,106757
E07000144,Broadland,ltla,2022-04-26,106739
E07000144,Broadland,ltla,2022-04-25,106724
E07000144,Broadland,ltla,2022-04-24,106714
E07000144,Broadland,ltla,2022-04-23,106688
E07000144,Broadland,ltla,2022-04-22,106638
E07000144,Broadland,ltla,2022-04-21,106624
E07000144,Broadland,ltla,2022-04-20,106616
E07000144,Broadland,ltla,2022-04-19,106599
E07000144,Broadland,ltla,2022-04-18,106582
E07000144,Broadland,ltla,2022-04-17,106573
E07000144,Broadland,ltla,2022-04-16,106565
E07000144,Broadland,ltla,2022-04-15,106540
E07000144,Broadland,ltla,2022-04-14,106534
E07000144,Broadland,ltla,2022-04-13,106515
E07000144,Broadland,ltla,2022-04-12,106495
E07000144,Broadland,ltla,2022-04-11,106479
E07000144,Broadland,ltla,2022-04-10,106461
E07000144,Broadland,ltla,2022-04-09,106445
E07000144,Broadland,ltla,2022-04-08,106412
E07000144,Broadland,ltla,2022-04-07,106382
E07000144,Broadland,ltla,2022-04-06,106371
E07000144,Broadland,ltla,2022-04-05,106357
E07000144,Broadland,ltla,2022-04-04,106347
E07000144,Broadland,ltla,2022-04-03,106322
E07000144,Broadland,ltla,2022-04-02,106304
E07000144,Broadland,ltla,2022-04-01,106270
E07000144,Broadland,ltla,2022-03-31,106262
E07000144,Broadland,ltla,2022-03-30,106246
E07000144,Broadland,ltla,2022-03-29,106230
E07000144,Broadland,ltla,2022-03-28,106226
E07000144,Broadland,ltla,2022-03-27,106211
E07000144,Broadland,ltla,2022-03-26,106197
E07000144,Broadland,ltla,2022-03-25,106158
E07000144,Broadland,ltla,2022-03-24,106136
E07000144,Broadland,ltla,2022-03-23,106123
E07000144,Broadland,ltla,2022-03-22,106113
E07000144,Broadland,ltla,2022-03-21,106105
E07000144,Broadland,ltla,2022-03-20,106098
E07000144,Broadland,ltla,2022-03-19,106081
E07000144,Broadland,ltla,2022-03-18,106040
E07000144,Broadland,ltla,2022-03-17,106023
E07000144,Broadland,ltla,2022-03-16,106016
E07000144,Broadland,ltla,2022-03-15,106004
E07000144,Broadland,ltla,2022-03-14,105994
E07000144,Broadland,ltla,2022-03-13,105986
E07000144,Broadland,ltla,2022-03-12,105972
E07000144,Broadland,ltla,2022-03-11,105918
E07000144,Broadland,ltla,2022-03-10,105904
E07000144,Broadland,ltla,2022-03-09,105898
E07000144,Broadland,ltla,2022-03-08,105879
E07000144,Broadland,ltla,2022-03-07,105874
E07000144,Broadland,ltla,2022-03-06,105866
E07000144,Broadland,ltla,2022-03-05,105857
E07000144,Broadland,ltla,2022-03-04,105824
E07000144,Broadland,ltla,2022-03-03,105808
E07000144,Broadland,ltla,2022-03-02,105785
E07000144,Broadland,ltla,2022-03-01,105780
E07000144,Broadland,ltla,2022-02-28,105778
E07000144,Broadland,ltla,2022-02-27,105769
E07000144,Broadland,ltla,2022-02-26,105752
E07000144,Broadland,ltla,2022-02-25,105711
E07000144,Broadland,ltla,2022-02-24,105689
E07000144,Broadland,ltla,2022-02-23,105675
E07000144,Broadland,ltla,2022-02-22,105604
E07000144,Broadland,ltla,2022-02-21,105596
E07000144,Broadland,ltla,2022-02-20,105583
E07000144,Broadland,ltla,2022-02-19,105565
E07000144,Broadland,ltla,2022-02-18,105535
E07000144,Broadland,ltla,2022-02-17,105519
E07000144,Broadland,ltla,2022-02-16,105496
E07000144,Broadland,ltla,2022-02-15,105476
E07000144,Broadland,ltla,2022-02-14,105451
E07000144,Broadland,ltla,2022-02-13,105425
E07000144,Broadland,ltla,2022-02-12,105386
E07000144,Broadland,ltla,2022-02-11,105356
E07000144,Broadland,ltla,2022-02-10,105330
E07000144,Broadland,ltla,2022-02-09,105223
E07000144,Broadland,ltla,2022-02-08,105195
E07000144,Broadland,ltla,2022-02-07,105170
E07000144,Broadland,ltla,2022-02-06,105123
E07000144,Broadland,ltla,2022-02-05,105084
E07000144,Broadland,ltla,2022-02-04,105046
E07000144,Broadland,ltla,2022-02-03,105028
E07000144,Broadland,ltla,2022-02-02,105003
E07000144,Broadland,ltla,2022-02-01,104968
E07000144,Broadland,ltla,2022-01-31,104825
E07000144,Broadland,ltla,2022-01-30,104777
E07000144,Broadland,ltla,2022-01-29,104716
E07000144,Broadland,ltla,2022-01-28,104657
E07000144,Broadland,ltla,2022-01-27,104623
E07000144,Broadland,ltla,2022-01-26,104403
E07000144,Broadland,ltla,2022-01-25,104360
E07000144,Broadland,ltla,2022-01-24,104300
E07000144,Broadland,ltla,2022-01-23,104230
E07000144,Broadland,ltla,2022-01-22,104184
E07000144,Broadland,ltla,2022-01-21,104120
E07000144,Broadland,ltla,2022-01-20,104055
E07000144,Broadland,ltla,2022-01-19,104045
E07000144,Broadland,ltla,2022-01-18,103883
E07000144,Broadland,ltla,2022-01-17,103861
E07000144,Broadland,ltla,2022-01-16,103846
E07000144,Broadland,ltla,2022-01-15,103793
E07000144,Broadland,ltla,2022-01-14,103692
E07000144,Broadland,ltla,2022-01-13,103652
E07000144,Broadland,ltla,2022-01-12,103616
E07000144,Broadland,ltla,2022-01-11,103591
E07000144,Broadland,ltla,2022-01-10,103556
E07000144,Broadland,ltla,2022-01-09,103526
E07000144,Broadland,ltla,2022-01-08,103444
E07000144,Broadland,ltla,2022-01-07,103331
E07000144,Broadland,ltla,2022-01-06,103233
E07000144,Broadland,ltla,2022-01-05,103137
E07000144,Broadland,ltla,2022-01-04,103050
E07000144,Broadland,ltla,2022-01-03,102966
E07000144,Broadland,ltla,2022-01-02,102897
E07000144,Broadland,ltla,2022-01-01,102862
E07000144,Broadland,ltla,2021-12-31,102857
E07000144,Broadland,ltla,2021-12-30,102817
E07000144,Broadland,ltla,2021-12-29,102727
E07000144,Broadland,ltla,2021-12-28,102619
E07000144,Broadland,ltla,2021-12-27,102554
E07000144,Broadland,ltla,2021-12-26,102520
E07000144,Broadland,ltla,2021-12-25,102520
E07000144,Broadland,ltla,2021-12-24,102520
E07000144,Broadland,ltla,2021-12-23,102500
E07000144,Broadland,ltla,2021-12-22,102398
E07000144,Broadland,ltla,2021-12-21,102318
E07000144,Broadland,ltla,2021-12-20,102220
E07000144,Broadland,ltla,2021-12-19,102124
E07000144,Broadland,ltla,2021-12-18,102061
E07000144,Broadland,ltla,2021-12-17,101964
E07000144,Broadland,ltla,2021-12-16,101871
E07000144,Broadland,ltla,2021-12-15,101774
E07000144,Broadland,ltla,2021-12-14,101662
E07000144,Broadland,ltla,2021-12-13,101577
E07000144,Broadland,ltla,2021-12-12,101529
E07000144,Broadland,ltla,2021-12-11,101489
E07000144,Broadland,ltla,2021-12-10,101427
E07000144,Broadland,ltla,2021-12-09,101340
E07000144,Broadland,ltla,2021-12-08,101291
E07000144,Broadland,ltla,2021-12-07,101221
E07000144,Broadland,ltla,2021-12-06,101188
E07000144,Broadland,ltla,2021-12-05,101141
E07000144,Broadland,ltla,2021-12-04,101085
E07000144,Broadland,ltla,2021-12-03,101002
E07000144,Broadland,ltla,2021-12-02,100914
E07000144,Broadland,ltla,2021-12-01,100857
E07000144,Broadland,ltla,2021-11-30,100813
E07000144,Broadland,ltla,2021-11-29,100774
E07000144,Broadland,ltla,2021-11-28,100739
E07000144,Broadland,ltla,2021-11-27,100702
E07000144,Broadland,ltla,2021-11-26,100651
E07000144,Broadland,ltla,2021-11-25,100622
E07000144,Broadland,ltla,2021-11-24,100574
E07000144,Broadland,ltla,2021-11-23,100557
E07000144,Broadland,ltla,2021-11-22,100528
E07000144,Broadland,ltla,2021-11-21,100500
E07000144,Broadland,ltla,2021-11-20,100486
E07000144,Broadland,ltla,2021-11-19,100444
E07000144,Broadland,ltla,2021-11-18,100404
E07000144,Broadland,ltla,2021-11-17,100381
E07000144,Broadland,ltla,2021-11-16,100358
E07000144,Broadland,ltla,2021-11-15,100330
E07000144,Broadland,ltla,2021-11-14,100308
E07000144,Broadland,ltla,2021-11-13,100285
E07000144,Broadland,ltla,2021-11-12,100256
E07000144,Broadland,ltla,2021-11-11,100238
E07000144,Broadland,ltla,2021-11-10,100207
E07000144,Broadland,ltla,2021-11-09,100186
E07000144,Broadland,ltla,2021-11-08,100158
E07000144,Broadland,ltla,2021-11-07,100145
E07000144,Broadland,ltla,2021-11-06,100125
E07000144,Broadland,ltla,2021-11-05,100093
E07000144,Broadland,ltla,2021-11-04,100062
E07000144,Broadland,ltla,2021-11-03,100041
E07000144,Broadland,ltla,2021-11-02,100014
E07000144,Broadland,ltla,2021-11-01,100001
E07000144,Broadland,ltla,2021-10-31,99984
E07000144,Broadland,ltla,2021-10-30,99968
E07000144,Broadland,ltla,2021-10-29,99928
E07000144,Broadland,ltla,2021-10-28,99886
E07000144,Broadland,ltla,2021-10-27,99857
E07000144,Broadland,ltla,2021-10-26,99838
E07000144,Broadland,ltla,2021-10-25,99794
E07000144,Broadland,ltla,2021-10-24,99775
E07000144,Broadland,ltla,2021-10-23,99750
E07000144,Broadland,ltla,2021-10-22,99697
E07000144,Broadland,ltla,2021-10-21,99640
E07000144,Broadland,ltla,2021-10-20,99599
E07000144,Broadland,ltla,2021-10-19,99570
E07000144,Broadland,ltla,2021-10-18,99548
E07000144,Broadland,ltla,2021-10-17,99523
E07000144,Broadland,ltla,2021-10-16,99502
E07000144,Broadland,ltla,2021-10-15,99469
E07000144,Broadland,ltla,2021-10-14,99426
E07000144,Broadland,ltla,2021-10-13,99391
E07000144,Broadland,ltla,2021-10-12,99312
E07000144,Broadland,ltla,2021-10-11,99270
E07000144,Broadland,ltla,2021-10-10,99244
E07000144,Broadland,ltla,2021-10-09,99195
E07000144,Broadland,ltla,2021-10-08,99138
E07000144,Broadland,ltla,2021-10-07,99078
E07000144,Broadland,ltla,2021-10-06,99002
E07000144,Broadland,ltla,2021-10-05,98942
E07000144,Broadland,ltla,2021-10-04,98913
E07000144,Broadland,ltla,2021-10-03,98878
E07000144,Broadland,ltla,2021-10-02,98851
