areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E09000006,Bromley,ltla,2022-08-02,242983
E09000006,Bromley,ltla,2022-08-01,242962
E09000006,Bromley,ltla,2022-07-31,242953
E09000006,Bromley,ltla,2022-07-30,242945
E09000006,Bromley,ltla,2022-07-29,242888
E09000006,Bromley,ltla,2022-07-28,242878
E09000006,Bromley,ltla,2022-07-27,242849
E09000006,Bromley,ltla,2022-07-26,242825
E09000006,Bromley,ltla,2022-07-25,242804
E09000006,Bromley,ltla,2022-07-24,242773
E09000006,Bromley,ltla,2022-07-23,242766
E09000006,Bromley,ltla,2022-07-22,242716
E09000006,Bromley,ltla,2022-07-21,242698
E09000006,Bromley,ltla,2022-07-20,242678
E09000006,Bromley,ltla,2022-07-19,242662
E09000006,Bromley,ltla,2022-07-18,242631
E09000006,Bromley,ltla,2022-07-17,242620
E09000006,Bromley,ltla,2022-07-16,242609
E09000006,Bromley,ltla,2022-07-15,242504
E09000006,Bromley,ltla,2022-07-14,242491
E09000006,Bromley,ltla,2022-07-13,242471
E09000006,Bromley,ltla,2022-07-12,242418
E09000006,Bromley,ltla,2022-07-11,242381
E09000006,Bromley,ltla,2022-07-10,242364
E09000006,Bromley,ltla,2022-07-09,242352
E09000006,Bromley,ltla,2022-07-08,242224
E09000006,Bromley,ltla,2022-07-07,242201
E09000006,Bromley,ltla,2022-07-06,242170
E09000006,Bromley,ltla,2022-07-05,242121
E09000006,Bromley,ltla,2022-07-04,242091
E09000006,Bromley,ltla,2022-07-03,242081
E09000006,Bromley,ltla,2022-07-02,242068
E09000006,Bromley,ltla,2022-07-01,241954
E09000006,Bromley,ltla,2022-06-30,241932
E09000006,Bromley,ltla,2022-06-29,241903
E09000006,Bromley,ltla,2022-06-28,241870
E09000006,Bromley,ltla,2022-06-27,241833
E09000006,Bromley,ltla,2022-06-26,241801
E09000006,Bromley,ltla,2022-06-25,241791
E09000006,Bromley,ltla,2022-06-24,241674
E09000006,Bromley,ltla,2022-06-23,241638
E09000006,Bromley,ltla,2022-06-22,241615
E09000006,Bromley,ltla,2022-06-21,241586
E09000006,Bromley,ltla,2022-06-20,241569
E09000006,Bromley,ltla,2022-06-19,241555
E09000006,Bromley,ltla,2022-06-18,241546
E09000006,Bromley,ltla,2022-06-17,241465
E09000006,Bromley,ltla,2022-06-16,241449
E09000006,Bromley,ltla,2022-06-15,241423
E09000006,Bromley,ltla,2022-06-14,241394
E09000006,Bromley,ltla,2022-06-13,241363
E09000006,Bromley,ltla,2022-06-12,241339
E09000006,Bromley,ltla,2022-06-11,241330
E09000006,Bromley,ltla,2022-06-10,241261
E09000006,Bromley,ltla,2022-06-09,241237
E09000006,Bromley,ltla,2022-06-08,241218
E09000006,Bromley,ltla,2022-06-07,241197
E09000006,Bromley,ltla,2022-06-06,241183
E09000006,Bromley,ltla,2022-06-05,241172
E09000006,Bromley,ltla,2022-06-04,241167
E09000006,Bromley,ltla,2022-06-03,241128
E09000006,Bromley,ltla,2022-06-02,241128
E09000006,Bromley,ltla,2022-06-01,241127
E09000006,Bromley,ltla,2022-05-31,241090
