areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000071,Colchester,ltla,2022-08-02,144810
E07000071,Colchester,ltla,2022-08-01,144809
E07000071,Colchester,ltla,2022-07-31,144807
E07000071,Colchester,ltla,2022-07-30,144805
E07000071,Colchester,ltla,2022-07-29,144792
E07000071,Colchester,ltla,2022-07-28,144780
E07000071,Colchester,ltla,2022-07-27,144721
E07000071,Colchester,ltla,2022-07-26,144697
E07000071,Colchester,ltla,2022-07-25,144694
E07000071,Colchester,ltla,2022-07-24,144686
E07000071,Colchester,ltla,2022-07-23,144683
E07000071,Colchester,ltla,2022-07-22,144674
E07000071,Colchester,ltla,2022-07-21,144662
E07000071,Colchester,ltla,2022-07-20,144609
E07000071,Colchester,ltla,2022-07-19,144605
E07000071,Colchester,ltla,2022-07-18,144600
E07000071,Colchester,ltla,2022-07-17,144600
E07000071,Colchester,ltla,2022-07-16,144585
E07000071,Colchester,ltla,2022-07-15,144564
E07000071,Colchester,ltla,2022-07-14,144555
E07000071,Colchester,ltla,2022-07-13,144507
E07000071,Colchester,ltla,2022-07-12,144498
E07000071,Colchester,ltla,2022-07-11,144491
E07000071,Colchester,ltla,2022-07-10,144485
E07000071,Colchester,ltla,2022-07-09,144467
E07000071,Colchester,ltla,2022-07-08,144451
E07000071,Colchester,ltla,2022-07-07,144440
E07000071,Colchester,ltla,2022-07-06,144403
E07000071,Colchester,ltla,2022-07-05,144395
E07000071,Colchester,ltla,2022-07-04,144393
E07000071,Colchester,ltla,2022-07-03,144385
E07000071,Colchester,ltla,2022-07-02,144379
E07000071,Colchester,ltla,2022-07-01,144367
E07000071,Colchester,ltla,2022-06-30,144352
E07000071,Colchester,ltla,2022-06-29,144315
E07000071,Colchester,ltla,2022-06-28,144304
E07000071,Colchester,ltla,2022-06-27,144298
E07000071,Colchester,ltla,2022-06-26,144287
E07000071,Colchester,ltla,2022-06-25,144286
E07000071,Colchester,ltla,2022-06-24,144278
E07000071,Colchester,ltla,2022-06-23,144264
E07000071,Colchester,ltla,2022-06-22,144225
E07000071,Colchester,ltla,2022-06-21,144221
E07000071,Colchester,ltla,2022-06-20,144210
E07000071,Colchester,ltla,2022-06-19,144204
E07000071,Colchester,ltla,2022-06-18,144150
E07000071,Colchester,ltla,2022-06-17,144139
E07000071,Colchester,ltla,2022-06-16,144135
E07000071,Colchester,ltla,2022-06-15,144128
E07000071,Colchester,ltla,2022-06-14,144123
E07000071,Colchester,ltla,2022-06-13,144119
E07000071,Colchester,ltla,2022-06-12,144114
E07000071,Colchester,ltla,2022-06-11,144057
E07000071,Colchester,ltla,2022-06-10,144053
E07000071,Colchester,ltla,2022-06-09,144052
E07000071,Colchester,ltla,2022-06-08,144042
E07000071,Colchester,ltla,2022-06-07,144039
E07000071,Colchester,ltla,2022-06-06,144034
E07000071,Colchester,ltla,2022-06-05,144031
E07000071,Colchester,ltla,2022-06-04,143972
E07000071,Colchester,ltla,2022-06-03,143971
E07000071,Colchester,ltla,2022-06-02,143971
E07000071,Colchester,ltla,2022-06-01,143970
E07000071,Colchester,ltla,2022-05-31,143951
E07000071,Colchester,ltla,2022-05-30,143943
