areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000096,Dacorum,ltla,2022-08-02,115987
E07000096,Dacorum,ltla,2022-08-01,115966
E07000096,Dacorum,ltla,2022-07-31,115965
E07000096,Dacorum,ltla,2022-07-30,115963
E07000096,Dacorum,ltla,2022-07-29,115950
E07000096,Dacorum,ltla,2022-07-28,115941
E07000096,Dacorum,ltla,2022-07-27,115923
E07000096,Dacorum,ltla,2022-07-26,115916
E07000096,Dacorum,ltla,2022-07-25,115892
E07000096,Dacorum,ltla,2022-07-24,115882
E07000096,Dacorum,ltla,2022-07-23,115877
E07000096,Dacorum,ltla,2022-07-22,115863
E07000096,Dacorum,ltla,2022-07-21,115850
E07000096,Dacorum,ltla,2022-07-20,115821
E07000096,Dacorum,ltla,2022-07-19,115808
E07000096,Dacorum,ltla,2022-07-18,115801
E07000096,Dacorum,ltla,2022-07-17,115800
E07000096,Dacorum,ltla,2022-07-16,115791
E07000096,Dacorum,ltla,2022-07-15,115769
E07000096,Dacorum,ltla,2022-07-14,115713
E07000096,Dacorum,ltla,2022-07-13,115704
E07000096,Dacorum,ltla,2022-07-12,115696
E07000096,Dacorum,ltla,2022-07-11,115672
E07000096,Dacorum,ltla,2022-07-10,115666
E07000096,Dacorum,ltla,2022-07-09,115664
E07000096,Dacorum,ltla,2022-07-08,115639
E07000096,Dacorum,ltla,2022-07-07,115595
E07000096,Dacorum,ltla,2022-07-06,115585
E07000096,Dacorum,ltla,2022-07-05,115579
E07000096,Dacorum,ltla,2022-07-04,115553
E07000096,Dacorum,ltla,2022-07-03,115548
E07000096,Dacorum,ltla,2022-07-02,115544
E07000096,Dacorum,ltla,2022-07-01,115528
E07000096,Dacorum,ltla,2022-06-30,115468
E07000096,Dacorum,ltla,2022-06-29,115458
E07000096,Dacorum,ltla,2022-06-28,115452
E07000096,Dacorum,ltla,2022-06-27,115442
E07000096,Dacorum,ltla,2022-06-26,115440
E07000096,Dacorum,ltla,2022-06-25,115433
E07000096,Dacorum,ltla,2022-06-24,115416
E07000096,Dacorum,ltla,2022-06-23,115373
E07000096,Dacorum,ltla,2022-06-22,115359
E07000096,Dacorum,ltla,2022-06-21,115356
E07000096,Dacorum,ltla,2022-06-20,115340
E07000096,Dacorum,ltla,2022-06-19,115336
E07000096,Dacorum,ltla,2022-06-18,115333
E07000096,Dacorum,ltla,2022-06-17,115326
E07000096,Dacorum,ltla,2022-06-16,115283
E07000096,Dacorum,ltla,2022-06-15,115275
E07000096,Dacorum,ltla,2022-06-14,115271
E07000096,Dacorum,ltla,2022-06-13,115257
E07000096,Dacorum,ltla,2022-06-12,115250
E07000096,Dacorum,ltla,2022-06-11,115250
E07000096,Dacorum,ltla,2022-06-10,115233
E07000096,Dacorum,ltla,2022-06-09,115194
E07000096,Dacorum,ltla,2022-06-08,115188
E07000096,Dacorum,ltla,2022-06-07,115185
E07000096,Dacorum,ltla,2022-06-06,115170
E07000096,Dacorum,ltla,2022-06-05,115166
E07000096,Dacorum,ltla,2022-06-04,115164
E07000096,Dacorum,ltla,2022-06-03,115148
E07000096,Dacorum,ltla,2022-06-02,115144
E07000096,Dacorum,ltla,2022-06-01,115143
E07000096,Dacorum,ltla,2022-05-31,115104
