areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000072,Epping Forest,ltla,2022-08-02,96740
E07000072,Epping Forest,ltla,2022-08-01,96735
E07000072,Epping Forest,ltla,2022-07-31,96731
E07000072,Epping Forest,ltla,2022-07-30,96730
E07000072,Epping Forest,ltla,2022-07-29,96719
E07000072,Epping Forest,ltla,2022-07-28,96710
E07000072,Epping Forest,ltla,2022-07-27,96701
E07000072,Epping Forest,ltla,2022-07-26,96696
E07000072,Epping Forest,ltla,2022-07-25,96690
E07000072,Epping Forest,ltla,2022-07-24,96666
E07000072,Epping Forest,ltla,2022-07-23,96666
E07000072,Epping Forest,ltla,2022-07-22,96645
E07000072,Epping Forest,ltla,2022-07-21,96637
E07000072,Epping Forest,ltla,2022-07-20,96624
E07000072,Epping Forest,ltla,2022-07-19,96618
E07000072,Epping Forest,ltla,2022-07-18,96611
E07000072,Epping Forest,ltla,2022-07-17,96596
E07000072,Epping Forest,ltla,2022-07-16,96591
E07000072,Epping Forest,ltla,2022-07-15,96567
E07000072,Epping Forest,ltla,2022-07-14,96563
E07000072,Epping Forest,ltla,2022-07-13,96547
E07000072,Epping Forest,ltla,2022-07-12,96543
E07000072,Epping Forest,ltla,2022-07-11,96530
E07000072,Epping Forest,ltla,2022-07-10,96525
E07000072,Epping Forest,ltla,2022-07-09,96520
E07000072,Epping Forest,ltla,2022-07-08,96500
E07000072,Epping Forest,ltla,2022-07-07,96481
E07000072,Epping Forest,ltla,2022-07-06,96462
E07000072,Epping Forest,ltla,2022-07-05,96453
E07000072,Epping Forest,ltla,2022-07-04,96442
E07000072,Epping Forest,ltla,2022-07-03,96432
E07000072,Epping Forest,ltla,2022-07-02,96425
E07000072,Epping Forest,ltla,2022-07-01,96399
E07000072,Epping Forest,ltla,2022-06-30,96391
E07000072,Epping Forest,ltla,2022-06-29,96382
E07000072,Epping Forest,ltla,2022-06-28,96376
E07000072,Epping Forest,ltla,2022-06-27,96354
E07000072,Epping Forest,ltla,2022-06-26,96344
E07000072,Epping Forest,ltla,2022-06-25,96342
E07000072,Epping Forest,ltla,2022-06-24,96311
E07000072,Epping Forest,ltla,2022-06-23,96294
E07000072,Epping Forest,ltla,2022-06-22,96279
E07000072,Epping Forest,ltla,2022-06-21,96272
E07000072,Epping Forest,ltla,2022-06-20,96256
E07000072,Epping Forest,ltla,2022-06-19,96249
E07000072,Epping Forest,ltla,2022-06-18,96246
E07000072,Epping Forest,ltla,2022-06-17,96221
E07000072,Epping Forest,ltla,2022-06-16,96214
E07000072,Epping Forest,ltla,2022-06-15,96206
E07000072,Epping Forest,ltla,2022-06-14,96196
E07000072,Epping Forest,ltla,2022-06-13,96183
E07000072,Epping Forest,ltla,2022-06-12,96176
E07000072,Epping Forest,ltla,2022-06-11,96173
E07000072,Epping Forest,ltla,2022-06-10,96141
E07000072,Epping Forest,ltla,2022-06-09,96125
E07000072,Epping Forest,ltla,2022-06-08,96115
E07000072,Epping Forest,ltla,2022-06-07,96111
E07000072,Epping Forest,ltla,2022-06-06,96098
E07000072,Epping Forest,ltla,2022-06-05,96091
E07000072,Epping Forest,ltla,2022-06-04,96087
E07000072,Epping Forest,ltla,2022-06-03,96080
E07000072,Epping Forest,ltla,2022-06-02,96078
E07000072,Epping Forest,ltla,2022-06-01,96077
E07000072,Epping Forest,ltla,2022-05-31,96066
E07000072,Epping Forest,ltla,2022-05-30,96048
E07000072,Epping Forest,ltla,2022-05-29,96034
E07000072,Epping Forest,ltla,2022-05-28,96030
E07000072,Epping Forest,ltla,2022-05-27,96024
E07000072,Epping Forest,ltla,2022-05-26,96003
E07000072,Epping Forest,ltla,2022-05-25,95991
E07000072,Epping Forest,ltla,2022-05-24,95983
E07000072,Epping Forest,ltla,2022-05-23,95969
E07000072,Epping Forest,ltla,2022-05-22,95954
E07000072,Epping Forest,ltla,2022-05-21,95949
E07000072,Epping Forest,ltla,2022-05-20,95927
E07000072,Epping Forest,ltla,2022-05-19,95905
E07000072,Epping Forest,ltla,2022-05-18,95891
E07000072,Epping Forest,ltla,2022-05-17,95879
E07000072,Epping Forest,ltla,2022-05-16,95863
E07000072,Epping Forest,ltla,2022-05-15,95853
E07000072,Epping Forest,ltla,2022-05-14,95851
E07000072,Epping Forest,ltla,2022-05-13,95830
E07000072,Epping Forest,ltla,2022-05-12,95811
E07000072,Epping Forest,ltla,2022-05-11,95800
E07000072,Epping Forest,ltla,2022-05-10,95789
E07000072,Epping Forest,ltla,2022-05-09,95764
E07000072,Epping Forest,ltla,2022-05-08,95741
E07000072,Epping Forest,ltla,2022-05-07,95727
E07000072,Epping Forest,ltla,2022-05-06,95687
E07000072,Epping Forest,ltla,2022-05-05,95667
E07000072,Epping Forest,ltla,2022-05-04,95658
E07000072,Epping Forest,ltla,2022-05-03,95643
E07000072,Epping Forest,ltla,2022-05-02,95622
E07000072,Epping Forest,ltla,2022-05-01,95620
E07000072,Epping Forest,ltla,2022-04-30,95610
E07000072,Epping Forest,ltla,2022-04-29,95590
E07000072,Epping Forest,ltla,2022-04-28,95561
E07000072,Epping Forest,ltla,2022-04-27,95543
E07000072,Epping Forest,ltla,2022-04-26,95528
E07000072,Epping Forest,ltla,2022-04-25,95510
E07000072,Epping Forest,ltla,2022-04-24,95486
E07000072,Epping Forest,ltla,2022-04-23,95467
E07000072,Epping Forest,ltla,2022-04-22,95434
E07000072,Epping Forest,ltla,2022-04-21,95404
E07000072,Epping Forest,ltla,2022-04-20,95396
E07000072,Epping Forest,ltla,2022-04-19,95372
E07000072,Epping Forest,ltla,2022-04-18,95354
E07000072,Epping Forest,ltla,2022-04-17,95352
E07000072,Epping Forest,ltla,2022-04-16,95352
E07000072,Epping Forest,ltla,2022-04-15,95307
E07000072,Epping Forest,ltla,2022-04-14,95303
E07000072,Epping Forest,ltla,2022-04-13,95271
E07000072,Epping Forest,ltla,2022-04-12,95253
E07000072,Epping Forest,ltla,2022-04-11,95231
E07000072,Epping Forest,ltla,2022-04-10,95193
E07000072,Epping Forest,ltla,2022-04-09,95186
E07000072,Epping Forest,ltla,2022-04-08,95133
E07000072,Epping Forest,ltla,2022-04-07,95092
E07000072,Epping Forest,ltla,2022-04-06,95052
E07000072,Epping Forest,ltla,2022-04-05,95029
E07000072,Epping Forest,ltla,2022-04-04,95006
E07000072,Epping Forest,ltla,2022-04-03,94983
E07000072,Epping Forest,ltla,2022-04-02,94968
E07000072,Epping Forest,ltla,2022-04-01,94919
E07000072,Epping Forest,ltla,2022-03-31,94891
E07000072,Epping Forest,ltla,2022-03-30,94850
E07000072,Epping Forest,ltla,2022-03-29,94834
E07000072,Epping Forest,ltla,2022-03-28,94823
E07000072,Epping Forest,ltla,2022-03-27,94799
E07000072,Epping Forest,ltla,2022-03-26,94786
E07000072,Epping Forest,ltla,2022-03-25,94753
E07000072,Epping Forest,ltla,2022-03-24,94731
E07000072,Epping Forest,ltla,2022-03-23,94717
E07000072,Epping Forest,ltla,2022-03-22,94702
E07000072,Epping Forest,ltla,2022-03-21,94688
E07000072,Epping Forest,ltla,2022-03-20,94665
E07000072,Epping Forest,ltla,2022-03-19,94641
E07000072,Epping Forest,ltla,2022-03-18,94578
E07000072,Epping Forest,ltla,2022-03-17,94540
E07000072,Epping Forest,ltla,2022-03-16,94516
E07000072,Epping Forest,ltla,2022-03-15,94496
E07000072,Epping Forest,ltla,2022-03-14,94469
E07000072,Epping Forest,ltla,2022-03-13,94435
E07000072,Epping Forest,ltla,2022-03-12,94403
E07000072,Epping Forest,ltla,2022-03-11,94365
E07000072,Epping Forest,ltla,2022-03-10,94333
E07000072,Epping Forest,ltla,2022-03-09,94305
E07000072,Epping Forest,ltla,2022-03-08,94286
E07000072,Epping Forest,ltla,2022-03-07,94264
E07000072,Epping Forest,ltla,2022-03-06,94242
E07000072,Epping Forest,ltla,2022-03-05,94228
E07000072,Epping Forest,ltla,2022-03-04,94123
E07000072,Epping Forest,ltla,2022-03-03,94050
E07000072,Epping Forest,ltla,2022-03-02,94014
E07000072,Epping Forest,ltla,2022-03-01,93998
E07000072,Epping Forest,ltla,2022-02-28,93977
E07000072,Epping Forest,ltla,2022-02-27,93935
E07000072,Epping Forest,ltla,2022-02-26,93926
E07000072,Epping Forest,ltla,2022-02-25,93900
E07000072,Epping Forest,ltla,2022-02-24,93842
E07000072,Epping Forest,ltla,2022-02-23,93811
E07000072,Epping Forest,ltla,2022-02-22,93795
E07000072,Epping Forest,ltla,2022-02-21,93760
E07000072,Epping Forest,ltla,2022-02-20,93726
E07000072,Epping Forest,ltla,2022-02-19,93712
E07000072,Epping Forest,ltla,2022-02-18,93677
E07000072,Epping Forest,ltla,2022-02-17,93645
E07000072,Epping Forest,ltla,2022-02-16,93622
E07000072,Epping Forest,ltla,2022-02-15,93597
E07000072,Epping Forest,ltla,2022-02-14,93562
E07000072,Epping Forest,ltla,2022-02-13,93530
E07000072,Epping Forest,ltla,2022-02-12,93514
E07000072,Epping Forest,ltla,2022-02-11,93478
E07000072,Epping Forest,ltla,2022-02-10,93405
E07000072,Epping Forest,ltla,2022-02-09,93322
E07000072,Epping Forest,ltla,2022-02-08,93262
E07000072,Epping Forest,ltla,2022-02-07,93238
E07000072,Epping Forest,ltla,2022-02-06,93216
E07000072,Epping Forest,ltla,2022-02-05,93202
E07000072,Epping Forest,ltla,2022-02-04,93132
E07000072,Epping Forest,ltla,2022-02-03,93075
E07000072,Epping Forest,ltla,2022-02-02,93039
E07000072,Epping Forest,ltla,2022-02-01,92991
E07000072,Epping Forest,ltla,2022-01-31,92961
E07000072,Epping Forest,ltla,2022-01-30,92916
E07000072,Epping Forest,ltla,2022-01-29,92874
E07000072,Epping Forest,ltla,2022-01-28,92752
E07000072,Epping Forest,ltla,2022-01-27,92713
E07000072,Epping Forest,ltla,2022-01-26,92676
E07000072,Epping Forest,ltla,2022-01-25,92618
E07000072,Epping Forest,ltla,2022-01-24,92589
E07000072,Epping Forest,ltla,2022-01-23,92540
E07000072,Epping Forest,ltla,2022-01-22,92421
E07000072,Epping Forest,ltla,2022-01-21,92312
E07000072,Epping Forest,ltla,2022-01-20,92254
E07000072,Epping Forest,ltla,2022-01-19,92233
E07000072,Epping Forest,ltla,2022-01-18,92190
E07000072,Epping Forest,ltla,2022-01-17,92149
E07000072,Epping Forest,ltla,2022-01-16,92114
E07000072,Epping Forest,ltla,2022-01-15,92075
E07000072,Epping Forest,ltla,2022-01-14,91993
E07000072,Epping Forest,ltla,2022-01-13,91907
E07000072,Epping Forest,ltla,2022-01-12,91877
E07000072,Epping Forest,ltla,2022-01-11,91830
E07000072,Epping Forest,ltla,2022-01-10,91784
E07000072,Epping Forest,ltla,2022-01-09,91741
E07000072,Epping Forest,ltla,2022-01-08,91684
E07000072,Epping Forest,ltla,2022-01-07,91527
E07000072,Epping Forest,ltla,2022-01-06,91449
E07000072,Epping Forest,ltla,2022-01-05,91409
E07000072,Epping Forest,ltla,2022-01-04,91336
E07000072,Epping Forest,ltla,2022-01-03,91259
E07000072,Epping Forest,ltla,2022-01-02,91196
E07000072,Epping Forest,ltla,2022-01-01,91125
E07000072,Epping Forest,ltla,2021-12-31,91120
E07000072,Epping Forest,ltla,2021-12-30,91080
E07000072,Epping Forest,ltla,2021-12-29,90962
E07000072,Epping Forest,ltla,2021-12-28,90856
E07000072,Epping Forest,ltla,2021-12-27,90792
