areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000088,Gosport,ltla,2022-08-02,62549
E07000088,Gosport,ltla,2022-08-01,62541
E07000088,Gosport,ltla,2022-07-31,62539
E07000088,Gosport,ltla,2022-07-30,62537
E07000088,Gosport,ltla,2022-07-29,62537
E07000088,Gosport,ltla,2022-07-28,62535
E07000088,Gosport,ltla,2022-07-27,62524
E07000088,Gosport,ltla,2022-07-26,62521
E07000088,Gosport,ltla,2022-07-25,62513
E07000088,Gosport,ltla,2022-07-24,62507
E07000088,Gosport,ltla,2022-07-23,62502
E07000088,Gosport,ltla,2022-07-22,62491
E07000088,Gosport,ltla,2022-07-21,62478
E07000088,Gosport,ltla,2022-07-20,62478
E07000088,Gosport,ltla,2022-07-19,62477
E07000088,Gosport,ltla,2022-07-18,62470
E07000088,Gosport,ltla,2022-07-17,62467
E07000088,Gosport,ltla,2022-07-16,62463
E07000088,Gosport,ltla,2022-07-15,62449
E07000088,Gosport,ltla,2022-07-14,62441
E07000088,Gosport,ltla,2022-07-13,62441
E07000088,Gosport,ltla,2022-07-12,62437
E07000088,Gosport,ltla,2022-07-11,62436
E07000088,Gosport,ltla,2022-07-10,62431
E07000088,Gosport,ltla,2022-07-09,62426
E07000088,Gosport,ltla,2022-07-08,62400
E07000088,Gosport,ltla,2022-07-07,62398
E07000088,Gosport,ltla,2022-07-06,62398
E07000088,Gosport,ltla,2022-07-05,62392
E07000088,Gosport,ltla,2022-07-04,62387
E07000088,Gosport,ltla,2022-07-03,62382
E07000088,Gosport,ltla,2022-07-02,62377
E07000088,Gosport,ltla,2022-07-01,62363
E07000088,Gosport,ltla,2022-06-30,62363
E07000088,Gosport,ltla,2022-06-29,62346
E07000088,Gosport,ltla,2022-06-28,62339
E07000088,Gosport,ltla,2022-06-27,62337
E07000088,Gosport,ltla,2022-06-26,62337
E07000088,Gosport,ltla,2022-06-25,62321
E07000088,Gosport,ltla,2022-06-24,62310
E07000088,Gosport,ltla,2022-06-23,62304
E07000088,Gosport,ltla,2022-06-22,62297
E07000088,Gosport,ltla,2022-06-21,62296
E07000088,Gosport,ltla,2022-06-20,62295
E07000088,Gosport,ltla,2022-06-19,62293
E07000088,Gosport,ltla,2022-06-18,62289
E07000088,Gosport,ltla,2022-06-17,62278
E07000088,Gosport,ltla,2022-06-16,62276
E07000088,Gosport,ltla,2022-06-15,62274
E07000088,Gosport,ltla,2022-06-14,62268
E07000088,Gosport,ltla,2022-06-13,62258
E07000088,Gosport,ltla,2022-06-12,62253
E07000088,Gosport,ltla,2022-06-11,62244
E07000088,Gosport,ltla,2022-06-10,62231
E07000088,Gosport,ltla,2022-06-09,62230
E07000088,Gosport,ltla,2022-06-08,62229
E07000088,Gosport,ltla,2022-06-07,62227
E07000088,Gosport,ltla,2022-06-06,62227
E07000088,Gosport,ltla,2022-06-05,62223
E07000088,Gosport,ltla,2022-06-04,62217
E07000088,Gosport,ltla,2022-06-03,62214
E07000088,Gosport,ltla,2022-06-02,62214
E07000088,Gosport,ltla,2022-06-01,62211
E07000088,Gosport,ltla,2022-05-31,62199
E07000088,Gosport,ltla,2022-05-30,62193
E07000088,Gosport,ltla,2022-05-29,62179
E07000088,Gosport,ltla,2022-05-28,62172
E07000088,Gosport,ltla,2022-05-27,62155
E07000088,Gosport,ltla,2022-05-26,62149
