areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000148,Norwich,ltla,2022-08-02,105509
E07000148,Norwich,ltla,2022-08-01,105499
E07000148,Norwich,ltla,2022-07-31,105489
E07000148,Norwich,ltla,2022-07-30,105480
E07000148,Norwich,ltla,2022-07-29,105475
E07000148,Norwich,ltla,2022-07-28,105465
E07000148,Norwich,ltla,2022-07-27,105453
E07000148,Norwich,ltla,2022-07-26,105443
E07000148,Norwich,ltla,2022-07-25,105432
E07000148,Norwich,ltla,2022-07-24,105418
E07000148,Norwich,ltla,2022-07-23,105413
E07000148,Norwich,ltla,2022-07-22,105394
E07000148,Norwich,ltla,2022-07-21,105385
E07000148,Norwich,ltla,2022-07-20,105376
E07000148,Norwich,ltla,2022-07-19,105370
E07000148,Norwich,ltla,2022-07-18,105366
E07000148,Norwich,ltla,2022-07-17,105356
E07000148,Norwich,ltla,2022-07-16,105354
E07000148,Norwich,ltla,2022-07-15,105346
E07000148,Norwich,ltla,2022-07-14,105337
E07000148,Norwich,ltla,2022-07-13,105330
E07000148,Norwich,ltla,2022-07-12,105322
E07000148,Norwich,ltla,2022-07-11,105315
E07000148,Norwich,ltla,2022-07-10,105307
E07000148,Norwich,ltla,2022-07-09,105285
E07000148,Norwich,ltla,2022-07-08,105261
E07000148,Norwich,ltla,2022-07-07,105256
E07000148,Norwich,ltla,2022-07-06,105239
E07000148,Norwich,ltla,2022-07-05,105233
E07000148,Norwich,ltla,2022-07-04,105230
E07000148,Norwich,ltla,2022-07-03,105222
E07000148,Norwich,ltla,2022-07-02,105200
E07000148,Norwich,ltla,2022-07-01,105192
E07000148,Norwich,ltla,2022-06-30,105184
E07000148,Norwich,ltla,2022-06-29,105177
E07000148,Norwich,ltla,2022-06-28,105168
E07000148,Norwich,ltla,2022-06-27,105158
E07000148,Norwich,ltla,2022-06-26,105152
E07000148,Norwich,ltla,2022-06-25,105131
E07000148,Norwich,ltla,2022-06-24,105115
E07000148,Norwich,ltla,2022-06-23,105110
E07000148,Norwich,ltla,2022-06-22,105103
E07000148,Norwich,ltla,2022-06-21,105097
E07000148,Norwich,ltla,2022-06-20,105090
E07000148,Norwich,ltla,2022-06-19,105084
E07000148,Norwich,ltla,2022-06-18,105066
