areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E06000017,Rutland,ltla,2022-08-02,33125
E06000017,Rutland,ltla,2022-08-01,33124
E06000017,Rutland,ltla,2022-07-31,33124
E06000017,Rutland,ltla,2022-07-30,33117
E06000017,Rutland,ltla,2022-07-29,33115
E06000017,Rutland,ltla,2022-07-28,33110
E06000017,Rutland,ltla,2022-07-27,33109
E06000017,Rutland,ltla,2022-07-26,33107
E06000017,Rutland,ltla,2022-07-25,33106
E06000017,Rutland,ltla,2022-07-24,33106
E06000017,Rutland,ltla,2022-07-23,33100
E06000017,Rutland,ltla,2022-07-22,33099
E06000017,Rutland,ltla,2022-07-21,33093
E06000017,Rutland,ltla,2022-07-20,33092
E06000017,Rutland,ltla,2022-07-19,33090
E06000017,Rutland,ltla,2022-07-18,33090
E06000017,Rutland,ltla,2022-07-17,33088
E06000017,Rutland,ltla,2022-07-16,33079
E06000017,Rutland,ltla,2022-07-15,33077
E06000017,Rutland,ltla,2022-07-14,33059
E06000017,Rutland,ltla,2022-07-13,33055
E06000017,Rutland,ltla,2022-07-12,33052
E06000017,Rutland,ltla,2022-07-11,33052
E06000017,Rutland,ltla,2022-07-10,33051
E06000017,Rutland,ltla,2022-07-09,33043
E06000017,Rutland,ltla,2022-07-08,33043
E06000017,Rutland,ltla,2022-07-07,33033
E06000017,Rutland,ltla,2022-07-06,33033
E06000017,Rutland,ltla,2022-07-05,33031
E06000017,Rutland,ltla,2022-07-04,33028
E06000017,Rutland,ltla,2022-07-03,33028
E06000017,Rutland,ltla,2022-07-02,33028
E06000017,Rutland,ltla,2022-07-01,33020
E06000017,Rutland,ltla,2022-06-30,33004
E06000017,Rutland,ltla,2022-06-29,33003
E06000017,Rutland,ltla,2022-06-28,33002
E06000017,Rutland,ltla,2022-06-27,32999
E06000017,Rutland,ltla,2022-06-26,32994
E06000017,Rutland,ltla,2022-06-25,32991
E06000017,Rutland,ltla,2022-06-24,32981
E06000017,Rutland,ltla,2022-06-23,32977
E06000017,Rutland,ltla,2022-06-22,32977
E06000017,Rutland,ltla,2022-06-21,32976
E06000017,Rutland,ltla,2022-06-20,32969
E06000017,Rutland,ltla,2022-06-19,32963
E06000017,Rutland,ltla,2022-06-18,32962
E06000017,Rutland,ltla,2022-06-17,32950
E06000017,Rutland,ltla,2022-06-16,32942
E06000017,Rutland,ltla,2022-06-15,32941
E06000017,Rutland,ltla,2022-06-14,32941
E06000017,Rutland,ltla,2022-06-13,32939
E06000017,Rutland,ltla,2022-06-12,32934
E06000017,Rutland,ltla,2022-06-11,32929
E06000017,Rutland,ltla,2022-06-10,32917
E06000017,Rutland,ltla,2022-06-09,32915
E06000017,Rutland,ltla,2022-06-08,32915
E06000017,Rutland,ltla,2022-06-07,32914
E06000017,Rutland,ltla,2022-06-06,32912
E06000017,Rutland,ltla,2022-06-05,32906
E06000017,Rutland,ltla,2022-06-04,32906
E06000017,Rutland,ltla,2022-06-03,32905
E06000017,Rutland,ltla,2022-06-02,32905
E06000017,Rutland,ltla,2022-06-01,32905
E06000017,Rutland,ltla,2022-05-31,32901
E06000017,Rutland,ltla,2022-05-30,32894
E06000017,Rutland,ltla,2022-05-29,32876
E06000017,Rutland,ltla,2022-05-28,32874
E06000017,Rutland,ltla,2022-05-27,32860
E06000017,Rutland,ltla,2022-05-26,32858
E06000017,Rutland,ltla,2022-05-25,32857
E06000017,Rutland,ltla,2022-05-24,32856
E06000017,Rutland,ltla,2022-05-23,32849
E06000017,Rutland,ltla,2022-05-22,32843
E06000017,Rutland,ltla,2022-05-21,32843
E06000017,Rutland,ltla,2022-05-20,32826
E06000017,Rutland,ltla,2022-05-19,32818
E06000017,Rutland,ltla,2022-05-18,32816
E06000017,Rutland,ltla,2022-05-17,32815
E06000017,Rutland,ltla,2022-05-16,32810
E06000017,Rutland,ltla,2022-05-15,32806
E06000017,Rutland,ltla,2022-05-14,32803
E06000017,Rutland,ltla,2022-05-13,32791
E06000017,Rutland,ltla,2022-05-12,32783
E06000017,Rutland,ltla,2022-05-11,32782
E06000017,Rutland,ltla,2022-05-10,32782
E06000017,Rutland,ltla,2022-05-09,32780
E06000017,Rutland,ltla,2022-05-08,32773
E06000017,Rutland,ltla,2022-05-07,32770
E06000017,Rutland,ltla,2022-05-06,32756
E06000017,Rutland,ltla,2022-05-05,32740
E06000017,Rutland,ltla,2022-05-04,32738
E06000017,Rutland,ltla,2022-05-03,32737
E06000017,Rutland,ltla,2022-05-02,32723
E06000017,Rutland,ltla,2022-05-01,32722
E06000017,Rutland,ltla,2022-04-30,32722
E06000017,Rutland,ltla,2022-04-29,32709
E06000017,Rutland,ltla,2022-04-28,32698
E06000017,Rutland,ltla,2022-04-27,32697
E06000017,Rutland,ltla,2022-04-26,32686
E06000017,Rutland,ltla,2022-04-25,32684
E06000017,Rutland,ltla,2022-04-24,32669
E06000017,Rutland,ltla,2022-04-23,32668
E06000017,Rutland,ltla,2022-04-22,32656
E06000017,Rutland,ltla,2022-04-21,32643
E06000017,Rutland,ltla,2022-04-20,32640
E06000017,Rutland,ltla,2022-04-19,32638
