areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000197,Stafford,ltla,2022-08-02,107549
E07000197,Stafford,ltla,2022-08-01,107544
E07000197,Stafford,ltla,2022-07-31,107544
E07000197,Stafford,ltla,2022-07-30,107532
E07000197,Stafford,ltla,2022-07-29,107516
E07000197,Stafford,ltla,2022-07-28,107513
E07000197,Stafford,ltla,2022-07-27,107500
E07000197,Stafford,ltla,2022-07-26,107499
E07000197,Stafford,ltla,2022-07-25,107493
E07000197,Stafford,ltla,2022-07-24,107492
E07000197,Stafford,ltla,2022-07-23,107482
E07000197,Stafford,ltla,2022-07-22,107465
E07000197,Stafford,ltla,2022-07-21,107464
E07000197,Stafford,ltla,2022-07-20,107449
E07000197,Stafford,ltla,2022-07-19,107447
E07000197,Stafford,ltla,2022-07-18,107444
E07000197,Stafford,ltla,2022-07-17,107443
E07000197,Stafford,ltla,2022-07-16,107425
E07000197,Stafford,ltla,2022-07-15,107392
E07000197,Stafford,ltla,2022-07-14,107391
E07000197,Stafford,ltla,2022-07-13,107389
E07000197,Stafford,ltla,2022-07-12,107388
E07000197,Stafford,ltla,2022-07-11,107380
E07000197,Stafford,ltla,2022-07-10,107378
E07000197,Stafford,ltla,2022-07-09,107344
E07000197,Stafford,ltla,2022-07-08,107306
E07000197,Stafford,ltla,2022-07-07,107305
E07000197,Stafford,ltla,2022-07-06,107300
E07000197,Stafford,ltla,2022-07-05,107300
E07000197,Stafford,ltla,2022-07-04,107252
E07000197,Stafford,ltla,2022-07-03,107246
E07000197,Stafford,ltla,2022-07-02,107218
E07000197,Stafford,ltla,2022-07-01,107189
E07000197,Stafford,ltla,2022-06-30,107189
E07000197,Stafford,ltla,2022-06-29,107182
E07000197,Stafford,ltla,2022-06-28,107180
E07000197,Stafford,ltla,2022-06-27,107173
E07000197,Stafford,ltla,2022-06-26,107172
E07000197,Stafford,ltla,2022-06-25,107154
E07000197,Stafford,ltla,2022-06-24,107123
E07000197,Stafford,ltla,2022-06-23,107121
E07000197,Stafford,ltla,2022-06-22,107115
E07000197,Stafford,ltla,2022-06-21,107115
E07000197,Stafford,ltla,2022-06-20,107111
E07000197,Stafford,ltla,2022-06-19,107108
