areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000082,Stroud,ltla,2022-08-02,97686
E07000082,Stroud,ltla,2022-08-01,97673
E07000082,Stroud,ltla,2022-07-31,97670
E07000082,Stroud,ltla,2022-07-30,97668
E07000082,Stroud,ltla,2022-07-29,97665
E07000082,Stroud,ltla,2022-07-28,97643
E07000082,Stroud,ltla,2022-07-27,97638
E07000082,Stroud,ltla,2022-07-26,97617
E07000082,Stroud,ltla,2022-07-25,97610
E07000082,Stroud,ltla,2022-07-24,97601
E07000082,Stroud,ltla,2022-07-23,97599
E07000082,Stroud,ltla,2022-07-22,97595
E07000082,Stroud,ltla,2022-07-21,97554
E07000082,Stroud,ltla,2022-07-20,97550
E07000082,Stroud,ltla,2022-07-19,97532
E07000082,Stroud,ltla,2022-07-18,97523
E07000082,Stroud,ltla,2022-07-17,97509
E07000082,Stroud,ltla,2022-07-16,97508
E07000082,Stroud,ltla,2022-07-15,97492
E07000082,Stroud,ltla,2022-07-14,97484
E07000082,Stroud,ltla,2022-07-13,97472
E07000082,Stroud,ltla,2022-07-12,97468
E07000082,Stroud,ltla,2022-07-11,97463
E07000082,Stroud,ltla,2022-07-10,97454
E07000082,Stroud,ltla,2022-07-09,97449
E07000082,Stroud,ltla,2022-07-08,97434
E07000082,Stroud,ltla,2022-07-07,97401
E07000082,Stroud,ltla,2022-07-06,97377
E07000082,Stroud,ltla,2022-07-05,97366
E07000082,Stroud,ltla,2022-07-04,97353
E07000082,Stroud,ltla,2022-07-03,97341
E07000082,Stroud,ltla,2022-07-02,97340
E07000082,Stroud,ltla,2022-07-01,97326
E07000082,Stroud,ltla,2022-06-30,97305
E07000082,Stroud,ltla,2022-06-29,97300
E07000082,Stroud,ltla,2022-06-28,97280
E07000082,Stroud,ltla,2022-06-27,97279
E07000082,Stroud,ltla,2022-06-26,97274
E07000082,Stroud,ltla,2022-06-25,97273
E07000082,Stroud,ltla,2022-06-24,97268
E07000082,Stroud,ltla,2022-06-23,97219
E07000082,Stroud,ltla,2022-06-22,97219
E07000082,Stroud,ltla,2022-06-21,97195
E07000082,Stroud,ltla,2022-06-20,97193
E07000082,Stroud,ltla,2022-06-19,97189
E07000082,Stroud,ltla,2022-06-18,97187
