areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000138,Lincoln,ltla,2022-08-02,55213
E07000138,Lincoln,ltla,2022-08-01,55193
E07000138,Lincoln,ltla,2022-07-31,55185
E07000138,Lincoln,ltla,2022-07-30,55185
E07000138,Lincoln,ltla,2022-07-29,55177
E07000138,Lincoln,ltla,2022-07-28,55156
E07000138,Lincoln,ltla,2022-07-27,55147
E07000138,Lincoln,ltla,2022-07-26,55121
E07000138,Lincoln,ltla,2022-07-25,55105
E07000138,Lincoln,ltla,2022-07-24,55103
E07000138,Lincoln,ltla,2022-07-23,55102
E07000138,Lincoln,ltla,2022-07-22,55096
E07000138,Lincoln,ltla,2022-07-21,55081
E07000138,Lincoln,ltla,2022-07-20,55061
E07000138,Lincoln,ltla,2022-07-19,55044
E07000138,Lincoln,ltla,2022-07-18,55033
E07000138,Lincoln,ltla,2022-07-17,55022
E07000138,Lincoln,ltla,2022-07-16,55019
E07000138,Lincoln,ltla,2022-07-15,55006
E07000138,Lincoln,ltla,2022-07-14,54999
E07000138,Lincoln,ltla,2022-07-13,54993
E07000138,Lincoln,ltla,2022-07-12,54979
E07000138,Lincoln,ltla,2022-07-11,54968
E07000138,Lincoln,ltla,2022-07-10,54961
E07000138,Lincoln,ltla,2022-07-09,54957
E07000138,Lincoln,ltla,2022-07-08,54943
E07000138,Lincoln,ltla,2022-07-07,54935
E07000138,Lincoln,ltla,2022-07-06,54912
E07000138,Lincoln,ltla,2022-07-05,54892
E07000138,Lincoln,ltla,2022-07-04,54879
E07000138,Lincoln,ltla,2022-07-03,54877
E07000138,Lincoln,ltla,2022-07-02,54876
E07000138,Lincoln,ltla,2022-07-01,54865
E07000138,Lincoln,ltla,2022-06-30,54849
E07000138,Lincoln,ltla,2022-06-29,54835
E07000138,Lincoln,ltla,2022-06-28,54826
E07000138,Lincoln,ltla,2022-06-27,54817
E07000138,Lincoln,ltla,2022-06-26,54810
E07000138,Lincoln,ltla,2022-06-25,54804
E07000138,Lincoln,ltla,2022-06-24,54794
E07000138,Lincoln,ltla,2022-06-23,54785
E07000138,Lincoln,ltla,2022-06-22,54772
E07000138,Lincoln,ltla,2022-06-21,54750
E07000138,Lincoln,ltla,2022-06-20,54740
E07000138,Lincoln,ltla,2022-06-19,54737
E07000138,Lincoln,ltla,2022-06-18,54726
E07000138,Lincoln,ltla,2022-06-17,54723
