areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E06000057,Northumberland,ltla,2022-08-02,218391
E06000057,Northumberland,ltla,2022-08-01,218376
E06000057,Northumberland,ltla,2022-07-31,218349
E06000057,Northumberland,ltla,2022-07-30,218324
E06000057,Northumberland,ltla,2022-07-29,218289
E06000057,Northumberland,ltla,2022-07-28,218262
E06000057,Northumberland,ltla,2022-07-27,218245
E06000057,Northumberland,ltla,2022-07-26,218186
E06000057,Northumberland,ltla,2022-07-25,218149
E06000057,Northumberland,ltla,2022-07-24,218117
E06000057,Northumberland,ltla,2022-07-23,218086
E06000057,Northumberland,ltla,2022-07-22,218058
E06000057,Northumberland,ltla,2022-07-21,218032
E06000057,Northumberland,ltla,2022-07-20,218011
E06000057,Northumberland,ltla,2022-07-19,217968
E06000057,Northumberland,ltla,2022-07-18,217899
E06000057,Northumberland,ltla,2022-07-17,217890
E06000057,Northumberland,ltla,2022-07-16,217877
E06000057,Northumberland,ltla,2022-07-15,217860
E06000057,Northumberland,ltla,2022-07-14,217839
E06000057,Northumberland,ltla,2022-07-13,217821
E06000057,Northumberland,ltla,2022-07-12,217737
E06000057,Northumberland,ltla,2022-07-11,217689
E06000057,Northumberland,ltla,2022-07-10,217682
E06000057,Northumberland,ltla,2022-07-09,217674
E06000057,Northumberland,ltla,2022-07-08,217653
E06000057,Northumberland,ltla,2022-07-07,217639
E06000057,Northumberland,ltla,2022-07-06,217628
E06000057,Northumberland,ltla,2022-07-05,217551
E06000057,Northumberland,ltla,2022-07-04,217515
E06000057,Northumberland,ltla,2022-07-03,217505
E06000057,Northumberland,ltla,2022-07-02,217486
E06000057,Northumberland,ltla,2022-07-01,217462
E06000057,Northumberland,ltla,2022-06-30,217435
E06000057,Northumberland,ltla,2022-06-29,217411
E06000057,Northumberland,ltla,2022-06-28,217374
E06000057,Northumberland,ltla,2022-06-27,217335
E06000057,Northumberland,ltla,2022-06-26,217307
E06000057,Northumberland,ltla,2022-06-25,217277
E06000057,Northumberland,ltla,2022-06-24,217235
E06000057,Northumberland,ltla,2022-06-23,217202
E06000057,Northumberland,ltla,2022-06-22,217180
E06000057,Northumberland,ltla,2022-06-21,217120
E06000057,Northumberland,ltla,2022-06-20,217082
E06000057,Northumberland,ltla,2022-06-19,217044
E06000057,Northumberland,ltla,2022-06-18,217032
E06000057,Northumberland,ltla,2022-06-17,216963
E06000057,Northumberland,ltla,2022-06-16,216922
E06000057,Northumberland,ltla,2022-06-15,216892
E06000057,Northumberland,ltla,2022-06-14,216826
E06000057,Northumberland,ltla,2022-06-13,216807
E06000057,Northumberland,ltla,2022-06-12,216766
E06000057,Northumberland,ltla,2022-06-11,216756
E06000057,Northumberland,ltla,2022-06-10,216712
E06000057,Northumberland,ltla,2022-06-09,216687
E06000057,Northumberland,ltla,2022-06-08,216665
E06000057,Northumberland,ltla,2022-06-07,216581
E06000057,Northumberland,ltla,2022-06-06,216554
E06000057,Northumberland,ltla,2022-06-05,216518
E06000057,Northumberland,ltla,2022-06-04,216507
E06000057,Northumberland,ltla,2022-06-03,216475
E06000057,Northumberland,ltla,2022-06-02,216474
E06000057,Northumberland,ltla,2022-06-01,216471
E06000057,Northumberland,ltla,2022-05-31,216384
E06000057,Northumberland,ltla,2022-05-30,216362
E06000057,Northumberland,ltla,2022-05-29,216300
E06000057,Northumberland,ltla,2022-05-28,216253
E06000057,Northumberland,ltla,2022-05-27,216218
E06000057,Northumberland,ltla,2022-05-26,216172
E06000057,Northumberland,ltla,2022-05-25,216138
E06000057,Northumberland,ltla,2022-05-24,216096
E06000057,Northumberland,ltla,2022-05-23,216062
E06000057,Northumberland,ltla,2022-05-22,216005
E06000057,Northumberland,ltla,2022-05-21,215991
E06000057,Northumberland,ltla,2022-05-20,215930
E06000057,Northumberland,ltla,2022-05-19,215865
E06000057,Northumberland,ltla,2022-05-18,215802
E06000057,Northumberland,ltla,2022-05-17,215715
E06000057,Northumberland,ltla,2022-05-16,215665
E06000057,Northumberland,ltla,2022-05-15,215608
E06000057,Northumberland,ltla,2022-05-14,215570
E06000057,Northumberland,ltla,2022-05-13,215492
E06000057,Northumberland,ltla,2022-05-12,215426
E06000057,Northumberland,ltla,2022-05-11,215379
E06000057,Northumberland,ltla,2022-05-10,215265
E06000057,Northumberland,ltla,2022-05-09,215226
E06000057,Northumberland,ltla,2022-05-08,215186
E06000057,Northumberland,ltla,2022-05-07,215141
E06000057,Northumberland,ltla,2022-05-06,215042
E06000057,Northumberland,ltla,2022-05-05,214952
E06000057,Northumberland,ltla,2022-05-04,214885
E06000057,Northumberland,ltla,2022-05-03,214781
E06000057,Northumberland,ltla,2022-05-02,214739
E06000057,Northumberland,ltla,2022-05-01,214733
E06000057,Northumberland,ltla,2022-04-30,214682
E06000057,Northumberland,ltla,2022-04-29,214576
E06000057,Northumberland,ltla,2022-04-28,214492
E06000057,Northumberland,ltla,2022-04-27,214448
E06000057,Northumberland,ltla,2022-04-26,214308
E06000057,Northumberland,ltla,2022-04-25,214264
E06000057,Northumberland,ltla,2022-04-24,214189
E06000057,Northumberland,ltla,2022-04-23,214116
E06000057,Northumberland,ltla,2022-04-22,214072
E06000057,Northumberland,ltla,2022-04-21,213983
E06000057,Northumberland,ltla,2022-04-20,213909
E06000057,Northumberland,ltla,2022-04-19,213802
E06000057,Northumberland,ltla,2022-04-18,213755
E06000057,Northumberland,ltla,2022-04-17,213739
E06000057,Northumberland,ltla,2022-04-16,213733
E06000057,Northumberland,ltla,2022-04-15,213663
E06000057,Northumberland,ltla,2022-04-14,213650
E06000057,Northumberland,ltla,2022-04-13,213585
E06000057,Northumberland,ltla,2022-04-12,213493
E06000057,Northumberland,ltla,2022-04-11,213435
E06000057,Northumberland,ltla,2022-04-10,213373
E06000057,Northumberland,ltla,2022-04-09,213327
E06000057,Northumberland,ltla,2022-04-08,213242
E06000057,Northumberland,ltla,2022-04-07,213181
E06000057,Northumberland,ltla,2022-04-06,213126
E06000057,Northumberland,ltla,2022-04-05,213044
E06000057,Northumberland,ltla,2022-04-04,212988
E06000057,Northumberland,ltla,2022-04-03,212947
E06000057,Northumberland,ltla,2022-04-02,212916
E06000057,Northumberland,ltla,2022-04-01,212823
E06000057,Northumberland,ltla,2022-03-31,212751
E06000057,Northumberland,ltla,2022-03-30,212712
E06000057,Northumberland,ltla,2022-03-29,212635
E06000057,Northumberland,ltla,2022-03-28,212579
E06000057,Northumberland,ltla,2022-03-27,212511
E06000057,Northumberland,ltla,2022-03-26,212470
E06000057,Northumberland,ltla,2022-03-25,212425
E06000057,Northumberland,ltla,2022-03-24,212358
E06000057,Northumberland,ltla,2022-03-23,212296
E06000057,Northumberland,ltla,2022-03-22,212182
E06000057,Northumberland,ltla,2022-03-21,212153
E06000057,Northumberland,ltla,2022-03-20,212041
E06000057,Northumberland,ltla,2022-03-19,212004
E06000057,Northumberland,ltla,2022-03-18,211842
E06000057,Northumberland,ltla,2022-03-17,211764
E06000057,Northumberland,ltla,2022-03-16,211700
E06000057,Northumberland,ltla,2022-03-15,211586
E06000057,Northumberland,ltla,2022-03-14,211511
E06000057,Northumberland,ltla,2022-03-13,211427
E06000057,Northumberland,ltla,2022-03-12,211378
E06000057,Northumberland,ltla,2022-03-11,211332
E06000057,Northumberland,ltla,2022-03-10,211221
E06000057,Northumberland,ltla,2022-03-09,211154
E06000057,Northumberland,ltla,2022-03-08,211004
E06000057,Northumberland,ltla,2022-03-07,210956
E06000057,Northumberland,ltla,2022-03-06,210866
E06000057,Northumberland,ltla,2022-03-05,210796
E06000057,Northumberland,ltla,2022-03-04,210721
E06000057,Northumberland,ltla,2022-03-03,210607
E06000057,Northumberland,ltla,2022-03-02,210574
E06000057,Northumberland,ltla,2022-03-01,210451
E06000057,Northumberland,ltla,2022-02-28,210408
E06000057,Northumberland,ltla,2022-02-27,210326
E06000057,Northumberland,ltla,2022-02-26,210288
E06000057,Northumberland,ltla,2022-02-25,210221
E06000057,Northumberland,ltla,2022-02-24,210039
E06000057,Northumberland,ltla,2022-02-23,209973
E06000057,Northumberland,ltla,2022-02-22,209783
E06000057,Northumberland,ltla,2022-02-21,209688
E06000057,Northumberland,ltla,2022-02-20,209628
E06000057,Northumberland,ltla,2022-02-19,209553
E06000057,Northumberland,ltla,2022-02-18,209449
E06000057,Northumberland,ltla,2022-02-17,209393
E06000057,Northumberland,ltla,2022-02-16,209223
E06000057,Northumberland,ltla,2022-02-15,209055
E06000057,Northumberland,ltla,2022-02-14,208996
E06000057,Northumberland,ltla,2022-02-13,208938
E06000057,Northumberland,ltla,2022-02-12,208839
E06000057,Northumberland,ltla,2022-02-11,208674
E06000057,Northumberland,ltla,2022-02-10,208590
E06000057,Northumberland,ltla,2022-02-09,208450
E06000057,Northumberland,ltla,2022-02-08,208317
E06000057,Northumberland,ltla,2022-02-07,208253
E06000057,Northumberland,ltla,2022-02-06,208129
E06000057,Northumberland,ltla,2022-02-05,208051
E06000057,Northumberland,ltla,2022-02-04,207952
E06000057,Northumberland,ltla,2022-02-03,207868
E06000057,Northumberland,ltla,2022-02-02,207803
E06000057,Northumberland,ltla,2022-02-01,207628
E06000057,Northumberland,ltla,2022-01-31,207505
E06000057,Northumberland,ltla,2022-01-30,207414
E06000057,Northumberland,ltla,2022-01-29,207286
E06000057,Northumberland,ltla,2022-01-28,207060
E06000057,Northumberland,ltla,2022-01-27,206952
E06000057,Northumberland,ltla,2022-01-26,206659
E06000057,Northumberland,ltla,2022-01-25,206499
E06000057,Northumberland,ltla,2022-01-24,206381
E06000057,Northumberland,ltla,2022-01-23,206223
E06000057,Northumberland,ltla,2022-01-22,206081
E06000057,Northumberland,ltla,2022-01-21,205719
E06000057,Northumberland,ltla,2022-01-20,205612
E06000057,Northumberland,ltla,2022-01-19,205364
E06000057,Northumberland,ltla,2022-01-18,205156
E06000057,Northumberland,ltla,2022-01-17,205005
E06000057,Northumberland,ltla,2022-01-16,204873
E06000057,Northumberland,ltla,2022-01-15,204470
E06000057,Northumberland,ltla,2022-01-14,204056
E06000057,Northumberland,ltla,2022-01-13,203826
E06000057,Northumberland,ltla,2022-01-12,203143
E06000057,Northumberland,ltla,2022-01-11,202709
E06000057,Northumberland,ltla,2022-01-10,202124
E06000057,Northumberland,ltla,2022-01-09,201722
E06000057,Northumberland,ltla,2022-01-08,201298
E06000057,Northumberland,ltla,2022-01-07,200275
E06000057,Northumberland,ltla,2022-01-06,199569
E06000057,Northumberland,ltla,2022-01-05,198324
E06000057,Northumberland,ltla,2022-01-04,196992
E06000057,Northumberland,ltla,2022-01-03,196034
E06000057,Northumberland,ltla,2022-01-02,195869
E06000057,Northumberland,ltla,2022-01-01,195428
E06000057,Northumberland,ltla,2021-12-31,195402
E06000057,Northumberland,ltla,2021-12-30,195009
E06000057,Northumberland,ltla,2021-12-29,192710
E06000057,Northumberland,ltla,2021-12-28,191635
E06000057,Northumberland,ltla,2021-12-27,190340
E06000057,Northumberland,ltla,2021-12-26,189990
E06000057,Northumberland,ltla,2021-12-25,189870
E06000057,Northumberland,ltla,2021-12-24,189870
E06000057,Northumberland,ltla,2021-12-23,189466
E06000057,Northumberland,ltla,2021-12-22,186207
E06000057,Northumberland,ltla,2021-12-21,182332
E06000057,Northumberland,ltla,2021-12-20,178233
E06000057,Northumberland,ltla,2021-12-19,173988
E06000057,Northumberland,ltla,2021-12-18,169607
E06000057,Northumberland,ltla,2021-12-17,165577
E06000057,Northumberland,ltla,2021-12-16,161731
E06000057,Northumberland,ltla,2021-12-15,154742
E06000057,Northumberland,ltla,2021-12-14,151422
E06000057,Northumberland,ltla,2021-12-13,147426
E06000057,Northumberland,ltla,2021-12-12,145243
E06000057,Northumberland,ltla,2021-12-11,142169
E06000057,Northumberland,ltla,2021-12-10,138933
E06000057,Northumberland,ltla,2021-12-09,136674
E06000057,Northumberland,ltla,2021-12-08,132225
E06000057,Northumberland,ltla,2021-12-07,130190
E06000057,Northumberland,ltla,2021-12-06,128383
E06000057,Northumberland,ltla,2021-12-05,126325
E06000057,Northumberland,ltla,2021-12-04,124846
E06000057,Northumberland,ltla,2021-12-03,122278
E06000057,Northumberland,ltla,2021-12-02,120552
E06000057,Northumberland,ltla,2021-12-01,117742
E06000057,Northumberland,ltla,2021-11-30,116225
E06000057,Northumberland,ltla,2021-11-29,114091
E06000057,Northumberland,ltla,2021-11-28,112776
E06000057,Northumberland,ltla,2021-11-27,111852
E06000057,Northumberland,ltla,2021-11-26,109253
E06000057,Northumberland,ltla,2021-11-25,107779
E06000057,Northumberland,ltla,2021-11-24,104698
E06000057,Northumberland,ltla,2021-11-23,102358
E06000057,Northumberland,ltla,2021-11-22,100496
E06000057,Northumberland,ltla,2021-11-21,98461
E06000057,Northumberland,ltla,2021-11-20,97373
E06000057,Northumberland,ltla,2021-11-19,94835
E06000057,Northumberland,ltla,2021-11-18,93498
E06000057,Northumberland,ltla,2021-11-17,91280
E06000057,Northumberland,ltla,2021-11-16,88843
E06000057,Northumberland,ltla,2021-11-15,86379
E06000057,Northumberland,ltla,2021-11-14,84658
E06000057,Northumberland,ltla,2021-11-13,84336
E06000057,Northumberland,ltla,2021-11-12,80483
E06000057,Northumberland,ltla,2021-11-11,78576
E06000057,Northumberland,ltla,2021-11-10,75485
E06000057,Northumberland,ltla,2021-11-09,72754
E06000057,Northumberland,ltla,2021-11-08,70101
E06000057,Northumberland,ltla,2021-11-07,69166
E06000057,Northumberland,ltla,2021-11-06,68082
E06000057,Northumberland,ltla,2021-11-05,66032
E06000057,Northumberland,ltla,2021-11-04,64571
E06000057,Northumberland,ltla,2021-11-03,60500
E06000057,Northumberland,ltla,2021-11-02,58571
E06000057,Northumberland,ltla,2021-11-01,57124
E06000057,Northumberland,ltla,2021-10-31,56391
E06000057,Northumberland,ltla,2021-10-30,55626
E06000057,Northumberland,ltla,2021-10-29,52926
E06000057,Northumberland,ltla,2021-10-28,51082
E06000057,Northumberland,ltla,2021-10-27,49431
E06000057,Northumberland,ltla,2021-10-26,47859
E06000057,Northumberland,ltla,2021-10-25,46106
E06000057,Northumberland,ltla,2021-10-24,45480
E06000057,Northumberland,ltla,2021-10-23,45047
E06000057,Northumberland,ltla,2021-10-22,43228
E06000057,Northumberland,ltla,2021-10-21,42088
E06000057,Northumberland,ltla,2021-10-20,39194
E06000057,Northumberland,ltla,2021-10-19,36884
E06000057,Northumberland,ltla,2021-10-18,35085
E06000057,Northumberland,ltla,2021-10-17,34263
E06000057,Northumberland,ltla,2021-10-16,33884
E06000057,Northumberland,ltla,2021-10-15,31733
E06000057,Northumberland,ltla,2021-10-14,30257
E06000057,Northumberland,ltla,2021-10-13,27956
E06000057,Northumberland,ltla,2021-10-12,25721
E06000057,Northumberland,ltla,2021-10-11,24109
E06000057,Northumberland,ltla,2021-10-10,23329
E06000057,Northumberland,ltla,2021-10-09,23027
E06000057,Northumberland,ltla,2021-10-08,19729
E06000057,Northumberland,ltla,2021-10-07,18520
E06000057,Northumberland,ltla,2021-10-06,17176
E06000057,Northumberland,ltla,2021-10-05,15808
E06000057,Northumberland,ltla,2021-10-04,14553
E06000057,Northumberland,ltla,2021-10-03,13740
E06000057,Northumberland,ltla,2021-10-02,13072
E06000057,Northumberland,ltla,2021-10-01,10411
E06000057,Northumberland,ltla,2021-09-30,9226
E06000057,Northumberland,ltla,2021-09-29,6918
E06000057,Northumberland,ltla,2021-09-28,5844
E06000057,Northumberland,ltla,2021-09-27,4299
E06000057,Northumberland,ltla,2021-09-26,3648
E06000057,Northumberland,ltla,2021-09-25,3164
E06000057,Northumberland,ltla,2021-09-24,2251
E06000057,Northumberland,ltla,2021-09-23,1669
E06000057,Northumberland,ltla,2021-09-22,1167
E06000057,Northumberland,ltla,2021-09-21,770
E06000057,Northumberland,ltla,2021-09-20,378
E06000057,Northumberland,ltla,2021-09-19,289
E06000057,Northumberland,ltla,2021-09-18,287
E06000057,Northumberland,ltla,2021-09-17,179
E06000057,Northumberland,ltla,2021-09-16,171
E06000057,Northumberland,ltla,2021-09-15,94
E06000057,Northumberland,ltla,2021-09-14,93
E06000057,Northumberland,ltla,2021-09-13,83
E06000057,Northumberland,ltla,2021-09-12,80
E06000057,Northumberland,ltla,2021-09-11,80
E06000057,Northumberland,ltla,2021-09-10,80
E06000057,Northumberland,ltla,2021-09-09,80
E06000057,Northumberland,ltla,2021-09-08,80
E06000057,Northumberland,ltla,2021-09-07,80
E06000057,Northumberland,ltla,2021-09-06,79
E06000057,Northumberland,ltla,2021-09-05,79
E06000057,Northumberland,ltla,2021-09-04,79
E06000057,Northumberland,ltla,2021-09-03,79
E06000057,Northumberland,ltla,2021-09-02,79
E06000057,Northumberland,ltla,2021-09-01,79
E06000057,Northumberland,ltla,2021-08-31,78
E06000057,Northumberland,ltla,2021-08-30,78
E06000057,Northumberland,ltla,2021-08-29,78
E06000057,Northumberland,ltla,2021-08-28,78
E06000057,Northumberland,ltla,2021-08-27,78
E06000057,Northumberland,ltla,2021-08-26,77
E06000057,Northumberland,ltla,2021-08-25,77
E06000057,Northumberland,ltla,2021-08-24,77
E06000057,Northumberland,ltla,2021-08-23,77
E06000057,Northumberland,ltla,2021-08-22,77
E06000057,Northumberland,ltla,2021-08-21,77
E06000057,Northumberland,ltla,2021-08-20,76
E06000057,Northumberland,ltla,2021-08-19,76
E06000057,Northumberland,ltla,2021-08-18,76
E06000057,Northumberland,ltla,2021-08-17,76
E06000057,Northumberland,ltla,2021-08-16,75
E06000057,Northumberland,ltla,2021-08-15,74
E06000057,Northumberland,ltla,2021-08-14,73
E06000057,Northumberland,ltla,2021-08-13,73
E06000057,Northumberland,ltla,2021-08-12,73
E06000057,Northumberland,ltla,2021-08-11,72
E06000057,Northumberland,ltla,2021-08-10,71
E06000057,Northumberland,ltla,2021-08-09,71
E06000057,Northumberland,ltla,2021-08-08,71
E06000057,Northumberland,ltla,2021-08-07,71
E06000057,Northumberland,ltla,2021-08-06,71
E06000057,Northumberland,ltla,2021-08-05,71
E06000057,Northumberland,ltla,2021-08-04,71
