areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E06000018,Nottingham,ltla,2022-08-02,146411
E06000018,Nottingham,ltla,2022-08-01,146357
E06000018,Nottingham,ltla,2022-07-31,146326
E06000018,Nottingham,ltla,2022-07-30,146313
E06000018,Nottingham,ltla,2022-07-29,146287
E06000018,Nottingham,ltla,2022-07-28,146245
E06000018,Nottingham,ltla,2022-07-27,146206
E06000018,Nottingham,ltla,2022-07-26,146179
E06000018,Nottingham,ltla,2022-07-25,146153
E06000018,Nottingham,ltla,2022-07-24,146100
E06000018,Nottingham,ltla,2022-07-23,146078
E06000018,Nottingham,ltla,2022-07-22,146051
E06000018,Nottingham,ltla,2022-07-21,145996
E06000018,Nottingham,ltla,2022-07-20,145940
E06000018,Nottingham,ltla,2022-07-19,145895
E06000018,Nottingham,ltla,2022-07-18,145874
E06000018,Nottingham,ltla,2022-07-17,145848
E06000018,Nottingham,ltla,2022-07-16,145812
E06000018,Nottingham,ltla,2022-07-15,145787
E06000018,Nottingham,ltla,2022-07-14,145755
E06000018,Nottingham,ltla,2022-07-13,145718
E06000018,Nottingham,ltla,2022-07-12,145660
E06000018,Nottingham,ltla,2022-07-11,145625
E06000018,Nottingham,ltla,2022-07-10,145569
E06000018,Nottingham,ltla,2022-07-09,145551
E06000018,Nottingham,ltla,2022-07-08,145524
E06000018,Nottingham,ltla,2022-07-07,145488
E06000018,Nottingham,ltla,2022-07-06,145448
E06000018,Nottingham,ltla,2022-07-05,145403
E06000018,Nottingham,ltla,2022-07-04,145364
E06000018,Nottingham,ltla,2022-07-03,145302
E06000018,Nottingham,ltla,2022-07-02,145277
E06000018,Nottingham,ltla,2022-07-01,145249
E06000018,Nottingham,ltla,2022-06-30,145217
E06000018,Nottingham,ltla,2022-06-29,145178
E06000018,Nottingham,ltla,2022-06-28,145119
E06000018,Nottingham,ltla,2022-06-27,145083
E06000018,Nottingham,ltla,2022-06-26,145018
E06000018,Nottingham,ltla,2022-06-25,144980
E06000018,Nottingham,ltla,2022-06-24,144936
E06000018,Nottingham,ltla,2022-06-23,144871
E06000018,Nottingham,ltla,2022-06-22,144831
E06000018,Nottingham,ltla,2022-06-21,144782
E06000018,Nottingham,ltla,2022-06-20,144712
E06000018,Nottingham,ltla,2022-06-19,144653
E06000018,Nottingham,ltla,2022-06-18,144626
E06000018,Nottingham,ltla,2022-06-17,144583
E06000018,Nottingham,ltla,2022-06-16,144508
E06000018,Nottingham,ltla,2022-06-15,144466
E06000018,Nottingham,ltla,2022-06-14,144412
E06000018,Nottingham,ltla,2022-06-13,144345
E06000018,Nottingham,ltla,2022-06-12,144287
E06000018,Nottingham,ltla,2022-06-11,144245
E06000018,Nottingham,ltla,2022-06-10,144178
E06000018,Nottingham,ltla,2022-06-09,144088
E06000018,Nottingham,ltla,2022-06-08,144036
E06000018,Nottingham,ltla,2022-06-07,143981
E06000018,Nottingham,ltla,2022-06-06,143904
E06000018,Nottingham,ltla,2022-06-05,143833
E06000018,Nottingham,ltla,2022-06-04,143805
E06000018,Nottingham,ltla,2022-06-03,143787
E06000018,Nottingham,ltla,2022-06-02,143766
E06000018,Nottingham,ltla,2022-06-01,143722
E06000018,Nottingham,ltla,2022-05-31,143656
E06000018,Nottingham,ltla,2022-05-30,143578
E06000018,Nottingham,ltla,2022-05-29,143511
E06000018,Nottingham,ltla,2022-05-28,143462
E06000018,Nottingham,ltla,2022-05-27,143407
E06000018,Nottingham,ltla,2022-05-26,143340
E06000018,Nottingham,ltla,2022-05-25,143251
E06000018,Nottingham,ltla,2022-05-24,143187
E06000018,Nottingham,ltla,2022-05-23,143094
E06000018,Nottingham,ltla,2022-05-22,143020
E06000018,Nottingham,ltla,2022-05-21,142982
E06000018,Nottingham,ltla,2022-05-20,142912
E06000018,Nottingham,ltla,2022-05-19,142827
E06000018,Nottingham,ltla,2022-05-18,142756
E06000018,Nottingham,ltla,2022-05-17,142682
E06000018,Nottingham,ltla,2022-05-16,142599
E06000018,Nottingham,ltla,2022-05-15,142527
E06000018,Nottingham,ltla,2022-05-14,142488
E06000018,Nottingham,ltla,2022-05-13,142418
E06000018,Nottingham,ltla,2022-05-12,142332
E06000018,Nottingham,ltla,2022-05-11,142251
E06000018,Nottingham,ltla,2022-05-10,142186
E06000018,Nottingham,ltla,2022-05-09,142114
E06000018,Nottingham,ltla,2022-05-08,142045
E06000018,Nottingham,ltla,2022-05-07,142010
E06000018,Nottingham,ltla,2022-05-06,141947
E06000018,Nottingham,ltla,2022-05-05,141874
E06000018,Nottingham,ltla,2022-05-04,141796
E06000018,Nottingham,ltla,2022-05-03,141728
E06000018,Nottingham,ltla,2022-05-02,141668
E06000018,Nottingham,ltla,2022-05-01,141656
E06000018,Nottingham,ltla,2022-04-30,141615
E06000018,Nottingham,ltla,2022-04-29,141530
E06000018,Nottingham,ltla,2022-04-28,141419
E06000018,Nottingham,ltla,2022-04-27,141326
E06000018,Nottingham,ltla,2022-04-26,141261
E06000018,Nottingham,ltla,2022-04-25,141186
E06000018,Nottingham,ltla,2022-04-24,141118
E06000018,Nottingham,ltla,2022-04-23,141059
E06000018,Nottingham,ltla,2022-04-22,140982
E06000018,Nottingham,ltla,2022-04-21,140907
E06000018,Nottingham,ltla,2022-04-20,140818
E06000018,Nottingham,ltla,2022-04-19,140748
E06000018,Nottingham,ltla,2022-04-18,140646
E06000018,Nottingham,ltla,2022-04-17,140617
E06000018,Nottingham,ltla,2022-04-16,140588
E06000018,Nottingham,ltla,2022-04-15,140532
E06000018,Nottingham,ltla,2022-04-14,140481
E06000018,Nottingham,ltla,2022-04-13,140395
E06000018,Nottingham,ltla,2022-04-12,140306
E06000018,Nottingham,ltla,2022-04-11,140188
E06000018,Nottingham,ltla,2022-04-10,140087
E06000018,Nottingham,ltla,2022-04-09,140002
E06000018,Nottingham,ltla,2022-04-08,139886
E06000018,Nottingham,ltla,2022-04-07,139788
E06000018,Nottingham,ltla,2022-04-06,139680
E06000018,Nottingham,ltla,2022-04-05,139603
E06000018,Nottingham,ltla,2022-04-04,139515
E06000018,Nottingham,ltla,2022-04-03,139411
E06000018,Nottingham,ltla,2022-04-02,139331
E06000018,Nottingham,ltla,2022-04-01,139241
E06000018,Nottingham,ltla,2022-03-31,139150
E06000018,Nottingham,ltla,2022-03-30,139056
E06000018,Nottingham,ltla,2022-03-29,138982
E06000018,Nottingham,ltla,2022-03-28,138904
E06000018,Nottingham,ltla,2022-03-27,138841
E06000018,Nottingham,ltla,2022-03-26,138779
E06000018,Nottingham,ltla,2022-03-25,138695
E06000018,Nottingham,ltla,2022-03-24,138596
E06000018,Nottingham,ltla,2022-03-23,138496
E06000018,Nottingham,ltla,2022-03-22,138409
E06000018,Nottingham,ltla,2022-03-21,138310
E06000018,Nottingham,ltla,2022-03-20,138216
E06000018,Nottingham,ltla,2022-03-19,138131
E06000018,Nottingham,ltla,2022-03-18,138049
E06000018,Nottingham,ltla,2022-03-17,137921
E06000018,Nottingham,ltla,2022-03-16,137805
E06000018,Nottingham,ltla,2022-03-15,137710
E06000018,Nottingham,ltla,2022-03-14,137604
E06000018,Nottingham,ltla,2022-03-13,137518
E06000018,Nottingham,ltla,2022-03-12,137429
E06000018,Nottingham,ltla,2022-03-11,137311
E06000018,Nottingham,ltla,2022-03-10,137186
E06000018,Nottingham,ltla,2022-03-09,137069
E06000018,Nottingham,ltla,2022-03-08,136955
E06000018,Nottingham,ltla,2022-03-07,136834
E06000018,Nottingham,ltla,2022-03-06,136731
E06000018,Nottingham,ltla,2022-03-05,136636
E06000018,Nottingham,ltla,2022-03-04,136543
E06000018,Nottingham,ltla,2022-03-03,136376
E06000018,Nottingham,ltla,2022-03-02,136245
E06000018,Nottingham,ltla,2022-03-01,136103
E06000018,Nottingham,ltla,2022-02-28,135928
E06000018,Nottingham,ltla,2022-02-27,135799
E06000018,Nottingham,ltla,2022-02-26,135690
E06000018,Nottingham,ltla,2022-02-25,135570
E06000018,Nottingham,ltla,2022-02-24,135398
E06000018,Nottingham,ltla,2022-02-23,135250
E06000018,Nottingham,ltla,2022-02-22,135118
E06000018,Nottingham,ltla,2022-02-21,134965
E06000018,Nottingham,ltla,2022-02-20,134845
E06000018,Nottingham,ltla,2022-02-19,134760
E06000018,Nottingham,ltla,2022-02-18,134646
E06000018,Nottingham,ltla,2022-02-17,134498
E06000018,Nottingham,ltla,2022-02-16,134287
E06000018,Nottingham,ltla,2022-02-15,134092
E06000018,Nottingham,ltla,2022-02-14,133938
E06000018,Nottingham,ltla,2022-02-13,133730
E06000018,Nottingham,ltla,2022-02-12,133604
E06000018,Nottingham,ltla,2022-02-11,133389
E06000018,Nottingham,ltla,2022-02-10,133104
