areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000124,Ribble Valley,ltla,2022-08-02,41710
E07000124,Ribble Valley,ltla,2022-08-01,41706
E07000124,Ribble Valley,ltla,2022-07-31,41703
E07000124,Ribble Valley,ltla,2022-07-30,41693
E07000124,Ribble Valley,ltla,2022-07-29,41691
E07000124,Ribble Valley,ltla,2022-07-28,41676
E07000124,Ribble Valley,ltla,2022-07-27,41670
E07000124,Ribble Valley,ltla,2022-07-26,41660
E07000124,Ribble Valley,ltla,2022-07-25,41655
E07000124,Ribble Valley,ltla,2022-07-24,41654
E07000124,Ribble Valley,ltla,2022-07-23,41650
E07000124,Ribble Valley,ltla,2022-07-22,41638
E07000124,Ribble Valley,ltla,2022-07-21,41611
E07000124,Ribble Valley,ltla,2022-07-20,41609
E07000124,Ribble Valley,ltla,2022-07-19,41599
E07000124,Ribble Valley,ltla,2022-07-18,41596
E07000124,Ribble Valley,ltla,2022-07-17,41585
E07000124,Ribble Valley,ltla,2022-07-16,41582
E07000124,Ribble Valley,ltla,2022-07-15,41580
E07000124,Ribble Valley,ltla,2022-07-14,41572
E07000124,Ribble Valley,ltla,2022-07-13,41567
E07000124,Ribble Valley,ltla,2022-07-12,41533
E07000124,Ribble Valley,ltla,2022-07-11,41528
E07000124,Ribble Valley,ltla,2022-07-10,41521
E07000124,Ribble Valley,ltla,2022-07-09,41510
E07000124,Ribble Valley,ltla,2022-07-08,41502
E07000124,Ribble Valley,ltla,2022-07-07,41493
E07000124,Ribble Valley,ltla,2022-07-06,41485
E07000124,Ribble Valley,ltla,2022-07-05,41457
E07000124,Ribble Valley,ltla,2022-07-04,41450
E07000124,Ribble Valley,ltla,2022-07-03,41442
E07000124,Ribble Valley,ltla,2022-07-02,41435
E07000124,Ribble Valley,ltla,2022-07-01,41425
E07000124,Ribble Valley,ltla,2022-06-30,41410
E07000124,Ribble Valley,ltla,2022-06-29,41405
E07000124,Ribble Valley,ltla,2022-06-28,41390
E07000124,Ribble Valley,ltla,2022-06-27,41385
E07000124,Ribble Valley,ltla,2022-06-26,41383
E07000124,Ribble Valley,ltla,2022-06-25,41379
E07000124,Ribble Valley,ltla,2022-06-24,41373
E07000124,Ribble Valley,ltla,2022-06-23,41367
E07000124,Ribble Valley,ltla,2022-06-22,41363
E07000124,Ribble Valley,ltla,2022-06-21,41342
E07000124,Ribble Valley,ltla,2022-06-20,41330
E07000124,Ribble Valley,ltla,2022-06-19,41328
E07000124,Ribble Valley,ltla,2022-06-18,41323
E07000124,Ribble Valley,ltla,2022-06-17,41315
E07000124,Ribble Valley,ltla,2022-06-16,41295
E07000124,Ribble Valley,ltla,2022-06-15,41288
E07000124,Ribble Valley,ltla,2022-06-14,41271
E07000124,Ribble Valley,ltla,2022-06-13,41265
E07000124,Ribble Valley,ltla,2022-06-12,41260
E07000124,Ribble Valley,ltla,2022-06-11,41256
E07000124,Ribble Valley,ltla,2022-06-10,41248
E07000124,Ribble Valley,ltla,2022-06-09,41228
E07000124,Ribble Valley,ltla,2022-06-08,41219
E07000124,Ribble Valley,ltla,2022-06-07,41200
E07000124,Ribble Valley,ltla,2022-06-06,41196
E07000124,Ribble Valley,ltla,2022-06-05,41191
E07000124,Ribble Valley,ltla,2022-06-04,41184
E07000124,Ribble Valley,ltla,2022-06-03,41176
E07000124,Ribble Valley,ltla,2022-06-02,41176
E07000124,Ribble Valley,ltla,2022-06-01,41176
E07000124,Ribble Valley,ltla,2022-05-31,41152
E07000124,Ribble Valley,ltla,2022-05-30,41142
E07000124,Ribble Valley,ltla,2022-05-29,41132
