areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000240,St Albans,ltla,2022-08-02,96579
E07000240,St Albans,ltla,2022-08-01,96564
E07000240,St Albans,ltla,2022-07-31,96564
E07000240,St Albans,ltla,2022-07-30,96561
E07000240,St Albans,ltla,2022-07-29,96548
E07000240,St Albans,ltla,2022-07-28,96537
E07000240,St Albans,ltla,2022-07-27,96526
E07000240,St Albans,ltla,2022-07-26,96516
E07000240,St Albans,ltla,2022-07-25,96495
E07000240,St Albans,ltla,2022-07-24,96487
E07000240,St Albans,ltla,2022-07-23,96483
E07000240,St Albans,ltla,2022-07-22,96466
E07000240,St Albans,ltla,2022-07-21,96456
E07000240,St Albans,ltla,2022-07-20,96430
E07000240,St Albans,ltla,2022-07-19,96408
E07000240,St Albans,ltla,2022-07-18,96389
E07000240,St Albans,ltla,2022-07-17,96382
E07000240,St Albans,ltla,2022-07-16,96381
E07000240,St Albans,ltla,2022-07-15,96365
E07000240,St Albans,ltla,2022-07-14,96339
E07000240,St Albans,ltla,2022-07-13,96310
E07000240,St Albans,ltla,2022-07-12,96297
E07000240,St Albans,ltla,2022-07-11,96274
E07000240,St Albans,ltla,2022-07-10,96264
E07000240,St Albans,ltla,2022-07-09,96261
E07000240,St Albans,ltla,2022-07-08,96243
E07000240,St Albans,ltla,2022-07-07,96227
E07000240,St Albans,ltla,2022-07-06,96204
E07000240,St Albans,ltla,2022-07-05,96190
E07000240,St Albans,ltla,2022-07-04,96156
E07000240,St Albans,ltla,2022-07-03,96122
E07000240,St Albans,ltla,2022-07-02,96121
E07000240,St Albans,ltla,2022-07-01,96100
E07000240,St Albans,ltla,2022-06-30,96080
E07000240,St Albans,ltla,2022-06-29,96050
E07000240,St Albans,ltla,2022-06-28,96025
E07000240,St Albans,ltla,2022-06-27,95994
E07000240,St Albans,ltla,2022-06-26,95979
E07000240,St Albans,ltla,2022-06-25,95977
E07000240,St Albans,ltla,2022-06-24,95941
E07000240,St Albans,ltla,2022-06-23,95906
E07000240,St Albans,ltla,2022-06-22,95887
E07000240,St Albans,ltla,2022-06-21,95866
E07000240,St Albans,ltla,2022-06-20,95847
E07000240,St Albans,ltla,2022-06-19,95832
E07000240,St Albans,ltla,2022-06-18,95829
E07000240,St Albans,ltla,2022-06-17,95824
E07000240,St Albans,ltla,2022-06-16,95798
E07000240,St Albans,ltla,2022-06-15,95793
E07000240,St Albans,ltla,2022-06-14,95769
E07000240,St Albans,ltla,2022-06-13,95738
E07000240,St Albans,ltla,2022-06-12,95722
E07000240,St Albans,ltla,2022-06-11,95719
E07000240,St Albans,ltla,2022-06-10,95689
E07000240,St Albans,ltla,2022-06-09,95680
E07000240,St Albans,ltla,2022-06-08,95661
E07000240,St Albans,ltla,2022-06-07,95642
E07000240,St Albans,ltla,2022-06-06,95617
E07000240,St Albans,ltla,2022-06-05,95596
E07000240,St Albans,ltla,2022-06-04,95595
E07000240,St Albans,ltla,2022-06-03,95574
E07000240,St Albans,ltla,2022-06-02,95572
E07000240,St Albans,ltla,2022-06-01,95572
E07000240,St Albans,ltla,2022-05-31,95546
E07000240,St Albans,ltla,2022-05-30,95509
E07000240,St Albans,ltla,2022-05-29,95485
E07000240,St Albans,ltla,2022-05-28,95485
E07000240,St Albans,ltla,2022-05-27,95454
E07000240,St Albans,ltla,2022-05-26,95435
E07000240,St Albans,ltla,2022-05-25,95406
E07000240,St Albans,ltla,2022-05-24,95391
E07000240,St Albans,ltla,2022-05-23,95380
