areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E06000021,Stoke-on-Trent,ltla,2022-08-02,139868
E06000021,Stoke-on-Trent,ltla,2022-08-01,139850
E06000021,Stoke-on-Trent,ltla,2022-07-31,139834
E06000021,Stoke-on-Trent,ltla,2022-07-30,139826
E06000021,Stoke-on-Trent,ltla,2022-07-29,139803
E06000021,Stoke-on-Trent,ltla,2022-07-28,139773
E06000021,Stoke-on-Trent,ltla,2022-07-27,139752
E06000021,Stoke-on-Trent,ltla,2022-07-26,139719
E06000021,Stoke-on-Trent,ltla,2022-07-25,139698
E06000021,Stoke-on-Trent,ltla,2022-07-24,139678
E06000021,Stoke-on-Trent,ltla,2022-07-23,139677
E06000021,Stoke-on-Trent,ltla,2022-07-22,139655
E06000021,Stoke-on-Trent,ltla,2022-07-21,139618
E06000021,Stoke-on-Trent,ltla,2022-07-20,139593
E06000021,Stoke-on-Trent,ltla,2022-07-19,139581
E06000021,Stoke-on-Trent,ltla,2022-07-18,139566
E06000021,Stoke-on-Trent,ltla,2022-07-17,139541
E06000021,Stoke-on-Trent,ltla,2022-07-16,139534
E06000021,Stoke-on-Trent,ltla,2022-07-15,139515
E06000021,Stoke-on-Trent,ltla,2022-07-14,139477
E06000021,Stoke-on-Trent,ltla,2022-07-13,139446
E06000021,Stoke-on-Trent,ltla,2022-07-12,139438
E06000021,Stoke-on-Trent,ltla,2022-07-11,139410
E06000021,Stoke-on-Trent,ltla,2022-07-10,139384
E06000021,Stoke-on-Trent,ltla,2022-07-09,139381
E06000021,Stoke-on-Trent,ltla,2022-07-08,139370
E06000021,Stoke-on-Trent,ltla,2022-07-07,139351
E06000021,Stoke-on-Trent,ltla,2022-07-06,139329
E06000021,Stoke-on-Trent,ltla,2022-07-05,139292
E06000021,Stoke-on-Trent,ltla,2022-07-04,139273
E06000021,Stoke-on-Trent,ltla,2022-07-03,139243
E06000021,Stoke-on-Trent,ltla,2022-07-02,139224
E06000021,Stoke-on-Trent,ltla,2022-07-01,139203
E06000021,Stoke-on-Trent,ltla,2022-06-30,139174
E06000021,Stoke-on-Trent,ltla,2022-06-29,139146
E06000021,Stoke-on-Trent,ltla,2022-06-28,139112
E06000021,Stoke-on-Trent,ltla,2022-06-27,139097
E06000021,Stoke-on-Trent,ltla,2022-06-26,139071
E06000021,Stoke-on-Trent,ltla,2022-06-25,139070
E06000021,Stoke-on-Trent,ltla,2022-06-24,139050
E06000021,Stoke-on-Trent,ltla,2022-06-23,139017
E06000021,Stoke-on-Trent,ltla,2022-06-22,138965
E06000021,Stoke-on-Trent,ltla,2022-06-21,138910
E06000021,Stoke-on-Trent,ltla,2022-06-20,138899
E06000021,Stoke-on-Trent,ltla,2022-06-19,138874
E06000021,Stoke-on-Trent,ltla,2022-06-18,138862
E06000021,Stoke-on-Trent,ltla,2022-06-17,138851
E06000021,Stoke-on-Trent,ltla,2022-06-16,138813
E06000021,Stoke-on-Trent,ltla,2022-06-15,138778
E06000021,Stoke-on-Trent,ltla,2022-06-14,138755
E06000021,Stoke-on-Trent,ltla,2022-06-13,138731
E06000021,Stoke-on-Trent,ltla,2022-06-12,138708
E06000021,Stoke-on-Trent,ltla,2022-06-11,138707
E06000021,Stoke-on-Trent,ltla,2022-06-10,138669
E06000021,Stoke-on-Trent,ltla,2022-06-09,138631
E06000021,Stoke-on-Trent,ltla,2022-06-08,138589
E06000021,Stoke-on-Trent,ltla,2022-06-07,138552
E06000021,Stoke-on-Trent,ltla,2022-06-06,138522
E06000021,Stoke-on-Trent,ltla,2022-06-05,138496
E06000021,Stoke-on-Trent,ltla,2022-06-04,138468
E06000021,Stoke-on-Trent,ltla,2022-06-03,138465
E06000021,Stoke-on-Trent,ltla,2022-06-02,138464
E06000021,Stoke-on-Trent,ltla,2022-06-01,138459
E06000021,Stoke-on-Trent,ltla,2022-05-31,138421
E06000021,Stoke-on-Trent,ltla,2022-05-30,138379
E06000021,Stoke-on-Trent,ltla,2022-05-29,138346
E06000021,Stoke-on-Trent,ltla,2022-05-28,138345
E06000021,Stoke-on-Trent,ltla,2022-05-27,138311
E06000021,Stoke-on-Trent,ltla,2022-05-26,138257
E06000021,Stoke-on-Trent,ltla,2022-05-25,138215
E06000021,Stoke-on-Trent,ltla,2022-05-24,138177
E06000021,Stoke-on-Trent,ltla,2022-05-23,138132
E06000021,Stoke-on-Trent,ltla,2022-05-22,138105
E06000021,Stoke-on-Trent,ltla,2022-05-21,138077
E06000021,Stoke-on-Trent,ltla,2022-05-20,138056
E06000021,Stoke-on-Trent,ltla,2022-05-19,138006
E06000021,Stoke-on-Trent,ltla,2022-05-18,137960
E06000021,Stoke-on-Trent,ltla,2022-05-17,137922
E06000021,Stoke-on-Trent,ltla,2022-05-16,137872
E06000021,Stoke-on-Trent,ltla,2022-05-15,137830
E06000021,Stoke-on-Trent,ltla,2022-05-14,137818
E06000021,Stoke-on-Trent,ltla,2022-05-13,137728
E06000021,Stoke-on-Trent,ltla,2022-05-12,137673
E06000021,Stoke-on-Trent,ltla,2022-05-11,137644
E06000021,Stoke-on-Trent,ltla,2022-05-10,137604
E06000021,Stoke-on-Trent,ltla,2022-05-09,137585
E06000021,Stoke-on-Trent,ltla,2022-05-08,137512
E06000021,Stoke-on-Trent,ltla,2022-05-07,137469
E06000021,Stoke-on-Trent,ltla,2022-05-06,137427
E06000021,Stoke-on-Trent,ltla,2022-05-05,137360
E06000021,Stoke-on-Trent,ltla,2022-05-04,137317
E06000021,Stoke-on-Trent,ltla,2022-05-03,137257
E06000021,Stoke-on-Trent,ltla,2022-05-02,137203
E06000021,Stoke-on-Trent,ltla,2022-05-01,137203
E06000021,Stoke-on-Trent,ltla,2022-04-30,137190
E06000021,Stoke-on-Trent,ltla,2022-04-29,137113
E06000021,Stoke-on-Trent,ltla,2022-04-28,137047
E06000021,Stoke-on-Trent,ltla,2022-04-27,136996
E06000021,Stoke-on-Trent,ltla,2022-04-26,136903
E06000021,Stoke-on-Trent,ltla,2022-04-25,136862
E06000021,Stoke-on-Trent,ltla,2022-04-24,136824
E06000021,Stoke-on-Trent,ltla,2022-04-23,136792
E06000021,Stoke-on-Trent,ltla,2022-04-22,136753
E06000021,Stoke-on-Trent,ltla,2022-04-21,136663
E06000021,Stoke-on-Trent,ltla,2022-04-20,136627
E06000021,Stoke-on-Trent,ltla,2022-04-19,136557
E06000021,Stoke-on-Trent,ltla,2022-04-18,136498
E06000021,Stoke-on-Trent,ltla,2022-04-17,136498
E06000021,Stoke-on-Trent,ltla,2022-04-16,136497
E06000021,Stoke-on-Trent,ltla,2022-04-15,136475
E06000021,Stoke-on-Trent,ltla,2022-04-14,136459
E06000021,Stoke-on-Trent,ltla,2022-04-13,136385
E06000021,Stoke-on-Trent,ltla,2022-04-12,136319
E06000021,Stoke-on-Trent,ltla,2022-04-11,136251
E06000021,Stoke-on-Trent,ltla,2022-04-10,136190
E06000021,Stoke-on-Trent,ltla,2022-04-09,136138
E06000021,Stoke-on-Trent,ltla,2022-04-08,136087
E06000021,Stoke-on-Trent,ltla,2022-04-07,136015
E06000021,Stoke-on-Trent,ltla,2022-04-06,135961
E06000021,Stoke-on-Trent,ltla,2022-04-05,135893
E06000021,Stoke-on-Trent,ltla,2022-04-04,135838
E06000021,Stoke-on-Trent,ltla,2022-04-03,135769
E06000021,Stoke-on-Trent,ltla,2022-04-02,135759
E06000021,Stoke-on-Trent,ltla,2022-04-01,135685
E06000021,Stoke-on-Trent,ltla,2022-03-31,135630
E06000021,Stoke-on-Trent,ltla,2022-03-30,135588
E06000021,Stoke-on-Trent,ltla,2022-03-29,135501
E06000021,Stoke-on-Trent,ltla,2022-03-28,135453
E06000021,Stoke-on-Trent,ltla,2022-03-27,135418
E06000021,Stoke-on-Trent,ltla,2022-03-26,135393
E06000021,Stoke-on-Trent,ltla,2022-03-25,135342
E06000021,Stoke-on-Trent,ltla,2022-03-24,135257
E06000021,Stoke-on-Trent,ltla,2022-03-23,135168
E06000021,Stoke-on-Trent,ltla,2022-03-22,135098
E06000021,Stoke-on-Trent,ltla,2022-03-21,135064
E06000021,Stoke-on-Trent,ltla,2022-03-20,135029
E06000021,Stoke-on-Trent,ltla,2022-03-19,135002
E06000021,Stoke-on-Trent,ltla,2022-03-18,134949
E06000021,Stoke-on-Trent,ltla,2022-03-17,134886
E06000021,Stoke-on-Trent,ltla,2022-03-16,134811
E06000021,Stoke-on-Trent,ltla,2022-03-15,134740
E06000021,Stoke-on-Trent,ltla,2022-03-14,134705
E06000021,Stoke-on-Trent,ltla,2022-03-13,134680
E06000021,Stoke-on-Trent,ltla,2022-03-12,134634
E06000021,Stoke-on-Trent,ltla,2022-03-11,134588
E06000021,Stoke-on-Trent,ltla,2022-03-10,134538
E06000021,Stoke-on-Trent,ltla,2022-03-09,134431
E06000021,Stoke-on-Trent,ltla,2022-03-08,134364
E06000021,Stoke-on-Trent,ltla,2022-03-07,134298
E06000021,Stoke-on-Trent,ltla,2022-03-06,134270
E06000021,Stoke-on-Trent,ltla,2022-03-05,134256
E06000021,Stoke-on-Trent,ltla,2022-03-04,134215
E06000021,Stoke-on-Trent,ltla,2022-03-03,134123
E06000021,Stoke-on-Trent,ltla,2022-03-02,134062
E06000021,Stoke-on-Trent,ltla,2022-03-01,133991
E06000021,Stoke-on-Trent,ltla,2022-02-28,133951
E06000021,Stoke-on-Trent,ltla,2022-02-27,133928
E06000021,Stoke-on-Trent,ltla,2022-02-26,133883
E06000021,Stoke-on-Trent,ltla,2022-02-25,133862
E06000021,Stoke-on-Trent,ltla,2022-02-24,133799
E06000021,Stoke-on-Trent,ltla,2022-02-23,133684
E06000021,Stoke-on-Trent,ltla,2022-02-22,133630
E06000021,Stoke-on-Trent,ltla,2022-02-21,133560
E06000021,Stoke-on-Trent,ltla,2022-02-20,133509
E06000021,Stoke-on-Trent,ltla,2022-02-19,133466
E06000021,Stoke-on-Trent,ltla,2022-02-18,133403
E06000021,Stoke-on-Trent,ltla,2022-02-17,133343
E06000021,Stoke-on-Trent,ltla,2022-02-16,133231
E06000021,Stoke-on-Trent,ltla,2022-02-15,133114
E06000021,Stoke-on-Trent,ltla,2022-02-14,133063
E06000021,Stoke-on-Trent,ltla,2022-02-13,133030
E06000021,Stoke-on-Trent,ltla,2022-02-12,132961
E06000021,Stoke-on-Trent,ltla,2022-02-11,132897
E06000021,Stoke-on-Trent,ltla,2022-02-10,132801
E06000021,Stoke-on-Trent,ltla,2022-02-09,132670
E06000021,Stoke-on-Trent,ltla,2022-02-08,132625
E06000021,Stoke-on-Trent,ltla,2022-02-07,132574
E06000021,Stoke-on-Trent,ltla,2022-02-06,132534
E06000021,Stoke-on-Trent,ltla,2022-02-05,132498
E06000021,Stoke-on-Trent,ltla,2022-02-04,132393
E06000021,Stoke-on-Trent,ltla,2022-02-03,132322
E06000021,Stoke-on-Trent,ltla,2022-02-02,132158
E06000021,Stoke-on-Trent,ltla,2022-02-01,132027
E06000021,Stoke-on-Trent,ltla,2022-01-31,131930
E06000021,Stoke-on-Trent,ltla,2022-01-30,131897
E06000021,Stoke-on-Trent,ltla,2022-01-29,131602
E06000021,Stoke-on-Trent,ltla,2022-01-28,131483
E06000021,Stoke-on-Trent,ltla,2022-01-27,131204
E06000021,Stoke-on-Trent,ltla,2022-01-26,131081
E06000021,Stoke-on-Trent,ltla,2022-01-25,130946
E06000021,Stoke-on-Trent,ltla,2022-01-24,130867
E06000021,Stoke-on-Trent,ltla,2022-01-23,130812
E06000021,Stoke-on-Trent,ltla,2022-01-22,130627
E06000021,Stoke-on-Trent,ltla,2022-01-21,130428
E06000021,Stoke-on-Trent,ltla,2022-01-20,130265
E06000021,Stoke-on-Trent,ltla,2022-01-19,130057
E06000021,Stoke-on-Trent,ltla,2022-01-18,129844
E06000021,Stoke-on-Trent,ltla,2022-01-17,129695
E06000021,Stoke-on-Trent,ltla,2022-01-16,129605
E06000021,Stoke-on-Trent,ltla,2022-01-15,129359
E06000021,Stoke-on-Trent,ltla,2022-01-14,129133
E06000021,Stoke-on-Trent,ltla,2022-01-13,128720
E06000021,Stoke-on-Trent,ltla,2022-01-12,128372
E06000021,Stoke-on-Trent,ltla,2022-01-11,127965
E06000021,Stoke-on-Trent,ltla,2022-01-10,127775
E06000021,Stoke-on-Trent,ltla,2022-01-09,127650
E06000021,Stoke-on-Trent,ltla,2022-01-08,127149
E06000021,Stoke-on-Trent,ltla,2022-01-07,126313
E06000021,Stoke-on-Trent,ltla,2022-01-06,125378
E06000021,Stoke-on-Trent,ltla,2022-01-05,124978
E06000021,Stoke-on-Trent,ltla,2022-01-04,124220
E06000021,Stoke-on-Trent,ltla,2022-01-03,123872
E06000021,Stoke-on-Trent,ltla,2022-01-02,123455
E06000021,Stoke-on-Trent,ltla,2022-01-01,122893
E06000021,Stoke-on-Trent,ltla,2021-12-31,122884
E06000021,Stoke-on-Trent,ltla,2021-12-30,122550
E06000021,Stoke-on-Trent,ltla,2021-12-29,120241
E06000021,Stoke-on-Trent,ltla,2021-12-28,119392
E06000021,Stoke-on-Trent,ltla,2021-12-27,117656
E06000021,Stoke-on-Trent,ltla,2021-12-26,116520
E06000021,Stoke-on-Trent,ltla,2021-12-25,116518
E06000021,Stoke-on-Trent,ltla,2021-12-24,116518
E06000021,Stoke-on-Trent,ltla,2021-12-23,116228
E06000021,Stoke-on-Trent,ltla,2021-12-22,114482
E06000021,Stoke-on-Trent,ltla,2021-12-21,111529
E06000021,Stoke-on-Trent,ltla,2021-12-20,109069
E06000021,Stoke-on-Trent,ltla,2021-12-19,105800
E06000021,Stoke-on-Trent,ltla,2021-12-18,103181
E06000021,Stoke-on-Trent,ltla,2021-12-17,99206
E06000021,Stoke-on-Trent,ltla,2021-12-16,95875
E06000021,Stoke-on-Trent,ltla,2021-12-15,92428
E06000021,Stoke-on-Trent,ltla,2021-12-14,88443
E06000021,Stoke-on-Trent,ltla,2021-12-13,85939
E06000021,Stoke-on-Trent,ltla,2021-12-12,85146
E06000021,Stoke-on-Trent,ltla,2021-12-11,84106
E06000021,Stoke-on-Trent,ltla,2021-12-10,81149
E06000021,Stoke-on-Trent,ltla,2021-12-09,79112
E06000021,Stoke-on-Trent,ltla,2021-12-08,76664
E06000021,Stoke-on-Trent,ltla,2021-12-07,75854
E06000021,Stoke-on-Trent,ltla,2021-12-06,74789
E06000021,Stoke-on-Trent,ltla,2021-12-05,74267
E06000021,Stoke-on-Trent,ltla,2021-12-04,73289
E06000021,Stoke-on-Trent,ltla,2021-12-03,72481
E06000021,Stoke-on-Trent,ltla,2021-12-02,70485
E06000021,Stoke-on-Trent,ltla,2021-12-01,68545
E06000021,Stoke-on-Trent,ltla,2021-11-30,67681
E06000021,Stoke-on-Trent,ltla,2021-11-29,66763
E06000021,Stoke-on-Trent,ltla,2021-11-28,66267
E06000021,Stoke-on-Trent,ltla,2021-11-27,65673
E06000021,Stoke-on-Trent,ltla,2021-11-26,64385
