areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000065,Wealden,ltla,2022-08-02,108284
E07000065,Wealden,ltla,2022-08-01,108275
E07000065,Wealden,ltla,2022-07-31,108268
E07000065,Wealden,ltla,2022-07-30,108260
E07000065,Wealden,ltla,2022-07-29,108243
E07000065,Wealden,ltla,2022-07-28,108210
E07000065,Wealden,ltla,2022-07-27,108200
E07000065,Wealden,ltla,2022-07-26,108195
E07000065,Wealden,ltla,2022-07-25,108179
E07000065,Wealden,ltla,2022-07-24,108178
E07000065,Wealden,ltla,2022-07-23,108166
E07000065,Wealden,ltla,2022-07-22,108147
E07000065,Wealden,ltla,2022-07-21,108123
E07000065,Wealden,ltla,2022-07-20,108104
E07000065,Wealden,ltla,2022-07-19,108099
E07000065,Wealden,ltla,2022-07-18,108098
E07000065,Wealden,ltla,2022-07-17,108077
E07000065,Wealden,ltla,2022-07-16,108069
E07000065,Wealden,ltla,2022-07-15,108050
E07000065,Wealden,ltla,2022-07-14,108022
E07000065,Wealden,ltla,2022-07-13,107998
E07000065,Wealden,ltla,2022-07-12,107995
E07000065,Wealden,ltla,2022-07-11,107989
E07000065,Wealden,ltla,2022-07-10,107986
E07000065,Wealden,ltla,2022-07-09,107979
E07000065,Wealden,ltla,2022-07-08,107957
E07000065,Wealden,ltla,2022-07-07,107908
E07000065,Wealden,ltla,2022-07-06,107897
E07000065,Wealden,ltla,2022-07-05,107892
E07000065,Wealden,ltla,2022-07-04,107886
E07000065,Wealden,ltla,2022-07-03,107886
E07000065,Wealden,ltla,2022-07-02,107878
E07000065,Wealden,ltla,2022-07-01,107855
E07000065,Wealden,ltla,2022-06-30,107838
E07000065,Wealden,ltla,2022-06-29,107808
E07000065,Wealden,ltla,2022-06-28,107785
E07000065,Wealden,ltla,2022-06-27,107760
E07000065,Wealden,ltla,2022-06-26,107754
E07000065,Wealden,ltla,2022-06-25,107740
E07000065,Wealden,ltla,2022-06-24,107724
E07000065,Wealden,ltla,2022-06-23,107691
E07000065,Wealden,ltla,2022-06-22,107662
E07000065,Wealden,ltla,2022-06-21,107651
E07000065,Wealden,ltla,2022-06-20,107647
E07000065,Wealden,ltla,2022-06-19,107644
E07000065,Wealden,ltla,2022-06-18,107633
E07000065,Wealden,ltla,2022-06-17,107612
E07000065,Wealden,ltla,2022-06-16,107567
E07000065,Wealden,ltla,2022-06-15,107546
E07000065,Wealden,ltla,2022-06-14,107537
E07000065,Wealden,ltla,2022-06-13,107526
E07000065,Wealden,ltla,2022-06-12,107523
E07000065,Wealden,ltla,2022-06-11,107518
E07000065,Wealden,ltla,2022-06-10,107491
E07000065,Wealden,ltla,2022-06-09,107462
E07000065,Wealden,ltla,2022-06-08,107447
E07000065,Wealden,ltla,2022-06-07,107441
E07000065,Wealden,ltla,2022-06-06,107428
E07000065,Wealden,ltla,2022-06-05,107424
E07000065,Wealden,ltla,2022-06-04,107409
E07000065,Wealden,ltla,2022-06-03,107400
E07000065,Wealden,ltla,2022-06-02,107396
E07000065,Wealden,ltla,2022-06-01,107385
E07000065,Wealden,ltla,2022-05-31,107373
E07000065,Wealden,ltla,2022-05-30,107359
E07000065,Wealden,ltla,2022-05-29,107346
E07000065,Wealden,ltla,2022-05-28,107334
E07000065,Wealden,ltla,2022-05-27,107305
E07000065,Wealden,ltla,2022-05-26,107289
E07000065,Wealden,ltla,2022-05-25,107269
E07000065,Wealden,ltla,2022-05-24,107251
E07000065,Wealden,ltla,2022-05-23,107225
E07000065,Wealden,ltla,2022-05-22,107221
E07000065,Wealden,ltla,2022-05-21,107198
E07000065,Wealden,ltla,2022-05-20,107158
E07000065,Wealden,ltla,2022-05-19,107127
E07000065,Wealden,ltla,2022-05-18,107100
E07000065,Wealden,ltla,2022-05-17,107082
E07000065,Wealden,ltla,2022-05-16,107053
E07000065,Wealden,ltla,2022-05-15,107040
E07000065,Wealden,ltla,2022-05-14,107018
E07000065,Wealden,ltla,2022-05-13,106970
E07000065,Wealden,ltla,2022-05-12,106942
E07000065,Wealden,ltla,2022-05-11,106906
E07000065,Wealden,ltla,2022-05-10,106884
E07000065,Wealden,ltla,2022-05-09,106861
E07000065,Wealden,ltla,2022-05-08,106845
E07000065,Wealden,ltla,2022-05-07,106835
E07000065,Wealden,ltla,2022-05-06,106803
E07000065,Wealden,ltla,2022-05-05,106756
E07000065,Wealden,ltla,2022-05-04,106743
E07000065,Wealden,ltla,2022-05-03,106727
E07000065,Wealden,ltla,2022-05-02,106703
E07000065,Wealden,ltla,2022-05-01,106699
E07000065,Wealden,ltla,2022-04-30,106684
E07000065,Wealden,ltla,2022-04-29,106650
E07000065,Wealden,ltla,2022-04-28,106613
E07000065,Wealden,ltla,2022-04-27,106578
E07000065,Wealden,ltla,2022-04-26,106553
E07000065,Wealden,ltla,2022-04-25,106529
E07000065,Wealden,ltla,2022-04-24,106499
E07000065,Wealden,ltla,2022-04-23,106466
E07000065,Wealden,ltla,2022-04-22,106400
E07000065,Wealden,ltla,2022-04-21,106370
E07000065,Wealden,ltla,2022-04-20,106344
E07000065,Wealden,ltla,2022-04-19,106325
E07000065,Wealden,ltla,2022-04-18,106286
E07000065,Wealden,ltla,2022-04-17,106285
E07000065,Wealden,ltla,2022-04-16,106276
E07000065,Wealden,ltla,2022-04-15,106232
E07000065,Wealden,ltla,2022-04-14,106213
E07000065,Wealden,ltla,2022-04-13,106190
E07000065,Wealden,ltla,2022-04-12,106166
E07000065,Wealden,ltla,2022-04-11,106135
E07000065,Wealden,ltla,2022-04-10,106100
E07000065,Wealden,ltla,2022-04-09,106081
E07000065,Wealden,ltla,2022-04-08,106024
E07000065,Wealden,ltla,2022-04-07,105982
E07000065,Wealden,ltla,2022-04-06,105944
E07000065,Wealden,ltla,2022-04-05,105913
E07000065,Wealden,ltla,2022-04-04,105888
E07000065,Wealden,ltla,2022-04-03,105872
E07000065,Wealden,ltla,2022-04-02,105854
E07000065,Wealden,ltla,2022-04-01,105824
E07000065,Wealden,ltla,2022-03-31,105788
E07000065,Wealden,ltla,2022-03-30,105767
E07000065,Wealden,ltla,2022-03-29,105735
E07000065,Wealden,ltla,2022-03-28,105705
E07000065,Wealden,ltla,2022-03-27,105685
E07000065,Wealden,ltla,2022-03-26,105675
E07000065,Wealden,ltla,2022-03-25,105616
E07000065,Wealden,ltla,2022-03-24,105571
E07000065,Wealden,ltla,2022-03-23,105543
E07000065,Wealden,ltla,2022-03-22,105510
E07000065,Wealden,ltla,2022-03-21,105472
E07000065,Wealden,ltla,2022-03-20,105456
E07000065,Wealden,ltla,2022-03-19,105432
E07000065,Wealden,ltla,2022-03-18,105388
E07000065,Wealden,ltla,2022-03-17,105326
E07000065,Wealden,ltla,2022-03-16,105297
E07000065,Wealden,ltla,2022-03-15,105265
E07000065,Wealden,ltla,2022-03-14,105223
E07000065,Wealden,ltla,2022-03-13,105208
E07000065,Wealden,ltla,2022-03-12,105191
E07000065,Wealden,ltla,2022-03-11,105138
E07000065,Wealden,ltla,2022-03-10,105087
E07000065,Wealden,ltla,2022-03-09,105049
E07000065,Wealden,ltla,2022-03-08,104997
E07000065,Wealden,ltla,2022-03-07,104975
E07000065,Wealden,ltla,2022-03-06,104962
E07000065,Wealden,ltla,2022-03-05,104948
E07000065,Wealden,ltla,2022-03-04,104891
E07000065,Wealden,ltla,2022-03-03,104828
E07000065,Wealden,ltla,2022-03-02,104784
E07000065,Wealden,ltla,2022-03-01,104750
E07000065,Wealden,ltla,2022-02-28,104694
E07000065,Wealden,ltla,2022-02-27,104656
E07000065,Wealden,ltla,2022-02-26,104647
E07000065,Wealden,ltla,2022-02-25,104596
E07000065,Wealden,ltla,2022-02-24,104539
E07000065,Wealden,ltla,2022-02-23,104477
E07000065,Wealden,ltla,2022-02-22,104433
E07000065,Wealden,ltla,2022-02-21,104399
E07000065,Wealden,ltla,2022-02-20,104340
E07000065,Wealden,ltla,2022-02-19,104338
E07000065,Wealden,ltla,2022-02-18,104289
E07000065,Wealden,ltla,2022-02-17,104238
E07000065,Wealden,ltla,2022-02-16,104188
E07000065,Wealden,ltla,2022-02-15,104146
E07000065,Wealden,ltla,2022-02-14,104107
E07000065,Wealden,ltla,2022-02-13,104065
E07000065,Wealden,ltla,2022-02-12,104036
E07000065,Wealden,ltla,2022-02-11,103965
E07000065,Wealden,ltla,2022-02-10,103885
E07000065,Wealden,ltla,2022-02-09,103827
E07000065,Wealden,ltla,2022-02-08,103773
E07000065,Wealden,ltla,2022-02-07,103713
E07000065,Wealden,ltla,2022-02-06,103645
E07000065,Wealden,ltla,2022-02-05,103618
E07000065,Wealden,ltla,2022-02-04,103560
E07000065,Wealden,ltla,2022-02-03,103475
E07000065,Wealden,ltla,2022-02-02,103424
E07000065,Wealden,ltla,2022-02-01,103362
E07000065,Wealden,ltla,2022-01-31,103267
E07000065,Wealden,ltla,2022-01-30,103165
E07000065,Wealden,ltla,2022-01-29,103124
E07000065,Wealden,ltla,2022-01-28,102992
E07000065,Wealden,ltla,2022-01-27,102886
E07000065,Wealden,ltla,2022-01-26,102748
E07000065,Wealden,ltla,2022-01-25,102652
E07000065,Wealden,ltla,2022-01-24,102559
E07000065,Wealden,ltla,2022-01-23,102440
E07000065,Wealden,ltla,2022-01-22,102318
E07000065,Wealden,ltla,2022-01-21,102191
E07000065,Wealden,ltla,2022-01-20,102037
E07000065,Wealden,ltla,2022-01-19,101902
E07000065,Wealden,ltla,2022-01-18,101758
E07000065,Wealden,ltla,2022-01-17,101627
E07000065,Wealden,ltla,2022-01-16,101480
E07000065,Wealden,ltla,2022-01-15,101390
E07000065,Wealden,ltla,2022-01-14,101094
E07000065,Wealden,ltla,2022-01-13,100925
E07000065,Wealden,ltla,2022-01-12,100769
E07000065,Wealden,ltla,2022-01-11,100513
E07000065,Wealden,ltla,2022-01-10,100123
E07000065,Wealden,ltla,2022-01-09,99712
E07000065,Wealden,ltla,2022-01-08,99588
E07000065,Wealden,ltla,2022-01-07,98862
E07000065,Wealden,ltla,2022-01-06,98348
E07000065,Wealden,ltla,2022-01-05,97815
E07000065,Wealden,ltla,2022-01-04,97219
E07000065,Wealden,ltla,2022-01-03,96538
E07000065,Wealden,ltla,2022-01-02,95756
E07000065,Wealden,ltla,2022-01-01,95409
E07000065,Wealden,ltla,2021-12-31,95114
E07000065,Wealden,ltla,2021-12-30,94350
E07000065,Wealden,ltla,2021-12-29,93030
E07000065,Wealden,ltla,2021-12-28,91637
E07000065,Wealden,ltla,2021-12-27,90553
E07000065,Wealden,ltla,2021-12-26,89359
E07000065,Wealden,ltla,2021-12-25,89258
E07000065,Wealden,ltla,2021-12-24,89201
E07000065,Wealden,ltla,2021-12-23,88701
E07000065,Wealden,ltla,2021-12-22,87428
E07000065,Wealden,ltla,2021-12-21,85027
E07000065,Wealden,ltla,2021-12-20,82587
E07000065,Wealden,ltla,2021-12-19,80079
E07000065,Wealden,ltla,2021-12-18,77295
E07000065,Wealden,ltla,2021-12-17,74130
