areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E08000015,Wirral,ltla,2022-08-02,194210
E08000015,Wirral,ltla,2022-08-01,194179
E08000015,Wirral,ltla,2022-07-31,194129
E08000015,Wirral,ltla,2022-07-30,194127
E08000015,Wirral,ltla,2022-07-29,194099
E08000015,Wirral,ltla,2022-07-28,194064
E08000015,Wirral,ltla,2022-07-27,194031
E08000015,Wirral,ltla,2022-07-26,193979
E08000015,Wirral,ltla,2022-07-25,193957
E08000015,Wirral,ltla,2022-07-24,193900
E08000015,Wirral,ltla,2022-07-23,193898
E08000015,Wirral,ltla,2022-07-22,193858
E08000015,Wirral,ltla,2022-07-21,193792
E08000015,Wirral,ltla,2022-07-20,193764
E08000015,Wirral,ltla,2022-07-19,193728
E08000015,Wirral,ltla,2022-07-18,193706
E08000015,Wirral,ltla,2022-07-17,193651
E08000015,Wirral,ltla,2022-07-16,193647
E08000015,Wirral,ltla,2022-07-15,193618
E08000015,Wirral,ltla,2022-07-14,193561
E08000015,Wirral,ltla,2022-07-13,193527
E08000015,Wirral,ltla,2022-07-12,193466
E08000015,Wirral,ltla,2022-07-11,193437
E08000015,Wirral,ltla,2022-07-10,193381
E08000015,Wirral,ltla,2022-07-09,193376
E08000015,Wirral,ltla,2022-07-08,193332
E08000015,Wirral,ltla,2022-07-07,193267
E08000015,Wirral,ltla,2022-07-06,193233
E08000015,Wirral,ltla,2022-07-05,193178
E08000015,Wirral,ltla,2022-07-04,193155
E08000015,Wirral,ltla,2022-07-03,193092
E08000015,Wirral,ltla,2022-07-02,193090
E08000015,Wirral,ltla,2022-07-01,193043
E08000015,Wirral,ltla,2022-06-30,192987
E08000015,Wirral,ltla,2022-06-29,192927
E08000015,Wirral,ltla,2022-06-28,192878
E08000015,Wirral,ltla,2022-06-27,192845
E08000015,Wirral,ltla,2022-06-26,192783
E08000015,Wirral,ltla,2022-06-25,192777
E08000015,Wirral,ltla,2022-06-24,192732
E08000015,Wirral,ltla,2022-06-23,192690
E08000015,Wirral,ltla,2022-06-22,192663
E08000015,Wirral,ltla,2022-06-21,192600
E08000015,Wirral,ltla,2022-06-20,192571
E08000015,Wirral,ltla,2022-06-19,192528
E08000015,Wirral,ltla,2022-06-18,192523
E08000015,Wirral,ltla,2022-06-17,192477
E08000015,Wirral,ltla,2022-06-16,192429
E08000015,Wirral,ltla,2022-06-15,192397
E08000015,Wirral,ltla,2022-06-14,192356
E08000015,Wirral,ltla,2022-06-13,192314
E08000015,Wirral,ltla,2022-06-12,192249
E08000015,Wirral,ltla,2022-06-11,192245
E08000015,Wirral,ltla,2022-06-10,192190
E08000015,Wirral,ltla,2022-06-09,192142
E08000015,Wirral,ltla,2022-06-08,192101
E08000015,Wirral,ltla,2022-06-07,192036
E08000015,Wirral,ltla,2022-06-06,191983
E08000015,Wirral,ltla,2022-06-05,191906
E08000015,Wirral,ltla,2022-06-04,191904
E08000015,Wirral,ltla,2022-06-03,191889
E08000015,Wirral,ltla,2022-06-02,191886
E08000015,Wirral,ltla,2022-06-01,191885
E08000015,Wirral,ltla,2022-05-31,191805
E08000015,Wirral,ltla,2022-05-30,191734
E08000015,Wirral,ltla,2022-05-29,191644
E08000015,Wirral,ltla,2022-05-28,191641
E08000015,Wirral,ltla,2022-05-27,191578
E08000015,Wirral,ltla,2022-05-26,191528
E08000015,Wirral,ltla,2022-05-25,191475
E08000015,Wirral,ltla,2022-05-24,191400
E08000015,Wirral,ltla,2022-05-23,191323
E08000015,Wirral,ltla,2022-05-22,191244
E08000015,Wirral,ltla,2022-05-21,191238
E08000015,Wirral,ltla,2022-05-20,191173
E08000015,Wirral,ltla,2022-05-19,191102
E08000015,Wirral,ltla,2022-05-18,191025
E08000015,Wirral,ltla,2022-05-17,190946
E08000015,Wirral,ltla,2022-05-16,190851
E08000015,Wirral,ltla,2022-05-15,190767
E08000015,Wirral,ltla,2022-05-14,190760
E08000015,Wirral,ltla,2022-05-13,190695
E08000015,Wirral,ltla,2022-05-12,190611
E08000015,Wirral,ltla,2022-05-11,190533
E08000015,Wirral,ltla,2022-05-10,190429
E08000015,Wirral,ltla,2022-05-09,190339
E08000015,Wirral,ltla,2022-05-08,190255
E08000015,Wirral,ltla,2022-05-07,190246
E08000015,Wirral,ltla,2022-05-06,190175
E08000015,Wirral,ltla,2022-05-05,190079
E08000015,Wirral,ltla,2022-05-04,190000
E08000015,Wirral,ltla,2022-05-03,189901
E08000015,Wirral,ltla,2022-05-02,189793
E08000015,Wirral,ltla,2022-05-01,189790
E08000015,Wirral,ltla,2022-04-30,189784
E08000015,Wirral,ltla,2022-04-29,189682
E08000015,Wirral,ltla,2022-04-28,189585
E08000015,Wirral,ltla,2022-04-27,189511
E08000015,Wirral,ltla,2022-04-26,189418
E08000015,Wirral,ltla,2022-04-25,189322
E08000015,Wirral,ltla,2022-04-24,189229
E08000015,Wirral,ltla,2022-04-23,189218
E08000015,Wirral,ltla,2022-04-22,189126
E08000015,Wirral,ltla,2022-04-21,189028
E08000015,Wirral,ltla,2022-04-20,188929
E08000015,Wirral,ltla,2022-04-19,188843
E08000015,Wirral,ltla,2022-04-18,188686
E08000015,Wirral,ltla,2022-04-17,188683
E08000015,Wirral,ltla,2022-04-16,188682
E08000015,Wirral,ltla,2022-04-15,188646
E08000015,Wirral,ltla,2022-04-14,188644
E08000015,Wirral,ltla,2022-04-13,188557
E08000015,Wirral,ltla,2022-04-12,188452
E08000015,Wirral,ltla,2022-04-11,188341
E08000015,Wirral,ltla,2022-04-10,188222
E08000015,Wirral,ltla,2022-04-09,188213
E08000015,Wirral,ltla,2022-04-08,188128
E08000015,Wirral,ltla,2022-04-07,188030
E08000015,Wirral,ltla,2022-04-06,187922
E08000015,Wirral,ltla,2022-04-05,187826
