Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi
2020-03-01,40.3,33.5,76.8,22.2,28.5,0.0,,,,
2020-03-02,36.5,32.0,84.6,8.3,28.8,0.0,,,,
2020-03-03,38.7,34.9,86.9,8.8,29.1,0.0,,,,
2020-03-04,37.6,32.6,84.2,4.0,29.4,0.0,,,,
2020-03-05,34.2,31.6,90.8,2.3,29.3,0.0,1.0000000148529775,,,
2020-03-06,35.4,31.5,87.2,3.3,29.4,0.0,1.0000000148529775,,,
2020-03-07,45.3,41.2,85.3,13.5,29.4,0.0,1.0000000148529775,,,
2020-03-08,45.8,40.1,81.0,12.7,29.1,0.0,38.84674289425961,,,
2020-03-09,42.9,38.7,85.7,12.1,29.3,0.0,1.0000000297059557,,,
2020-03-10,47.6,42.6,82.9,21.5,29.1,0.0,1.0000000297059557,,,
2020-03-11,43.0,37.8,82.3,14.8,29.2,0.0,1.0000000297059557,,,
2020-03-12,40.1,34.7,82.2,24.2,29.1,0.0,14.503254532866174,,,
2020-03-13,39.2,35.0,85.3,10.4,29.6,0.0,4.068555342783906,,,
2020-03-14,44.2,40.4,86.3,10.7,29.4,0.0,1.0000000891178715,,,
2020-03-15,46.2,40.6,81.0,17.0,29.2,0.0,2.990545703485127,,,
2020-03-16,43.3,35.4,75.1,11.4,29.7,0.0,2.611265834097052,,,
2020-03-17,49.0,43.1,81.2,13.8,29.7,0.0,4.3882002286232735,,,
2020-03-18,42.9,37.2,81.3,11.4,29.8,0.0,3.673088773474116,,,
2020-03-19,39.1,34.2,83.3,6.2,30.1,0.0,3.3028650612184016,,,
2020-03-20,37.6,33.6,86.6,7.4,30.2,0.0,1.0000002525006777,,,
2020-03-21,40.1,34.0,78.7,10.2,30.2,0.0,2.699861343258629,,,
2020-03-22,41.1,32.8,72.3,6.3,30.1,0.0,4.322264483565846,,,
2020-03-23,42.5,32.3,70.3,9.7,30.0,0.0,4.48786431502586,,,
2020-03-24,49.2,38.0,66.4,7.1,29.8,0.0,4.9004910246875975,,,
2020-03-25,51.9,42.7,72.2,7.4,29.9,0.0,7.557291159602876,,,
2020-03-26,42.7,40.5,92.6,4.8,30.0,0.0,13.914473592704802,,,
2020-03-27,40.8,37.1,88.6,7.1,30.1,0.0,22.39969186910432,,,
2020-03-28,41.7,34.3,76.3,14.8,30.3,0.0,13.03318187272764,,,
2020-03-29,38.3,26.9,63.1,13.3,30.5,0.0,8.80214859787459,,,
2020-03-30,43.8,33.1,67.0,12.5,30.3,0.0,65.7314921444207,,,
2020-03-31,43.0,34.3,72.7,4.7,30.2,0.0,149.6278960638229,,,
2020-04-01,45.0,36.0,71.3,10.7,29.9,0.0,96.57456285517144,,,
2020-04-02,46.5,33.1,61.6,20.5,29.5,0.0,152.04060518565402,,,
2020-04-03,41.4,32.3,70.5,10.1,29.6,0.0,468.44954246591584,,,
2020-04-04,46.5,36.8,70.7,6.9,29.7,0.0,610.6716829206645,,,
2020-04-05,53.8,36.3,54.6,10.7,29.5,0.0,18.35227361333147,,,
2020-04-06,52.7,36.9,55.6,12.9,29.6,0.0,6.3815072194074824,,,
2020-04-07,49.0,34.1,60.5,6.3,30.0,0.0,5.755668130592114,,,
2020-04-08,51.8,37.6,60.5,7.7,29.9,0.0,2.693480754922964,,,
2020-04-09,45.1,41.4,87.1,7.0,30.1,0.0,2.2710592071390465,,,
2020-04-10,54.3,44.8,72.4,4.6,29.9,0.0,3.830961344979484,,,
2020-04-11,57.3,45.5,65.6,10.2,29.8,0.0,1.0510086994263803,,,
2020-04-12,46.7,38.0,72.2,8.3,29.8,0.0,1.8586365812080203,,,
2020-04-13,39.8,25.3,56.3,10.8,30.1,0.0,2.04191051695288,,,
2020-04-14,41.3,30.2,66.6,8.9,30.0,0.0,1.9622542086291643,,,
2020-04-15,50.1,38.5,66.6,10.4,29.8,0.0,2.2942004420423587,,,
2020-04-16,45.6,39.0,78.2,8.1,29.8,0.0,2.3403342520850527,,,
2020-04-17,45.5,36.9,72.8,8.6,29.9,0.0,1.9308847402121736,,,
2020-04-18,43.3,33.8,68.9,7.8,29.9,0.0,1.4535265575555,,,
2020-04-19,44.2,37.0,77.5,6.6,30.0,0.0,0.9086301581467716,,,
2020-04-20,45.2,36.4,73.4,10.1,30.0,0.0,1.054094070477281,,,
2020-04-21,47.3,39.3,75.3,11.0,30.0,0.0,1.6734760735415637,,,
2020-04-22,47.9,41.5,79.5,7.3,30.0,0.0,1.230238766413941,,,
2020-04-23,48.0,40.4,77.3,5.0,29.9,0.0,1.3692246153377872,,,
2020-04-24,46.6,36.8,72.4,4.5,29.8,0.0,0.8496750288870064,,,
2020-04-25,49.2,40.8,74.7,4.4,29.7,0.0,0.872562630175011,,,
2020-04-26,50.8,40.8,69.2,10.1,29.5,0.0,1.2288474972456132,,,
2020-04-27,45.2,35.3,69.0,6.5,29.5,0.0,1.078779935950642,,,
2020-04-28,42.5,34.6,74.5,4.5,29.5,0.0,1.0483776764153232,,,
2020-05-01,47.8,40.8,77.6,6.9,29.1,0.0,0.9157806559674372,,,
2020-05-02,49.7,40.7,72.6,8.9,29.5,0.0,0.8929483216731238,,,
2020-05-03,48.0,43.3,84.1,4.0,29.7,0.0,0.9167524651596468,,,
2020-05-04,46.5,41.3,81.8,6.8,29.9,0.0,0.9944186790019036,,,
2020-05-05,44.0,35.5,74.2,4.7,30.0,0.0,1.1273027447152022,,,
2020-05-06,45.9,35.6,70.4,3.7,30.0,0.0,1.044078336831305,,,
2020-05-07,54.0,40.5,63.7,4.8,29.8,0.0,1.2710260491348009,,,
2020-05-08,57.3,45.6,66.8,8.0,29.7,0.0,0.9572364658805343,,,
2020-05-09,58.8,47.3,67.7,4.9,29.6,0.0,0.9602337719267988,,,
2020-05-10,43.5,33.5,69.3,17.0,29.8,0.0,1.0697121590009775,,,
2020-05-11,43.0,28.5,58.3,10.6,30.0,0.0,0.997793983948204,,,
2020-05-12,45.5,31.8,61.1,9.6,29.8,0.0,1.1423787479573675,,,
2020-05-13,40.5,29.2,65.8,8.6,29.9,0.0,1.05947965820065,,,
2020-05-14,47.8,32.8,58.4,7.9,29.9,0.0,1.0409760594894053,,,
2020-05-15,50.9,36.3,58.8,9.7,29.9,0.0,0.9249911501577941,,,
2020-05-16,51.0,39.0,64.4,14.6,29.9,0.0,1.0352816016355109,,,
2020-05-17,53.9,44.8,71.6,11.5,29.8,0.0,0.9801100778725269,,,
2020-05-18,56.0,46.9,72.9,11.9,29.8,0.0,0.9884537111851,,,
2020-05-19,58.1,51.2,78.3,9.7,29.8,0.0,1.0989040588453094,,,
2020-05-20,61.2,50.4,70.7,5.1,29.8,0.0,1.0517822884382069,,,
2020-05-21,59.0,42.7,55.5,7.3,29.7,0.0,1.0265794129027184,,,
2020-05-22,57.1,45.1,64.9,17.7,29.4,0.0,1.0538194652229549,,,
2020-05-23,52.8,40.1,62.3,21.4,29.5,0.0,0.9693958660153498,,,
2020-05-24,57.0,46.9,70.5,17.0,29.9,0.0,1.0250095111904411,,,
2020-05-25,58.5,42.0,59.2,6.6,30.2,0.0,1.0229068842282545,,,
2020-05-26,58.3,46.9,67.2,6.7,30.3,0.0,1.069215242603028,,,
2020-05-27,51.8,40.9,69.1,6.3,30.3,0.0,1.0171495576912941,,,
2020-05-28,59.9,44.0,60.3,3.1,30.2,0.0,1.0736871920593525,,,
2020-05-29,63.9,46.0,55.2,4.3,30.1,0.0,1.0033194433158057,,,
2020-05-30,57.3,41.8,58.2,7.5,30.0,0.0,1.0199353694737858,,,
2020-05-31,57.0,45.4,68.2,5.6,30.0,0.0,1.0469133847427057,,,
2020-06-01,57.0,47.1,72.8,5.0,30.0,0.0,1.0269067013456794,,,
2020-06-02,58.4,44.5,65.5,3.2,29.8,0.0,1.1164065444034168,,,
2020-06-03,49.9,45.5,84.8,13.9,29.6,0.0,1.0490657140322197,,,
2020-06-04,48.0,41.8,79.3,5.6,29.3,0.0,1.03584078545319,,,
2020-06-05,48.5,38.6,71.1,13.1,29.0,0.0,1.0337658599035533,,,
2020-06-06,51.4,41.8,70.2,14.9,29.1,0.0,1.0141027586724094,,,
2020-06-07,49.0,43.6,81.8,10.6,29.5,0.0,1.0146428662061548,,,
2020-06-08,47.6,38.3,71.0,5.5,29.8,0.0,1.0397139524728347,,,
2020-06-09,49.2,42.3,78.0,2.2,29.8,0.0,1.0611893049671994,,,
2020-06-10,51.3,46.6,84.7,6.5,29.7,0.0,1.0493101283599342,,,
2020-06-11,51.4,46.1,83.2,14.8,29.8,0.0,1.0573390662785398,,,
2020-06-12,51.9,49.3,92.0,12.6,29.6,0.0,1.0079634862305793,,,
2020-06-13,54.6,53.5,96.3,5.8,29.6,0.0,1.0323155490196103,,,
2020-06-14,56.0,54.1,93.6,3.8,29.7,0.0,1.0452118987597834,,,
2020-06-15,57.9,55.1,90.6,3.4,29.7,0.0,1.0221886002808336,,,
2020-06-16,57.5,54.6,89.8,3.2,29.7,0.0,1.0328730039053855,,,
2020-06-17,56.7,53.8,89.4,4.0,29.7,0.0,1.0148405370657123,,,
2020-06-18,54.2,50.9,89.4,8.6,29.6,0.0,1.0349505191377733,,,
2020-06-19,58.3,54.1,86.8,5.7,29.5,0.0,1.0009093375291345,,,
2020-06-20,61.8,50.5,67.4,7.3,29.7,0.0,1.0017410991228188,,,
2020-06-21,59.7,50.2,71.3,10.9,29.6,0.0,1.0159182957142094,,,
2020-06-22,60.0,48.3,66.6,9.3,29.8,0.0,1.0408292352796302,,,
2020-06-23,66.7,54.1,64.8,8.4,29.8,0.0,1.0177911381033988,,,
2020-06-24,68.8,56.6,67.5,4.3,29.8,0.0,1.0085001586875293,,,
2020-06-25,65.3,54.4,70.7,5.8,29.8,0.0,1.0149907410774783,,,
2020-06-26,64.7,57.1,78.2,4.2,29.5,0.0,1.0002285754538431,,,
2020-06-27,59.2,53.7,82.0,7.0,29.2,0.0,1.0009680446680431,,,
2020-06-28,56.1,46.4,70.8,14.9,29.1,0.0,1.0125539226298343,,,
2020-06-29,57.1,48.1,72.6,19.2,29.1,0.0,1.002024699953427,,,
2020-06-30,57.8,49.0,72.9,13.5,29.3,0.0,1.0248467346077204,,,
2020-07-01,54.2,50.7,88.4,5.9,29.4,0.0,1.0032375161292015,,,
2020-07-02,53.7,46.0,76.8,5.7,29.6,0.0,1.002572836980658,,,
2020-07-03,57.6,51.9,81.6,8.2,29.4,0.0,1.0005809115034168,,,
2020-07-04,59.0,54.9,86.2,5.9,29.3,0.0,1.002008844743888,,,
2020-07-05,58.0,47.8,69.9,24.7,29.2,0.0,1.0146207542670251,,,
2020-07-06,56.6,44.9,66.0,14.0,29.6,0.0,1.0132088976364717,,,
2020-07-07,54.2,45.3,72.6,9.7,29.7,0.0,1.0027485789881347,,,
2020-07-08,54.3,47.4,79.2,6.3,29.7,0.0,1.013192261203423,,,
2020-07-09,54.8,47.2,77.4,4.6,29.6,0.0,1.012791280157253,,,
2020-07-10,53.5,48.5,84.2,6.3,29.7,0.0,1.0109950649283177,,,
2020-07-11,55.5,45.5,70.6,10.7,29.9,0.0,0.9994738731281332,,,
2020-07-12,57.7,45.6,66.1,7.0,30.0,0.0,1.0123583190763121,,,
2020-07-13,60.5,51.7,73.0,11.0,29.8,0.0,1.014249941386364,,,
