Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi
2020-03-01,45.9,33.0,62.0,15.1,29.2,0.0,12.252711577131514,,,
2020-03-02,44.0,35.3,73.9,8.7,29.2,0.0,1.0000000297059557,,,
2020-03-03,43.6,35.0,71.5,9.5,29.6,0.0,1.0000000297059557,,,
2020-03-04,42.9,37.3,80.9,7.1,29.7,0.0,1.0000000297059557,,,
2020-03-05,43.8,40.3,88.5,10.2,29.4,0.0,1.0000000297059557,,,
2020-03-06,44.1,33.3,67.9,7.2,29.6,0.0,1.0000000297059557,,,
2020-03-07,47.3,40.4,76.7,10.5,29.9,0.0,1.0000000297059557,,,
2020-03-08,51.0,42.6,73.3,14.7,29.7,0.0,1.0000000297059557,,,
2020-03-09,47.0,39.0,75.3,13.1,29.8,0.0,1.0000000297059557,,,
2020-03-10,56.2,51.0,82.9,17.1,29.6,0.0,1.0000000297059557,,,
2020-03-11,53.3,45.6,75.9,13.8,29.8,0.0,1.0000000297059557,,,
2020-03-12,47.1,34.2,60.7,19.1,29.8,0.0,15.1258443101055,,,
2020-03-13,48.1,36.2,63.9,12.2,30.0,0.0,12.335796948641695,,,
2020-03-14,50.1,43.5,78.0,9.3,29.9,0.0,16.552542890815438,,,
2020-03-15,51.0,44.3,77.5,12.3,29.8,0.0,20.723914310568922,,,
2020-03-16,48.5,36.6,65.1,7.0,30.1,0.0,24.37780116059669,,,
2020-03-17,50.3,42.1,73.6,10.0,30.3,0.0,38.130940853303336,,,
2020-03-18,54.3,46.8,77.6,11.6,30.2,0.0,46.01237472547207,,,
2020-03-19,46.4,43.6,88.8,7.9,30.3,0.0,29.092137441218185,,,
2020-03-20,46.2,36.4,69.4,12.8,30.4,0.0,82.76111267501388,,,
2020-03-21,45.2,32.9,63.6,15.7,30.3,0.0,149.28733418608016,,,
2020-03-22,44.7,33.8,65.5,13.7,30.3,0.0,321.96099648738414,,,
2020-03-23,44.5,31.2,60.3,12.0,30.3,0.0,390.54086818272316,,,
2020-03-24,47.8,29.1,51.2,6.9,30.3,0.0,862.5867231217546,,,
2020-03-25,45.3,28.8,56.0,7.3,30.2,0.0,13.071270482535589,,,
2020-03-26,44.5,29.5,58.9,8.7,30.2,0.0,8.492399254419725,,,
2020-03-27,46.5,31.6,59.1,8.3,30.2,0.0,7.459911823217436,,,
2020-03-28,45.9,33.7,63.0,10.1,30.4,0.0,5.407244188611945,,,
2020-03-29,42.0,26.4,55.2,11.2,30.6,0.0,7.705465341771232,,,
2020-03-30,43.2,33.0,67.4,7.4,30.5,0.0,9.110646844120485,,,
2020-03-31,43.7,33.3,67.0,9.2,30.4,0.0,4.921612006936451,,,
2020-04-01,43.3,30.4,61.9,4.6,30.2,0.0,4.898854088890216,,,
2020-04-02,50.7,37.3,60.1,9.3,30.0,0.0,4.155046085172748,,,
2020-04-03,51.3,35.5,55.0,5.6,30.0,0.0,4.656976434849208,,,
2020-04-04,51.9,37.3,60.9,7.0,30.1,0.0,3.2797894444468096,,,
2020-04-05,58.7,36.4,47.0,11.0,29.9,0.0,3.1071816856667294,,,
2020-04-06,59.0,42.0,55.7,8.3,30.0,0.0,4.332231600923806,,,
2020-04-07,55.4,40.5,59.5,6.5,30.4,0.0,2.307276644295285,,,
2020-04-08,58.1,45.1,63.2,6.9,30.2,0.0,1.9197342810122988,,,
2020-04-09,57.5,44.9,65.3,9.3,30.3,0.0,0.94974597988897,,,
2020-04-10,56.6,45.8,69.5,10.3,30.3,0.0,1.1162165976625322,,,
2020-04-11,60.1,46.1,63.1,6.4,30.2,0.0,1.5466566359265324,,,
2020-04-12,64.0,44.1,50.1,5.8,29.9,0.0,1.1781297756537041,,,
2020-04-13,48.6,33.6,57.4,15.0,30.3,0.0,0.8879687960383271,,,
2020-04-14,46.9,30.7,54.4,8.4,30.4,0.0,0.7948342538825641,,,
2020-04-15,50.0,36.6,62.1,7.0,30.2,0.0,0.9388430537708332,,,
2020-04-16,54.0,42.0,66.5,7.3,30.0,0.0,0.9902781981970404,,,
2020-04-17,52.2,42.6,70.0,14.4,30.0,0.0,0.6709429382462809,,,
2020-04-18,50.4,44.0,78.3,6.7,30.0,0.0,0.6765470283839936,,,
2020-04-19,53.1,39.3,63.0,9.2,30.1,0.0,0.9184113940455289,,,
