Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi
2020-03-03,44.5,36.1,72.7,12.9,29.5,0.0,1.0000000148529775,,,
2020-03-04,43.6,35.3,73.3,5.5,29.7,0.0,1.0000000148529775,,,
2020-03-05,42.8,38.8,87.0,14.3,29.3,0.0,1.0000000148529775,,,
2020-03-06,44.4,30.8,60.2,9.1,29.6,0.0,1.0000000148529775,,,
2020-03-09,48.2,37.7,68.2,16.2,29.8,0.0,1.0000000148529775,,,
2020-03-10,58.1,50.1,74.5,24.1,29.5,0.0,1.0000000148529775,,,
2020-03-11,53.4,42.3,66.5,16.7,29.7,0.0,10.205665243777867,,,
2020-03-12,46.9,32.0,56.7,24.1,29.7,0.0,1.0000000297059557,,,
2020-03-13,48.6,36.8,64.6,11.1,30.0,0.0,1.0000000297059557,,,
2020-03-16,49.4,38.7,67.1,6.3,30.1,0.0,1.000000044558934,,,
2020-03-17,53.7,45.4,73.9,14.0,30.2,0.0,4.262391241830974,,,
2020-03-18,54.1,48.2,80.8,13.6,30.2,0.0,1.0000000594119127,,,
2020-03-19,45.9,40.3,80.6,8.2,30.3,0.0,4.229735418666868,,,
2020-03-20,46.6,37.3,70.6,13.3,30.4,0.0,4.1838357545632485,,,
2020-03-23,50.2,30.1,47.1,11.7,30.3,0.0,1.0000000891178715,,,
2020-03-24,53.6,31.4,43.3,12.8,30.2,0.0,15.088507617397196,,,
2020-03-25,53.6,26.9,35.7,6.2,30.2,0.0,32.470109568827404,,,
2020-03-26,52.0,29.2,43.2,8.5,30.2,0.0,17.502634210152713,,,
2020-03-27,52.8,32.5,46.6,14.4,30.2,0.0,1.0000002227947091,,,
2020-03-30,46.1,36.9,70.8,14.6,30.5,0.0,93.9737242492634,,,
2020-03-31,49.5,31.8,51.7,8.9,30.4,0.0,227.560460465466,,,
2020-04-01,41.7,34.3,74.4,6.9,30.2,0.0,1.0000003564715818,,,
2020-04-03,49.4,34.4,56.7,7.5,30.0,0.0,19.98577858131118,,,
2020-04-08,62.4,45.3,53.6,4.6,30.2,0.0,7.87689730300853,,,
2020-04-09,68.4,46.1,46.0,6.8,30.2,0.0,5.353155347749623,,,
2020-04-13,47.5,31.3,53.6,15.6,30.3,0.0,3.525094002269792,,,
2020-04-16,59.3,41.8,54.3,5.3,29.9,0.0,1.1536199047156783,,,
2020-04-20,59.7,36.9,43.2,13.1,30.0,0.0,1.6730658027158878,,,
2020-04-22,64.5,41.4,43.4,9.2,30.1,0.0,1.5482615129360318,,,
2020-04-24,62.1,41.5,48.5,6.7,29.9,0.0,1.4830856065116456,,,
2020-04-25,54.1,40.9,61.6,3.6,29.9,0.0,1.831318846684672,,,
2020-04-26,64.3,42.3,44.9,6.3,29.8,0.0,1.848546422568289,,,
2020-04-27,58.2,44.7,60.4,6.9,29.7,0.0,1.9123869028129088,,,
2020-04-28,45.7,42.9,88.4,6.8,29.6,0.0,1.9820836540033009,,,
2020-04-29,53.0,46.4,78.9,11.5,29.5,0.0,1.331749998905818,,,
2020-04-30,51.8,43.5,73.1,13.8,29.3,0.0,1.7606079630836695,,,
2020-05-01,55.2,41.0,59.2,13.8,29.4,0.0,1.620443133120265,,,
2020-05-02,57.8,38.2,49.0,10.3,29.8,0.0,1.2666564044215178,,,
2020-05-03,56.0,44.6,66.1,3.7,29.9,0.0,1.3321000979800832,,,
2020-05-04,57.0,46.1,67.7,7.4,30.1,0.0,1.6928168497382994,,,
2020-05-05,55.8,37.7,51.5,7.8,30.1,0.0,1.7414368989680926,,,
2020-05-06,59.8,41.1,50.6,5.7,30.2,0.0,1.8873781215950869,,,
2020-05-07,67.3,45.7,47.1,6.5,30.1,0.0,1.2925523935195329,,,
2020-05-08,70.9,51.1,49.9,5.9,30.0,0.0,1.1455499709248806,,,
2020-05-11,51.0,29.9,45.3,22.6,30.1,0.0,1.5084361333090877,,,
2020-05-12,54.1,30.9,42.0,9.4,30.1,0.0,1.2693156334831142,,,
2020-05-13,50.9,28.8,43.2,17.1,30.0,0.0,0.9766833800901179,,,
2020-05-14,53.0,29.8,42.0,10.0,30.2,0.0,1.0378848647659882,,,
2020-05-15,60.5,37.5,43.4,7.1,30.2,0.0,0.9769789226892084,,,
2020-05-18,65.1,44.2,48.7,12.3,30.1,0.0,1.0300860362219184,,,
2020-05-19,71.4,52.9,51.8,9.1,30.1,0.0,0.9663772145145954,,,
2020-05-20,77.6,54.8,45.9,7.8,30.1,0.0,0.9046598293902685,,,
2020-05-21,75.6,46.9,37.0,7.3,30.0,0.0,0.9681427854436364,,,
2020-05-22,68.5,42.9,41.0,21.3,29.9,0.0,0.9390877415501188,,,
2020-05-25,72.9,42.8,35.1,8.5,30.5,0.0,1.0023482591982416,,,
2020-05-26,71.8,42.6,35.1,6.9,30.5,0.0,1.0528148893958735,,,
2020-05-27,70.0,49.6,48.5,3.9,30.5,0.0,1.0306224099352526,,,
2020-05-28,67.9,41.4,38.3,6.9,30.5,0.0,0.99113936558306,,,
2020-05-29,70.1,36.2,29.2,6.9,30.3,0.0,1.00850201735415,,,
