,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,40.0,76.2,12.5,28.3,,,,
1,2020-03-02,39.1,74.2,10.9,28.7,,,,
2,2020-03-03,40.5,76.1,9.3,29.1,,,,
3,2020-03-04,37.3,70.1,5.6,29.4,1.0000000148529775,,,
4,2020-03-05,35.0,77.7,3.2,29.3,1.0000000148529775,,,
5,2020-03-06,36.1,79.8,5.0,29.4,1.0000000148529775,,,
6,2020-03-07,42.8,87.2,13.9,29.2,1.0000000148529775,,,
7,2020-03-08,45.4,73.2,10.4,29.0,1.0000000148529775,,,
8,2020-03-09,40.5,79.2,9.3,29.2,1.0000000148529775,,,
9,2020-03-10,44.8,71.8,11.9,28.9,1.0000000148529775,,,
10,2020-03-11,41.4,67.0,14.7,29.1,17.879067881959084,,,
11,2020-03-12,39.1,72.3,11.7,29.0,8.890570873453422,,,
12,2020-03-13,39.6,64.5,11.5,29.7,1.0000001039708517,,,
13,2020-03-14,42.9,83.6,18.4,29.4,1.0000001039708517,,,
14,2020-03-15,43.5,79.9,15.9,29.1,1.0000001039708517,,,
15,2020-03-16,40.0,72.4,15.1,29.6,3.7607556603804,,,
16,2020-03-17,46.0,67.0,11.3,29.6,2.2474414049986966,,,
17,2020-03-18,41.5,59.7,10.7,29.8,1.000000148529795,,,
18,2020-03-19,40.9,63.6,8.8,30.1,2.2929321378455647,,,
19,2020-03-20,36.1,75.7,5.9,30.3,1.0000001633827769,,,
20,2020-03-21,39.0,77.0,11.5,30.3,1.0000001633827769,,,
21,2020-03-22,41.0,68.8,16.9,30.1,6.044945252276936,,,
22,2020-03-23,42.5,73.3,17.7,29.9,7.717510497588709,,,
23,2020-03-24,50.4,62.1,19.6,29.7,5.043661818891549,,,
24,2020-03-25,50.0,77.7,11.7,29.8,14.004780015581764,,,
25,2020-03-26,44.9,80.3,5.9,30.1,9.464376688164254,,,
26,2020-03-27,43.0,81.6,4.2,30.2,8.985147835848197,,,
27,2020-03-28,39.5,73.0,13.1,30.4,41.01099192302704,,,
28,2020-03-29,40.3,65.6,12.9,30.6,61.046934657007625,,,
29,2020-03-30,44.7,79.9,13.8,30.4,124.69664134054628,,,
30,2020-03-31,44.3,73.8,10.3,30.2,256.67798132293257,,,
31,2020-04-01,46.3,65.5,11.6,29.8,121.83236517981923,,,
32,2020-04-02,41.7,57.8,18.3,29.4,319.7152133389493,,,
33,2020-04-03,39.6,65.2,8.5,29.6,467.5572215259879,,,
34,2020-04-04,43.8,77.6,9.0,29.7,4.651815816068604,,,
35,2020-04-05,47.9,74.7,18.1,29.5,2.065042999754957,,,
36,2020-04-06,50.7,62.6,17.2,29.5,6.298971035606993,,,
37,2020-04-07,47.4,64.7,9.7,30.0,1.7100956595242591,,,
38,2020-04-08,48.1,70.5,8.6,29.9,3.082677013462666,,,
39,2020-04-09,44.3,75.5,9.0,30.1,5.1040978262018,,,
40,2020-04-10,50.6,82.6,8.7,30.0,4.20228616572376,,,
41,2020-04-11,57.2,64.5,8.8,29.8,1.913276079945755,,,
42,2020-04-12,46.1,61.6,11.8,29.8,2.971711278672992,,,
43,2020-04-13,39.4,56.0,9.4,30.2,6.980198038796286,,,
44,2020-04-14,43.4,62.5,4.7,30.0,1.8437681627486584,,,
45,2020-04-15,48.9,65.9,7.2,29.8,2.8133997933355213,,,
46,2020-04-16,46.2,74.7,6.4,29.9,3.3957033901760125,,,
47,2020-04-17,41.8,77.8,6.5,30.0,2.524936567688457,,,
48,2020-04-18,43.1,69.2,7.0,30.0,1.7786065131870772,,,
49,2020-04-19,43.1,75.5,7.8,30.1,2.9445303448783533,,,
50,2020-04-20,44.4,76.4,6.0,30.1,3.2385650174217973,,,
51,2020-04-21,45.9,79.7,6.0,30.2,1.990599833900727,,,
52,2020-04-22,45.3,76.6,5.1,30.2,2.2289950331584407,,,
53,2020-04-23,46.3,61.7,5.8,30.0,1.9766512958948423,,,
54,2020-04-24,42.3,76.7,4.9,29.8,1.4548021173305608,,,
55,2020-04-25,45.8,81.7,11.2,29.7,1.35276345056629,,,
56,2020-04-26,46.4,82.3,6.0,29.5,1.8750943588676563,,,
57,2020-04-27,43.9,77.1,11.0,29.5,1.2681542444269684,,,
58,2020-04-28,42.9,72.7,7.8,29.5,1.2601825955003032,,,
59,2020-05-01,47.9,76.5,7.9,29.1,1.0003891928416375,,,
60,2020-05-02,46.6,80.3,12.4,29.5,0.8918047008525182,,,
61,2020-05-03,42.8,81.3,3.9,29.8,0.9263302086015917,,,
62,2020-05-04,43.7,77.6,5.8,30.0,0.9265997492443732,,,
63,2020-05-05,44.5,74.0,7.3,30.0,1.0776641481574216,,,
64,2020-05-06,46.7,76.3,5.7,30.0,0.9889346876850372,,,
65,2020-05-07,51.0,68.8,4.4,29.8,1.006738770854495,,,
66,2020-05-08,49.5,80.4,3.3,29.8,0.993860632576284,,,
67,2020-05-09,49.8,89.0,6.8,29.7,0.9811729716468794,,,
68,2020-05-10,39.6,71.2,14.5,29.9,1.1174744964572878,,,
69,2020-05-11,42.8,67.0,14.1,30.0,0.9707507931785962,,,
70,2020-05-12,41.5,76.1,12.8,29.8,0.9653027956517676,,,
71,2020-05-13,40.6,67.0,10.2,29.9,1.051952071063056,,,
72,2020-05-14,47.2,65.6,11.3,29.9,1.019559761886441,,,
73,2020-05-15,49.6,62.8,12.3,29.9,0.9226006627207264,,,
74,2020-05-16,51.9,58.8,13.0,29.8,0.9448176241497472,,,
75,2020-05-17,52.5,79.2,6.0,29.7,1.0731101032262456,,,
76,2020-05-18,55.8,70.9,7.7,29.7,1.0744257944624125,,,
77,2020-05-19,58.9,71.0,5.5,29.8,0.9926825836668988,,,
78,2020-05-20,59.6,77.2,9.3,29.8,0.9677789113467592,,,
79,2020-05-21,55.1,72.9,6.0,29.7,1.016080888879561,,,
80,2020-05-22,54.4,74.4,19.7,29.3,1.0063403575708494,,,
81,2020-05-23,53.2,63.8,21.4,29.3,1.0023123395894935,,,
82,2020-05-24,56.4,62.7,12.7,29.9,0.9998094850828472,,,
83,2020-05-25,55.3,68.8,9.4,30.1,1.127850849166769,,,
84,2020-05-26,55.9,62.6,8.6,30.3,1.0655099257109837,,,
85,2020-05-27,52.2,66.3,8.9,30.4,0.9884322585758858,,,
86,2020-05-28,58.0,76.1,6.5,30.2,0.9883158108226764,,,
87,2020-05-29,60.6,69.2,7.7,30.1,1.0511289680534002,,,
88,2020-05-30,55.3,72.0,12.5,30.1,1.036323894601843,,,
89,2020-05-31,56.1,74.2,8.5,30.1,1.02651572509894,,,
90,2020-06-01,58.0,65.2,9.8,30.1,1.0650115400873768,,,
91,2020-06-02,55.1,77.3,7.5,29.9,1.0281607130997803,,,
92,2020-06-03,47.4,86.5,14.3,29.7,1.0147253135054188,,,
93,2020-06-04,46.7,77.9,8.7,29.4,1.0132772088581798,,,
94,2020-06-05,45.3,84.4,20.2,29.0,1.0036645324018447,,,
95,2020-06-06,53.0,75.7,15.3,29.2,1.004192423080508,,,
96,2020-06-07,47.7,81.5,18.3,29.6,1.01921043717563,,,
97,2020-06-08,45.8,75.5,7.9,29.9,1.0094876828902346,,,
98,2020-06-09,49.5,79.0,9.1,29.8,1.0080631940216176,,,
99,2020-06-10,49.5,88.6,8.4,29.8,1.0061156488677077,,,
100,2020-06-11,51.7,79.5,10.7,30.0,0.9977765422839732,,,
101,2020-06-12,52.3,89.1,14.2,29.8,1.034163285788586,,,
102,2020-06-13,53.3,99.5,3.8,29.7,1.0145461094992754,,,
103,2020-06-14,54.5,98.4,3.1,29.8,1.0444348922263864,,,
104,2020-06-15,54.6,96.0,4.1,29.8,1.0122458349713763,,,
105,2020-06-16,57.1,90.5,6.3,29.7,1.0045283209799911,,,
106,2020-06-17,57.6,84.0,3.7,29.8,1.0151622067604018,,,
107,2020-06-18,53.1,89.8,5.0,29.7,1.0009012793933494,,,
108,2020-06-19,54.5,95.3,6.5,29.6,1.0017264873517593,,,
109,2020-06-20,60.0,79.3,8.4,29.6,1.0056073602523643,,,
