,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,42.0,84.8,23.3,28.6,1.0000000148529775,,,
1,2020-03-02,41.9,81.1,16.0,29.0,1.0000000148529775,,,
2,2020-03-03,44.9,71.7,8.3,29.4,1.0000000148529775,,,
3,2020-03-04,40.7,82.9,2.4,29.7,1.0000000148529775,,,
4,2020-03-05,39.6,87.6,2.1,29.5,1.0000000148529775,,,
5,2020-03-06,40.6,85.3,2.9,29.6,1.0000000148529775,,,
6,2020-03-07,47.0,89.6,13.8,29.5,1.0000000148529775,,,
7,2020-03-08,45.3,81.2,16.6,29.3,1.0000000148529775,,,
8,2020-03-09,44.2,84.0,10.8,29.4,1.0000000148529775,,,
9,2020-03-10,47.5,78.8,18.7,29.2,1.0000000148529775,,,
10,2020-03-11,44.1,80.6,19.8,29.3,9.28226588657176,,,
11,2020-03-12,41.4,85.6,15.7,29.3,4.118602922660898,,,
12,2020-03-13,42.2,65.2,8.3,30.0,1.0000000594119127,,,
13,2020-03-14,45.7,85.3,9.4,29.6,1.0000000594119127,,,
14,2020-03-15,47.9,71.4,13.6,29.4,4.229735418666868,,,
15,2020-03-16,44.0,79.1,17.1,29.9,1.000000074264892,,,
16,2020-03-17,46.5,81.9,14.8,29.9,4.923845768465499,,,
17,2020-03-18,43.4,76.3,15.6,30.1,8.557198005369075,,,
18,2020-03-19,45.7,61.8,5.0,30.3,12.028166475986708,,,
19,2020-03-20,42.1,74.8,7.0,30.6,1.0000001633827769,,,
20,2020-03-21,44.7,71.9,14.0,30.4,7.818523775037067,,,
21,2020-03-22,44.3,69.9,4.7,30.4,1.0000001782357593,,,
22,2020-03-23,46.2,67.2,9.0,30.1,58.3686823301581,,,
23,2020-03-24,47.9,71.1,5.7,30.0,103.4800659600852,,,
24,2020-03-25,49.6,87.7,9.0,30.1,178.66460730459872,,,
25,2020-03-26,45.5,94.7,6.5,30.3,208.7073365147164,,,
26,2020-03-27,46.1,80.7,5.7,30.5,109.74906359141292,,,
27,2020-03-28,45.1,57.1,12.4,30.7,199.44518579929465,,,
28,2020-03-29,44.2,49.6,6.2,30.9,825.25052631298,,,
29,2020-03-30,50.2,65.2,7.1,30.6,16.68391329690947,,,
30,2020-03-31,50.4,57.9,6.7,30.5,10.6535154774094,,,
31,2020-04-01,50.8,69.3,15.5,30.0,10.87292061729184,,,
32,2020-04-02,47.9,48.7,17.9,29.7,3.7642658620891023,,,
33,2020-04-03,45.0,75.7,12.1,29.9,5.483596744789437,,,
34,2020-04-04,48.1,77.4,9.8,29.9,2.3594153719475464,,,
