,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,45.9,62.0,15.1,29.2,1.0000000148529775,,,
1,2020-03-02,44.0,73.9,8.7,29.2,1.0000000148529775,,,
2,2020-03-03,43.6,71.5,9.5,29.6,46.08322206083919,,,
3,2020-03-04,42.9,80.9,7.1,29.7,14.637046067415868,,,
4,2020-03-05,43.8,88.5,10.2,29.4,18.68139156088351,,,
5,2020-03-06,44.1,67.9,7.2,29.6,1.0000001039708517,,,
6,2020-03-07,47.3,76.7,10.5,29.9,41.03126563151061,,,
7,2020-03-08,51.0,73.3,14.7,29.7,150.39972542165253,,,
8,2020-03-09,47.0,75.3,13.1,29.8,210.19085731722504,,,
9,2020-03-10,56.2,82.9,17.1,29.6,798.4928318001321,,,
10,2020-03-11,53.3,75.9,13.8,29.8,585.3106233697138,,,
11,2020-03-12,47.1,60.7,19.1,29.8,1178.500331391649,,,
12,2020-03-13,48.1,63.9,12.2,30.0,15.598822952670968,,,
13,2020-03-14,50.1,78.0,9.3,29.9,12.309478167409102,,,
14,2020-03-15,51.0,77.5,12.3,29.8,14.7557193308454,,,
15,2020-03-16,48.5,65.1,7.0,30.1,5.281609894814348,,,
16,2020-03-17,50.3,73.6,10.0,30.3,11.037529025080014,,,
17,2020-03-18,54.3,77.6,11.6,30.2,17.1820271550118,,,
18,2020-03-19,46.4,88.8,7.9,30.3,8.604509019275074,,,
19,2020-03-20,46.2,69.4,12.8,30.4,5.671645919440615,,,
20,2020-03-21,45.2,63.6,15.7,30.3,8.330896150507408,,,
21,2020-03-22,44.7,65.5,13.7,30.3,8.117755149759397,,,
22,2020-03-23,44.5,60.3,12.0,30.3,7.851690427770668,,,
23,2020-03-24,47.8,51.2,6.9,30.3,6.778314969214098,,,
24,2020-03-25,45.3,56.0,7.3,30.2,5.861990311208596,,,
25,2020-03-26,44.5,58.9,8.7,30.2,4.237136639159961,,,
26,2020-03-27,46.5,59.1,8.3,30.2,2.5604757383720638,,,
27,2020-03-28,45.9,63.0,10.1,30.4,2.1579038719476307,,,
28,2020-03-29,42.0,55.2,11.2,30.6,2.212479927480549,,,
29,2020-03-30,43.2,67.4,7.4,30.5,2.2567136356063333,,,
30,2020-03-31,43.7,67.0,9.2,30.4,1.656592476969617,,,
31,2020-04-01,43.3,61.9,4.6,30.2,2.0745214933649176,,,
32,2020-04-02,50.7,60.1,9.3,30.0,1.3455610091487165,,,
33,2020-04-03,51.3,55.0,5.6,30.0,1.382407145797803,,,
34,2020-04-04,51.9,60.9,7.0,30.1,1.266617343065641,,,
35,2020-04-05,58.7,47.0,11.0,29.9,1.1512234975917743,,,
36,2020-04-06,59.0,55.7,8.3,30.0,1.1876581393296612,,,
37,2020-04-07,55.4,59.5,6.5,30.4,1.2345901815643825,,,
38,2020-04-08,58.1,63.2,6.9,30.2,0.969007413343414,,,
39,2020-04-09,57.5,65.3,9.3,30.3,0.7803419249912659,,,
40,2020-04-10,56.6,69.5,10.3,30.3,0.8101207069419892,,,
41,2020-04-11,60.1,63.1,6.4,30.2,0.7624742742163809,,,
42,2020-04-12,64.0,50.1,5.8,29.9,0.8146832304280137,,,
43,2020-04-13,48.6,57.4,15.0,30.3,0.8042301633680314,,,
44,2020-04-14,46.9,54.4,8.4,30.4,0.8731917667939454,,,
45,2020-04-15,50.0,62.1,7.0,30.2,0.7829160821875799,,,
46,2020-04-16,54.0,66.5,7.3,30.0,0.7991651742966819,,,
47,2020-04-17,52.2,70.0,14.4,30.0,0.8499716429447831,,,
48,2020-04-18,50.4,78.3,6.7,30.0,0.9013147050870568,,,
49,2020-04-19,53.1,63.0,9.2,30.1,0.7956813658377987,,,
50,2020-04-20,53.9,56.1,13.3,30.0,0.9545201104146572,,,
51,2020-04-21,56.3,51.4,14.5,30.0,0.8376412154798794,,,
52,2020-04-22,57.4,53.0,9.9,30.1,0.8972609213367062,,,
53,2020-04-23,58.3,57.7,7.0,30.1,0.8983515573114784,,,
54,2020-04-24,57.9,57.0,6.1,30.0,0.9038102823998238,,,
55,2020-04-25,50.6,71.9,10.4,30.0,1.0014348002855755,,,
56,2020-04-26,55.8,59.4,4.8,29.9,1.063501675764277,,,
57,2020-04-27,57.1,58.6,7.3,29.7,1.130879806142089,,,
58,2020-04-28,48.3,87.8,11.7,29.6,1.0812202998627387,,,
59,2020-05-01,52.3,69.8,11.5,29.5,1.0139040417911784,,,
60,2020-05-02,54.6,58.3,9.3,29.8,0.9998750407141976,,,
61,2020-05-03,55.2,63.8,6.3,30.0,1.096666765417819,,,
62,2020-05-04,55.2,67.3,10.3,30.1,1.0949474765316574,,,
63,2020-05-05,52.0,63.1,16.6,30.1,1.0685419459485317,,,
64,2020-05-06,52.8,63.5,8.8,30.3,1.0687698086845503,,,
