,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.5,81.4,24.5,28.7,,,,
1,2020-03-02,41.0,80.0,14.5,29.0,,,,
2,2020-03-03,42.6,81.4,10.4,29.4,,,,
3,2020-03-04,39.8,80.9,5.0,29.6,,,,
4,2020-03-05,37.8,85.9,2.6,29.5,,,,
5,2020-03-06,40.4,83.2,5.8,29.6,,,,
6,2020-03-07,48.2,87.5,19.9,29.4,1.0000000148529775,,,
7,2020-03-08,45.5,80.1,14.6,29.3,1.0000000148529775,,,
8,2020-03-09,45.6,85.4,15.3,29.4,1.0000000148529775,,,
9,2020-03-10,47.5,80.1,17.9,29.3,1.0000000148529775,,,
10,2020-03-11,42.7,80.7,16.1,29.3,27.28095765530682,,,
11,2020-03-12,41.5,79.6,22.2,29.3,1.0000000297059557,,,
12,2020-03-13,40.3,81.0,7.9,29.9,1.0000000297059557,,,
13,2020-03-14,45.8,82.8,14.3,29.5,1.0000000297059557,,,
14,2020-03-15,45.2,80.5,17.2,29.4,7.137110278427905,,,
15,2020-03-16,44.0,80.4,15.0,29.9,7.276817578811157,,,
16,2020-03-17,46.3,84.4,10.7,29.9,4.981091302999401,,,
17,2020-03-18,42.7,77.1,13.4,30.1,2.611265834097052,,,
18,2020-03-19,43.0,75.1,7.7,30.3,1.0000001188238323,,,
19,2020-03-20,40.0,71.1,5.1,30.5,2.3860459536109024,,,
20,2020-03-21,41.6,67.9,11.1,30.3,2.304956737792371,,,
21,2020-03-22,41.3,66.4,7.2,30.3,3.3703754999580067,,,
22,2020-03-23,46.4,63.4,13.4,30.1,3.3069543337579663,,,
23,2020-03-24,49.3,73.8,17.4,29.9,6.027110198324952,,,
24,2020-03-25,48.7,89.2,8.3,30.1,7.975728229021172,,,
25,2020-03-26,48.0,90.2,3.6,30.2,9.169947729784026,,,
26,2020-03-27,46.8,83.2,8.4,30.4,6.642320968756039,,,
27,2020-03-28,42.6,65.1,8.2,30.6,7.90049839869625,,,
28,2020-03-29,41.1,58.8,9.3,30.9,11.227792911149772,,,
29,2020-03-30,45.5,74.4,5.4,30.6,16.471231573640104,,,
30,2020-03-31,46.0,76.1,7.4,30.5,22.67263200342743,,,
31,2020-04-01,46.6,78.9,13.2,30.1,13.8100188259183,,,
32,2020-04-02,45.7,72.8,18.7,29.8,22.069214149155428,,,
33,2020-04-03,44.5,81.0,10.2,29.9,91.81163326178776,,,
34,2020-04-04,47.7,78.0,10.9,29.9,239.00317418896708,,,
35,2020-04-05,56.1,58.3,18.2,29.6,380.012753586561,,,
36,2020-04-06,50.5,72.7,14.2,29.8,420.1107994606323,,,
37,2020-04-07,49.0,65.7,10.4,30.2,5.200113315096117,,,
38,2020-04-08,50.8,73.9,6.0,30.2,3.2713772815529563,,,
39,2020-04-09,51.7,83.0,7.3,30.2,4.6524073954538325,,,
40,2020-04-10,54.1,81.1,2.2,30.1,0.5916323071204315,,,
