,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,45.5,80.6,21.2,29.2,,,,
1,2020-03-02,45.0,84.2,14.1,29.2,,,,
2,2020-03-03,42.6,81.2,10.9,29.6,,,,
3,2020-03-04,42.6,92.7,8.3,29.8,,,,
4,2020-03-05,45.2,99.7,14.2,29.3,,,,
5,2020-03-06,42.7,81.9,11.2,29.6,,,,
6,2020-03-07,43.7,92.3,12.6,30.0,,,,
7,2020-03-08,49.7,89.8,23.8,29.8,,,,
8,2020-03-09,46.6,86.1,18.3,29.9,145.5334772368854,,,
9,2020-03-10,51.5,100.0,25.3,29.7,1.0000000297059557,,,
10,2020-03-11,52.0,98.1,22.3,29.8,38.85479594618221,,,
11,2020-03-12,47.5,74.7,23.8,29.9,19.92337205382559,,,
12,2020-03-13,47.1,78.0,16.5,30.1,1.0000000594119127,,,
13,2020-03-14,48.0,91.8,17.8,30.0,13.675320829943958,,,
14,2020-03-15,50.3,91.2,18.6,29.8,1.0000000891178715,,,
15,2020-03-16,46.6,87.2,8.5,30.1,1.0000000891178715,,,
16,2020-03-17,48.1,88.9,15.0,30.4,3.6301903604650425,,,
17,2020-03-18,50.0,91.3,15.6,30.3,2.961505676397139,,,
18,2020-03-19,48.8,95.8,11.5,30.3,2.5482023126231885,,,
19,2020-03-20,46.3,83.9,22.1,30.3,1.0000001336768134,,,
20,2020-03-21,46.1,74.4,26.8,30.3,1.0000001336768134,,,
21,2020-03-22,44.8,69.6,24.7,30.3,4.838281153253545,,,
22,2020-03-23,44.8,62.9,14.0,30.3,1.932112112793548,,,
23,2020-03-24,45.2,60.0,11.8,30.3,1.948150393732176,,,
24,2020-03-27,46.5,74.3,17.2,30.1,2.177154245643318,,,
25,2020-03-28,49.7,83.4,22.0,30.3,7.045760207119014,,,
26,2020-03-29,49.0,86.9,16.0,30.4,6.5774653443584015,,,
27,2020-03-30,49.9,76.2,5.5,30.3,9.287361057495271,,,
28,2020-03-31,52.5,80.5,4.6,30.1,19.59598293793724,,,
29,2020-04-01,21.4,31.8,2.8,30.2,6.381296852544126,,,
30,2020-04-02,46.9,80.3,10.2,30.0,9.127234416067957,,,
31,2020-04-03,48.4,81.5,7.3,30.1,25.63464180274312,,,
32,2020-04-04,48.8,88.0,8.2,30.1,21.288865338399003,,,
33,2020-04-05,56.0,64.4,13.5,30.0,113.0257840101733,,,
34,2020-04-06,53.0,83.3,13.7,30.1,163.3120760817118,,,
35,2020-04-07,51.3,83.5,8.7,30.4,151.25139334460235,,,
36,2020-04-08,55.1,80.8,10.2,30.2,643.2733000105384,,,
37,2020-04-09,54.3,81.0,13.3,30.3,6.317009857517127,,,
38,2020-04-10,54.8,83.3,15.6,30.3,1.9168538664270909,,,
39,2020-04-11,55.1,78.8,8.4,30.2,8.708296576392428,,,
40,2020-04-12,55.7,77.1,6.7,30.0,3.422028188623889,,,
41,2020-04-13,47.9,72.2,24.7,30.2,2.4314672391265826,,,
42,2020-04-14,45.5,70.9,13.3,30.4,9.921192106975242,,,
43,2020-04-15,49.6,76.5,12.1,30.2,7.60570660616463,,,
44,2020-04-16,52.1,80.7,8.7,30.0,3.460101584836064,,,
45,2020-04-17,51.4,87.7,16.0,30.0,3.68440754060372,,,
46,2020-04-18,50.9,93.8,11.0,30.0,2.77781074736237,,,
47,2020-04-19,51.4,82.6,13.1,30.1,3.751525306801615,,,
48,2020-04-20,54.4,69.1,21.7,30.0,2.9994628127721947,,,
49,2020-04-21,55.5,68.9,20.1,29.9,1.876396954518648,,,
50,2020-04-22,56.0,69.1,14.1,30.0,2.023528822482094,,,
51,2020-04-23,55.3,73.4,10.0,30.1,2.452183673413192,,,
52,2020-04-24,52.0,82.0,9.6,30.0,1.8982968414347023,,,
53,2020-04-25,49.4,85.0,14.8,30.0,1.3978960232598932,,,
54,2020-04-26,47.8,86.8,6.6,29.9,1.8323915151025851,,,
55,2020-04-27,51.0,77.0,6.2,29.8,1.907542986207188,,,
56,2020-04-28,50.3,100.0,13.8,29.6,1.6551987638373804,,,
57,2020-05-01,51.1,88.8,16.6,29.5,1.3035710252949184,,,
58,2020-05-02,51.2,80.8,12.8,29.8,1.110944755551785,,,
