,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,44.2,79.6,14.0,29.1,,,,
1,2020-03-02,44.5,68.5,9.3,29.2,,,,
2,2020-03-03,45.8,69.7,10.2,29.5,,,,
3,2020-03-04,43.7,84.0,5.6,29.6,,,,
4,2020-03-05,42.5,85.7,10.8,29.3,,,,
5,2020-03-06,46.0,69.7,1.6,29.6,1.0000000148529775,,,
6,2020-03-07,51.7,83.7,14.1,29.8,1.0000000148529775,,,
7,2020-03-08,50.5,75.5,15.0,29.5,1.0000000148529775,,,
8,2020-03-09,47.3,79.3,11.5,29.8,1.0000000148529775,,,
9,2020-03-10,54.9,85.4,14.9,29.5,1.0000000148529775,,,
10,2020-03-11,52.5,75.9,15.3,29.6,1.0000000148529775,,,
11,2020-03-12,45.6,71.5,15.0,29.7,15.330308017155843,,,
12,2020-03-13,49.6,64.1,8.2,29.9,8.501807854266822,,,
13,2020-03-14,51.2,83.3,11.6,29.8,10.20566585011598,,,
14,2020-03-15,47.0,91.9,6.6,29.6,1.0000000891178715,,,
15,2020-03-16,48.0,68.9,6.6,30.1,2.990545703485127,,,
16,2020-03-17,52.8,87.2,13.0,30.2,1.0000001039708517,,,
17,2020-03-18,50.0,93.8,10.3,30.1,1.0000001039708517,,,
18,2020-03-19,42.1,93.8,8.4,30.2,6.197672234591344,,,
19,2020-03-20,46.2,73.7,15.8,30.3,1.0000001782357593,,,
20,2020-03-21,48.6,46.1,13.7,30.2,3.844450735607108,,,
21,2020-03-22,49.8,51.6,11.8,30.2,5.61390904325717,,,
22,2020-03-23,50.5,47.1,5.0,30.2,3.3878777439632684,,,
23,2020-03-24,57.1,60.5,8.3,30.1,1.0000003564715818,,,
24,2020-03-25,55.8,42.1,2.4,30.1,2.2091523384834604,,,
25,2020-03-26,51.0,52.1,6.4,30.1,3.9953055434416394,,,
26,2020-03-27,49.6,60.5,10.2,30.2,8.271490685717373,,,
27,2020-03-28,48.5,65.0,18.4,30.3,10.351121789984091,,,
28,2020-03-29,44.6,49.5,20.6,30.6,16.471225702112726,,,
29,2020-03-30,45.4,72.8,7.7,30.5,36.82617431859364,,,
30,2020-03-31,47.2,64.2,10.3,30.4,35.93640238037597,,,
31,2020-04-01,45.5,67.0,3.3,30.1,46.64995016616823,,,
32,2020-04-02,52.7,70.4,10.5,29.9,76.09421168356076,,,
33,2020-04-03,51.6,60.2,4.4,29.9,106.07158898475512,,,
34,2020-04-06,57.5,64.5,8.9,29.9,4.411241887423248,,,
35,2020-04-07,58.5,53.0,3.1,30.3,3.744905845419606,,,
36,2020-04-08,64.0,54.7,1.1,30.1,5.192004773185767,,,
37,2020-04-09,68.5,50.6,4.0,30.1,3.2846305584481525,,,
38,2020-04-15,50.0,65.3,0.0,30.1,2.67359607209716,,,
39,2020-04-16,66.0,32.0,3.0,29.9,2.9945452705446955,,,
40,2020-04-28,46.0,93.0,8.0,29.6,1.220705569439209,,,
41,2020-05-22,62.4,55.3,18.0,29.8,1.0036940740103135,,,
42,2020-05-23,59.4,64.1,15.9,30.0,1.0502179693664149,,,
43,2020-05-24,65.8,54.5,10.5,30.3,1.0518893942468526,,,
44,2020-05-25,67.1,52.1,5.7,30.4,0.981381796672882,,,
45,2020-05-26,68.3,53.5,2.9,30.5,1.0327634952971547,,,
46,2020-05-27,68.4,49.9,4.1,30.5,1.0463212900242167,,,
47,2020-05-28,69.7,43.7,5.1,30.4,1.0772697915688645,,,
48,2020-05-29,71.3,36.8,5.8,30.2,1.0390393248832732,,,
49,2020-05-30,69.7,45.6,6.7,30.1,0.9745362384928032,,,
50,2020-05-31,72.5,39.8,8.9,30.1,0.968769992770342,,,
51,2020-06-01,69.2,48.3,8.4,30.1,1.0175790093584995,,,
52,2020-06-02,69.2,41.6,5.4,30.0,1.0182055671043764,,,
53,2020-06-03,58.9,85.3,7.1,29.7,1.143154365870275,,,
54,2020-06-04,56.0,68.1,7.1,29.6,1.022075800282535,,,
55,2020-06-05,59.4,41.7,15.1,29.3,1.0327637383624475,,,
56,2020-06-06,53.9,74.7,13.7,29.4,1.013286282185355,,,
57,2020-06-07,61.0,62.9,5.8,29.7,1.0790125688779333,,,
58,2020-06-08,59.6,60.8,3.0,30.0,1.089240428030394,,,
59,2020-06-09,63.7,51.8,1.5,30.0,1.0075365240822374,,,
60,2020-06-10,57.7,73.1,2.2,29.8,1.0191762373828783,,,
61,2020-06-11,59.1,78.7,15.8,29.8,1.0179404837023798,,,
62,2020-06-12,65.3,70.9,16.4,29.6,1.016231496322047,,,
63,2020-06-13,68.3,56.5,10.1,29.6,0.9980305954759792,,,
64,2020-06-14,67.3,65.1,7.0,29.8,1.033874868652214,,,
65,2020-06-15,69.8,58.9,4.6,29.9,1.0128941908574924,,,
66,2020-06-16,66.6,75.8,1.7,29.8,0.9974949158142392,,,
67,2020-06-17,62.9,85.6,4.0,29.8,1.0109009728554732,,,
68,2020-06-18,58.2,96.3,4.2,29.7,1.0150411028207365,,,
69,2020-06-19,59.2,85.8,13.2,29.8,1.003728731994769,,,
70,2020-06-20,64.9,76.4,9.9,29.9,1.0008024917864655,,,
71,2020-06-21,63.3,70.9,13.5,29.9,1.001537353009209,,,
72,2020-06-22,67.8,56.4,12.0,30.1,1.004993706999913,,,
73,2020-06-23,74.4,55.8,8.4,30.1,1.0088797991961096,,,
74,2020-06-24,80.9,48.7,3.6,30.0,1.0066433316641508,,,
75,2020-06-25,82.4,46.0,5.4,29.9,1.041057297554857,,,
76,2020-06-26,74.8,67.2,9.4,29.6,1.0041091302850922,,,
77,2020-06-27,63.6,82.9,13.0,29.5,1.0002015390192591,,,
78,2020-06-28,62.9,65.3,16.6,29.7,1.0008565314324225,,,
79,2020-06-29,59.3,65.6,15.1,29.7,1.0243361075719548,,,
80,2020-06-30,61.9,78.9,8.4,29.6,1.0017920968177048,,,
81,2020-07-01,65.4,74.9,11.2,29.6,1.0148794330843922,,,
82,2020-07-02,63.8,77.8,6.7,29.7,1.0028682610611648,,,
83,2020-07-03,62.1,75.9,15.7,29.8,1.00227930484501,,,
84,2020-07-04,64.3,84.9,15.8,29.7,1.0117475827224665,,,
85,2020-07-05,64.0,58.5,15.8,29.7,1.0241884378776398,,,
86,2020-07-06,63.6,60.6,12.3,30.0,1.0037336373895591,,,
87,2020-07-07,60.5,75.8,8.9,30.0,1.0582344573432374,,,
88,2020-07-08,63.1,95.3,5.8,29.8,1.6373905252536929,,,
89,2020-07-09,64.1,89.9,9.5,29.7,1.0024007234245174,,,
90,2020-07-10,61.4,62.0,7.8,30.0,1.0222107748149465,,,
91,2020-07-11,64.3,56.0,4.6,30.2,1.000512126169082,,,
92,2020-07-12,67.0,54.0,2.7,30.3,1.1569532631491932,,,
93,2020-07-13,65.1,74.7,10.0,30.1,1.019560330041399,,,
94,2020-07-14,62.9,76.3,6.0,29.9,1.2478458811394932,,,
95,2020-07-15,62.2,79.2,6.3,29.9,1.0011996552684492,,,
96,2020-07-16,69.3,69.5,7.1,30.0,0.980345375190675,,,
97,2020-07-17,71.5,68.8,9.4,30.0,0.9803304070344716,,,
98,2020-07-18,65.2,77.2,11.2,29.9,0.9686584206369314,,,
99,2020-07-19,65.2,60.0,8.0,30.0,0.9672599660285552,,,
100,2020-07-20,63.8,57.4,4.5,30.1,0.9768964333873552,,,
101,2020-07-21,65.7,51.3,1.4,30.2,1.0452601658811906,,,
102,2020-07-22,68.7,53.5,9.7,30.1,0.9456716272074258,,,
103,2020-07-23,64.9,75.5,11.1,29.9,0.94509345924693,,,
104,2020-07-24,70.6,67.2,9.7,29.8,0.9441428424585824,,,
105,2020-07-25,66.5,84.7,10.6,29.6,0.9420076472221522,,,
106,2020-07-26,65.8,68.5,12.1,29.7,0.9533900056152876,,,
107,2020-07-27,66.7,83.5,17.0,29.5,0.9646799849933932,,,
108,2020-07-28,63.3,58.8,12.4,29.9,1.080199417311251,,,
109,2020-07-29,66.1,61.0,6.4,30.0,0.9777617005956896,,,
110,2020-07-30,75.8,44.6,6.8,29.9,0.9895910187692204,,,
111,2020-07-31,86.3,38.7,10.3,29.7,0.990419064058822,,,
112,2020-08-01,69.5,67.7,10.8,29.9,0.9894127164849194,,,
113,2020-08-02,68.3,56.5,8.3,29.9,1.031791692722558,,,
114,2020-08-03,65.6,53.5,6.7,29.9,1.023452095800763,,,
115,2020-08-04,63.8,61.3,9.7,29.9,1.0224304629413337,,,
116,2020-08-05,70.0,73.7,14.5,29.7,1.0030305579351069,,,
117,2020-08-06,71.0,83.2,7.0,29.9,1.0018851050437934,,,
118,2020-08-07,78.5,57.3,2.4,29.9,1.002332761313924,,,
119,2020-08-08,79.0,61.1,8.2,30.0,1.0011328380398836,,,
120,2020-08-09,71.4,71.9,6.5,30.0,1.0127836148176892,,,
121,2020-08-10,76.6,66.8,6.3,29.8,1.0131062614683637,,,
122,2020-08-11,81.7,61.5,2.6,29.8,1.0435932213848178,,,
123,2020-08-12,85.3,53.2,5.4,29.8,1.0136321668954575,,,
124,2020-08-13,69.2,88.8,7.2,29.8,1.0028511823241335,,,
125,2020-08-14,65.6,92.3,3.3,29.9,1.0331754714461758,,,
126,2020-08-15,64.1,87.4,4.1,29.9,1.0121387818200072,,,
127,2020-08-16,69.7,83.4,3.8,29.7,1.001656296539962,,,
128,2020-08-17,68.6,78.0,6.3,29.6,1.0341149517586496,,,
129,2020-08-18,70.8,70.0,10.3,29.6,1.0542412459336723,,,
130,2020-08-19,66.7,94.0,9.4,29.4,1.0341721566423174,,,
131,2020-08-20,70.1,58.5,13.9,29.5,1.013658696502861,,,
132,2020-08-21,65.7,83.7,17.8,29.4,1.0026198408512963,,,
133,2020-08-22,64.3,75.8,15.4,29.7,1.0023226682602344,,,
