,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,45.9,62.0,15.1,29.2,61.55479135580764,,,
1,2020-03-02,44.0,73.9,8.7,29.2,1.000000074264892,,,
2,2020-03-03,43.6,71.5,9.5,29.6,15.259736375852295,,,
3,2020-03-04,42.9,80.9,7.1,29.7,13.283123529333118,,,
4,2020-03-05,43.8,88.5,10.2,29.4,1.0000002079417252,,,
5,2020-03-06,44.1,67.9,7.2,29.6,2.2274224883390144,,,
6,2020-03-07,47.3,76.7,10.5,29.9,2.846123377000584,,,
7,2020-03-08,51.0,73.3,14.7,29.7,3.654061663155024,,,
8,2020-03-09,47.0,75.3,13.1,29.8,5.158106952601511,,,
9,2020-03-10,56.2,82.9,17.1,29.6,4.030099578473165,,,
10,2020-03-11,53.3,75.9,13.8,29.8,2.5924797730011364,,,
11,2020-03-12,47.1,60.7,19.1,29.8,1.7829751613870788,,,
12,2020-03-13,48.1,63.9,12.2,30.0,1.8050344055835763,,,
13,2020-03-14,50.1,78.0,9.3,29.9,1.2990505886347463,,,
14,2020-03-15,51.0,77.5,12.3,29.8,2.910303822625842,,,
15,2020-03-16,48.5,65.1,7.0,30.1,3.4597273809435247,,,
16,2020-03-17,50.3,73.6,10.0,30.3,4.22440875433514,,,
17,2020-03-18,54.3,77.6,11.6,30.2,3.527291891652692,,,
18,2020-03-19,46.4,88.8,7.9,30.3,4.314947994581699,,,
19,2020-03-20,46.2,69.4,12.8,30.4,4.67741151248693,,,
20,2020-03-21,45.2,63.6,15.7,30.3,10.02489024549062,,,
21,2020-03-22,44.7,65.5,13.7,30.3,16.004137784276804,,,
22,2020-03-23,44.5,60.3,12.0,30.3,23.87504586323408,,,
23,2020-03-24,47.8,51.2,6.9,30.3,57.97119355432865,,,
24,2020-03-25,45.3,56.0,7.3,30.2,152.71079061026992,,,
25,2020-03-26,44.5,58.9,8.7,30.2,226.22035323376144,,,
26,2020-03-27,46.5,59.1,8.3,30.2,178.26316555774335,,,
27,2020-03-28,45.9,63.0,10.1,30.4,341.027598901159,,,
28,2020-03-29,42.0,55.2,11.2,30.6,14.549131489420905,,,
29,2020-03-30,43.2,67.4,7.4,30.5,5.452681358522452,,,
30,2020-03-31,43.7,67.0,9.2,30.4,6.504902649269095,,,
31,2020-04-01,43.3,61.9,4.6,30.2,4.372519309092775,,,
32,2020-04-02,50.7,60.1,9.3,30.0,4.133952125246175,,,
33,2020-04-03,51.3,55.0,5.6,30.0,2.551692308411147,,,
34,2020-04-04,51.9,60.9,7.0,30.1,1.4276633564216767,,,
35,2020-04-05,58.7,47.0,11.0,29.9,1.914029881067672,,,
36,2020-04-06,59.0,55.7,8.3,30.0,3.3980662219610407,,,
37,2020-04-07,55.4,59.5,6.5,30.4,3.2218824984538106,,,
38,2020-04-08,58.1,63.2,6.9,30.2,2.6450834846954026,,,
39,2020-04-09,57.5,65.3,9.3,30.3,1.6004582864339922,,,
40,2020-04-10,56.6,69.5,10.3,30.3,0.6254726113856577,,,
41,2020-04-11,60.1,63.1,6.4,30.2,0.5484544837612104,,,
42,2020-04-12,64.0,50.1,5.8,29.9,0.8768622576908327,,,
43,2020-04-13,48.6,57.4,15.0,30.3,0.9202957906508688,,,
44,2020-04-14,46.9,54.4,8.4,30.4,0.9420556140497448,,,
45,2020-04-15,50.0,62.1,7.0,30.2,1.076698081763331,,,
46,2020-04-16,54.0,66.5,7.3,30.0,0.910797760426452,,,
47,2020-04-17,52.2,70.0,14.4,30.0,0.8630500566877916,,,
48,2020-04-18,50.4,78.3,6.7,30.0,0.7027907813936184,,,
49,2020-04-19,53.1,63.0,9.2,30.1,1.0697355964142732,,,
50,2020-04-20,53.9,56.1,13.3,30.0,1.0217104576103528,,,
51,2020-04-21,56.3,51.4,14.5,30.0,1.3402253471997163,,,
52,2020-04-22,57.4,53.0,9.9,30.1,0.9936050572829072,,,
53,2020-04-23,58.3,57.7,7.0,30.1,0.8248289456452278,,,
54,2020-04-24,57.9,57.0,6.1,30.0,0.9873562765478476,,,
55,2020-04-25,50.6,71.9,10.4,30.0,0.9170428601208718,,,
56,2020-04-26,55.8,59.4,4.8,29.9,1.05656655500632,,,
57,2020-04-27,57.1,58.6,7.3,29.7,1.0337021894365352,,,
58,2020-04-28,48.3,87.8,11.7,29.6,0.984617324971392,,,
59,2020-05-01,52.3,69.8,11.5,29.5,0.9574570017377796,,,
60,2020-05-02,54.6,58.3,9.3,29.8,0.9582350649913994,,,
61,2020-05-03,55.2,63.8,6.3,30.0,0.9735924391158002,,,
62,2020-05-04,55.2,67.3,10.3,30.1,0.9656471111593256,,,
63,2020-05-05,52.0,63.1,16.6,30.1,0.9858963367587258,,,
64,2020-05-06,52.8,63.5,8.8,30.3,1.0150082574033958,,,
65,2020-05-07,59.8,60.4,5.5,30.2,0.9796325890514744,,,
66,2020-05-08,64.7,48.9,4.9,30.0,0.988633114991796,,,
67,2020-05-09,64.1,53.5,8.0,29.9,0.960839961087467,,,
68,2020-05-10,55.4,64.4,10.3,29.8,0.9940307742044092,,,
69,2020-05-11,47.8,51.1,11.9,30.1,1.0153765570496005,,,
70,2020-05-12,50.1,52.1,5.2,30.1,1.0131339154025594,,,
71,2020-05-13,49.6,53.8,9.0,30.0,1.003806949626695,,,
72,2020-05-14,48.1,58.3,8.3,30.2,1.0142020858264893,,,
73,2020-05-15,55.1,52.3,4.5,30.2,1.0040499453192633,,,
74,2020-05-16,56.8,50.4,6.2,30.2,1.023430924389655,,,
75,2020-05-17,60.2,50.6,8.2,30.2,1.0268763956325786,,,
76,2020-05-18,64.0,47.0,11.2,30.2,1.005917236802984,,,
77,2020-05-19,67.8,53.7,8.2,30.2,1.0313193067374908,,,
78,2020-05-20,71.7,48.9,5.9,30.1,1.0865025704072089,,,
79,2020-05-21,72.0,49.5,5.3,30.1,1.0119894471765265,,,
