,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.1,68.4,19.7,28.7,1.0000000148529775,,,
1,2020-03-02,38.3,77.9,11.0,28.9,57.78219303875622,,,
2,2020-03-03,39.2,81.0,13.6,29.2,1.0000000297059557,,,
3,2020-03-04,38.7,83.7,6.0,29.4,18.52063872185984,,,
4,2020-03-05,38.4,86.8,9.1,29.1,1.000000044558934,,,
5,2020-03-06,37.9,75.1,6.3,29.3,1.000000044558934,,,
6,2020-03-07,45.4,80.3,16.0,29.5,1.000000044558934,,,
7,2020-03-08,47.4,76.8,19.5,29.2,1.000000044558934,,,
8,2020-03-09,44.2,80.4,17.6,29.4,1.000000044558934,,,
9,2020-03-10,52.4,83.6,23.5,29.2,1.000000044558934,,,
10,2020-03-11,48.1,74.7,18.4,29.3,1.000000044558934,,,
11,2020-03-12,41.8,68.0,26.0,29.3,4.10584979629784,,,
12,2020-03-13,43.4,78.4,12.7,29.6,3.494882401920513,,,
13,2020-03-14,46.3,84.4,13.8,29.5,1.000000074264892,,,
14,2020-03-15,46.0,81.8,15.6,29.3,3.370375199597316,,,
15,2020-03-16,43.6,72.6,12.1,29.8,1.0000000891178715,,,
16,2020-03-17,49.1,81.5,18.0,29.9,1.0000000891178715,,,
17,2020-03-18,46.2,91.8,9.7,29.9,10.417230338459785,,,
18,2020-03-19,41.9,77.3,5.0,30.0,3.748072244577671,,,
19,2020-03-20,41.8,76.8,12.9,30.1,7.221017272179422,,,
20,2020-03-21,40.3,70.7,13.8,30.0,16.653899813061148,,,
21,2020-03-22,39.7,74.7,11.1,30.0,9.182229585465118,,,
22,2020-03-23,40.8,67.6,8.1,30.0,25.75395502906165,,,
23,2020-03-24,47.3,63.2,10.2,29.9,82.65034247607906,,,
24,2020-03-25,47.6,45.9,6.4,29.9,56.427943090727695,,,
25,2020-03-26,42.3,60.2,7.1,29.9,49.05257688964571,,,
26,2020-03-27,41.3,72.6,10.0,30.0,79.72779897217106,,,
27,2020-03-28,42.2,74.0,15.3,30.1,252.73402510701635,,,
28,2020-03-29,38.7,63.8,14.5,30.4,571.7224797718915,,,
29,2020-03-30,40.4,77.3,9.1,30.3,736.9383640643744,,,
30,2020-03-31,42.1,71.4,7.4,30.1,18.272797757876397,,,
31,2020-04-01,42.4,76.1,9.5,29.9,8.827783380272788,,,
32,2020-04-02,46.8,73.1,14.3,29.6,10.96417954986641,,,
33,2020-04-03,45.4,67.7,8.7,29.7,5.814564529881858,,,
34,2020-04-04,48.5,66.6,9.7,29.7,4.827554003038273,,,
35,2020-04-05,54.8,52.3,13.6,29.5,8.210917944767079,,,
36,2020-04-06,53.8,60.1,14.6,29.6,3.379657529544927,,,
37,2020-04-07,51.6,56.7,6.6,30.0,4.2557105607768175,,,
38,2020-04-08,58.9,50.9,3.2,29.9,4.241079676374151,,,
