,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.1,68.4,19.7,28.7,1.0000000148529775,,,
1,2020-03-02,38.3,77.9,11.0,28.9,1.0000000148529775,,,
2,2020-03-03,39.2,81.0,13.6,29.2,1.0000000148529775,,,
3,2020-03-04,38.7,83.7,6.0,29.4,20.012980011347548,,,
4,2020-03-05,38.4,86.8,9.1,29.1,1.0000000297059557,,,
5,2020-03-06,37.9,75.1,6.3,29.3,8.501807854266822,,,
6,2020-03-07,45.4,80.3,16.0,29.5,1.000000044558934,,,
7,2020-03-08,47.4,76.8,19.5,29.2,4.923010941484932,,,
8,2020-03-09,44.2,80.4,17.6,29.4,6.971636902513676,,,
9,2020-03-10,52.4,83.6,23.5,29.2,1.0000001039708517,,,
10,2020-03-11,48.1,74.7,18.4,29.3,4.727020164936989,,,
11,2020-03-12,41.8,68.0,26.0,29.3,4.564118295318245,,,
12,2020-03-13,43.4,78.4,12.7,29.6,1.8699713469114088,,,
13,2020-03-14,46.3,84.4,13.8,29.5,2.6732064862121705,,,
14,2020-03-15,46.0,81.8,15.6,29.3,1.897149147361315,,,
15,2020-03-16,43.6,72.6,12.1,29.8,5.152830519052658,,,
16,2020-03-17,49.1,81.5,18.0,29.9,2.88344682893244,,,
17,2020-03-18,46.2,91.8,9.7,29.9,5.169490220381173,,,
18,2020-03-19,41.9,77.3,5.0,30.0,8.862677584594465,,,
19,2020-03-20,41.8,76.8,12.9,30.1,9.050580402849084,,,
20,2020-03-21,40.3,70.7,13.8,30.0,15.439235561948475,,,
21,2020-03-22,39.7,74.7,11.1,30.0,12.050878535122004,,,
22,2020-03-23,40.8,67.6,8.1,30.0,22.672628972619812,,,
23,2020-03-24,47.3,63.2,10.2,29.9,41.03130463548551,,,
24,2020-03-25,47.6,45.9,6.4,29.9,100.59993205630306,,,
25,2020-03-26,42.3,60.2,7.1,29.9,91.57759762610868,,,
26,2020-03-27,41.3,72.6,10.0,30.0,72.78161551104586,,,
27,2020-03-28,42.2,74.0,15.3,30.1,228.2321737749733,,,
28,2020-03-29,38.7,63.8,14.5,30.4,654.0682172597944,,,
29,2020-03-30,40.4,77.3,9.1,30.3,14.318403824199104,,,
30,2020-03-31,42.1,71.4,7.4,30.1,6.906465259450759,,,
31,2020-04-01,42.4,76.1,9.5,29.9,10.214289126655178,,,
32,2020-04-02,46.8,73.1,14.3,29.6,4.5683953474447065,,,
33,2020-04-03,45.4,67.7,8.7,29.7,5.593562637713488,,,
34,2020-04-04,48.5,66.6,9.7,29.7,4.3387811662326445,,,
35,2020-04-05,54.8,52.3,13.6,29.5,5.128889150443692,,,
36,2020-04-06,53.8,60.1,14.6,29.6,4.438324107945334,,,
37,2020-04-07,51.6,56.7,6.6,30.0,3.8084329426953456,,,
38,2020-04-08,58.9,50.9,3.2,29.9,2.819685049043186,,,
39,2020-04-09,54.1,71.7,9.8,29.9,2.8289386972642934,,,
40,2020-04-10,56.9,68.0,8.7,29.9,1.8600630025961504,,,
41,2020-04-11,61.1,59.4,6.8,29.8,2.333920895648462,,,
42,2020-04-12,55.6,72.8,7.8,29.6,1.8202246201640693,,,
43,2020-04-13,43.7,60.5,15.5,30.0,1.3559653160708387,,,
44,2020-04-14,44.5,54.0,3.7,30.0,1.4468545858562831,,,
45,2020-04-15,52.3,48.2,5.0,29.8,1.7518345703382685,,,
46,2020-04-16,53.5,53.4,7.0,29.7,2.021788903921606,,,
47,2020-04-17,47.8,74.9,15.0,29.7,1.084576508503343,,,
48,2020-04-18,44.1,83.0,10.2,29.8,1.5159205961830575,,,
49,2020-04-19,47.8,68.3,10.8,29.8,1.3045659403224017,,,
50,2020-04-20,48.7,65.0,15.4,29.8,1.7918721862656,,,
51,2020-04-21,51.1,65.2,16.5,29.8,1.8931720307842277,,,
52,2020-04-22,52.1,68.0,12.0,29.8,1.4218380722279045,,,
53,2020-04-23,53.4,68.2,8.5,29.8,1.4277855261438066,,,
54,2020-04-24,53.1,58.5,6.3,29.7,0.9501591731122514,,,
55,2020-04-25,50.0,70.7,7.0,29.6,1.0003939136672146,,,
56,2020-04-26,56.0,63.1,6.6,29.5,1.2603520734337263,,,
57,2020-04-27,51.2,65.9,5.9,29.4,1.0183631666396646,,,
58,2020-04-28,45.0,88.3,10.0,29.4,0.974790186867856,,,
59,2020-05-01,47.6,77.0,13.1,29.1,0.945311865531192,,,
60,2020-05-02,49.7,69.8,11.1,29.5,0.8899162259229395,,,
61,2020-05-03,49.5,78.6,3.7,29.7,0.9718689935137134,,,
62,2020-05-04,49.7,81.1,9.1,29.8,1.0070343641920791,,,
63,2020-05-05,47.6,68.2,12.2,29.9,0.8972543392208843,,,
64,2020-05-06,49.5,62.3,6.8,30.0,0.864082471992546,,,
65,2020-05-07,56.5,61.1,4.5,29.8,0.9645586296690388,,,
66,2020-05-08,61.6,63.9,5.5,29.7,0.9157369053915252,,,
67,2020-05-09,63.0,61.7,4.8,29.6,0.8484490520578998,,,
68,2020-05-10,48.5,75.0,14.3,29.6,0.970990008880358,,,
69,2020-05-11,42.6,62.7,11.8,29.9,1.0114587484258897,,,
70,2020-05-12,43.6,70.3,10.3,29.8,1.0526461507659128,,,
71,2020-05-13,44.3,61.6,9.3,29.8,1.0312774114145145,,,
72,2020-05-14,45.8,58.7,6.1,29.9,1.005493697654937,,,
73,2020-05-15,48.7,67.0,10.0,29.9,0.97949695352099,,,
74,2020-05-16,51.2,63.2,11.0,29.9,1.0058764519859185,,,
75,2020-05-17,55.0,60.9,10.7,29.9,1.0365948142066002,,,
76,2020-05-18,57.8,66.5,12.7,29.8,1.0784091106666505,,,
77,2020-05-19,62.8,69.9,9.4,29.8,1.0969657522120086,,,
78,2020-05-20,67.1,60.8,6.5,29.8,1.083922732572642,,,
79,2020-05-21,64.3,52.6,8.0,29.7,1.094029310834865,,,
80,2020-05-22,60.7,53.9,21.3,29.5,1.0607075237158552,,,
81,2020-05-23,55.6,58.1,21.8,29.7,1.0862893042351776,,,
82,2020-05-24,58.3,66.8,14.5,30.0,1.099059896964152,,,
83,2020-05-25,60.3,50.7,9.3,30.2,1.0609758066151325,,,
84,2020-05-26,62.1,57.8,7.6,30.2,1.0434661130806422,,,
85,2020-05-27,61.0,59.6,7.5,30.3,1.1135718972088782,,,
86,2020-05-28,60.4,60.6,7.0,30.2,1.1162285049607157,,,
87,2020-05-29,61.9,45.6,9.3,30.0,1.1036564759724503,,,
88,2020-05-30,58.0,63.4,9.5,29.9,1.0468931205381968,,,
89,2020-05-31,61.3,58.8,10.4,29.9,1.0824118692702789,,,
90,2020-06-01,61.6,55.8,8.5,29.9,1.1745571940556914,,,
91,2020-06-02,61.7,53.4,5.2,29.8,1.016902146194916,,,
92,2020-06-03,53.7,81.7,8.0,29.5,1.0939225365675058,,,
93,2020-06-04,50.8,77.6,8.5,29.3,1.099942520060338,,,
94,2020-06-05,50.4,68.0,16.0,29.1,1.055931603589457,,,
95,2020-06-06,50.4,71.4,17.7,29.1,1.0474157793812349,,,
96,2020-06-07,51.1,86.2,8.9,29.5,1.042797029982656,,,
97,2020-06-08,50.9,71.7,6.1,29.8,1.0713453577425551,,,
98,2020-06-09,54.2,67.2,6.6,29.8,1.100711762192123,,,
99,2020-06-10,53.3,82.4,6.4,29.6,1.076454806456047,,,
100,2020-06-11,52.8,91.4,12.2,29.6,1.0511202573439715,,,
101,2020-06-12,55.2,97.6,10.8,29.4,1.002497592980046,,,
102,2020-06-13,62.5,77.4,8.9,29.4,1.0074111397508163,,,
103,2020-06-14,60.4,85.4,7.1,29.6,1.064110263884305,,,
104,2020-06-15,61.0,84.0,5.6,29.7,1.0437149368601006,,,
105,2020-06-16,60.2,87.7,5.7,29.6,1.0478547123832989,,,
106,2020-06-17,58.9,92.5,5.4,29.6,1.0295574508336447,,,
107,2020-06-18,55.5,93.6,6.9,29.5,1.0621383567423162,,,
108,2020-06-19,56.8,83.7,11.5,29.5,1.012371161531056,,,
109,2020-06-20,59.8,76.7,11.1,29.7,1.008159244347349,,,
110,2020-06-21,59.3,74.2,14.6,29.6,1.0403853125877385,,,
111,2020-06-22,61.2,63.8,12.4,29.8,1.0335410260342548,,,
112,2020-06-23,67.3,63.2,8.4,29.8,1.0254510522178166,,,
113,2020-06-24,71.8,63.7,8.1,29.8,1.0661789999666116,,,
114,2020-06-25,72.7,61.2,9.5,29.7,1.0341008329842325,,,
115,2020-06-26,70.9,65.2,8.1,29.4,1.0179395605925714,,,
116,2020-06-27,61.6,76.5,14.7,29.2,1.0160252626885091,,,
117,2020-06-28,57.0,71.5,18.9,29.3,1.0173516677811305,,,
118,2020-06-29,55.0,73.8,20.5,29.4,1.0194316114853186,,,
119,2020-06-30,59.8,72.0,12.6,29.3,1.0180857603076878,,,
120,2020-07-01,60.8,76.9,10.0,29.3,1.018017968817067,,,
121,2020-07-02,57.2,85.6,7.1,29.5,1.0180278513025862,,,
122,2020-07-03,57.5,80.6,16.2,29.6,1.04819408349194,,,
123,2020-07-04,63.1,81.4,16.6,29.4,1.0158501817026793,,,
124,2020-07-05,60.6,65.3,25.3,29.4,0.9995087170722868,,,
125,2020-07-06,57.1,66.5,16.9,29.7,1.0323083748689934,,,
126,2020-07-07,54.9,85.6,7.9,29.7,1.0112538444919708,,,
127,2020-07-08,56.1,95.4,8.0,29.6,1.003191998693279,,,
128,2020-07-09,55.6,95.8,9.4,29.5,1.0031221442649272,,,
129,2020-07-10,55.5,78.8,11.2,29.7,1.0185007882098007,,,
130,2020-07-11,55.5,71.5,11.3,30.0,1.0030491665408694,,,
131,2020-07-12,57.9,64.5,5.7,30.0,1.017042331353844,,,
132,2020-07-13,61.1,74.0,11.4,29.8,1.026561280380227,,,
133,2020-07-14,58.1,73.9,9.8,29.7,1.026587837477191,,,
134,2020-07-15,56.7,85.6,10.3,29.6,1.0114414183020055,,,
135,2020-07-16,61.8,80.8,10.9,29.8,1.0190755779524472,,,
136,2020-07-17,66.6,70.0,11.1,29.8,1.0110666635994712,,,
137,2020-07-18,63.0,78.4,11.9,29.7,1.032253950307474,,,
138,2020-07-19,58.3,69.8,7.4,29.7,1.009207407367949,,,
139,2020-07-20,55.1,69.2,8.5,29.9,1.0181194672298894,,,
140,2020-07-21,57.2,65.5,6.8,29.9,1.0096924355468937,,,
141,2020-07-22,62.8,61.6,9.6,29.8,1.0018835316245331,,,
142,2020-07-23,61.5,75.7,10.8,29.6,1.0168999509245096,,,
143,2020-07-24,64.4,76.0,8.3,29.5,1.0253221350233632,,,
144,2020-07-25,62.8,84.9,12.4,29.3,1.0091579332707987,,,
145,2020-07-26,61.2,73.9,13.5,29.4,1.0386278155695912,,,
146,2020-07-27,60.5,83.3,15.8,29.3,1.070257371234895,,,
147,2020-07-28,57.0,70.1,16.7,29.6,1.0093679975012766,,,
148,2020-07-29,59.7,67.5,10.9,29.8,1.02545542364581,,,
149,2020-07-30,68.2,56.1,6.5,29.7,1.0391072560754435,,,
150,2020-07-31,74.2,55.1,11.5,29.5,1.0023255505177198,,,
151,2020-08-01,63.6,72.6,12.3,29.6,1.0382330985905175,,,
152,2020-08-02,60.1,67.5,10.4,29.6,1.0320378308997338,,,
153,2020-08-03,58.1,66.8,8.4,29.7,1.0175524705449954,,,
154,2020-08-04,58.1,69.7,12.9,29.6,1.0392894688297334,,,
155,2020-08-05,66.6,74.1,17.5,29.5,1.0180556105265457,,,
156,2020-08-06,68.2,79.6,9.7,29.6,1.0102023610083657,,,
157,2020-08-07,73.3,67.1,6.6,29.7,1.0170808851740931,,,
158,2020-08-08,69.3,71.9,9.6,29.8,1.0239075692693844,,,
159,2020-08-09,63.0,84.8,11.1,29.8,1.023643472644146,,,
160,2020-08-10,70.0,73.3,9.8,29.7,1.0398755739403702,,,
161,2020-08-11,72.3,74.5,6.5,29.6,1.0541184969042272,,,
162,2020-08-12,75.9,66.4,7.4,29.6,1.0470550016541902,,,
163,2020-08-13,66.2,83.6,9.0,29.6,1.032342576562678,,,
164,2020-08-14,65.3,79.7,9.6,29.6,1.0385817580505357,,,
165,2020-08-15,62.6,80.1,10.8,29.7,1.031011066927403,,,
166,2020-08-16,60.6,98.8,7.8,29.5,1.0448185776049328,,,
167,2020-08-17,62.7,86.5,5.3,29.4,1.01844575621165,,,
168,2020-08-18,64.3,82.8,10.6,29.4,1.0248228012668144,,,
169,2020-08-19,64.2,92.1,9.7,29.2,1.0676798457960082,,,
170,2020-08-20,66.2,63.3,13.9,29.2,1.101852611391332,,,
171,2020-08-21,64.5,70.5,21.5,29.1,1.0389763059099495,,,
172,2020-08-22,62.3,73.7,18.2,29.4,1.009370617557671,,,
173,2020-08-23,60.1,80.7,14.4,29.6,1.030346600528553,,,
174,2020-08-24,60.3,72.2,9.2,29.6,1.0253099917299242,,,
175,2020-08-25,61.3,86.6,21.0,29.1,1.066623218946564,,,
176,2020-08-26,60.2,78.7,17.9,29.5,1.0537961277049264,,,
177,2020-08-27,55.4,90.0,5.6,29.5,1.0392271011837542,,,
178,2020-08-28,53.7,93.1,9.2,29.3,1.017094817997552,,,
179,2020-08-29,52.1,80.5,13.1,29.5,1.0369299441951023,,,
180,2020-08-30,53.4,70.8,7.9,29.8,1.0640942855803972,,,
181,2020-09-01,56.9,65.1,3.8,29.8,1.1975063802053427,,,
182,2020-09-02,57.9,78.0,10.0,29.7,1.1489477088081907,,,
183,2020-09-03,62.7,79.5,16.3,29.6,1.07013422266371,,,
184,2020-09-04,57.3,72.3,13.3,29.7,1.0499017130270898,,,
185,2020-09-05,55.0,74.6,12.5,29.8,1.1305908154845845,,,
186,2020-09-06,56.3,80.3,8.4,29.8,1.1159215230152797,,,
187,2020-09-07,57.5,86.3,11.2,29.8,1.0819870329027204,,,
188,2020-09-08,66.8,81.1,12.3,29.8,1.0869901804046345,,,
