,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,40.5,85.4,22.1,28.6,,,,
1,2020-03-02,38.9,83.9,15.2,29.0,,,,
2,2020-03-03,40.9,84.7,11.1,29.4,,,,
3,2020-03-04,37.6,84.8,4.8,29.7,,,,
4,2020-03-05,36.5,89.8,2.3,29.5,,,,
5,2020-03-06,36.1,91.0,4.9,29.6,,,,
6,2020-03-07,46.1,91.6,18.4,29.5,,,,
7,2020-03-08,44.6,84.4,16.5,29.3,,,,
8,2020-03-09,43.5,89.4,14.0,29.4,,,,
9,2020-03-10,46.3,84.3,18.4,29.3,1.0000000148529775,,,
10,2020-03-11,42.2,81.3,18.4,29.4,1.0000000148529775,,,
11,2020-03-12,39.5,86.6,17.9,29.3,57.78219303875622,,,
12,2020-03-13,39.3,76.9,9.0,29.9,26.231162329019263,,,
13,2020-03-14,43.5,85.9,13.1,29.6,1.000000044558934,,,
14,2020-03-15,45.6,82.4,17.5,29.4,10.506490332632088,,,
15,2020-03-16,42.3,86.9,14.6,29.9,6.732123524662154,,,
16,2020-03-17,45.4,86.2,14.9,29.9,4.750904161108101,,,
17,2020-03-18,40.5,81.8,12.7,30.1,5.602833136054448,,,
18,2020-03-19,41.2,77.7,6.5,30.3,4.138409133876531,,,
19,2020-03-20,37.3,76.9,7.3,30.5,5.644607173551341,,,
20,2020-03-21,41.4,66.0,11.8,30.4,2.516485834300312,,,
21,2020-03-22,39.3,72.6,5.7,30.3,4.240887938186338,,,
22,2020-03-23,41.9,72.2,8.2,30.1,1.519767654748258,,,
23,2020-03-24,49.3,72.5,15.5,30.0,1.521983123324587,,,
24,2020-03-25,47.9,91.3,10.4,30.1,3.370376401040404,,,
25,2020-03-26,45.6,95.3,7.2,30.3,4.726620166293258,,,
26,2020-03-27,45.0,87.2,7.8,30.4,4.898577501950777,,,
27,2020-03-28,39.8,70.0,9.9,30.7,3.179916622521324,,,
28,2020-03-29,40.6,57.2,9.0,30.9,6.865294047003442,,,
29,2020-03-30,44.0,73.4,6.2,30.7,4.323561115805976,,,
30,2020-03-31,45.0,74.0,7.2,30.5,5.930984086004839,,,
31,2020-04-01,45.6,78.3,11.5,30.1,14.637065633777912,,,
32,2020-04-02,44.5,71.5,15.6,29.8,15.761552630297864,,,
33,2020-04-03,42.1,83.0,9.3,29.9,14.337014303756048,,,
34,2020-04-04,47.3,78.7,10.9,29.9,21.49604541711601,,,
35,2020-04-05,54.0,61.6,12.3,29.7,59.69286374556813,,,
36,2020-04-06,49.9,72.2,18.0,29.8,95.47349046264902,,,
37,2020-04-07,46.3,73.2,9.3,30.3,89.95644035327592,,,
38,2020-04-08,50.7,78.7,9.2,30.2,125.4687945448021,,,
39,2020-04-09,46.1,89.6,10.3,30.3,320.322794999642,,,
40,2020-04-10,51.2,85.3,3.5,30.2,3.5092263878017613,,,
41,2020-04-11,52.7,80.0,9.8,30.1,2.063033127934994,,,
42,2020-04-12,49.0,72.5,9.9,30.0,4.759561392731888,,,
43,2020-04-13,41.6,57.9,7.7,30.4,2.822112541702337,,,
44,2020-04-14,42.3,75.2,8.6,30.3,3.1756878259358654,,,
45,2020-04-15,45.9,80.6,10.1,30.1,4.457445327136293,,,
46,2020-04-16,45.5,77.9,10.9,30.1,2.2575669803805463,,,
47,2020-04-17,47.1,74.9,13.7,30.1,2.3609648300153614,,,
48,2020-04-18,45.6,65.5,14.9,30.1,1.9329461243899648,,,
49,2020-04-19,47.1,72.1,11.6,30.2,2.990355062557147,,,
50,2020-04-20,49.0,66.6,16.6,30.3,1.894079632688872,,,
51,2020-04-21,49.6,66.3,15.9,30.3,1.562038916392129,,,
52,2020-04-22,51.5,68.0,13.2,30.3,2.5167550026448726,,,
53,2020-04-23,51.5,69.0,8.2,30.2,1.7710453816764589,,,
54,2020-04-24,51.1,62.6,4.9,30.0,1.3545294591537524,,,
55,2020-04-25,51.7,73.2,6.9,29.9,1.2783749874856576,,,
56,2020-04-26,48.4,67.5,9.6,29.8,2.094754894021871,,,
57,2020-04-27,45.5,73.6,6.1,29.8,1.7208841443372582,,,
58,2020-04-28,46.1,75.0,7.8,29.7,1.7392053969271104,,,
59,2020-05-01,46.5,82.4,5.3,29.4,1.2046769111224462,,,
60,2020-05-02,49.0,68.6,7.6,29.8,1.2670822458243984,,,
61,2020-05-03,47.5,72.9,4.7,30.0,1.2755919550081871,,,
62,2020-05-04,49.9,66.4,11.1,30.2,1.4404095774914598,,,
63,2020-05-05,48.1,67.8,7.3,30.2,1.0394678358002405,,,
64,2020-05-06,50.3,64.8,3.8,30.3,1.375758838610403,,,
65,2020-05-07,50.0,73.7,5.1,30.1,1.040211786467868,,,
66,2020-05-08,57.2,74.6,7.1,30.0,1.1533448293400137,,,
67,2020-05-09,57.7,76.4,5.7,29.9,1.1466055083405469,,,
68,2020-05-10,45.1,62.6,15.1,30.1,1.1922963451213286,,,
69,2020-05-11,44.8,51.2,9.0,30.3,1.0900776017036038,,,
70,2020-05-12,46.7,69.8,10.4,30.1,1.0350172045944983,,,
71,2020-05-13,44.2,54.8,5.4,30.1,0.9222194141801848,,,
72,2020-05-14,45.1,71.8,8.8,30.2,1.029894578083988,,,
73,2020-05-15,48.9,70.7,10.1,30.2,1.0679783102182132,,,
74,2020-05-16,51.1,73.0,12.3,30.1,0.9895942011842715,,,
75,2020-05-17,51.8,91.2,11.9,30.0,1.0354572144072032,,,
76,2020-05-18,54.0,87.9,11.4,30.0,1.0123593266952895,,,
77,2020-05-19,56.6,89.1,7.6,30.1,0.9752723840232672,,,
78,2020-05-20,59.3,81.1,5.3,30.1,1.0283536719438926,,,
79,2020-05-21,52.3,77.8,5.2,30.0,0.943261528837799,,,
80,2020-05-22,54.5,74.2,21.5,29.5,0.9289564661221926,,,
81,2020-05-23,50.2,82.7,26.4,29.7,0.9376618436829008,,,
82,2020-05-24,53.9,83.9,14.0,30.2,0.992220286490774,,,
83,2020-05-25,53.4,77.6,7.7,30.4,1.0826509561221105,,,
84,2020-05-26,55.0,70.9,8.8,30.5,1.0282298883994534,,,
85,2020-05-27,55.6,65.5,4.6,30.6,1.0116619592648173,,,
86,2020-05-28,62.1,67.0,3.7,30.5,1.0057805728311997,,,
87,2020-05-29,64.4,62.9,5.7,30.3,1.009129843093612,,,
88,2020-05-30,61.5,65.4,9.8,30.2,1.0055353649092822,,,
89,2020-05-31,60.6,62.2,11.0,30.3,1.0263103990193032,,,
90,2020-06-01,62.7,59.8,4.4,30.3,1.0256456367734594,,,
91,2020-06-02,60.7,72.8,5.1,30.1,1.011251225693995,,,
92,2020-06-03,54.7,63.3,9.0,29.9,1.0129748153209848,,,
93,2020-06-04,51.9,76.3,7.5,29.6,0.999488784213,,,
94,2020-06-05,49.2,69.9,15.2,29.4,1.0231868342217765,,,
95,2020-06-06,56.8,66.0,9.6,29.4,1.013232218756115,,,
96,2020-06-07,56.4,66.1,9.4,29.8,1.02964647785927,,,
97,2020-06-08,53.2,58.3,7.2,30.1,1.0145441897092795,,,
98,2020-06-09,51.4,73.9,6.1,30.1,1.012169339879292,,,
99,2020-06-10,51.8,92.8,9.4,29.9,1.0021754849531042,,,
100,2020-06-11,54.7,71.4,13.2,30.2,1.0138241042984184,,,
101,2020-06-12,58.8,68.1,12.8,29.9,1.0034665375552425,,,
102,2020-06-13,56.8,90.3,11.1,29.9,1.00703528618332,,,
103,2020-06-14,61.4,81.9,8.4,30.0,1.007853644005146,,,
104,2020-06-15,61.8,82.8,7.7,30.0,1.0066759868513124,,,
105,2020-06-16,63.2,79.8,4.7,29.9,1.016047815924217,,,
106,2020-06-17,62.7,74.1,8.1,29.9,1.0091221588960977,,,
107,2020-06-18,59.8,72.9,11.0,29.9,1.0124403425136743,,,
108,2020-06-19,58.9,83.8,8.4,29.8,1.02305517374417,,,
109,2020-06-20,60.8,68.0,9.8,29.9,1.009830506907122,,,
110,2020-06-21,57.4,80.6,13.3,29.8,1.010172774156383,,,
111,2020-06-22,55.6,87.9,10.0,29.9,1.0037620684719346,,,
112,2020-06-23,59.5,88.6,7.2,30.0,1.0034812587489714,,,
113,2020-06-24,63.4,75.8,6.5,30.1,1.000749111433291,,,
114,2020-06-25,67.5,75.5,9.2,30.0,1.0014352607135617,,,
115,2020-06-26,63.9,84.3,7.5,29.7,1.0046626902489586,,,
116,2020-06-27,58.7,82.6,8.4,29.4,1.0082920786629843,,,
117,2020-06-28,54.4,92.3,18.6,29.3,1.0062040205570737,,,
118,2020-06-29,55.1,89.0,16.4,29.4,1.007035097940373,,,
119,2020-06-30,57.2,83.1,9.5,29.5,1.0038424411265954,,,
120,2020-07-01,54.3,86.5,8.1,29.6,1.0001882516861265,,,
121,2020-07-02,55.5,69.9,6.4,29.8,1.0008007767458778,,,
122,2020-07-03,52.8,91.0,8.0,29.6,1.001821626702101,,,
123,2020-07-04,53.8,88.1,6.5,29.6,1.001677063176173,,,
124,2020-07-05,54.6,83.3,16.9,29.5,1.014926520663192,,,
125,2020-07-06,55.6,70.7,12.8,29.9,1.0141772392357775,,,
126,2020-07-07,54.3,82.5,6.2,30.0,1.0136221422800782,,,
127,2020-07-08,55.7,81.5,6.8,29.9,1.000480572113546,,,
128,2020-07-09,57.5,76.8,6.4,29.9,1.0016646081401266,,,
129,2020-07-10,55.7,72.2,11.0,30.0,1.0034970088012056,,,
130,2020-07-11,55.4,74.3,10.3,30.2,1.0023267376423055,,,
131,2020-07-12,57.8,72.8,9.7,30.2,1.0367999999160786,,,
132,2020-07-13,59.3,83.3,13.2,30.0,1.0023009294798206,,,
133,2020-07-14,55.8,81.7,10.1,29.9,1.001971837276069,,,
134,2020-07-15,57.2,86.2,9.6,29.9,1.0349457448522617,,,
135,2020-07-16,60.4,84.3,12.0,30.0,1.03383195055237,,,
136,2020-07-17,59.1,84.6,9.8,29.9,1.013041191251073,,,
137,2020-07-18,56.7,74.2,11.3,29.9,1.003197343801942,,,
