,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,42.8,80.8,16.3,28.9,1.0000000148529775,,,
1,2020-03-02,41.0,83.4,12.6,29.0,1.0000000148529775,,,
2,2020-03-03,43.9,79.8,12.7,29.4,1.0000000148529775,,,
3,2020-03-04,42.1,94.0,11.0,29.4,1.0000000148529775,,,
4,2020-03-05,40.9,89.2,13.7,29.2,1.0000000148529775,,,
5,2020-03-06,39.5,90.1,7.1,29.5,1.0000000148529775,,,
6,2020-03-07,47.4,89.8,10.8,29.7,1.0000000148529775,,,
7,2020-03-08,47.2,86.5,17.1,29.4,1.0000000148529775,,,
8,2020-03-09,46.7,88.1,15.8,29.6,1.0000000148529775,,,
9,2020-03-10,49.8,99.3,23.8,29.4,7.211699318953341,,,
10,2020-03-11,48.8,89.3,15.3,28.9,11.206337867904669,,,
11,2020-03-12,44.4,75.6,22.6,29.6,4.479884719261507,,,
12,2020-03-13,46.3,80.8,13.7,29.8,1.000000222794709,,,
13,2020-03-14,47.9,94.9,10.7,29.6,2.0092926976743,,,
14,2020-03-15,46.0,90.8,11.0,29.5,1.000000237647693,,,
15,2020-03-16,42.8,84.1,9.7,29.9,3.6158978531651975,,,
16,2020-03-17,49.6,88.7,8.9,30.1,4.022879990462959,,,
17,2020-03-18,49.5,97.3,9.7,30.0,7.7394366265943235,,,
18,2020-03-19,40.8,97.5,16.1,30.1,9.05057852085539,,,
19,2020-03-20,43.9,74.1,21.0,30.1,6.45482078139664,,,
20,2020-03-21,44.0,64.4,20.4,30.0,18.68139933016752,,,
21,2020-03-22,44.6,67.0,16.8,30.0,40.897327371219376,,,
22,2020-03-23,44.5,69.1,11.5,30.0,74.03955599257462,,,
23,2020-03-24,47.2,74.7,9.7,30.0,82.76111267501388,,,
24,2020-03-25,46.7,63.0,7.5,30.0,116.60558125390372,,,
25,2020-03-26,46.3,50.9,10.4,30.0,316.2148729295062,,,
26,2020-03-27,45.4,61.0,13.6,30.0,281.4693920953934,,,
27,2020-03-28,45.1,63.4,19.6,30.2,757.9653545544058,,,
28,2020-03-29,42.1,53.9,19.4,30.4,26.307326984304968,,,
29,2020-03-30,42.9,65.4,11.7,30.4,6.962560179518313,,,
30,2020-03-31,45.2,64.9,13.3,30.2,11.294797521173376,,,
31,2020-04-01,42.5,71.8,6.8,30.0,6.563914225464761,,,
32,2020-04-02,46.6,84.3,11.8,29.8,11.151024819140073,,,
33,2020-04-03,47.4,82.8,9.1,29.8,9.961499520824107,,,
34,2020-04-04,49.4,80.7,8.3,29.8,5.205296381897172,,,
35,2020-04-05,53.6,70.3,13.9,29.6,5.673419004179982,,,
36,2020-04-06,50.8,85.2,11.0,29.8,5.464599728421293,,,
37,2020-04-07,50.3,73.5,5.3,30.1,6.310350371177853,,,
38,2020-04-08,59.0,57.9,5.3,30.0,4.765777096088874,,,
39,2020-04-09,60.3,64.3,7.2,30.0,3.363450806318561,,,
40,2020-04-10,60.5,62.6,9.4,30.0,1.638341441799521,,,
41,2020-04-11,59.1,66.0,6.1,29.9,2.2344674655401717,,,
42,2020-04-12,56.0,78.9,6.4,29.7,1.675307729726712,,,
43,2020-04-13,48.6,63.0,21.7,30.0,1.2867950075913437,,,
44,2020-04-14,45.1,63.0,8.7,30.1,1.7466123678422854,,,
45,2020-04-15,50.0,65.1,8.8,29.9,1.5275827177485528,,,
46,2020-04-16,55.3,60.3,9.6,29.7,1.1858633067046336,,,
47,2020-04-17,51.5,87.7,16.4,29.7,0.9093262373037998,,,
48,2020-04-18,46.9,89.9,13.1,29.8,0.9519135150080704,,,
49,2020-04-19,53.6,72.3,12.6,29.9,0.7344219468384005,,,
50,2020-04-20,53.2,59.0,20.1,29.8,1.008091632670954,,,
51,2020-04-21,55.8,55.5,18.6,29.8,0.930385361123019,,,
52,2020-04-22,57.5,59.0,13.8,29.9,1.0878732919753835,,,
53,2020-04-23,58.1,60.2,10.7,29.9,0.9658356593061088,,,
54,2020-04-24,58.1,65.0,8.6,29.7,0.6588506466129387,,,
55,2020-04-25,56.4,69.4,7.8,29.7,0.7125673281100464,,,
56,2020-04-26,53.8,75.9,5.8,29.6,0.7181645828699728,,,
57,2020-04-27,52.9,82.4,5.8,29.5,0.821961591730864,,,
58,2020-04-28,48.4,92.3,10.8,29.4,0.9857689550377045,,,
59,2020-05-01,51.3,81.7,16.2,29.3,0.7623579078056668,,,
60,2020-05-02,49.0,79.5,9.0,29.6,0.7089423933651579,,,
61,2020-05-03,50.2,91.8,7.6,29.7,0.8956436657424861,,,
62,2020-05-04,55.3,74.1,13.4,29.8,0.8838544689299472,,,
63,2020-05-05,52.2,65.7,19.0,29.8,0.8030291979161338,,,
64,2020-05-06,53.9,61.5,10.2,30.0,0.8740704027324516,,,
65,2020-05-07,56.6,70.4,6.2,29.9,0.901646421454534,,,
66,2020-05-08,60.4,69.5,4.4,29.8,0.9314391664884208,,,
67,2020-05-09,63.7,68.2,6.2,29.6,0.9781211712992798,,,
68,2020-05-10,54.8,71.5,16.5,29.6,0.99297234397144,,,
69,2020-05-11,46.6,51.9,18.6,29.9,0.9293431688874628,,,
70,2020-05-12,46.9,64.6,6.9,29.9,1.0162897176978851,,,
71,2020-05-13,48.5,59.0,11.7,29.8,0.9863796162710782,,,
72,2020-05-14,47.6,58.5,9.7,30.0,1.041084722915249,,,
73,2020-05-15,50.5,65.0,10.0,30.0,1.0050099090555895,,,
74,2020-05-16,52.7,69.4,9.7,30.0,1.0107317046663329,,,
75,2020-05-17,53.0,82.3,11.3,30.0,1.1326003259545452,,,
76,2020-05-18,54.9,77.9,14.3,30.0,1.1139748574980606,,,
77,2020-05-19,55.8,88.2,12.7,30.0,1.041177175995028,,,
78,2020-05-20,59.5,72.0,6.0,29.9,1.0500859755803458,,,
79,2020-05-21,59.9,73.8,9.1,29.8,1.021325155118207,,,
80,2020-05-22,58.3,73.8,17.7,29.7,1.1283064093545243,,,
81,2020-05-23,55.6,75.4,21.9,30.0,1.0297263142121729,,,
82,2020-05-24,55.5,81.5,15.8,30.2,1.0645575059839425,,,
83,2020-05-25,56.8,71.9,6.4,30.3,1.0245086352708013,,,
84,2020-05-26,58.0,80.1,8.4,30.4,1.035247751447136,,,
85,2020-05-27,65.1,64.0,7.0,30.3,1.0372083740192837,,,
86,2020-05-28,65.9,54.7,11.0,30.2,1.043231491315243,,,
87,2020-05-29,64.7,48.6,9.3,30.1,1.003991943484502,,,
88,2020-05-30,65.0,45.7,9.1,29.9,1.0055585841495804,,,
89,2020-05-31,67.0,44.9,12.3,29.9,1.0272858804294789,,,
90,2020-06-01,66.0,49.4,10.2,30.0,1.0337724534485078,,,
91,2020-06-02,65.8,56.1,8.8,29.9,1.0143170120887808,,,
92,2020-06-03,57.6,86.0,9.2,29.6,1.0121593411245875,,,
93,2020-06-04,53.2,80.2,11.7,29.4,1.0302795825675566,,,
94,2020-06-05,53.6,74.5,14.9,29.3,1.0176673005080128,,,
95,2020-06-06,49.8,82.4,18.5,29.4,1.0131945130084756,,,
96,2020-06-07,55.2,80.6,9.7,29.6,1.0427994026717302,,,
97,2020-06-08,56.3,80.3,8.8,29.8,1.0282745396832809,,,
98,2020-06-09,54.7,74.5,9.8,29.9,1.0183246059246167,,,
99,2020-06-10,55.1,82.8,7.7,29.7,1.0279494666551958,,,
100,2020-06-11,57.0,83.2,19.2,29.6,1.006254305278715,,,
101,2020-06-12,59.5,84.9,15.6,29.4,1.0013465062968483,,,
102,2020-06-13,59.6,83.8,9.7,29.5,1.002578438247003,,,
103,2020-06-14,60.6,83.3,7.4,29.7,1.0083692805978095,,,
104,2020-06-15,59.9,83.9,5.3,29.8,1.014867617705742,,,
105,2020-06-16,61.3,85.2,5.1,29.7,1.011115459135247,,,
106,2020-06-17,60.2,90.0,5.6,29.7,1.0125933932419695,,,
107,2020-06-18,57.8,99.8,6.9,29.6,1.0068755388806236,,,
