,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.5,66.4,17.0,28.7,,,,
1,2020-03-02,37.7,79.6,8.2,28.9,1.000000044558934,,,
2,2020-03-03,39.2,86.3,9.2,29.2,45.3774312574198,,,
3,2020-03-04,39.5,82.4,2.9,29.4,1.0000000594119127,,,
4,2020-03-05,37.9,77.0,6.9,29.2,1.0000000594119127,,,
5,2020-03-06,37.0,79.9,3.5,29.4,1.0000000594119127,,,
6,2020-03-07,46.4,82.3,9.8,29.5,1.0000000594119127,,,
7,2020-03-08,46.4,83.0,12.3,29.3,1.0000000594119127,,,
8,2020-03-09,44.6,85.4,13.6,29.4,10.645182146633983,,,
9,2020-03-10,51.6,85.0,13.2,29.3,1.0000001039708517,,,
10,2020-03-11,46.3,79.1,12.7,29.3,5.707613626549899,,,
11,2020-03-12,42.0,68.8,19.1,29.4,3.322303550134693,,,
12,2020-03-13,44.1,77.2,9.2,29.7,1.9915483992017935,,,
13,2020-03-14,47.2,83.3,8.1,29.5,2.656453686436475,,,
14,2020-03-15,46.6,80.9,10.5,29.4,1.779651092421584,,,
15,2020-03-16,45.3,70.8,8.7,29.8,1.000000237647693,,,
16,2020-03-17,51.8,79.1,12.4,29.9,4.386251224179084,,,
17,2020-03-18,45.3,86.7,7.6,29.9,3.583789414385407,,,
18,2020-03-19,43.3,72.0,2.6,30.1,5.178786399945428,,,
19,2020-03-20,42.2,67.8,10.1,30.2,3.615898819888991,,,
20,2020-03-21,42.0,60.7,9.2,30.1,7.0457623001307415,,,
21,2020-03-22,41.3,66.4,5.8,30.1,5.043664066295046,,,
22,2020-03-23,44.3,56.5,5.0,30.0,10.39234647778591,,,
23,2020-03-24,49.8,62.4,6.2,29.9,12.688908703902468,,,
24,2020-03-25,51.1,51.3,3.7,29.9,22.841745425410988,,,
25,2020-03-26,46.4,50.4,4.0,30.0,17.778817660543957,,,
26,2020-03-27,42.4,58.4,6.7,30.1,40.27601736049135,,,
27,2020-03-28,43.6,66.8,15.7,30.3,39.44209507352381,,,
28,2020-03-29,39.7,57.8,15.4,30.5,134.1216898006366,,,
29,2020-03-30,41.0,67.8,7.4,30.3,163.49883110411332,,,
30,2020-03-31,43.8,74.6,6.6,30.2,585.3118752521253,,,
31,2020-04-01,44.0,78.1,7.6,29.9,950.0324462267464,,,
32,2020-04-02,46.9,78.7,13.3,29.7,14.650610473073854,,,
33,2020-04-03,45.6,71.8,6.9,29.7,4.4395904377513045,,,
34,2020-04-04,47.9,73.7,4.7,29.8,6.785508978052855,,,
35,2020-04-05,57.3,47.5,8.9,29.6,4.018749769426633,,,
36,2020-04-06,52.6,66.6,9.7,29.7,4.733314410089752,,,
37,2020-04-07,49.4,65.5,4.4,30.1,7.243820251767964,,,
38,2020-04-08,54.8,65.3,3.8,30.0,2.928225613304538,,,
39,2020-04-09,54.0,74.0,4.8,30.0,2.863072753971541,,,
40,2020-04-10,58.5,65.4,4.6,29.9,2.411658438788306,,,
41,2020-04-11,58.6,69.4,5.4,29.9,1.7020067912959735,,,
42,2020-04-12,52.7,82.2,6.3,29.7,1.455664690068319,,,
43,2020-04-13,44.2,56.6,11.3,30.1,2.254032448310816,,,
44,2020-04-14,42.6,64.1,2.9,30.1,1.1060675718242408,,,
45,2020-04-15,48.9,61.5,2.5,29.9,1.3828008022560387,,,
46,2020-04-16,53.2,52.7,6.1,29.8,0.79460554244169,,,
47,2020-04-17,49.6,66.0,9.4,29.8,1.507649280550074,,,
48,2020-04-18,45.3,75.0,4.0,29.8,0.8714045808437473,,,
49,2020-04-19,48.8,60.0,6.7,29.9,1.398310203777468,,,
50,2020-04-20,49.0,60.2,11.0,29.9,1.42702031700529,,,
51,2020-04-21,52.3,59.3,11.8,29.9,1.3830118011024335,,,
52,2020-04-22,53.9,61.7,8.8,29.9,1.012802612525792,,,
53,2020-04-23,54.6,62.1,6.1,29.9,1.1933299769524273,,,
54,2020-04-24,54.7,57.9,3.1,29.7,1.060509599912554,,,
55,2020-04-25,53.6,62.5,3.5,29.7,0.9345434200225534,,,
56,2020-04-26,54.4,67.6,5.2,29.6,1.067932492222415,,,
57,2020-04-27,51.0,62.4,4.9,29.5,1.0807056613722656,,,
58,2020-04-28,46.5,75.5,4.7,29.4,1.2654906878553651,,,
59,2020-05-01,49.1,75.6,10.5,29.2,1.0495784927021703,,,
60,2020-05-02,49.3,76.9,7.1,29.5,1.0275484936969563,,,
61,2020-05-03,49.3,76.9,2.4,29.7,1.0381684076692148,,,
62,2020-05-04,52.0,70.7,7.4,29.9,1.0126648582746594,,,
63,2020-05-05,49.6,60.6,8.1,29.9,0.9470380825239986,,,
64,2020-05-06,50.9,57.8,3.2,30.0,0.9875312525601666,,,
65,2020-05-07,56.3,61.1,3.8,29.9,1.0773271749205038,,,
66,2020-05-08,58.2,73.0,3.4,29.8,0.9631010509380858,,,
67,2020-05-09,60.6,67.3,3.5,29.6,0.9155471528312288,,,
68,2020-05-10,48.4,69.4,14.4,29.7,1.083406985733675,,,
69,2020-05-11,43.4,57.9,11.7,30.0,1.104726571541635,,,
70,2020-05-12,43.9,75.2,8.0,29.9,1.032587736219807,,,
71,2020-05-13,45.4,57.4,8.6,29.8,1.0245373721347462,,,
72,2020-05-14,44.8,62.9,5.3,30.0,1.0443099458399507,,,
73,2020-05-15,47.1,73.7,7.5,30.0,1.078070351638396,,,
74,2020-05-16,50.3,68.0,7.4,29.9,1.0463589933395112,,,
75,2020-05-17,54.4,67.6,7.7,29.9,1.208491954973101,,,
76,2020-05-18,55.8,74.3,8.5,29.9,1.2697041412906342,,,
77,2020-05-19,59.6,76.8,6.3,29.9,1.0692453110174605,,,
78,2020-05-20,62.7,68.6,4.0,29.8,1.0569336690845332,,,
79,2020-05-21,60.4,62.4,5.2,29.8,1.087814062180679,,,
80,2020-05-22,59.8,55.4,16.7,29.6,1.042233662701961,,,
81,2020-05-23,55.4,59.4,16.7,29.8,1.0472498420869871,,,
82,2020-05-24,56.5,71.3,13.1,30.1,1.0621350965471186,,,
83,2020-05-25,58.0,56.5,6.4,30.2,1.0804222541645712,,,
84,2020-05-26,58.2,66.3,5.6,30.3,1.0371209017917535,,,
85,2020-05-27,59.4,60.9,4.3,30.3,1.086539830059057,,,
86,2020-05-28,62.9,56.1,3.3,30.2,1.0487903312846878,,,
87,2020-05-29,64.8,41.7,5.0,30.1,1.0814001556663255,,,
88,2020-05-30,62.2,46.0,5.7,30.0,1.0564407762510548,,,
89,2020-05-31,63.8,46.8,7.1,30.0,1.0892882665634651,,,
90,2020-06-01,63.5,48.1,6.3,30.0,1.063497627394746,,,
91,2020-06-02,62.6,49.2,5.4,29.8,1.01331321825132,,,
92,2020-06-03,54.6,78.4,9.7,29.6,1.0235256810379938,,,
93,2020-06-04,50.9,79.6,7.9,29.4,1.0164099960013977,,,
94,2020-06-05,50.4,69.6,15.9,29.1,1.014606988528321,,,
95,2020-06-06,54.5,73.1,12.9,29.2,1.030973076282954,,,
96,2020-06-07,54.3,81.5,8.0,29.5,1.0539664999706786,,,
97,2020-06-08,57.3,59.5,3.9,29.8,1.066925787797875,,,
98,2020-06-09,55.4,65.2,4.5,29.8,1.058065047211186,,,
99,2020-06-10,54.3,82.1,3.7,29.7,1.0317752041312485,,,
100,2020-06-11,54.5,80.6,14.7,29.7,1.0592614072845803,,,
101,2020-06-12,57.9,83.9,13.3,29.5,1.0565517066238912,,,
102,2020-06-13,64.4,70.7,6.1,29.5,1.0195733664634967,,,
103,2020-06-14,63.3,73.0,4.7,29.7,1.0195118042781073,,,
104,2020-06-15,63.5,78.8,4.1,29.7,1.0416124882052755,,,
105,2020-06-16,61.3,92.0,4.3,29.7,1.052989628463074,,,
106,2020-06-17,61.0,87.0,3.4,29.6,1.0313498562773775,,,
107,2020-06-18,56.2,96.5,5.9,29.6,1.0277028487526865,,,
108,2020-06-19,56.4,88.7,6.2,29.6,1.0319818794306734,,,
109,2020-06-20,60.5,74.0,5.8,29.7,1.0072835563626674,,,
110,2020-06-21,60.1,71.7,11.4,29.7,1.03060869739724,,,
111,2020-06-22,60.6,68.3,7.4,29.9,1.0119719847391186,,,
112,2020-06-23,67.6,65.3,6.4,29.9,1.0151328167409952,,,
113,2020-06-24,73.5,59.3,3.8,29.9,1.0009434195049756,,,
114,2020-06-25,75.2,53.9,5.5,29.7,1.002137890081753,,,
115,2020-06-26,70.8,67.3,5.7,29.5,1.016876724034991,,,
116,2020-06-27,59.9,84.8,7.9,29.3,1.0114822139838726,,,
117,2020-06-28,55.7,77.3,14.8,29.4,1.0180567644546277,,,
118,2020-06-29,54.3,87.1,13.7,29.4,1.024821829493187,,,
119,2020-06-30,57.7,81.9,6.4,29.4,1.0302133484695264,,,
120,2020-07-01,58.6,87.1,4.7,29.4,1.0093568390419416,,,
121,2020-07-02,57.4,87.8,4.8,29.6,1.011497529052855,,,
122,2020-07-03,57.7,85.7,10.2,29.6,1.0175387635720994,,,
123,2020-07-04,61.6,89.1,9.1,29.4,1.0248509128823675,,,
124,2020-07-05,58.7,73.4,18.6,29.4,1.017465976777468,,,
125,2020-07-06,56.6,74.3,13.6,29.8,1.0023004942995557,,,
126,2020-07-07,54.1,91.4,4.6,29.8,1.0227147369809262,,,
127,2020-07-08,56.1,91.2,5.5,29.6,1.0215580575557988,,,
