,Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi
0,2020-03-01,41.4,70.9,10.7,28.8,,,,
1,2020-03-02,39.0,75.4,7.1,28.9,,,,
2,2020-03-03,40.8,75.3,8.2,29.2,,,,
3,2020-03-04,38.5,86.8,5.2,29.4,,,,
4,2020-03-05,39.1,87.9,9.3,29.1,,,,
5,2020-03-06,39.1,74.2,3.3,29.3,,,,
6,2020-03-07,46.2,81.2,9.6,29.5,,,,
7,2020-03-08,48.5,72.8,12.5,29.2,,,,
8,2020-03-09,44.5,80.6,10.6,29.4,,,,
9,2020-03-10,53.4,84.0,11.4,29.2,,,,
10,2020-03-11,48.9,77.4,11.2,29.3,,,,
11,2020-03-12,42.6,66.1,13.3,29.4,,,,
12,2020-03-13,43.3,80.6,8.5,29.6,,,,
13,2020-03-14,46.6,89.1,10.1,29.5,,,,
14,2020-03-15,46.8,83.2,9.3,29.4,,,,
15,2020-03-16,44.2,69.7,6.8,29.8,1.0000000297059557,,,
16,2020-03-17,49.5,84.0,10.7,29.9,107.50583653141268,,,
17,2020-03-18,46.7,93.2,8.2,29.9,33.44696994738445,,,
18,2020-03-19,41.5,83.4,7.1,30.0,10.461686678167569,,,
19,2020-03-20,42.3,78.2,11.5,30.1,1.0000001188238323,,,
20,2020-03-21,41.9,63.9,12.7,30.0,8.605193044864519,,,
21,2020-03-22,41.1,68.3,8.7,30.0,9.18874908886932,,,
22,2020-03-23,40.9,67.8,6.4,29.9,3.8131787094811633,,,
23,2020-03-24,45.5,71.7,7.6,29.9,3.0457041344152342,,,
24,2020-03-25,45.8,54.5,5.3,29.9,5.393773929719429,,,
25,2020-03-26,43.9,53.0,6.1,29.9,2.032135462939851,,,
26,2020-03-27,41.8,71.3,9.9,29.9,3.343660582622438,,,
27,2020-03-28,42.2,73.2,14.2,30.1,3.662159043713502,,,
28,2020-03-29,39.7,60.4,15.9,30.4,3.772094294752722,,,
29,2020-03-30,40.9,74.2,9.6,30.2,2.105897095822568,,,
30,2020-03-31,42.3,72.1,7.9,30.1,3.23492826837671,,,
31,2020-04-01,42.7,69.6,7.6,29.9,3.849771129064965,,,
32,2020-04-02,48.5,68.1,10.2,29.6,2.643273525655112,,,
33,2020-04-03,47.3,62.7,6.1,29.7,2.42685641570842,,,
34,2020-04-04,46.2,75.2,6.7,29.7,2.7273635651674244,,,
35,2020-04-05,54.0,56.8,12.8,29.5,3.527293568160645,,,
36,2020-04-06,54.1,63.0,9.0,29.6,4.756943365112109,,,
37,2020-04-07,50.1,62.1,4.4,30.0,5.5098992127355215,,,
38,2020-04-08,57.7,57.1,2.2,29.9,9.190662285546937,,,
39,2020-04-09,57.3,66.4,6.8,29.9,13.106795319700598,,,
40,2020-04-10,57.5,67.8,6.0,29.9,17.74514286440059,,,
41,2020-04-11,60.9,59.8,5.0,29.8,14.956694829694635,,,
42,2020-04-12,57.3,70.9,6.0,29.6,36.93470825762009,,,
43,2020-04-13,44.5,62.6,13.9,30.0,22.96954830533709,,,
44,2020-04-14,44.5,57.3,3.7,30.0,143.6808108350494,,,
45,2020-04-15,49.0,58.4,3.8,29.8,277.2855997893441,,,
46,2020-04-16,53.6,56.9,5.8,29.7,2.7695541411462585,,,
47,2020-04-17,49.2,73.6,11.9,29.7,3.869486340678612,,,
48,2020-04-18,45.2,85.8,7.4,29.7,3.5642214564799373,,,
49,2020-04-19,49.2,67.6,9.0,29.8,2.3587998292675074,,,
50,2020-04-20,49.3,65.1,12.5,29.8,3.167101111776346,,,
51,2020-04-21,51.7,65.6,12.0,29.7,4.434899282310289,,,
52,2020-04-22,53.3,65.6,9.8,29.8,1.8352965907035883,,,
53,2020-04-23,54.3,66.9,6.7,29.8,1.523478680719732,,,
54,2020-04-24,54.8,59.2,5.2,29.7,2.719596409554557,,,
55,2020-04-25,49.6,71.8,5.6,29.6,2.106491225186172,,,
56,2020-04-26,55.1,64.1,5.2,29.5,1.5959703770968332,,,
57,2020-04-27,52.7,63.3,7.2,29.4,1.8827962365814117,,,
58,2020-04-28,45.8,85.7,8.0,29.4,1.780101198247865,,,
59,2020-05-01,48.9,73.3,8.1,29.1,1.1668513276273742,,,
60,2020-05-02,50.5,63.9,6.9,29.5,1.4667084953759169,,,
61,2020-05-03,50.9,71.9,3.3,29.6,1.5177633422592298,,,
62,2020-05-04,50.8,77.9,7.9,29.8,1.3047001569630847,,,
63,2020-05-05,49.9,63.6,12.1,29.8,1.1246832081379314,,,
64,2020-05-06,50.3,61.7,5.7,29.9,1.1319755015607518,,,
65,2020-05-07,56.7,64.3,4.7,29.8,1.206296294280542,,,
66,2020-05-08,61.6,70.8,3.7,29.7,1.012790194786278,,,
67,2020-05-09,62.9,69.7,5.2,29.6,1.0945715977747452,,,
68,2020-05-10,50.6,73.5,13.4,29.6,1.0244152729400695,,,
69,2020-05-11,43.4,60.2,12.8,29.8,1.3269336734414887,,,
70,2020-05-12,46.2,61.8,7.8,29.8,1.1649793216426223,,,
71,2020-05-13,45.4,59.9,9.2,29.7,1.0624381647408494,,,
72,2020-05-14,46.8,56.1,7.1,29.9,1.043885113028297,,,
73,2020-05-15,50.2,63.4,9.3,29.9,0.9791236130326454,,,
74,2020-05-16,53.0,56.8,6.7,29.9,0.9961243692925014,,,
75,2020-05-17,55.0,63.5,6.3,29.9,1.073560822145051,,,
76,2020-05-18,58.4,65.0,7.9,29.8,1.0195359542051488,,,
77,2020-05-19,64.0,62.2,7.2,29.8,1.0261472728936651,,,
78,2020-05-20,65.9,59.0,5.5,29.8,1.0254508005276624,,,
79,2020-05-21,62.6,59.0,5.7,29.7,0.981765998906198,,,
80,2020-05-22,60.0,58.3,13.4,29.6,0.9915331841495236,,,
81,2020-05-23,55.7,58.6,12.5,29.8,0.9818264872051846,,,
82,2020-05-24,60.0,59.4,9.6,30.0,0.9744922032264464,,,
83,2020-05-25,60.6,49.5,6.5,30.2,0.9864716470639946,,,
84,2020-05-26,62.6,58.6,6.4,30.2,0.9823699248925664,,,
85,2020-05-27,63.4,54.4,7.0,30.2,1.0114856012983242,,,
86,2020-05-28,61.2,59.3,6.6,30.2,0.9842499575775608,,,
87,2020-05-29,62.6,45.7,7.8,30.0,0.9899534352070676,,,
88,2020-05-30,62.3,51.8,8.6,29.9,0.9992503491011882,,,
89,2020-05-31,63.0,54.6,9.3,29.9,1.043459154520748,,,
90,2020-06-01,63.0,54.3,7.4,29.9,1.0000841295725005,,,
91,2020-06-02,64.0,48.9,7.1,29.8,1.0031440969539125,,,
92,2020-06-03,55.8,80.3,9.8,29.5,1.0233039529366057,,,
93,2020-06-04,51.7,77.2,7.8,29.3,1.012618862416863,,,
94,2020-06-05,51.5,65.7,14.6,29.1,1.0046041562096557,,,
95,2020-06-06,53.6,75.2,12.1,29.1,1.0134483883948866,,,
96,2020-06-07,52.5,84.4,7.8,29.5,1.0536351851996737,,,
97,2020-06-08,52.6,72.0,5.1,29.7,1.009377316144525,,,
98,2020-06-09,56.8,59.6,6.7,29.8,1.002200810894804,,,
99,2020-06-10,54.7,76.3,6.5,29.6,0.9995715858689096,,,
100,2020-06-11,54.4,89.7,13.2,29.6,1.0244961422768573,,,
101,2020-06-12,57.5,94.5,10.3,29.4,1.0110444788913049,,,
102,2020-06-13,63.1,75.2,9.0,29.4,1.0440027930079263,,,
103,2020-06-14,62.8,76.3,5.1,29.6,1.0403781173852074,,,
104,2020-06-15,65.0,66.3,4.2,29.6,1.0101713522675653,,,
105,2020-06-16,62.4,85.9,4.5,29.6,1.0302291919324371,,,
106,2020-06-17,59.3,91.6,4.4,29.6,1.002531649809253,,,
107,2020-06-18,56.0,97.8,6.6,29.5,1.0028972734714263,,,
108,2020-06-19,56.5,88.0,8.7,29.5,1.0058831894998597,,,
109,2020-06-20,58.9,81.3,7.3,29.7,1.006569158453699,,,
110,2020-06-21,60.3,72.4,10.2,29.6,1.0200202181760407,,,
111,2020-06-22,60.9,67.0,8.7,29.9,1.004236441843441,,,
112,2020-06-23,66.5,65.7,7.7,29.8,0.9984570014755,,,
113,2020-06-24,72.1,61.5,6.3,29.8,1.001247844641333,,,
114,2020-06-25,75.0,54.7,7.5,29.6,1.0246592436157762,,,
115,2020-06-26,71.5,63.9,7.1,29.4,1.0082402422724588,,,
116,2020-06-27,60.6,80.1,10.6,29.2,1.0085294548565042,,,
117,2020-06-28,58.1,67.4,11.9,29.4,1.0031533346023007,,,
118,2020-06-29,56.1,70.2,12.8,29.4,1.0029180666858868,,,
119,2020-06-30,59.6,72.7,7.9,29.3,1.0006263003648164,,,
120,2020-07-01,60.9,78.7,6.8,29.3,1.0012019102786376,,,
121,2020-07-02,59.5,77.9,6.6,29.5,1.0187881772686451,,,
122,2020-07-03,57.7,81.2,9.4,29.6,1.0069558033425885,,,
123,2020-07-04,63.2,80.8,10.1,29.4,1.005204530122413,,,
124,2020-07-05,61.5,60.6,14.7,29.4,1.005903035873434,,,
125,2020-07-06,58.6,59.8,12.8,29.7,1.018329475225225,,,
126,2020-07-07,55.9,82.7,6.1,29.7,1.015235505294798,,,
127,2020-07-08,58.8,95.5,5.8,29.6,1.0006701243064169,,,
128,2020-07-09,57.6,94.8,8.7,29.5,1.0015270870916992,,,
129,2020-07-10,57.1,67.6,12.6,29.7,1.00140579423138,,,
130,2020-07-11,58.0,61.9,9.0,30.0,1.00288205453584,,,
131,2020-07-12,59.8,58.5,4.0,30.0,1.017400076472766,,,
132,2020-07-13,61.5,75.2,6.5,29.8,1.001789741766354,,,
133,2020-07-14,59.9,71.5,9.0,29.7,1.000401799891793,,,
134,2020-07-15,58.3,80.9,7.0,29.6,1.0013969247022112,,,
135,2020-07-16,64.0,74.6,9.8,29.8,1.0181286505804492,,,
136,2020-07-17,67.0,68.0,7.0,29.8,1.0322482086218456,,,
137,2020-07-18,63.2,76.0,7.6,29.7,1.0019149652725192,,,
138,2020-07-19,59.7,65.9,10.3,29.7,1.0321835832324873,,,
139,2020-07-20,58.1,59.3,8.8,29.9,1.001656803867104,,,
140,2020-07-21,58.7,59.1,4.2,29.9,1.015529258114712,,,
141,2020-07-22,62.7,62.2,6.5,29.8,0.999629307987866,,,
142,2020-07-23,62.4,71.6,7.4,29.6,1.0164651880100903,,,
143,2020-07-24,65.8,72.5,6.8,29.5,1.0177835264451018,,,
144,2020-07-25,63.4,83.8,8.8,29.3,1.0174500780718303,,,
145,2020-07-26,60.7,75.8,8.1,29.4,1.0324034263610598,,,
146,2020-07-27,61.0,84.5,10.6,29.3,1.0174236533410768,,,
147,2020-07-28,58.8,63.7,10.1,29.6,1.0172947679168154,,,
