areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000033,Bolsover,ltla,2022-08-02,63376
E07000033,Bolsover,ltla,2022-08-01,63376
E07000033,Bolsover,ltla,2022-07-31,63373
E07000033,Bolsover,ltla,2022-07-30,63373
E07000033,Bolsover,ltla,2022-07-29,63372
E07000033,Bolsover,ltla,2022-07-28,63371
E07000033,Bolsover,ltla,2022-07-27,63371
E07000033,Bolsover,ltla,2022-07-26,63370
E07000033,Bolsover,ltla,2022-07-25,63370
E07000033,Bolsover,ltla,2022-07-24,63370
E07000033,Bolsover,ltla,2022-07-23,63370
E07000033,Bolsover,ltla,2022-07-22,63370
E07000033,Bolsover,ltla,2022-07-21,63368
E07000033,Bolsover,ltla,2022-07-20,63367
E07000033,Bolsover,ltla,2022-07-19,63366
E07000033,Bolsover,ltla,2022-07-18,63366
E07000033,Bolsover,ltla,2022-07-17,63366
E07000033,Bolsover,ltla,2022-07-16,63364
E07000033,Bolsover,ltla,2022-07-15,63362
E07000033,Bolsover,ltla,2022-07-14,63362
E07000033,Bolsover,ltla,2022-07-13,63361
E07000033,Bolsover,ltla,2022-07-12,63360
E07000033,Bolsover,ltla,2022-07-11,63360
E07000033,Bolsover,ltla,2022-07-10,63359
E07000033,Bolsover,ltla,2022-07-09,63359
E07000033,Bolsover,ltla,2022-07-08,63358
E07000033,Bolsover,ltla,2022-07-07,63356
E07000033,Bolsover,ltla,2022-07-06,63354
E07000033,Bolsover,ltla,2022-07-05,63353
E07000033,Bolsover,ltla,2022-07-04,63353
E07000033,Bolsover,ltla,2022-07-03,63353
E07000033,Bolsover,ltla,2022-07-02,63353
E07000033,Bolsover,ltla,2022-07-01,63351
E07000033,Bolsover,ltla,2022-06-30,63351
E07000033,Bolsover,ltla,2022-06-29,63351
E07000033,Bolsover,ltla,2022-06-28,63350
E07000033,Bolsover,ltla,2022-06-27,63348
E07000033,Bolsover,ltla,2022-06-26,63347
E07000033,Bolsover,ltla,2022-06-25,63347
E07000033,Bolsover,ltla,2022-06-24,63346
E07000033,Bolsover,ltla,2022-06-23,63344
E07000033,Bolsover,ltla,2022-06-22,63343
E07000033,Bolsover,ltla,2022-06-21,63343
E07000033,Bolsover,ltla,2022-06-20,63338
E07000033,Bolsover,ltla,2022-06-19,63338
