areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
E07000010,Fenland,ltla,2022-08-02,80344
E07000010,Fenland,ltla,2022-08-01,80344
E07000010,Fenland,ltla,2022-07-31,80342
E07000010,Fenland,ltla,2022-07-30,80342
E07000010,Fenland,ltla,2022-07-29,80342
E07000010,Fenland,ltla,2022-07-28,80341
E07000010,Fenland,ltla,2022-07-27,80340
E07000010,Fenland,ltla,2022-07-26,80338
E07000010,Fenland,ltla,2022-07-25,80338
E07000010,Fenland,ltla,2022-07-24,80334
E07000010,Fenland,ltla,2022-07-23,80333
E07000010,Fenland,ltla,2022-07-22,80328
E07000010,Fenland,ltla,2022-07-21,80328
E07000010,Fenland,ltla,2022-07-20,80327
E07000010,Fenland,ltla,2022-07-19,80327
E07000010,Fenland,ltla,2022-07-18,80326
E07000010,Fenland,ltla,2022-07-17,80321
E07000010,Fenland,ltla,2022-07-16,80321
E07000010,Fenland,ltla,2022-07-15,80318
E07000010,Fenland,ltla,2022-07-14,80316
E07000010,Fenland,ltla,2022-07-13,80314
E07000010,Fenland,ltla,2022-07-12,80314
E07000010,Fenland,ltla,2022-07-11,80313
E07000010,Fenland,ltla,2022-07-10,80312
E07000010,Fenland,ltla,2022-07-09,80307
E07000010,Fenland,ltla,2022-07-08,80299
E07000010,Fenland,ltla,2022-07-07,80298
E07000010,Fenland,ltla,2022-07-06,80297
E07000010,Fenland,ltla,2022-07-05,80296
E07000010,Fenland,ltla,2022-07-04,80295
E07000010,Fenland,ltla,2022-07-03,80293
E07000010,Fenland,ltla,2022-07-02,80293
E07000010,Fenland,ltla,2022-07-01,80289
E07000010,Fenland,ltla,2022-06-30,80288
E07000010,Fenland,ltla,2022-06-29,80287
E07000010,Fenland,ltla,2022-06-28,80287
E07000010,Fenland,ltla,2022-06-27,80286
E07000010,Fenland,ltla,2022-06-26,80286
E07000010,Fenland,ltla,2022-06-25,80282
E07000010,Fenland,ltla,2022-06-24,80278
E07000010,Fenland,ltla,2022-06-23,80278
E07000010,Fenland,ltla,2022-06-22,80277
E07000010,Fenland,ltla,2022-06-21,80275
E07000010,Fenland,ltla,2022-06-20,80275
E07000010,Fenland,ltla,2022-06-19,80274
E07000010,Fenland,ltla,2022-06-18,80274
E07000010,Fenland,ltla,2022-06-17,80272
E07000010,Fenland,ltla,2022-06-16,80271
E07000010,Fenland,ltla,2022-06-15,80271
E07000010,Fenland,ltla,2022-06-14,80270
E07000010,Fenland,ltla,2022-06-13,80269
E07000010,Fenland,ltla,2022-06-12,80268
E07000010,Fenland,ltla,2022-06-11,80267
E07000010,Fenland,ltla,2022-06-10,80264
E07000010,Fenland,ltla,2022-06-09,80263
E07000010,Fenland,ltla,2022-06-08,80263
E07000010,Fenland,ltla,2022-06-07,80262
E07000010,Fenland,ltla,2022-06-06,80260
E07000010,Fenland,ltla,2022-06-05,80258
E07000010,Fenland,ltla,2022-06-04,80258
E07000010,Fenland,ltla,2022-06-03,80256
E07000010,Fenland,ltla,2022-06-02,80256
E07000010,Fenland,ltla,2022-06-01,80256
E07000010,Fenland,ltla,2022-05-31,80256
E07000010,Fenland,ltla,2022-05-30,80253
E07000010,Fenland,ltla,2022-05-29,80250
E07000010,Fenland,ltla,2022-05-28,80249
E07000010,Fenland,ltla,2022-05-27,80246
E07000010,Fenland,ltla,2022-05-26,80246
E07000010,Fenland,ltla,2022-05-25,80245
E07000010,Fenland,ltla,2022-05-24,80244
E07000010,Fenland,ltla,2022-05-23,80243
E07000010,Fenland,ltla,2022-05-22,80243
E07000010,Fenland,ltla,2022-05-21,80234
E07000010,Fenland,ltla,2022-05-20,80233
E07000010,Fenland,ltla,2022-05-19,80231
E07000010,Fenland,ltla,2022-05-18,80230
E07000010,Fenland,ltla,2022-05-17,80228
E07000010,Fenland,ltla,2022-05-16,80227
E07000010,Fenland,ltla,2022-05-15,80226
E07000010,Fenland,ltla,2022-05-14,80222
E07000010,Fenland,ltla,2022-05-13,80214
E07000010,Fenland,ltla,2022-05-12,80208
E07000010,Fenland,ltla,2022-05-11,80204
E07000010,Fenland,ltla,2022-05-10,80200
E07000010,Fenland,ltla,2022-05-09,80191
E07000010,Fenland,ltla,2022-05-08,80188
E07000010,Fenland,ltla,2022-05-07,80183
E07000010,Fenland,ltla,2022-05-06,80171
E07000010,Fenland,ltla,2022-05-05,80166
E07000010,Fenland,ltla,2022-05-04,80165
E07000010,Fenland,ltla,2022-05-03,80162
E07000010,Fenland,ltla,2022-05-02,80162
E07000010,Fenland,ltla,2022-05-01,80161
E07000010,Fenland,ltla,2022-04-30,80156
E07000010,Fenland,ltla,2022-04-29,80144
E07000010,Fenland,ltla,2022-04-28,80140
E07000010,Fenland,ltla,2022-04-27,80137
E07000010,Fenland,ltla,2022-04-26,80136
E07000010,Fenland,ltla,2022-04-25,80133
E07000010,Fenland,ltla,2022-04-24,80127
E07000010,Fenland,ltla,2022-04-23,80120
E07000010,Fenland,ltla,2022-04-22,80117
E07000010,Fenland,ltla,2022-04-21,80114
E07000010,Fenland,ltla,2022-04-20,80109
E07000010,Fenland,ltla,2022-04-19,80106
E07000010,Fenland,ltla,2022-04-18,80101
E07000010,Fenland,ltla,2022-04-17,80099
E07000010,Fenland,ltla,2022-04-16,80095
E07000010,Fenland,ltla,2022-04-15,80090
E07000010,Fenland,ltla,2022-04-14,80085
E07000010,Fenland,ltla,2022-04-13,80076
E07000010,Fenland,ltla,2022-04-12,80066
E07000010,Fenland,ltla,2022-04-11,80063
E07000010,Fenland,ltla,2022-04-10,80061
E07000010,Fenland,ltla,2022-04-09,80058
E07000010,Fenland,ltla,2022-04-08,80049
E07000010,Fenland,ltla,2022-04-07,80040
E07000010,Fenland,ltla,2022-04-06,80036
E07000010,Fenland,ltla,2022-04-05,80032
E07000010,Fenland,ltla,2022-04-04,80025
E07000010,Fenland,ltla,2022-04-03,80019
E07000010,Fenland,ltla,2022-04-02,80015
E07000010,Fenland,ltla,2022-04-01,80008
E07000010,Fenland,ltla,2022-03-31,80007
E07000010,Fenland,ltla,2022-03-30,80001
E07000010,Fenland,ltla,2022-03-29,80001
E07000010,Fenland,ltla,2022-03-28,79997
E07000010,Fenland,ltla,2022-03-27,79994
E07000010,Fenland,ltla,2022-03-26,79989
E07000010,Fenland,ltla,2022-03-25,79981
E07000010,Fenland,ltla,2022-03-24,79975
E07000010,Fenland,ltla,2022-03-23,79972
E07000010,Fenland,ltla,2022-03-22,79968
E07000010,Fenland,ltla,2022-03-21,79966
E07000010,Fenland,ltla,2022-03-20,79964
E07000010,Fenland,ltla,2022-03-19,79957
E07000010,Fenland,ltla,2022-03-18,79955
E07000010,Fenland,ltla,2022-03-17,79953
E07000010,Fenland,ltla,2022-03-16,79951
E07000010,Fenland,ltla,2022-03-15,79951
E07000010,Fenland,ltla,2022-03-14,79948
E07000010,Fenland,ltla,2022-03-13,79943
E07000010,Fenland,ltla,2022-03-12,79927
E07000010,Fenland,ltla,2022-03-11,79922
E07000010,Fenland,ltla,2022-03-10,79919
